Ticker: GPC  Created on: 12/6/2014 5:24:43 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 103.75, 104.06, 102.92, 103.25, 394800, 103.25, 0, 1, 103.5, -999
20141204, 103.44, 103.79, 102.82, 103.65, 857700, 103.65, 0, 1, 103.545, -999
20141203, 102.1, 103.48, 102.1, 103.45, 676300, 103.45, 0, 1, 102.775, -999
20141202, 101.92, 102.52, 101.78, 102.49, 532000, 101.91, 0, 1, 101.915, -999
20141201, 102.62, 102.89, 101.73, 101.76, 665700, 101.19, 0, 1, 101.905, -999
20141128, 102.14, 103.54, 102.06, 102.78, 327200, 102.2, 0, 1, 102.17, -999
20141126, 101.64, 101.98, 101.17, 101.84, 474600, 101.27, 0, 1, 101.455, -999
20141125, 102.52, 102.74, 101.35, 101.52, 696400, 100.95, 0, 1, 101.735, -999
20141124, 101.57, 102.4, 101.38, 102.15, 434200, 101.58, 0, 1, 101.575, -999
20141121, 101.85, 101.9, 100.82, 101.42, 670100, 100.85, 0, 1, 101.35, -999
20141120, 99.72, 100.77, 99.57, 100.66, 380800, 100.1, 0, 1, 99.91, -999
20141119, 100.12, 100.41, 99.7, 100.2, 325900, 99.64, 0, 1, 99.88, -999
20141118, 99.63, 100.53, 99.41, 100.12, 375600, 99.56, 0, 1, 99.595, -999
20141117, 99.49, 100.17, 99.32, 99.92, 345500, 99.36, 0, 1, 99.425, -999
20141114, 100.25, 100.47, 99.5, 99.68, 377300, 99.12, 0, 1, 99.685, -999
20141113, 100.59, 101.07, 100.25, 100.54, 818100, 99.98, 0, 1, 100.285, -999
20141112, 99.3, 100.69, 99.06, 100.59, 562900, 100.03, 0, 1, 99.665, -999
20141111, 99.8, 100.25, 99.27, 99.66, 437300, 99.1, 0, 1, 99.45, -999
20141110, 99.35, 100.12, 99.06, 99.59, 533900, 99.03, 0, 1, 99.19, -999
20141107, 98.63, 99.13, 98.29, 99.13, 521300, 98.57, 0, 1, 98.6, -999
