Ticker: GRMN  Created on: 12/6/2014 5:24:40 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 56.34, 56.48, 55.79, 55.95, 652300, 55.95, 0, 1, 56.145, -999
20141204, 56.74, 57, 56.05, 56.21, 666600, 56.21, 0, 1, 56.475, -999
20141203, 56.55, 56.95, 55.93, 56.86, 801800, 56.86, 0, 1, 56.705, -999
20141202, 56.37, 56.65, 55.62, 56.4, 1218000, 56.4, 0, 1, 56.385, -999
20141201, 57.22, 57.26, 55.95, 56.24, 1284400, 56.24, 0, 1, 56.73, -999
20141128, 57.38, 57.49, 56.82, 57.3, 639000, 57.3, 0, 1, 57.34, -999
20141126, 56.92, 57.32, 56.66, 57.07, 1228200, 57.07, 0, 1, 56.995, -999
20141125, 59.2, 59.2, 56.71, 56.94, 4247900, 56.94, 0, 1, 58.07, -999
20141124, 58.7, 59.96, 58.51, 59.63, 1695100, 59.63, 0, 1, 59.165, -999
20141121, 59.51, 59.51, 58.62, 58.93, 2134000, 58.93, 0, 1, 59.22, -999
20141120, 58.98, 60.19, 58.6, 58.74, 2847800, 58.74, 0, 1, 58.86, -999
20141119, 56.66, 59.27, 56.54, 59.19, 5073600, 59.19, 0, 1, 57.925, -999
20141118, 56.08, 56.82, 55.63, 56.64, 1155600, 56.64, 0, 1, 56.36, -999
20141117, 55.43, 56.14, 55.31, 55.81, 995200, 55.81, 0, 1, 55.62, -999
20141114, 56.11, 56.53, 55.87, 55.95, 920300, 55.95, 0, 1, 56.03, -999
20141113, 56.09, 56.47, 55.74, 55.93, 1019400, 55.93, 0, 1, 56.01, -999
20141112, 55.73, 56.15, 55.49, 56.06, 1336000, 56.06, 0, 1, 55.895, -999
20141111, 55.73, 56.04, 55.51, 55.81, 799100, 55.81, 0, 1, 55.77, -999
20141110, 54.79, 55.75, 54.7, 55.58, 1252100, 55.58, 0, 1, 55.185, -999
20141107, 55.14, 55.16, 54.15, 54.7, 1467600, 54.7, 0, 1, 54.92, -999
20141106, 55.59, 55.96, 54.9, 54.94, 2286200, 54.94, 0, 1, 55.265, -999
20141105, 56.05, 56.19, 55.54, 55.6, 998000, 55.6, 0, 1, 55.825, -999
20141104, 55.62, 56.01, 55.29, 55.84, 831800, 55.84, 0, 1, 55.73, -999
20141103, 55.48, 56.15, 55.01, 55.7, 1118200, 55.7, 0, 1, 55.59, -999
20141031, 54.87, 55.5, 54.37, 55.48, 1525200, 55.48, 0, 1, 55.175, -999
20141030, 55, 55, 53.84, 54.14, 2051300, 54.14, 0, 1, 54.57, -999
20141029, 54.9, 55.51, 53.31, 53.96, 4001300, 53.96, 0, 1, 54.43, -999
20141028, 56.85, 57.36, 56.59, 57.2, 2847600, 57.2, 0, 1, 57.025, -999
20141027, 56.1, 56.75, 55.38, 56.61, 3295100, 56.61, 0, 1, 56.355, -999
20141024, 54.3, 55.36, 53.83, 55.26, 1594500, 55.26, 0, 1, 54.78, -999
20141023, 54.11, 54.54, 54.01, 54.23, 855100, 54.23, 0, 1, 54.17, -999
20141022, 53.93, 55.03, 53.57, 53.6, 1573300, 53.6, 0, 1, 53.765, -999
20141021, 52.99, 53.91, 52.88, 53.85, 1532200, 53.85, 0, 1, 53.42, -999
20141020, 52.26, 52.84, 52.12, 52.82, 716500, 52.82, 0, 1, 52.54, -999
20141017, 52.91, 53.1, 51.99, 52.24, 1722800, 52.24, 0, 1, 52.575, -999
20141016, 51.22, 53.37, 51.22, 52.61, 1573300, 52.61, 0, 1, 51.915, -999
20141015, 50.09, 52.12, 49.86, 51.86, 2252700, 51.86, 0, 1, 50.975, -999
20141014, 49.73, 51.15, 49.37, 50.78, 1937900, 50.78, 0, 1, 50.255, -999
20141013, 49.64, 50.37, 49.1, 49.35, 1614000, 49.35, 0, 1, 49.495, -999
20141010, 49.57, 50.94, 49.44, 49.77, 1618600, 49.77, 0, 1, 49.67, -999
20141009, 51.13, 51.13, 49.16, 49.72, 1608300, 49.72, 0, 1, 50.425, -999
20141008, 50.24, 51.3, 49.69, 51.19, 1919400, 51.19, 0, 1, 50.715, -999
20141007, 51.08, 51.1, 49.91, 50.06, 1177800, 50.06, 0, 1, 50.57, -999
20141006, 50.57, 51.28, 50.36, 51.23, 1460900, 51.23, 0, 1, 50.9, -999
20141003, 49.95, 50.64, 49.16, 50.45, 1982700, 50.45, 0, 1, 50.2, -999
20141002, 50.91, 51, 48.67, 49.89, 5507000, 49.89, 0, 1, 50.4, -999
20141001, 51.76, 51.94, 50.95, 50.99, 1529400, 50.99, 0, 1, 51.375, -999
20140930, 51.82, 52.38, 51.62, 51.99, 1054400, 51.99, 0, 1, 51.905, -999
20140929, 51.45, 51.94, 51.01, 51.87, 1460900, 51.87, 0, 1, 51.66, -999
20140926, 51.07, 52.07, 50.85, 51.86, 990300, 51.86, 0, 1, 51.465, -999
20140925, 51.17, 51.41, 50.5, 50.75, 952300, 50.75, 0, 1, 50.96, -999
20140924, 50.68, 51.27, 50.15, 51.24, 1459300, 51.24, 0, 1, 50.96, -999
20140923, 51.35, 52, 50.71, 50.75, 1155800, 50.75, 0, 1, 51.05, -999
20140922, 52.01, 52.06, 51.41, 51.53, 1117800, 51.53, 0, 1, 51.77, -999
20140919, 53.4, 53.4, 52.04, 52.1, 2589500, 52.1, 0, 1, 52.75, -999
20140918, 53.17, 53.45, 53.03, 53.06, 864400, 53.06, 0, 1, 53.115, -999
20140917, 53.66, 53.82, 52.99, 53.07, 1188100, 53.07, 0, 1, 53.365, -999
20140916, 53.55, 54.2, 53.38, 53.74, 1161900, 53.74, 0, 1, 53.645, -999
20140915, 53.35, 53.79, 53.2, 53.62, 1538900, 53.62, 0, 1, 53.485, -999
20140912, 52.84, 54.02, 52.45, 53.53, 2296600, 53.53, 0, 1, 53.185, -999
20140911, 53.5, 53.5, 52.3, 53.08, 1546500, 53.08, 0.48, 1, 53.29, -999
20140910, 51.9, 53.94, 51.9, 53.77, 4916900, 53.29, 0, 1, 52.595, -999
20140909, 53.31, 53.49, 50.29, 51.71, 5306900, 51.25, 0, 1, 52.28, -999
20140908, 53.01, 54.03, 52.58, 53.56, 1580300, 53.08, 0, 1, 53.045, -999
20140905, 52.36, 53.28, 52.2, 53.27, 1577900, 52.79, 0, 1, 52.575, -999
20140904, 53.54, 54.03, 52.39, 52.44, 2259400, 51.97, 0, 1, 52.755, -999
