Ticker: GWW  Created on: 12/6/2014 5:24:45 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 251.79, 254.49, 251.51, 252.83, 559000, 252.83, 0, 1, 252.31, -999
20141204, 248.39, 251.1, 246.81, 250.57, 444500, 250.57, 0, 1, 249.48, -999
20141203, 244.62, 248.57, 243.97, 248.57, 798600, 248.57, 0, 1, 246.595, -999
20141202, 241.01, 244.26, 239.7, 244.17, 591700, 244.17, 0, 1, 242.59, -999
20141201, 244.91, 245.31, 242.12, 242.46, 555400, 242.46, 0, 1, 243.685, -999
20141128, 247.84, 248.84, 245.33, 245.68, 290000, 245.68, 0, 1, 246.76, -999
20141126, 249.04, 249.31, 246.71, 247.16, 329200, 247.16, 0, 1, 248.1, -999
20141125, 250.35, 250.6, 248.34, 249.24, 299200, 249.24, 0, 1, 249.795, -999
20141124, 249, 251.04, 247.58, 250.85, 362600, 250.85, 0, 1, 249.925, -999
20141121, 246.71, 248.95, 246.71, 248.21, 516900, 248.21, 0, 1, 247.46, -999
20141120, 243.37, 246.43, 243.37, 244.87, 311700, 244.87, 0, 1, 244.12, -999
20141119, 243.5, 244.84, 241.98, 244.34, 323100, 244.34, 0, 1, 243.92, -999
20141118, 244.9, 246.25, 242.97, 243.33, 328900, 243.33, 0, 1, 244.115, -999
20141117, 245.84, 245.96, 243.92, 244.44, 284900, 244.44, 0, 1, 245.14, -999
20141114, 244.14, 247.01, 243.65, 246.27, 234500, 246.27, 0, 1, 245.205, -999
20141113, 246.52, 246.73, 243.95, 244.37, 405700, 244.37, 0, 1, 245.445, -999
20141112, 245.45, 248.21, 245.12, 246.77, 803100, 246.77, 0, 1, 246.11, -999
20141111, 249.18, 249.23, 245.34, 246.31, 492800, 246.31, 0, 1, 247.745, -999
20141110, 251.39, 252.27, 247.33, 248.77, 584900, 248.77, 0, 1, 250.08, -999
20141107, 254.84, 254.84, 252.23, 254.81, 313900, 254.81, 0, 1, 254.825, -999
20141106, 252.85, 255.08, 251.13, 254.77, 379800, 254.77, 0, 1, 253.81, -999
