Ticker: HAR  Created on: 12/6/2014 5:24:47 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 107.82, 108, 105.6, 106.18, 462100, 106.18, 0, 1, 107, -999
20141204, 107.25, 107.75, 106.13, 107.53, 839400, 107.53, 0, 1, 107.39, -999
20141203, 106.76, 107.9, 105.15, 107.49, 914100, 107.49, 0, 1, 107.125, -999
20141202, 107.01, 107.87, 106.14, 106.84, 780000, 106.84, 0, 1, 106.925, -999
20141201, 108.64, 108.64, 106.11, 107.06, 444300, 107.06, 0, 1, 107.85, -999
20141128, 109.14, 109.18, 106.72, 108.53, 275500, 108.53, 0, 1, 108.835, -999
20141126, 108.25, 109.16, 107.46, 108.75, 502700, 108.75, 0, 1, 108.5, -999
20141125, 111.24, 111.85, 108.17, 108.59, 430300, 108.59, 0, 1, 109.915, -999
20141124, 109.58, 111.49, 109.17, 111.35, 382900, 111.35, 0, 1, 110.465, -999
20141121, 110.18, 110.6, 108.48, 108.73, 475300, 108.73, 0, 1, 109.455, -999
20141120, 107.58, 109.7, 106.7, 108.68, 371500, 108.68, 0, 1, 108.13, -999
20141119, 109.18, 109.27, 107.47, 108.08, 459600, 108.08, 0, 1, 108.63, -999
20141118, 106.71, 109.97, 106.61, 109.28, 543400, 109.28, 0, 1, 107.995, -999
20141117, 106.65, 107.26, 105.56, 106.88, 485700, 106.88, 0, 1, 106.765, -999
20141114, 106.25, 106.79, 104.93, 106.67, 555900, 106.67, 0, 1, 106.46, -999
20141113, 108.44, 108.58, 105.48, 106.57, 615100, 106.57, 0, 1, 107.505, -999
20141112, 107.22, 109.21, 107.19, 107.81, 677300, 107.81, 0, 1, 107.515, -999
20141111, 108.12, 109.03, 106.5, 107.33, 511200, 107.33, 0, 1, 107.725, -999
20141110, 107.51, 108, 106.57, 107.81, 567400, 107.81, 0, 1, 107.66, -999
20141107, 107.53, 108.49, 106.52, 107.08, 585500, 107.08, 0, 1, 107.305, -999
20141106, 104.52, 107.87, 104.34, 107.81, 627300, 107.81, 0, 1, 106.165, -999
20141105, 106.14, 106.17, 103.88, 104.36, 628400, 104.03, 0, 1, 105.085, -999
20141104, 106.32, 106.85, 103.69, 105.32, 826200, 104.99, 0, 1, 105.655, -999
20141103, 107.28, 108.11, 106.17, 106.73, 793700, 106.39, 0, 1, 106.835, -999
20141031, 110.25, 110.28, 106.11, 107.34, 1300000, 107, 0, 1, 108.625, -999
20141030, 111.01, 113.88, 105.22, 108.87, 1945500, 108.53, 0, 1, 109.77, -999
20141029, 100.62, 102.85, 100.26, 101.31, 1399700, 100.99, 0, 1, 100.805, -999
20141028, 96.61, 100.86, 96.4, 100.85, 870200, 100.53, 0, 1, 98.57, -999
20141027, 96.83, 97.29, 94.8, 96.27, 630300, 95.97, 0, 1, 96.4, -999
20141024, 96.2, 97.6, 94.28, 97.5, 502700, 97.19, 0, 1, 96.695, -999
20141023, 95.67, 97.22, 94.33, 95.95, 574700, 95.65, 0, 1, 95.66, -999
20141022, 96.57, 96.89, 94.69, 94.87, 525200, 94.57, 0, 1, 95.57, -999
20141021, 93.26, 96.75, 93.26, 96.6, 645800, 96.29, 0, 1, 94.775, -999
20141020, 93.11, 94.29, 92.09, 92.82, 523400, 92.53, 0, 1, 92.82, -999
20141017, 93.97, 94.71, 92.7, 93.03, 750000, 92.74, 0, 1, 93.355, -999
20141016, 87.29, 92.66, 87.29, 92, 1041500, 91.71, 0, 1, 89.5, -999
