Ticker: HAS  Created on: 12/6/2014 5:24:48 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 56.92, 57.58, 56.65, 57.23, 981500, 57.23, 0, 1, 57.075, -999
20141204, 56.98, 57.24, 56.64, 56.75, 1716600, 56.75, 0, 1, 56.865, -999
20141203, 57.31, 57.62, 56.84, 57.08, 905400, 57.08, 0, 1, 57.195, -999
20141202, 57.43, 58.02, 57.29, 57.46, 909800, 57.46, 0, 1, 57.445, -999
20141201, 58.62, 59, 57.43, 57.46, 1415400, 57.46, 0, 1, 58.04, -999
20141128, 58.7, 59.42, 58.48, 59.2, 750500, 59.2, 0, 1, 58.95, -999
20141126, 57.66, 58.31, 57.14, 58.14, 1272100, 58.14, 0, 1, 57.9, -999
20141125, 56.89, 57.65, 56.79, 57.54, 1229600, 57.54, 0, 1, 57.215, -999
20141124, 57.06, 57.23, 56.15, 56.66, 1587600, 56.66, 0, 1, 56.86, -999
20141121, 57.08, 57.2, 56.45, 56.69, 1274700, 56.69, 0, 1, 56.885, -999
20141120, 56, 56.67, 55.95, 56.51, 1119600, 56.51, 0, 1, 56.255, -999
20141119, 56.11, 56.45, 55.92, 56.13, 859100, 56.13, 0, 1, 56.12, -999
20141118, 56.19, 56.65, 55.86, 56.12, 1103900, 56.12, 0, 1, 56.155, -999
20141117, 56.25, 57.23, 55.92, 56.37, 2112200, 56.37, 0, 1, 56.31, -999
20141114, 55.5, 55.87, 53.74, 54.02, 1886100, 54.02, 0, 1, 54.76, -999
20141113, 56.09, 56.1, 54.15, 54.98, 3957200, 54.98, 0, 1, 55.535, -999
20141112, 56.58, 57.57, 56.51, 57.47, 1082300, 57.47, 0, 1, 57.025, -999
20141111, 57.26, 57.39, 56.51, 56.67, 1375900, 56.67, 0, 1, 56.965, -999
20141110, 57.91, 58.19, 57.02, 57.08, 1474200, 57.08, 0, 1, 57.495, -999
20141107, 58.03, 58.39, 57.72, 57.98, 854000, 57.98, 0, 1, 58.005, -999
20141106, 57.99, 58.41, 57.64, 58.12, 1041400, 58.12, 0, 1, 58.055, -999
20141105, 57.65, 57.88, 57.23, 57.85, 635100, 57.85, 0, 1, 57.75, -999
20141104, 57.56, 57.93, 57.19, 57.36, 741700, 57.36, 0, 1, 57.46, -999
20141103, 57.69, 57.69, 57.15, 57.64, 804000, 57.64, 0, 1, 57.665, -999
20141031, 57.73, 57.96, 57.37, 57.53, 1110600, 57.53, 0, 1, 57.63, -999
20141030, 56.97, 57.52, 56.74, 57.18, 911600, 57.18, 0.43, 1, 57.075, -999
20141029, 57.79, 57.97, 57.31, 57.62, 678900, 57.19, 0, 1, 57.49, -999
20141028, 57.45, 57.83, 57.16, 57.73, 916700, 57.3, 0, 1, 57.375, -999
20141027, 57.5, 57.73, 57.17, 57.31, 1063000, 56.88, 0, 1, 57.19, -999
20141024, 57.64, 57.88, 57.33, 57.61, 716100, 57.18, 0, 1, 57.41, -999
20141023, 57.43, 57.83, 57.3, 57.48, 1179200, 57.05, 0, 1, 57.24, -999
20141022, 57.85, 58.06, 56.83, 56.91, 1470500, 56.49, 0, 1, 57.17, -999
20141021, 56.84, 58.04, 56.46, 57.72, 2876700, 57.29, 0, 1, 57.065, -999
20141020, 53.89, 57.16, 53.87, 56.51, 3105700, 56.09, 0, 1, 54.99, -999
20141017, 54.51, 54.8, 53.85, 53.85, 2197600, 53.45, 0, 1, 53.98, -999
20141016, 54.03, 54.32, 52.74, 54.21, 1763000, 53.81, 0, 1, 53.92, -999
20141015, 54.18, 54.89, 53.42, 54.33, 1984700, 53.92, 0, 1, 54.05, -999
20141014, 54.91, 55.5, 54.7, 54.83, 1111300, 54.42, 0, 1, 54.665, -999
20141013, 54.9, 55.21, 54.58, 54.66, 1118100, 54.25, 0, 1, 54.575, -999
20141010, 54.97, 55.49, 54.51, 55, 970700, 54.59, 0, 1, 54.78, -999
20141009, 55.51, 55.96, 54.81, 54.85, 748400, 54.44, 0, 1, 54.975, -999
20141008, 54.8, 55.61, 54.65, 55.52, 804200, 55.11, 0, 1, 54.955, -999
20141007, 54.91, 55.18, 54.65, 54.76, 1257000, 54.35, 0, 1, 54.63, -999
20141006, 55.59, 56.09, 54.89, 55.1, 1204400, 54.69, 0, 1, 55.14, -999
20141003, 55.59, 56.06, 55.39, 55.42, 933400, 55.01, 0, 1, 55.3, -999
20141002, 54.78, 55.34, 54.54, 55.26, 739800, 54.85, 0, 1, 54.815, -999
20141001, 55.04, 55.37, 54.57, 54.85, 1535100, 54.44, 0, 1, 54.74, -999
20140930, 55.05, 55.39, 54.74, 55, 956400, 54.59, 0, 1, 54.82, -999
20140929, 54.8, 55.27, 54.7, 55.05, 810900, 54.64, 0, 1, 54.72, -999
20140926, 54.6, 55.61, 54.6, 55.33, 966500, 54.92, 0, 1, 54.76, -999
20140925, 54.92, 55.37, 54.32, 54.65, 988200, 54.24, 0, 1, 54.58, -999
20140924, 52.93, 55.78, 52.86, 54.95, 2862000, 54.54, 0, 1, 53.735, -999
20140923, 53.32, 53.47, 52.87, 52.94, 498900, 52.54, 0, 1, 52.93, -999
20140922, 54.12, 54.33, 53.37, 53.41, 714800, 53.01, 0, 1, 53.565, -999
20140919, 54.16, 54.61, 53.88, 54.12, 1292400, 53.72, 0, 1, 53.94, -999
20140918, 53.96, 53.99, 53.57, 53.91, 406600, 53.51, 0, 1, 53.735, -999
20140917, 53.4, 54.03, 53.25, 53.77, 806800, 53.37, 0, 1, 53.385, -999
20140916, 53.56, 53.71, 53.37, 53.44, 750300, 53.04, 0, 1, 53.3, -999
20140915, 53.74, 53.78, 53.48, 53.54, 638100, 53.14, 0, 1, 53.44, -999
20140912, 53.88, 54.05, 53.59, 53.67, 827800, 53.27, 0, 1, 53.575, -999
20140911, 53.61, 54.05, 53.61, 53.89, 900100, 53.49, 0, 1, 53.55, -999
20140910, 53.76, 53.83, 53.54, 53.72, 609100, 53.32, 0, 1, 53.54, -999
20140909, 54.03, 54.11, 53.57, 53.67, 1251900, 53.27, 0, 1, 53.65, -999
20140908, 54, 54.25, 53.85, 54, 626800, 53.6, 0, 1, 53.8, -999
20140905, 53.65, 54.11, 53.57, 54.02, 775100, 53.62, 0, 1, 53.635, -999
20140904, 53.34, 53.92, 53.11, 53.85, 1158200, 53.45, 0, 1, 53.395, -999
20140903, 52.87, 53.26, 52.77, 53.26, 1009400, 52.86, 0, 1, 52.865, -999
20140902, 52.73, 53.02, 52.48, 52.67, 763000, 52.28, 0, 1, 52.505, -999
20140829, 52.2, 52.74, 52.04, 52.66, 792400, 52.27, 0, 1, 52.235, -999
20140828, 52.12, 52.37, 51.76, 52.12, 528400, 51.73, 0, 1, 51.925, -999
20140827, 52.4, 52.64, 51.98, 52.26, 894500, 51.87, 0, 1, 52.135, -999
20140826, 52.63, 52.71, 51.9, 52.23, 1167700, 51.84, 0, 1, 52.235, -999
20140825, 52.95, 52.99, 52.52, 52.71, 599000, 52.32, 0, 1, 52.635, -999
20140822, 51.51, 52.99, 51.51, 52.47, 693600, 52.08, 0, 1, 51.795, -999
20140821, 52.29, 52.7, 52.2, 52.6, 940200, 52.21, 0, 1, 52.25, -999
20140820, 51.54, 52.35, 51.49, 52.14, 815300, 51.75, 0, 1, 51.645, -999
20140819, 51.56, 52, 51.56, 51.9, 743900, 51.51, 0, 1, 51.535, -999
20140818, 51.17, 51.67, 51.13, 51.59, 800300, 51.21, 0, 1, 51.19, -999
20140815, 51.21, 51.43, 50.49, 50.79, 524700, 50.41, 0, 1, 50.81, -999
20140814, 50.4, 51.15, 50.4, 51.01, 823300, 50.63, 0, 1, 50.515, -999
20140813, 48.01, 50.68, 48.01, 50.32, 735400, 49.94, 0, 1, 48.975, -999
20140812, 50.63, 50.85, 50.15, 50.25, 468700, 49.88, 0, 1, 50.255, -999
20140811, 50.48, 50.85, 50.48, 50.56, 836700, 50.18, 0, 1, 50.33, -999
20140808, 49.75, 50.65, 49.75, 50.4, 999200, 50.02, 0, 1, 49.885, -999
20140807, 50.68, 50.68, 49.59, 49.68, 754400, 49.31, 0, 1, 49.995, -999
