Ticker: HCBK  Created on: 12/6/2014 5:24:54 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 9.91, 10.02, 9.89, 9.93, 2013100, 9.93, 0, 1, 9.92, -999
20141204, 9.89, 9.95, 9.85, 9.89, 1471600, 9.89, 0, 1, 9.89, -999
20141203, 9.72, 9.94, 9.72, 9.89, 2002500, 9.89, 0, 1, 9.805, -999
20141202, 9.64, 9.81, 9.62, 9.76, 3095300, 9.76, 0, 1, 9.7, -999
20141201, 9.78, 9.8, 9.64, 9.65, 6499800, 9.65, 0, 1, 9.715, -999
20141128, 9.83, 9.85, 9.76, 9.79, 1020700, 9.79, 0, 1, 9.81, -999
20141126, 9.8, 9.86, 9.74, 9.8, 3652800, 9.8, 0, 1, 9.8, -999
20141125, 9.78, 9.83, 9.74, 9.79, 2619800, 9.79, 0, 1, 9.785, -999
20141124, 9.66, 9.78, 9.62, 9.77, 1201200, 9.77, 0, 1, 9.715, -999
20141121, 9.83, 9.83, 9.63, 9.63, 3423100, 9.63, 0, 1, 9.73, -999
20141120, 9.6, 9.79, 9.6, 9.78, 2869900, 9.78, 0, 1, 9.69, -999
20141119, 9.73, 9.73, 9.55, 9.65, 7080400, 9.65, 0, 1, 9.69, -999
20141118, 9.66, 9.75, 9.66, 9.72, 2196000, 9.72, 0, 1, 9.69, -999
20141117, 9.76, 9.81, 9.66, 9.68, 3477200, 9.68, 0, 1, 9.72, -999
20141114, 9.84, 9.91, 9.79, 9.82, 1205200, 9.82, 0, 1, 9.83, -999
20141113, 9.91, 9.94, 9.84, 9.87, 1690100, 9.87, 0, 1, 9.89, -999
20141112, 9.82, 9.92, 9.79, 9.9, 1965200, 9.9, 0, 1, 9.86, -999
20141111, 9.76, 9.85, 9.76, 9.85, 2311300, 9.85, 0, 1, 9.805, -999
20141110, 9.76, 9.87, 9.74, 9.75, 2239600, 9.75, 0, 1, 9.755, -999
20141107, 9.72, 9.83, 9.7, 9.8, 1993700, 9.8, 0, 1, 9.76, -999
20141106, 9.69, 9.79, 9.67, 9.77, 2057000, 9.77, 0, 1, 9.73, -999
20141105, 9.6, 9.71, 9.56, 9.66, 2070600, 9.66, 0, 1, 9.63, -999
20141104, 9.6, 9.62, 9.49, 9.58, 1292800, 9.54, 0, 1, 9.57, -999
20141103, 9.62, 9.74, 9.57, 9.62, 1911700, 9.58, 0, 1, 9.6, -999
20141031, 9.51, 9.67, 9.45, 9.65, 6122900, 9.61, 0, 1, 9.56, -999
20141030, 9.41, 9.48, 9.31, 9.42, 4218700, 9.38, 0, 1, 9.395, -999
20141029, 9.34, 9.41, 9.25, 9.41, 4397400, 9.37, 0, 1, 9.355, -999
20141028, 9.22, 9.33, 9.21, 9.32, 5587700, 9.28, 0, 1, 9.25, -999
20141027, 9.14, 9.23, 9.06, 9.21, 2879200, 9.17, 0, 1, 9.155, -999
20141024, 9.08, 9.17, 9.04, 9.14, 2221800, 9.1, 0, 1, 9.09, -999
20141023, 8.97, 9.07, 8.93, 9.06, 5852700, 9.02, 0, 1, 8.995, -999
20141022, 8.93, 9.01, 8.87, 8.9, 4245400, 8.86, 0, 1, 8.895, -999
20141021, 8.88, 9.02, 8.87, 8.9, 3525900, 8.86, 0, 1, 8.87, -999
20141020, 8.89, 8.96, 8.79, 8.85, 2784100, 8.81, 0, 1, 8.85, -999
20141017, 9.1, 9.2, 8.82, 8.88, 8277900, 8.84, 0, 1, 8.97, -999
20141016, 8.68, 9.12, 8.53, 9.05, 6125100, 9.01, 0, 1, 8.845, -999
20141015, 9.38, 9.44, 8.83, 8.87, 8246800, 8.83, 0, 1, 9.105, -999
20141014, 9.34, 9.51, 9.34, 9.42, 1771200, 9.38, 0, 1, 9.36, -999
20141013, 9.43, 9.52, 9.34, 9.34, 1972200, 9.3, 0, 1, 9.365, -999
20141010, 9.57, 9.65, 9.44, 9.45, 4331300, 9.41, 0, 1, 9.49, -999
20141009, 9.76, 9.76, 9.55, 9.55, 3936800, 9.51, 0, 1, 9.635, -999
20141008, 9.47, 9.76, 9.43, 9.76, 3522900, 9.72, 0, 1, 9.595, -999
20141007, 9.53, 9.55, 9.44, 9.47, 5692100, 9.43, 0, 1, 9.48, -999
20141006, 9.77, 9.79, 9.55, 9.55, 2433900, 9.51, 0, 1, 9.64, -999
20141003, 9.75, 9.83, 9.72, 9.73, 3335800, 9.69, 0, 1, 9.72, -999
20141002, 9.66, 9.72, 9.58, 9.7, 4744700, 9.66, 0, 1, 9.66, -999
20141001, 9.73, 9.78, 9.66, 9.69, 3249400, 9.65, 0, 1, 9.69, -999
20140930, 9.82, 9.87, 9.72, 9.72, 2693900, 9.68, 0, 1, 9.75, -999
20140929, 9.82, 9.88, 9.8, 9.83, 1352600, 9.79, 0, 1, 9.805, -999
20140926, 9.89, 9.92, 9.8, 9.89, 1613500, 9.85, 0, 1, 9.87, -999
20140925, 10, 10, 9.83, 9.84, 2134700, 9.8, 0, 1, 9.9, -999
20140924, 10.06, 10.12, 9.94, 9.99, 3718900, 9.95, 0, 1, 10.005, -999
20140923, 10.18, 10.19, 10.06, 10.06, 1572800, 10.02, 0, 1, 10.1, -999
20140922, 10.21, 10.25, 10.16, 10.18, 1724900, 10.14, 0, 1, 10.175, -999
20140919, 10.23, 10.35, 10.15, 10.23, 3901400, 10.19, 0, 1, 10.21, -999
20140918, 10.15, 10.25, 10.12, 10.17, 2620800, 10.13, 0, 1, 10.14, -999
20140917, 10.05, 10.19, 10.04, 10.13, 1726700, 10.09, 0, 1, 10.07, -999
20140916, 10.03, 10.11, 9.99, 10.08, 1569100, 10.04, 0, 1, 10.035, -999
20140915, 10.08, 10.12, 10.02, 10.07, 822700, 10.03, 0, 1, 10.055, -999
20140912, 10.1, 10.2, 10.07, 10.13, 2375000, 10.09, 0, 1, 10.095, -999
20140911, 10.01, 10.12, 10.01, 10.1, 1286600, 10.06, 0, 1, 10.035, -999
20140910, 9.97, 10.07, 9.96, 10.04, 1314100, 10, 0, 1, 9.985, -999
20140909, 10.02, 10.02, 9.91, 9.97, 1466600, 9.93, 0, 1, 9.975, -999
20140908, 9.97, 10.04, 9.91, 10.04, 907700, 10, 0, 1, 9.985, -999
20140905, 9.9, 9.98, 9.84, 9.98, 1058600, 9.94, 0, 1, 9.92, -999
20140904, 9.94, 10.05, 9.91, 9.93, 1418300, 9.89, 0, 1, 9.915, -999
20140903, 9.99, 10, 9.92, 9.93, 1668000, 9.89, 0, 1, 9.94, -999
20140902, 9.9, 9.99, 9.88, 9.95, 1218900, 9.91, 0, 1, 9.905, -999
20140829, 9.87, 9.93, 9.82, 9.87, 1162600, 9.83, 0, 1, 9.85, -999
20140828, 9.9, 9.93, 9.8, 9.83, 1693100, 9.79, 0, 1, 9.845, -999
20140827, 9.98, 9.98, 9.91, 9.95, 1556900, 9.91, 0, 1, 9.945, -999
20140826, 9.9, 9.98, 9.88, 9.98, 5524000, 9.94, 0, 1, 9.92, -999
20140825, 9.8, 9.93, 9.79, 9.91, 4025100, 9.87, 0, 1, 9.835, -999
20140822, 9.85, 9.89, 9.75, 9.76, 1407500, 9.72, 0, 1, 9.785, -999
20140821, 9.68, 9.89, 9.68, 9.89, 2126800, 9.85, 0, 1, 9.765, -999
20140820, 9.69, 9.73, 9.64, 9.7, 1403700, 9.66, 0, 1, 9.675, -999
20140819, 9.7, 9.76, 9.64, 9.7, 1169000, 9.66, 0, 1, 9.68, -999
20140818, 9.67, 9.71, 9.64, 9.69, 1562300, 9.65, 0, 1, 9.66, -999
20140815, 9.61, 9.67, 9.52, 9.61, 2319100, 9.57, 0, 1, 9.59, -999
20140814, 9.58, 9.63, 9.54, 9.59, 479100, 9.55, 0, 1, 9.565, -999
20140813, 9.53, 9.63, 9.5, 9.56, 1753400, 9.52, 0, 1, 9.525, -999
20140812, 9.57, 9.61, 9.46, 9.54, 1274900, 9.5, 0, 1, 9.535, -999
20140811, 9.66, 9.66, 9.57, 9.58, 779900, 9.54, 0, 1, 9.6, -999
20140808, 9.56, 9.64, 9.49, 9.64, 1692300, 9.6, 0, 1, 9.58, -999
20140807, 9.65, 9.65, 9.48, 9.51, 2679800, 9.47, 0, 1, 9.56, -999
20140806, 9.59, 9.68, 9.57, 9.65, 1548000, 9.61, 0.04, 1, 9.6, -999
20140805, 9.58, 9.7, 9.57, 9.63, 1519900, 9.55, 0, 1, 9.565, -999
20140804, 9.63, 9.65, 9.5, 9.61, 2007200, 9.53, 0, 1, 9.58, -999
20140801, 9.7, 9.78, 9.57, 9.63, 1886600, 9.55, 0, 1, 9.625, -999
20140731, 9.75, 9.8, 9.73, 9.75, 3427800, 9.67, 0, 1, 9.71, -999
20140730, 9.83, 9.87, 9.74, 9.82, 2242100, 9.74, 0, 1, 9.785, -999
20140729, 9.76, 9.86, 9.75, 9.78, 2839500, 9.7, 0, 1, 9.73, -999
20140728, 9.91, 9.92, 9.75, 9.77, 1217200, 9.69, 0, 1, 9.8, -999
20140725, 9.84, 9.98, 9.84, 9.95, 3165400, 9.87, 0, 1, 9.855, -999
20140724, 9.8, 9.9, 9.74, 9.86, 3920700, 9.78, 0, 1, 9.79, -999
20140723, 9.75, 9.81, 9.69, 9.76, 1872200, 9.68, 0, 1, 9.715, -999
20140722, 9.74, 9.87, 9.72, 9.76, 2938500, 9.68, 0, 1, 9.71, -999
20140721, 9.66, 9.75, 9.65, 9.73, 1759700, 9.65, 0, 1, 9.655, -999
20140718, 9.7, 9.76, 9.65, 9.71, 4407900, 9.63, 0, 1, 9.665, -999
20140717, 9.75, 9.9, 9.68, 9.7, 3265800, 9.62, 0, 1, 9.685, -999
20140716, 9.77, 9.82, 9.68, 9.77, 3468300, 9.69, 0, 1, 9.73, -999
20140715, 9.62, 9.77, 9.62, 9.77, 1834500, 9.69, 0, 1, 9.655, -999
20140714, 9.67, 9.71, 9.59, 9.65, 1207700, 9.57, 0, 1, 9.62, -999
20140711, 9.61, 9.66, 9.55, 9.62, 1837700, 9.54, 0, 1, 9.575, -999
20140710, 9.71, 9.71, 9.61, 9.66, 1328400, 9.58, 0, 1, 9.645, -999
20140709, 9.78, 9.84, 9.74, 9.79, 2026100, 9.71, 0, 1, 9.745, -999
