Ticker: HD  Created on: 12/6/2014 5:24:51 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 98.77, 99.68, 98.66, 99.64, 4646400, 99.64, 0, 1, 99.205, -999
20141204, 98.15, 99.11, 97.78, 98.95, 5220000, 98.95, 0, 1, 98.55, -999
20141203, 98.1, 98.74, 98.04, 98.59, 4357200, 98.59, 0, 1, 98.345, -999
20141202, 98.62, 99, 97.99, 98.16, 4677500, 98.16, 0, 1, 98.39, -999
20141201, 99.49, 99.61, 98.31, 98.88, 4393700, 98.41, 0, 1, 98.95, -999
20141128, 98.06, 99.8, 98, 99.4, 3305800, 98.93, 0, 1, 98.495, -999
20141126, 97.06, 97.71, 97.01, 97.7, 4337900, 97.24, 0, 1, 97.15, -999
20141125, 98.64, 98.87, 96.41, 97.01, 7991900, 96.55, 0, 1, 97.595, -999
20141124, 98.68, 98.9, 98.22, 98.4, 5043600, 97.93, 0, 1, 98.305, -999
20141121, 98.98, 99.1, 97.82, 98.28, 6804700, 97.81, 0, 1, 98.395, -999
20141120, 96.08, 97.97, 96.02, 97.57, 4958400, 97.11, 0, 1, 96.595, -999
20141119, 96.55, 97.31, 96, 96.7, 6830700, 96.24, 0, 1, 96.395, -999
20141118, 97.15, 97.71, 95.98, 95.98, 10384400, 95.52, 0, 1, 96.335, -999
20141117, 98.17, 98.95, 97.8, 98.03, 8574700, 97.56, 0, 1, 97.865, -999
20141114, 98.9, 99, 98.02, 98.24, 4082900, 97.77, 0, 1, 98.335, -999
20141113, 98.9, 99.36, 98.34, 99, 3182700, 98.53, 0, 1, 98.715, -999
20141112, 98.3, 98.7, 97.61, 98.49, 4629100, 98.02, 0, 1, 98.16, -999
20141111, 98.46, 98.75, 97.88, 98.14, 3818400, 97.67, 0, 1, 98.065, -999
20141110, 97.64, 98.17, 97, 98.16, 3662300, 97.69, 0, 1, 97.665, -999
20141107, 97.17, 97.75, 96.69, 97.65, 3429600, 97.19, 0, 1, 97.18, -999
20141106, 96.35, 97.51, 96.01, 97.29, 4016900, 96.83, 0, 1, 96.59, -999
20141105, 96.59, 96.85, 95.15, 95.78, 5002700, 95.32, 0, 1, 95.955, -999
20141104, 96.06, 96.18, 95.19, 95.96, 5349600, 95.5, 0, 1, 95.78, -999
20141103, 96.81, 96.83, 95.98, 96.09, 7614200, 95.63, 0, 1, 96.22, -999
20141031, 98.78, 99.26, 97.33, 97.52, 6335900, 97.06, 0, 1, 97.92, -999
20141030, 96.12, 97.8, 96.03, 97.52, 4106700, 97.06, 0, 1, 96.59, -999
20141029, 96.62, 97.25, 95.8, 96.42, 4275400, 95.96, 0, 1, 96.29, -999
20141028, 95.91, 96.6, 95.5, 96.59, 5260100, 96.13, 0, 1, 96.02, -999
20141027, 94.96, 95.68, 94.71, 95.47, 4465100, 95.02, 0, 1, 94.99, -999
20141024, 94.6, 95.19, 94.13, 94.99, 4825200, 94.54, 0, 1, 94.57, -999
20141023, 94.5, 95.52, 94.44, 94.8, 5923100, 94.35, 0, 1, 94.425, -999
20141022, 94.3, 94.99, 93.24, 93.34, 5908900, 92.9, 0, 1, 93.6, -999
20141021, 92.53, 94.37, 92.12, 94.2, 6604700, 93.75, 0, 1, 93.14, -999
20141020, 89.87, 92.07, 89.77, 91.85, 5609400, 91.41, 0, 1, 90.64, -999
20141017, 89.3, 91.12, 89.05, 90.24, 7007300, 89.81, 0, 1, 89.555, -999
20141016, 86.35, 89.72, 86.35, 88.88, 7147600, 88.46, 0, 1, 87.405, -999
20141015, 88.09, 89.17, 86.62, 87.85, 12987500, 87.43, 0, 1, 87.76, -999
20141014, 90.37, 90.53, 88.52, 90.1, 9711300, 89.67, 0, 1, 90.02, -999
20141013, 92.88, 92.94, 90.43, 90.6, 7372200, 90.17, 0, 1, 91.525, -999
20141010, 93.23, 93.86, 92.54, 92.55, 6349800, 92.11, 0, 1, 92.67, -999
20141009, 93.91, 94.79, 93.02, 93.07, 6674700, 92.63, 0, 1, 93.27, -999
20141008, 92.57, 94.16, 92.24, 94.09, 6618900, 93.64, 0, 1, 93.105, -999
20141007, 93.04, 93.56, 92.44, 92.47, 5030300, 92.03, 0, 1, 92.535, -999
20141006, 93.72, 94.25, 93.06, 93.26, 4951700, 92.82, 0, 1, 93.27, -999
20141003, 92.52, 93.68, 92.34, 93.54, 6200100, 93.1, 0, 1, 92.81, -999
20141002, 91.31, 92.46, 91.07, 92.24, 5991200, 91.8, 0, 1, 91.555, -999
20141001, 92.14, 92.34, 90.92, 91.02, 5970700, 90.59, 0, 1, 91.365, -999
20140930, 93.03, 93.21, 91.4, 91.74, 6773000, 91.3, 0, 1, 92.165, -999
20140929, 92.37, 93.17, 91.95, 92.88, 3894600, 92.44, 0, 1, 92.405, -999
20140926, 92.29, 93, 91.8, 92.84, 4571400, 92.4, 0, 1, 92.345, -999
20140925, 92.8, 93, 91.55, 91.9, 4972100, 91.46, 0, 1, 92.13, -999
20140924, 91.68, 93.11, 91.35, 93.02, 6381400, 92.58, 0, 1, 92.13, -999
20140923, 91.79, 92.22, 91.45, 91.49, 6330000, 91.06, 0, 1, 91.425, -999
20140922, 91.98, 92.42, 91.68, 91.89, 5208800, 91.45, 0, 1, 91.715, -999
20140919, 92.85, 93.75, 92.2, 92.34, 12498800, 91.9, 0, 1, 92.375, -999
20140918, 91.83, 92.44, 91.2, 92.09, 6025100, 91.65, 0, 1, 91.74, -999
20140917, 90.63, 91.54, 89.94, 91.22, 7068800, 90.79, 0, 1, 90.71, -999
20140916, 89.27, 90.74, 88.53, 90.27, 5045100, 89.84, 0, 1, 89.555, -999
20140915, 89.18, 89.54, 88.6, 89.38, 3935000, 88.96, 0, 1, 89.07, -999
20140912, 89.38, 89.5, 88.46, 88.84, 4593700, 88.42, 0, 1, 88.9, -999
20140911, 89.07, 89.42, 88.62, 89.22, 4537800, 88.8, 0, 1, 88.935, -999
20140910, 88.66, 89.4, 88.33, 89.25, 6245400, 88.83, 0, 1, 88.745, -999
20140909, 90.21, 90.33, 88.78, 88.93, 8103000, 88.51, 0, 1, 89.36, -999
20140908, 91.38, 91.78, 90.57, 90.82, 4885900, 90.39, 0, 1, 90.885, -999
20140905, 89.66, 91.64, 89.28, 91.61, 7746400, 91.17, 0, 1, 90.415, -999
20140904, 89, 90.75, 89, 89.93, 8452200, 89.5, 0, 1, 89.25, -999
20140903, 91.11, 91.31, 88.98, 89, 15410400, 88.58, 0, 1, 89.845, -999
20140902, 93.04, 93.31, 89.85, 91.15, 20753200, 90.72, 0.47, 1, 91.88, -999
20140829, 92.74, 93.52, 92.61, 93.5, 7672200, 92.59, 0, 1, 92.665, -999
20140828, 91.4, 92.73, 91.27, 92.51, 7575700, 91.61, 0, 1, 91.505, -999
20140827, 91.68, 91.96, 91.31, 91.87, 4320200, 90.97, 0, 1, 91.325, -999
20140826, 90.98, 91.83, 90.9, 91.63, 5396400, 90.74, 0, 1, 90.86, -999
20140825, 91.25, 91.82, 90.95, 91.2, 7328700, 90.31, 0, 1, 90.78, -999
20140822, 90.74, 91.33, 90.65, 91.03, 6939200, 90.14, 0, 1, 90.44, -999
20140821, 90.68, 91.81, 90.67, 91.15, 8315900, 90.26, 0, 1, 90.47, -999
20140820, 88.17, 91.07, 88.08, 90.75, 13394200, 89.86, 0, 1, 89.015, -999
20140819, 86.9, 88.99, 86.57, 88.23, 18244600, 87.37, 0, 1, 87.135, -999
20140818, 84.21, 84.62, 83.29, 83.59, 9475300, 82.77, 0, 1, 83.49, -999
20140815, 84.04, 84.09, 82.85, 83.69, 5383500, 82.87, 0, 1, 83.455, -999
20140814, 83.09, 83.97, 82.74, 83.86, 4923000, 83.04, 0, 1, 83.065, -999
20140813, 82.98, 83.39, 82.74, 83.12, 4498700, 82.31, 0, 1, 82.645, -999
20140812, 82.75, 83.09, 82.68, 82.92, 3657100, 82.11, 0, 1, 82.43, -999
20140811, 82.61, 83.07, 82.5, 82.88, 3952000, 82.07, 0, 1, 82.34, -999
20140808, 81.07, 82.46, 80.88, 82.43, 7226500, 81.63, 0, 1, 81.35, -999
20140807, 80.75, 81.07, 80.29, 80.47, 4045900, 79.68, 0, 1, 80.215, -999
20140806, 79.94, 81.02, 79.85, 80.52, 4228200, 79.73, 0, 1, 79.835, -999
20140805, 79.78, 80.86, 79.78, 80.03, 5895500, 79.25, 0, 1, 79.515, -999
20140804, 79.7, 80.25, 79.66, 80.03, 7025000, 79.25, 0, 1, 79.475, -999
20140801, 80.56, 81.08, 79.74, 79.75, 8708000, 78.97, 0, 1, 79.765, -999
20140731, 81.09, 81.58, 80.85, 80.85, 5748900, 80.06, 0, 1, 80.575, -999
20140730, 81.5, 81.85, 81.07, 81.76, 5807300, 80.96, 0, 1, 81.23, -999
20140729, 81.21, 81.81, 80.89, 80.98, 4536500, 80.19, 0, 1, 80.7, -999
20140728, 81.2, 81.34, 80.66, 81.07, 3441600, 80.28, 0, 1, 80.74, -999
20140725, 81.1, 81.3, 80.89, 81.03, 4680100, 80.24, 0, 1, 80.67, -999
20140724, 81.19, 81.54, 80.89, 81.2, 4359600, 80.41, 0, 1, 80.8, -999
