Ticker: HES  Created on: 12/6/2014 5:24:50 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 76, 76.76, 75.33, 75.72, 3919500, 75.72, 0, 1, 75.86, -999
20141204, 76.03, 76.37, 75.18, 76.29, 4136400, 76.29, 0, 1, 76.16, -999
20141203, 75.42, 77.46, 75.39, 76.81, 4168400, 76.81, 0, 1, 76.115, -999
20141202, 73.7, 75.64, 72.81, 75.13, 4545100, 75.13, 0, 1, 74.415, -999
20141201, 72.28, 74.09, 71.2, 73.97, 5436800, 73.97, 0, 1, 73.125, -999
20141128, 73.93, 75.19, 72.8, 72.93, 4428600, 72.93, 0, 1, 73.43, -999
20141126, 82.14, 82.19, 80.6, 80.83, 3241800, 80.83, 0, 1, 81.485, -999
20141125, 84.85, 85, 82.18, 82.31, 3899600, 82.31, 0, 1, 83.58, -999
20141124, 85.4, 85.75, 84.05, 84.67, 3124900, 84.67, 0, 1, 85.035, -999
20141121, 84.94, 86.1, 84.67, 85.21, 4440800, 85.21, 0, 1, 85.075, -999
20141120, 82.44, 83.63, 82.41, 83.59, 2764800, 83.59, 0, 1, 83.015, -999
20141119, 82.39, 83, 81.38, 82.37, 2750800, 82.37, 0, 1, 82.38, -999
20141118, 81.25, 82.55, 80.87, 81.9, 2993700, 81.9, 0, 1, 81.575, -999
20141117, 82.01, 82.19, 80.36, 81.24, 3928700, 81.24, 0, 1, 81.625, -999
20141114, 81.67, 83.14, 81.46, 83.03, 3928600, 83.03, 0, 1, 82.35, -999
20141113, 82.23, 82.76, 79.92, 81.1, 4298400, 81.1, 0, 1, 81.665, -999
20141112, 83.09, 84.03, 82.1, 82.46, 3587700, 82.46, 0, 1, 82.775, -999
20141111, 83.83, 84.5, 82.88, 83.81, 3345700, 83.81, 0, 1, 83.82, -999
20141110, 85.37, 86, 82.75, 83.81, 4636700, 83.81, 0, 1, 84.59, -999
20141107, 84.19, 85.99, 83.74, 84.86, 4306600, 84.86, 0, 1, 84.525, -999
20141106, 83.09, 84.04, 81.94, 83.71, 3712900, 83.71, 0, 1, 83.4, -999
20141105, 82.32, 83.78, 81.53, 83.17, 3482500, 83.17, 0, 1, 82.745, -999
20141104, 80, 81.73, 79.88, 81.44, 3529400, 81.44, 0, 1, 80.72, -999
20141103, 85.14, 86.25, 82.98, 83.26, 3570500, 83.26, 0, 1, 84.2, -999
20141031, 83.6, 85.06, 82.1, 84.81, 4429100, 84.81, 0, 1, 84.205, -999
