Ticker: HIG  Created on: 12/6/2014 5:24:48 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 41.6, 42.08, 41.42, 41.6, 2770000, 41.6, 0, 1, 41.6, -999
20141204, 41.43, 41.57, 41.17, 41.31, 3255100, 41.31, 0, 1, 41.37, -999
20141203, 41.28, 41.62, 41.16, 41.53, 2331200, 41.53, 0, 1, 41.405, -999
20141202, 41, 41.38, 40.95, 41.34, 2865600, 41.34, 0, 1, 41.17, -999
20141201, 41.15, 41.21, 40.72, 41.01, 3292400, 41.01, 0, 1, 41.08, -999
20141128, 41.19, 41.58, 41.12, 41.3, 1716500, 41.3, 0, 1, 41.245, -999
20141126, 41.2, 41.28, 40.97, 41.13, 2025700, 41.13, 0, 1, 41.165, -999
20141125, 41.53, 41.69, 41.2, 41.45, 2301100, 41.27, 0, 1, 41.4, -999
20141124, 41.5, 41.64, 41.36, 41.59, 2180600, 41.41, 0, 1, 41.455, -999
20141121, 41.37, 41.39, 41.13, 41.34, 4016800, 41.16, 0, 1, 41.265, -999
20141120, 40.53, 41.02, 40.31, 40.89, 2249800, 40.71, 0, 1, 40.62, -999
20141119, 40.47, 40.99, 40.28, 40.8, 3479000, 40.62, 0, 1, 40.545, -999
20141118, 40.12, 40.6, 40.08, 40.54, 2757000, 40.36, 0, 1, 40.24, -999
20141117, 39.82, 40.12, 39.75, 40.08, 2435400, 39.91, 0, 1, 39.865, -999
20141114, 39.9, 40.06, 39.79, 39.9, 1989500, 39.73, 0, 1, 39.815, -999
20141113, 40.04, 40.12, 39.65, 39.89, 3433600, 39.72, 0, 1, 39.88, -999
20141112, 39.94, 40.3, 39.85, 39.96, 2881600, 39.79, 0, 1, 39.865, -999
20141111, 40.13, 40.44, 40.06, 40.16, 1934800, 39.99, 0, 1, 40.06, -999
20141110, 40.3, 40.33, 39.86, 40.09, 3067500, 39.92, 0, 1, 40.11, -999
20141107, 39.75, 40.21, 39.56, 40.2, 3361800, 40.03, 0, 1, 39.89, -999
20141106, 39.86, 39.92, 39.46, 39.91, 3034400, 39.74, 0, 1, 39.8, -999
20141105, 39.99, 40, 39.66, 39.93, 2239100, 39.76, 0, 1, 39.875, -999
20141104, 39.62, 39.83, 39.21, 39.67, 3954300, 39.5, 0, 1, 39.56, -999
20141103, 39.79, 39.83, 39.41, 39.64, 2999800, 39.47, 0, 1, 39.63, -999
20141031, 39.6, 39.82, 39.38, 39.58, 4304000, 39.41, 0, 1, 39.505, -999
20141030, 38.86, 39.24, 38.67, 39.1, 4012700, 38.93, 0, 1, 38.895, -999
20141029, 38.89, 39.2, 38.5, 38.87, 4025700, 38.7, 0, 1, 38.795, -999
20141028, 38.16, 38.9, 38.16, 38.8, 4941900, 38.63, 0, 1, 38.395, -999
20141027, 37.4, 37.86, 37.31, 37.69, 4579100, 37.53, 0, 1, 37.465, -999
20141024, 37.16, 37.6, 37.05, 37.55, 2644500, 37.39, 0, 1, 37.275, -999
20141023, 37.33, 37.48, 37.05, 37.11, 3023100, 36.95, 0, 1, 37.14, -999
20141022, 37.07, 37.4, 36.88, 36.92, 2795500, 36.76, 0, 1, 36.915, -999
20141021, 36.65, 37.07, 36.59, 36.99, 3674300, 36.83, 0, 1, 36.74, -999
20141020, 36, 36.65, 35.87, 36.45, 5487000, 36.29, 0, 1, 36.145, -999
20141017, 35.94, 36.15, 35.7, 36.09, 4795300, 35.93, 0, 1, 35.935, -999
20141016, 34.8, 35.99, 34.73, 35.57, 5491300, 35.42, 0, 1, 35.11, -999
20141015, 35.25, 35.61, 34.73, 35.49, 6978100, 35.34, 0, 1, 35.295, -999
20141014, 35.6, 36.22, 35.35, 35.81, 6705200, 35.65, 0, 1, 35.625, -999
20141013, 36.1, 36.41, 35.44, 35.47, 5874400, 35.32, 0, 1, 35.71, -999
20141010, 36.45, 36.66, 35.96, 36.02, 4347200, 35.86, 0, 1, 36.155, -999
20141009, 36.81, 36.93, 36.31, 36.52, 4060700, 36.36, 0, 1, 36.585, -999
20141008, 36.46, 36.98, 36.34, 36.92, 3062900, 36.76, 0, 1, 36.61, -999
20141007, 36.87, 37.03, 36.34, 36.37, 3885800, 36.21, 0, 1, 36.54, -999
20141006, 37.45, 37.48, 36.91, 36.97, 3204600, 36.81, 0, 1, 37.13, -999
20141003, 37.04, 37.38, 37.02, 37.28, 3961600, 37.12, 0, 1, 37.08, -999
20141002, 36.49, 36.84, 36.23, 36.67, 4241200, 36.51, 0, 1, 36.5, -999
20141001, 37.21, 37.26, 36.29, 36.47, 7865600, 36.31, 0, 1, 36.76, -999
20140930, 37.52, 37.69, 37.16, 37.25, 4290900, 37.09, 0, 1, 37.305, -999
20140929, 37.38, 37.71, 37.09, 37.48, 4059700, 37.32, 0, 1, 37.35, -999
20140926, 37.19, 37.74, 37.06, 37.55, 3015100, 37.39, 0, 1, 37.29, -999
20140925, 37.38, 37.47, 37.03, 37.08, 3174200, 36.92, 0, 1, 37.15, -999
20140924, 37.14, 37.61, 37.08, 37.56, 2715500, 37.4, 0, 1, 37.27, -999
20140923, 37.23, 37.48, 36.96, 37.07, 2244700, 36.91, 0, 1, 37.07, -999
20140922, 37.65, 37.67, 37.28, 37.33, 2879100, 37.17, 0, 1, 37.41, -999
20140919, 38, 38.24, 37.59, 37.8, 4080100, 37.64, 0, 1, 37.82, -999
20140918, 37.68, 38.06, 37.68, 37.79, 3629300, 37.63, 0, 1, 37.655, -999
20140917, 37.36, 37.66, 37.08, 37.58, 5597700, 37.42, 0, 1, 37.39, -999
20140916, 36.99, 37.35, 36.97, 37.22, 2346600, 37.06, 0, 1, 37.025, -999
20140915, 37.13, 37.28, 36.93, 37.1, 2199800, 36.94, 0, 1, 37.035, -999
20140912, 37.07, 37.33, 36.99, 37.15, 2306700, 36.99, 0, 1, 37.03, -999
20140911, 36.9, 37.24, 36.85, 37.1, 2017100, 36.94, 0, 1, 36.92, -999
20140910, 37.02, 37.38, 36.9, 37.14, 3758500, 36.98, 0, 1, 37, -999
20140909, 36.75, 36.87, 36.55, 36.66, 2402400, 36.5, 0, 1, 36.625, -999
20140908, 36.76, 37.01, 36.61, 36.84, 3492500, 36.68, 0, 1, 36.72, -999
20140905, 36.7, 36.86, 36.54, 36.8, 2351500, 36.64, 0, 1, 36.67, -999
20140904, 37, 37.28, 36.76, 36.78, 2498600, 36.62, 0, 1, 36.81, -999
20140903, 37.3, 37.4, 36.79, 36.88, 2448300, 36.72, 0, 1, 37.01, -999
20140902, 37.16, 37.49, 36.99, 37.07, 2508100, 36.91, 0, 1, 37.035, -999
20140829, 36.85, 37.18, 36.85, 37.05, 2605100, 36.89, 0, 1, 36.87, -999
20140828, 36.85, 36.98, 36.67, 36.86, 3630000, 36.7, 0.18, 1, 36.775, -999
20140827, 37.1, 37.32, 37.02, 37.21, 2095900, 36.87, 0, 1, 36.985, -999
20140826, 36.7, 37.23, 36.65, 37.14, 4687700, 36.8, 0, 1, 36.75, -999
20140825, 36.52, 36.77, 36.41, 36.68, 2529300, 36.34, 0, 1, 36.43, -999
20140822, 36.2, 36.43, 36.17, 36.3, 3720900, 35.97, 0, 1, 36.085, -999
20140821, 35.9, 36.48, 35.86, 36.3, 3772600, 35.97, 0, 1, 35.935, -999
20140820, 35.63, 36.14, 35.63, 35.91, 3613700, 35.58, 0, 1, 35.605, -999
20140819, 35.68, 35.92, 35.57, 35.78, 2299600, 35.45, 0, 1, 35.565, -999
20140818, 35.28, 35.72, 35.27, 35.63, 2202100, 35.3, 0, 1, 35.29, -999
20140815, 35.37, 35.41, 34.82, 35.11, 2553200, 34.79, 0, 1, 35.08, -999
20140814, 34.88, 35.42, 34.88, 35.26, 2710500, 34.94, 0, 1, 34.91, -999
20140813, 34.75, 35.02, 34.72, 34.87, 2244700, 34.55, 0, 1, 34.65, -999
20140812, 34.39, 34.7, 34.34, 34.6, 2668700, 34.28, 0, 1, 34.335, -999
20140811, 34.18, 34.61, 34.01, 34.48, 3213500, 34.16, 0, 1, 34.17, -999
20140808, 33.87, 34.01, 33.7, 33.99, 5563300, 33.68, 0, 1, 33.775, -999
20140807, 34.55, 34.62, 33.77, 33.85, 4687900, 33.54, 0, 1, 34.045, -999
20140806, 33.76, 34.48, 33.72, 34.39, 4699600, 34.08, 0, 1, 33.92, -999
20140805, 33.64, 34.39, 33.64, 34.02, 3496600, 33.71, 0, 1, 33.675, -999
20140804, 34.06, 34.46, 33.98, 34.33, 3235500, 34.02, 0, 1, 34.04, -999
20140801, 34.07, 34.17, 33.75, 34.03, 4757300, 33.72, 0, 1, 33.895, -999
20140731, 34.25, 35.06, 34.04, 34.16, 7658800, 33.85, 0, 1, 34.05, -999
20140730, 35.35, 35.38, 34.48, 34.53, 5558700, 34.21, 0, 1, 34.78, -999
20140729, 35.35, 35.55, 35.07, 35.1, 3477600, 34.78, 0, 1, 35.065, -999
20140728, 35.23, 35.46, 35, 35.33, 3797100, 35.01, 0, 1, 35.12, -999
20140725, 35.68, 35.85, 35.21, 35.25, 3024400, 34.93, 0, 1, 35.305, -999
20140724, 36, 36, 35.73, 35.87, 1827100, 35.54, 0, 1, 35.77, -999
20140723, 35.85, 36.02, 35.71, 35.86, 1412200, 35.53, 0, 1, 35.69, -999
20140722, 36.21, 36.34, 35.71, 35.82, 2842000, 35.49, 0, 1, 35.85, -999
20140721, 35.93, 36.26, 35.8, 36.19, 1660100, 35.86, 0, 1, 35.895, -999
20140718, 35.83, 36.11, 35.67, 36.1, 2600800, 35.77, 0, 1, 35.8, -999
20140717, 36.24, 36.37, 35.69, 35.8, 3219100, 35.47, 0, 1, 35.855, -999
20140716, 36.61, 36.66, 36.28, 36.46, 1531400, 36.13, 0, 1, 36.37, -999
20140715, 36.48, 36.75, 36.19, 36.42, 2781100, 36.09, 0, 1, 36.285, -999
20140714, 36.65, 36.84, 36.34, 36.43, 1713800, 36.1, 0, 1, 36.375, -999
20140711, 35.5, 36.46, 35.5, 36.37, 1425900, 36.04, 0, 1, 35.77, -999
20140710, 36.04, 36.27, 35.76, 36.2, 1591800, 35.87, 0, 1, 35.955, -999
20140709, 36.59, 36.74, 36.37, 36.59, 1542300, 36.25, 0, 1, 36.42, -999
20140708, 36.63, 36.73, 36.5, 36.53, 2933000, 36.2, 0, 1, 36.415, -999
20140707, 36.45, 36.82, 36.37, 36.8, 3650100, 36.46, 0, 1, 36.455, -999
20140703, 36.31, 36.87, 36.28, 36.85, 3011700, 36.51, 0, 1, 36.41, -999
20140702, 36.35, 36.48, 35.93, 35.99, 2659400, 35.66, 0, 1, 36.005, -999
20140701, 35.97, 36.59, 35.9, 36.43, 3266700, 36.1, 0, 1, 36.035, -999
20140630, 35.68, 35.96, 35.55, 35.81, 1667100, 35.48, 0, 1, 35.58, -999
20140627, 35.74, 35.9, 35.5, 35.66, 2162000, 35.33, 0, 1, 35.535, -999
20140626, 35.88, 35.98, 35.39, 35.83, 1601700, 35.5, 0, 1, 35.69, -999
20140625, 35.63, 36.06, 35.58, 35.93, 1705600, 35.6, 0, 1, 35.615, -999
20140624, 35.88, 36.27, 35.75, 35.78, 1639700, 35.45, 0, 1, 35.665, -999
20140623, 35.95, 36.07, 35.71, 36.04, 1994900, 35.71, 0, 1, 35.83, -999
20140620, 36.15, 36.17, 35.94, 36.02, 2512500, 35.69, 0, 1, 35.92, -999
20140619, 36.06, 36.08, 35.77, 36.02, 1424200, 35.69, 0, 1, 35.875, -999
