Ticker: HON  Created on: 12/6/2014 5:24:52 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 99.62, 100.16, 99.38, 99.69, 1469300, 99.69, 0, 1, 99.655, -999
20141204, 99.85, 99.85, 98.76, 99.26, 1906800, 99.26, 0, 1, 99.555, -999
20141203, 98.14, 100.06, 98.14, 99.97, 2686100, 99.97, 0, 1, 99.055, -999
20141202, 97.47, 97.86, 97.23, 97.86, 1680000, 97.86, 0, 1, 97.665, -999
20141201, 98.6, 98.91, 97.32, 97.4, 3042500, 97.4, 0, 1, 98, -999
20141128, 99.25, 99.35, 98.94, 99.07, 1549100, 99.07, 0, 1, 99.16, -999
20141126, 99.14, 99.22, 98.87, 99.08, 2183000, 99.08, 0, 1, 99.11, -999
20141125, 98.26, 99.21, 98.15, 98.88, 2789000, 98.88, 0, 1, 98.57, -999
20141124, 98.54, 98.86, 97.96, 98.27, 1954900, 98.27, 0, 1, 98.405, -999
20141121, 97.74, 98.41, 97.61, 98.23, 3331300, 98.23, 0, 1, 97.985, -999
20141120, 96.14, 96.88, 95.85, 96.73, 1737500, 96.73, 0, 1, 96.435, -999
20141119, 96.57, 96.7, 96, 96.57, 1349800, 96.57, 0, 1, 96.57, -999
20141118, 96.25, 97.24, 96.09, 96.83, 2227800, 96.83, 0, 1, 96.54, -999
20141117, 96.18, 96.65, 96.18, 96.53, 1741500, 96.01, 0, 1, 96.095, -999
20141114, 97.14, 97.31, 96.58, 96.79, 1348100, 96.27, 0, 1, 96.705, -999
20141113, 97.04, 97.8, 96.74, 97.06, 2418400, 96.54, 0, 1, 96.79, -999
20141112, 96.36, 97.18, 96.33, 97.01, 1810800, 96.49, 0, 1, 96.425, -999
20141111, 97.2, 97.6, 96.74, 96.98, 1235000, 96.46, 0, 1, 96.83, -999
20141110, 96.87, 97.38, 96.39, 97.27, 1828100, 96.75, 0, 1, 96.81, -999
20141107, 96.7, 96.98, 96.13, 96.77, 2365000, 96.25, 0, 1, 96.475, -999
20141106, 96.89, 96.97, 96.13, 96.71, 3018200, 96.19, 0, 1, 96.54, -999
20141105, 96.32, 96.89, 95.7, 96.71, 2776900, 96.19, 0, 1, 96.255, -999
20141104, 95.7, 95.86, 94.88, 95.29, 2691300, 94.78, 0, 1, 95.24, -999
20141103, 96.25, 96.25, 95.43, 95.66, 3090900, 95.15, 0, 1, 95.7, -999
20141031, 96.93, 96.98, 95.88, 96.12, 3995800, 95.6, 0, 1, 96.265, -999
20141030, 94.4, 96.02, 94.15, 95.59, 2292400, 95.08, 0, 1, 94.74, -999
20141029, 95.24, 95.74, 94.37, 95.05, 2604600, 94.54, 0, 1, 94.89, -999
20141028, 94.4, 95.39, 94.15, 95.17, 3173500, 94.66, 0, 1, 94.53, -999
20141027, 94.19, 94.41, 93.25, 93.7, 4121600, 93.2, 0, 1, 93.695, -999
20141024, 93.54, 94.85, 93.21, 94.7, 2663700, 94.19, 0, 1, 93.865, -999
20141023, 92.8, 94.5, 92.6, 93.58, 4080300, 93.08, 0, 1, 92.94, -999
20141022, 93.56, 93.78, 91.13, 91.16, 5253800, 90.67, 0, 1, 92.115, -999
20141021, 90.6, 92.95, 90.6, 92.92, 4539700, 92.42, 0, 1, 91.51, -999
20141020, 89.35, 90.02, 88.97, 90, 4513400, 89.52, 0, 1, 89.435, -999
20141017, 89.23, 90.78, 88.89, 90.06, 7835900, 89.58, 0, 1, 89.405, -999
20141016, 83.73, 86.8, 83.48, 86.39, 6011000, 85.93, 0, 1, 84.83, -999
20141015, 85.17, 85.72, 82.89, 85.11, 7911300, 84.65, 0, 1, 84.91, -999
20141014, 86, 86.96, 85.71, 86.19, 5621800, 85.73, 0, 1, 85.865, -999
20141013, 88.02, 88.5, 85.56, 85.66, 4122000, 85.2, 0, 1, 86.61, -999
20141010, 89.55, 89.79, 87.89, 87.9, 4650200, 87.43, 0, 1, 88.49, -999
20141009, 91.38, 91.58, 89.5, 89.77, 2691300, 89.29, 0, 1, 90.335, -999
20141008, 89.88, 91.52, 89.28, 91.45, 3456000, 90.96, 0, 1, 90.42, -999
20141007, 91.17, 91.36, 89.74, 89.79, 2590400, 89.31, 0, 1, 90.24, -999
20141006, 92.08, 92.74, 91.66, 91.95, 2392800, 91.46, 0, 1, 91.77, -999
20141003, 91.9, 92.11, 91.15, 91.71, 2543200, 91.22, 0, 1, 91.56, -999
20141002, 91.59, 91.87, 90.3, 91.12, 2724600, 90.63, 0, 1, 91.11, -999
20141001, 92.75, 92.85, 91.3, 91.66, 4458400, 91.17, 0, 1, 91.96, -999
20140930, 93.43, 93.72, 92.67, 93.12, 2562700, 92.62, 0, 1, 93.025, -999
20140929, 92.43, 93.83, 92.36, 93.53, 3054900, 93.03, 0, 1, 92.73, -999
20140926, 92.43, 93.35, 92.25, 93.3, 2392700, 92.8, 0, 1, 92.615, -999
20140925, 93.53, 93.64, 92.33, 92.4, 2264200, 91.9, 0, 1, 92.715, -999
20140924, 93.31, 94.02, 93.24, 93.83, 2349100, 93.33, 0, 1, 93.32, -999
20140923, 94.35, 94.43, 93.32, 93.39, 3339500, 92.89, 0, 1, 93.62, -999
20140922, 95.82, 96.33, 94.56, 94.7, 2231000, 94.19, 0, 1, 95.005, -999
20140919, 96.72, 96.93, 96.24, 96.5, 5388900, 95.98, 0, 1, 96.35, -999
20140918, 96, 96.5, 95.67, 96.39, 2636200, 95.87, 0, 1, 95.935, -999
20140917, 95.16, 95.98, 94.9, 95.54, 3133700, 95.03, 0, 1, 95.095, -999
20140916, 94.47, 95.02, 93.89, 94.86, 2237700, 94.35, 0, 1, 94.41, -999
20140915, 94.31, 94.83, 93.77, 94.65, 2711600, 94.14, 0, 1, 94.225, -999
20140912, 94.76, 94.98, 94.27, 94.5, 3024500, 93.99, 0, 1, 94.375, -999
20140911, 94.13, 94.79, 93.94, 94.74, 1529900, 94.23, 0, 1, 94.18, -999
20140910, 94.33, 94.61, 93.8, 94.36, 2497100, 93.85, 0, 1, 94.09, -999
20140909, 95.04, 95.28, 94.33, 94.46, 2240500, 93.95, 0, 1, 94.495, -999
20140908, 95.54, 95.63, 94.98, 95.24, 2022000, 94.73, 0, 1, 95.135, -999
20140905, 94.99, 95.81, 94.5, 95.61, 1923400, 95.1, 0, 1, 95.045, -999
20140904, 95.48, 96.02, 94.82, 94.99, 2521500, 94.48, 0, 1, 94.98, -999
20140903, 95.86, 95.95, 95.26, 95.46, 1342000, 94.95, 0, 1, 95.405, -999
20140902, 95.18, 95.79, 95.06, 95.5, 1672800, 94.99, 0, 1, 95.085, -999
20140829, 95.35, 95.57, 94.83, 95.23, 1170600, 94.72, 0, 1, 95.035, -999
20140828, 95.14, 95.4, 94.7, 95.3, 945800, 94.79, 0, 1, 94.965, -999
20140827, 95.75, 95.89, 95.28, 95.57, 1303900, 95.06, 0, 1, 95.405, -999
20140826, 95.89, 96.04, 95.46, 95.51, 1522500, 95, 0, 1, 95.445, -999
20140825, 96.04, 96.17, 95.71, 95.81, 1185700, 95.3, 0, 1, 95.67, -999
20140822, 95.74, 95.89, 95.25, 95.56, 1449500, 95.05, 0, 1, 95.395, -999
