Ticker: HOT  Created on: 12/6/2014 5:26:08 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 80.15, 82.16, 79.88, 81.56, 3404400, 81.56, 0, 1, 80.855, -999
20141204, 78.84, 80.01, 78.26, 79.82, 3356300, 79.82, 0, 1, 79.33, -999
20141203, 78.05, 80.2, 77.48, 79.74, 2715100, 78.74, 0, 1, 78.395, -999
20141202, 77.94, 78.2, 77.3, 77.74, 2146800, 76.77, 0, 1, 77.355, -999
20141201, 78.65, 78.93, 77.4, 77.4, 1641700, 76.43, 0, 1, 77.54, -999
20141128, 78.34, 79.6, 78.21, 79, 918200, 78.01, 0, 1, 78.175, -999
20141126, 77.77, 78.4, 77.21, 77.86, 1478900, 76.88, 0, 1, 77.325, -999
20141125, 78.39, 78.55, 77.18, 77.58, 2857700, 76.61, 0, 1, 77.5, -999
20141124, 77.37, 78.51, 77.12, 78.32, 2423800, 77.34, 0, 1, 77.355, -999
20141121, 76.09, 77.19, 75.92, 76.94, 3501200, 75.98, 0, 1, 76.035, -999
20141120, 76.32, 76.39, 74.43, 74.79, 3801000, 73.85, 0, 1, 75.085, -999
20141119, 77.43, 77.65, 76.41, 76.43, 2228000, 75.47, 0, 1, 76.45, -999
20141118, 76.91, 78.26, 76.71, 77.68, 1255900, 76.71, 0, 1, 76.81, -999
20141117, 77.02, 77.55, 76.52, 76.85, 2905100, 75.89, 0, 1, 76.455, -999
20141114, 78.68, 78.76, 78.18, 78.5, 1195000, 77.52, 0, 1, 78.1, -999
20141113, 78.22, 78.89, 78, 78.66, 1847300, 77.67, 0, 1, 77.945, -999
20141112, 77.22, 78.26, 77.1, 77.91, 1227500, 76.93, 0, 1, 77.075, -999
20141111, 76.96, 78.12, 76.73, 77.85, 1549600, 76.87, 0, 1, 76.915, -999
20141110, 76.22, 76.97, 75.95, 76.79, 1408400, 75.83, 0, 1, 76.025, -999
20141107, 77.16, 77.16, 75.89, 76.43, 2862000, 75.47, 0, 1, 76.315, -999
20141106, 75.85, 77.16, 75.42, 77.03, 1781400, 76.06, 0, 1, 75.955, -999
20141105, 75.91, 76.35, 75.09, 75.64, 1686600, 74.69, 0, 1, 75.3, -999
20141104, 76.14, 76.23, 74.3, 75.44, 3597400, 74.49, 0, 1, 75.315, -999
20141103, 76.64, 76.91, 75.9, 76.48, 2243800, 75.52, 0, 1, 76.08, -999
20141031, 78.69, 78.87, 76.39, 76.66, 2536300, 75.7, 0, 1, 77.195, -999
20141030, 76.25, 77.58, 76.15, 77.17, 2435100, 76.2, 0, 1, 76.225, -999
20141029, 76.88, 77.69, 75.26, 76.52, 4707800, 75.56, 0, 1, 76.22, -999
20141028, 77.22, 78.8, 75.62, 76.44, 7197200, 75.48, 0, 1, 76.35, -999
20141027, 79.99, 81.36, 79.23, 81.04, 3203500, 80.02, 0, 1, 80.005, -999
20141024, 78.53, 80.22, 78.08, 80.02, 1703600, 79.02, 0, 1, 78.775, -999
20141023, 79.02, 80.02, 78.44, 78.9, 2110300, 77.91, 0, 1, 78.465, -999
20141022, 79.16, 79.79, 78.14, 78.18, 1739300, 77.2, 0, 1, 78.18, -999
20141021, 77.66, 79.4, 77.39, 79.28, 2357800, 78.29, 0, 1, 77.975, -999
20141020, 75.54, 77.6, 75.4, 77.01, 2042600, 76.04, 0, 1, 75.79, -999
20141017, 74.44, 76.67, 74.25, 75.5, 3126000, 74.55, 0, 1, 74.495, -999
