Ticker: HPQ  Created on: 12/6/2014 5:24:51 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 39.11, 39.65, 39.02, 39.55, 8933200, 39.55, 0, 1, 39.33, -999
20141204, 39.05, 39.25, 38.68, 39.07, 7467200, 39.07, 0, 1, 39.06, -999
20141203, 38.78, 39.34, 38.77, 39.05, 10058900, 39.05, 0, 1, 38.915, -999
20141202, 38.35, 39.33, 38.09, 38.95, 9658100, 38.95, 0, 1, 38.65, -999
20141201, 38.5, 39.17, 38.44, 38.56, 14065200, 38.56, 0, 1, 38.53, -999
20141128, 38.75, 39.58, 38.65, 39.06, 7701500, 39.06, 0, 1, 38.905, -999
20141126, 37.38, 39.28, 37.25, 39.16, 25825900, 39.16, 0, 1, 38.27, -999
20141125, 37.5, 38.25, 37.5, 37.63, 19018300, 37.63, 0, 1, 37.565, -999
20141124, 37.54, 37.8, 37.33, 37.5, 10871300, 37.5, 0, 1, 37.52, -999
20141121, 37.27, 37.45, 36.91, 37.26, 13061000, 37.26, 0, 1, 37.265, -999
20141120, 37.02, 37.25, 36.83, 36.93, 7351100, 36.93, 0, 1, 36.975, -999
20141119, 37.51, 37.52, 37.09, 37.18, 5519600, 37.18, 0, 1, 37.345, -999
20141118, 37.63, 37.8, 37.46, 37.5, 5985300, 37.5, 0, 1, 37.565, -999
20141117, 36.72, 37.5, 36.72, 37.41, 8397500, 37.41, 0, 1, 37.065, -999
20141114, 36.44, 37.06, 36.43, 36.92, 6335800, 36.92, 0, 1, 36.68, -999
20141113, 36.6, 36.77, 36.22, 36.36, 7679000, 36.36, 0, 1, 36.48, -999
20141112, 36.66, 36.87, 36.48, 36.51, 6297900, 36.51, 0, 1, 36.585, -999
20141111, 36.9, 37.05, 36.54, 36.76, 7138800, 36.76, 0, 1, 36.83, -999
20141110, 36.52, 37.05, 36.5, 36.9, 9576100, 36.9, 0, 1, 36.71, -999
20141107, 36.26, 36.42, 36.02, 36.38, 8997200, 36.38, 0, 1, 36.32, -999
20141106, 36.03, 36.42, 35.99, 36.15, 6993100, 36.15, 0, 1, 36.09, -999
20141105, 36.17, 36.33, 35.86, 36.18, 7441300, 36.18, 0, 1, 36.175, -999
20141104, 35.99, 36.4, 35.78, 35.9, 10210900, 35.9, 0, 1, 35.945, -999
20141103, 36.03, 36.15, 35.77, 35.86, 12497000, 35.86, 0, 1, 35.945, -999
20141031, 35.75, 35.95, 35.48, 35.88, 20048000, 35.88, 0, 1, 35.815, -999
20141030, 35.56, 35.77, 35.21, 35.32, 14134400, 35.32, 0, 1, 35.44, -999
20141029, 35.53, 36, 35.04, 35.38, 13955900, 35.38, 0, 1, 35.455, -999
20141028, 35.42, 35.77, 35.38, 35.54, 12514800, 35.54, 0, 1, 35.48, -999
20141027, 34.95, 35.41, 34.8, 35.3, 10092300, 35.3, 0, 1, 35.125, -999
20141024, 35, 35.42, 34.74, 34.93, 12670400, 34.93, 0, 1, 34.965, -999
20141023, 34.73, 35.21, 34.71, 34.94, 10046800, 34.94, 0, 1, 34.835, -999
20141022, 34.73, 34.9, 34.45, 34.49, 13381400, 34.49, 0, 1, 34.61, -999
20141021, 34.27, 34.82, 34.18, 34.74, 12050200, 34.74, 0, 1, 34.505, -999
20141020, 33.02, 33.96, 32.98, 33.82, 14209500, 33.82, 0, 1, 33.42, -999
20141017, 34.26, 34.48, 33.79, 34.16, 15444300, 34.16, 0, 1, 34.21, -999
20141016, 31.75, 34.17, 31.71, 34, 23421200, 34, 0, 1, 32.875, -999
20141015, 32.6, 33.12, 31.62, 32.8, 19921000, 32.8, 0, 1, 32.7, -999
20141014, 32.69, 32.98, 32.15, 32.24, 13079200, 32.24, 0, 1, 32.465, -999
20141013, 33.22, 33.38, 32.23, 32.69, 20026900, 32.69, 0, 1, 32.955, -999
20141010, 34.2, 34.51, 33.48, 33.5, 14382200, 33.5, 0, 1, 33.85, -999
20141009, 35.79, 35.86, 34.27, 34.32, 13984900, 34.32, 0, 1, 35.055, -999
20141008, 34.89, 36.03, 34.7, 35.92, 17112700, 35.92, 0, 1, 35.405, -999
20141007, 36.51, 36.86, 35.14, 35.22, 22754600, 35.22, 0, 1, 35.865, -999
