Ticker: HP  Created on: 12/6/2014 5:24:49 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 68.47, 68.99, 66.21, 67.44, 2066600, 67.44, 0, 1, 67.955, -999
20141204, 69, 70.11, 68.3, 68.91, 1704700, 68.91, 0, 1, 68.955, -999
20141203, 69.22, 70.69, 68.83, 69.99, 1845100, 69.99, 0, 1, 69.605, -999
20141202, 68.02, 71.44, 68.02, 68.83, 2571500, 68.83, 0, 1, 68.425, -999
20141201, 68.88, 69.77, 66.99, 69.07, 3036800, 69.07, 0, 1, 68.975, -999
20141128, 73.84, 73.99, 68.79, 69.55, 2847400, 69.55, 0, 1, 71.695, -999
20141126, 79.66, 80.41, 77.3, 77.73, 2008500, 77.73, 0, 1, 78.695, -999
20141125, 80.84, 81.41, 79.01, 79.49, 1626300, 79.49, 0, 1, 80.165, -999
20141124, 81.35, 82.34, 80.03, 80.55, 1895000, 80.55, 0, 1, 80.95, -999
20141121, 81.95, 84.12, 80.8, 81.81, 1918600, 81.81, 0, 1, 81.88, -999
20141120, 77.97, 80.59, 77.81, 80.36, 1540200, 80.36, 0, 1, 79.165, -999
20141119, 78.24, 78.5, 77.04, 77.97, 1470900, 77.97, 0, 1, 78.105, -999
20141118, 76.26, 78.99, 76.26, 77.9, 2326700, 77.9, 0, 1, 77.08, -999
20141117, 78.71, 79.16, 76.67, 78.25, 3433100, 78.25, 0, 1, 78.48, -999
20141114, 79.79, 81.11, 77.77, 79.01, 2787700, 79.01, 0, 1, 79.4, -999
20141113, 82.08, 84.47, 77.33, 79.79, 4410300, 79.79, 0, 1, 80.935, -999
20141112, 84.4, 87.42, 84.21, 85.56, 1887900, 85.56, 0, 1, 84.98, -999
20141111, 86.3, 86.87, 84.62, 86.01, 1531300, 85.32, 0, 1, 85.81, -999
20141110, 87.86, 89.35, 85.74, 86.4, 1560700, 85.71, 0, 1, 86.785, -999
20141107, 85.44, 87.84, 85.44, 86.7, 1377100, 86.01, 0, 1, 85.725, -999
20141106, 83.32, 85.75, 82.49, 85.72, 1371400, 85.03, 0, 1, 84.175, -999
20141105, 82.25, 85.7, 81, 84.26, 1695200, 83.59, 0, 1, 82.92, -999
