Ticker: HRB  Created on: 12/6/2014 5:23:50 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 34.14, 34.56, 34.14, 34.39, 3285700, 34.39, 0, 1, 34.265, -999
20141204, 34.2, 34.46, 33.9, 34.14, 2732300, 34.14, 0, 1, 34.17, -999
20141203, 34.4, 35.09, 34, 34.47, 4289400, 34.27, 0, 1, 34.335, -999
20141202, 33.71, 34.3, 33.6, 34.3, 1969100, 34.1, 0, 1, 33.905, -999
20141201, 33.62, 33.71, 33.4, 33.48, 1400500, 33.29, 0, 1, 33.455, -999
20141128, 33.51, 33.68, 33.39, 33.64, 705000, 33.44, 0, 1, 33.475, -999
20141126, 33.43, 33.43, 33.24, 33.42, 1075900, 33.23, 0, 1, 33.33, -999
20141125, 33.54, 33.64, 33.41, 33.45, 2170100, 33.26, 0, 1, 33.4, -999
20141124, 33.4, 33.55, 33.18, 33.37, 2785900, 33.18, 0, 1, 33.29, -999
20141121, 33.24, 33.41, 33.13, 33.24, 1767500, 33.05, 0, 1, 33.145, -999
20141120, 32.35, 33.06, 32.34, 32.93, 1267300, 32.74, 0, 1, 32.545, -999
20141119, 32.56, 32.64, 32.24, 32.56, 1309900, 32.37, 0, 1, 32.465, -999
20141118, 32.41, 32.58, 32.37, 32.5, 1132500, 32.31, 0, 1, 32.36, -999
20141117, 32.4, 32.56, 32.25, 32.41, 1110000, 32.22, 0, 1, 32.31, -999
20141114, 32.23, 32.62, 32.16, 32.54, 1294500, 32.35, 0, 1, 32.29, -999
20141113, 32.75, 32.89, 32.06, 32.25, 2233400, 32.06, 0, 1, 32.405, -999
20141112, 32.9, 33.09, 32.69, 32.94, 999700, 32.75, 0, 1, 32.825, -999
20141111, 32.95, 33.08, 32.78, 32.93, 858400, 32.74, 0, 1, 32.845, -999
20141110, 32.68, 32.98, 32.59, 32.9, 1476100, 32.71, 0, 1, 32.695, -999
20141107, 32.34, 32.72, 32.25, 32.69, 1254300, 32.5, 0, 1, 32.42, -999
20141106, 32.32, 32.49, 32.23, 32.41, 766200, 32.22, 0, 1, 32.27, -999
20141105, 32.27, 32.3, 31.88, 32.25, 1080100, 32.06, 0, 1, 32.165, -999
20141104, 32.07, 32.11, 31.77, 32, 823300, 31.81, 0, 1, 31.94, -999
20141103, 32.41, 32.49, 32.17, 32.22, 1010000, 32.03, 0, 1, 32.22, -999
20141031, 31.98, 32.34, 31.95, 32.31, 1805300, 32.12, 0, 1, 32.05, -999
