Ticker: HRL  Created on: 12/6/2014 5:24:52 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 52.5, 52.87, 52.5, 52.77, 670500, 52.77, 0, 1, 52.635, -999
20141204, 52.74, 52.81, 52.35, 52.5, 633900, 52.5, 0, 1, 52.62, -999
20141203, 52.57, 52.83, 52.24, 52.74, 1052900, 52.74, 0, 1, 52.655, -999
20141202, 52.71, 52.97, 52.26, 52.76, 1578900, 52.76, 0, 1, 52.735, -999
20141201, 53.04, 53.54, 52.83, 52.84, 818800, 52.84, 0, 1, 52.94, -999
20141128, 52.83, 53.78, 52.76, 53.08, 723800, 53.08, 0, 1, 52.955, -999
20141126, 51.32, 52.83, 51.32, 52.72, 1655200, 52.72, 0, 1, 52.02, -999
20141125, 53.16, 53.54, 51.3, 51.32, 4044500, 51.32, 0, 1, 52.24, -999
20141124, 54.49, 54.53, 53.92, 54.13, 1572400, 54.13, 0, 1, 54.31, -999
20141121, 55.27, 55.4, 54.01, 54.33, 1190200, 54.33, 0, 1, 54.8, -999
20141120, 55.11, 55.14, 54.64, 54.83, 535800, 54.83, 0, 1, 54.97, -999
20141119, 55.18, 55.38, 54.81, 55.29, 630500, 55.29, 0, 1, 55.235, -999
20141118, 55.11, 55.19, 54.67, 55.11, 865600, 55.11, 0, 1, 55.11, -999
20141117, 54.58, 55.15, 54.25, 55.11, 1003200, 55.11, 0, 1, 54.845, -999
20141114, 55.29, 55.4, 54.34, 54.5, 768900, 54.5, 0, 1, 54.895, -999
20141113, 54.79, 55.33, 54.73, 55.17, 526100, 55.17, 0, 1, 54.98, -999
20141112, 54.48, 54.72, 54.07, 54.65, 548800, 54.65, 0, 1, 54.565, -999
20141111, 54.51, 55.18, 54.51, 54.75, 403900, 54.75, 0, 1, 54.63, -999
20141110, 54.44, 54.75, 54.2, 54.46, 500500, 54.46, 0, 1, 54.45, -999
20141107, 54.38, 54.5, 54.04, 54.42, 642400, 54.42, 0, 1, 54.4, -999
20141106, 53.94, 54.54, 53.9, 54.54, 582300, 54.54, 0, 1, 54.24, -999
20141105, 54.79, 55.01, 54.32, 54.53, 508800, 54.53, 0, 1, 54.66, -999
20141104, 54.09, 54.54, 53.96, 54.31, 410200, 54.31, 0, 1, 54.2, -999
20141103, 53.87, 54.39, 53.79, 54.1, 653600, 54.1, 0, 1, 53.985, -999
20141031, 53.85, 53.95, 53.42, 53.91, 826100, 53.91, 0, 1, 53.88, -999
20141030, 52.99, 53.66, 51.65, 53.39, 488100, 53.39, 0, 1, 53.19, -999
20141029, 52.9, 53.13, 52.41, 53.07, 876100, 53.07, 0, 1, 52.985, -999
20141028, 52.85, 53.01, 52.62, 53, 373500, 53, 0, 1, 52.925, -999
20141027, 52.46, 52.86, 52.37, 52.53, 477400, 52.53, 0, 1, 52.495, -999
