Ticker: HRS  Created on: 12/6/2014 5:24:47 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 70.93, 71.42, 70.78, 71.3, 802100, 71.3, 0, 1, 71.115, -999
20141204, 70.59, 70.95, 70.08, 70.73, 1488300, 70.73, 0, 1, 70.66, -999
20141203, 70.43, 71.09, 68.44, 70.36, 3529000, 70.36, 0, 1, 70.395, -999
20141202, 71.49, 71.61, 70.21, 70.57, 790100, 70.57, 0, 1, 71.03, -999
20141201, 71.6, 72.11, 71, 71.72, 492700, 71.72, 0, 1, 71.66, -999
20141128, 71.82, 72, 71.47, 71.67, 306400, 71.67, 0, 1, 71.745, -999
20141126, 71.73, 71.97, 71.43, 71.57, 368900, 71.57, 0, 1, 71.65, -999
20141125, 70.98, 72.13, 70.94, 71.85, 583700, 71.85, 0, 1, 71.415, -999
20141124, 71.79, 72, 70.45, 71.05, 887100, 71.05, 0, 1, 71.42, -999
20141121, 71.97, 72.06, 71.71, 71.95, 550000, 71.95, 0, 1, 71.96, -999
20141120, 70.65, 71.78, 70.58, 71.49, 484000, 71.49, 0, 1, 71.07, -999
20141119, 70.82, 71.01, 70.24, 70.88, 393600, 70.88, 0, 1, 70.85, -999
20141118, 69.91, 71.34, 69.89, 70.82, 660600, 70.82, 0, 1, 70.365, -999
20141117, 70.27, 70.51, 69.76, 70.38, 512000, 69.91, 0, 1, 70.09, -999
20141114, 70.61, 70.73, 70.22, 70.62, 356300, 70.15, 0, 1, 70.38, -999
20141113, 71.29, 71.53, 70.32, 70.51, 442400, 70.04, 0, 1, 70.665, -999
20141112, 70.93, 71.37, 70.69, 71.04, 448600, 70.57, 0, 1, 70.75, -999
20141111, 71.05, 71.92, 71.05, 71.33, 488000, 70.85, 0, 1, 70.95, -999
20141110, 70.6, 71.43, 70.32, 71.16, 551500, 70.68, 0, 1, 70.64, -999
20141107, 70.51, 71.08, 70.32, 70.8, 505000, 70.33, 0, 1, 70.42, -999
20141106, 70.9, 71.04, 70.52, 70.66, 528200, 70.19, 0, 1, 70.545, -999
20141105, 70.76, 70.9, 70.15, 70.72, 466900, 70.25, 0, 1, 70.505, -999
20141104, 70.03, 70.77, 69.93, 70.47, 547000, 70, 0, 1, 70.015, -999
20141103, 69.7, 70.15, 69.55, 70.11, 550700, 69.64, 0, 1, 69.67, -999
20141031, 69.9, 70.05, 69.4, 69.6, 660800, 69.14, 0, 1, 69.52, -999
20141030, 68.07, 69.25, 67.65, 68.98, 645100, 68.52, 0, 1, 68.295, -999
20141029, 68.58, 68.95, 67.86, 68.56, 698900, 68.1, 0, 1, 68.34, -999
20141028, 68.4, 68.99, 67.64, 68.35, 762400, 67.89, 0, 1, 68.145, -999
20141027, 67.42, 68.05, 66.52, 67.99, 807700, 67.54, 0, 1, 67.48, -999
20141024, 66.68, 67.37, 66.28, 67.33, 318900, 66.88, 0, 1, 66.78, -999
20141023, 66.88, 67.22, 66.39, 66.77, 320700, 66.32, 0, 1, 66.6, -999
20141022, 66.81, 67.25, 65.99, 66.01, 760600, 65.57, 0, 1, 66.19, -999
20141021, 65.27, 66.68, 65.27, 66.61, 503300, 66.17, 0, 1, 65.72, -999
20141020, 64.1, 64.94, 63.98, 64.74, 624200, 64.31, 0, 1, 64.205, -999
20141017, 63.62, 64.52, 63.38, 64.23, 698500, 63.8, 0, 1, 63.71, -999
20141016, 61.7, 63.36, 61.7, 62.99, 551800, 62.57, 0, 1, 62.135, -999
20141015, 61.05, 62.95, 60.78, 62.78, 858200, 62.36, 0, 1, 61.705, -999
20141014, 61.73, 62.57, 61.53, 61.82, 476800, 61.41, 0, 1, 61.57, -999
20141013, 62.03, 62.83, 61.5, 61.52, 588000, 61.11, 0, 1, 61.57, -999
20141010, 63.31, 63.42, 61.87, 61.9, 787800, 61.49, 0, 1, 62.4, -999
20141009, 65.23, 65.49, 63.58, 63.61, 423900, 63.19, 0, 1, 64.21, -999
20141008, 64.6, 65.52, 63.47, 65.44, 636100, 65, 0, 1, 64.8, -999
20141007, 65.56, 66.15, 64.6, 64.7, 942800, 64.27, 0, 1, 64.915, -999
20141006, 65.99, 66.21, 65.51, 65.81, 603900, 65.37, 0, 1, 65.68, -999
20141003, 66.28, 66.43, 65.41, 65.56, 692000, 65.12, 0, 1, 65.7, -999
20141002, 66.52, 66.89, 64.93, 66.06, 561100, 65.62, 0, 1, 66.07, -999
20141001, 66.34, 66.71, 66.04, 66.4, 834300, 65.96, 0, 1, 66.15, -999
20140930, 67.33, 67.36, 66.4, 66.4, 548400, 65.96, 0, 1, 66.645, -999
20140929, 67.06, 67.45, 66.92, 67.16, 450900, 66.71, 0, 1, 66.885, -999
20140926, 67.38, 67.76, 67.09, 67.72, 373000, 67.27, 0, 1, 67.325, -999
20140925, 68.02, 68.11, 67.27, 67.28, 428600, 66.83, 0, 1, 67.425, -999
20140924, 67.9, 68.38, 67.73, 68.24, 314700, 67.78, 0, 1, 67.84, -999
20140923, 68.03, 68.5, 67.79, 67.88, 459800, 67.43, 0, 1, 67.73, -999
20140922, 69.66, 69.66, 68.25, 68.3, 534200, 67.84, 0, 1, 68.75, -999
20140919, 70.75, 70.84, 69.54, 69.87, 927500, 69.4, 0, 1, 70.075, -999
20140918, 69.84, 70.5, 69.84, 70.25, 246700, 69.78, 0, 1, 69.81, -999
20140917, 69.65, 70.05, 69.47, 69.74, 351400, 69.27, 0, 1, 69.46, -999
20140916, 69.39, 69.81, 69.14, 69.68, 304300, 69.21, 0, 1, 69.3, -999
20140915, 69.93, 70.03, 68.88, 68.95, 441300, 68.49, 0, 1, 69.21, -999
20140912, 70.4, 70.45, 69.31, 69.77, 620700, 69.3, 0, 1, 69.85, -999
20140911, 69.67, 70.61, 69.34, 70.44, 394400, 69.97, 0, 1, 69.82, -999
20140910, 69.86, 70.38, 69.65, 69.84, 540200, 69.37, 0, 1, 69.615, -999
20140909, 70.56, 70.74, 69.62, 69.74, 405900, 69.27, 0, 1, 69.915, -999
20140908, 70.66, 71.09, 70.14, 70.55, 331100, 70.08, 0, 1, 70.37, -999
20140905, 69.7, 70.73, 69.47, 70.69, 505400, 70.22, 0.47, 1, 69.96, -999
20140904, 71.17, 71.58, 70.15, 70.22, 674500, 69.28, 0, 1, 70.225, -999
20140903, 71, 71.31, 70.79, 71.03, 685000, 70.08, 0, 1, 70.54, -999
20140902, 71.26, 71.4, 70.63, 71, 440100, 70.05, 0, 1, 70.655, -999
20140829, 70.97, 71.48, 70.8, 71.39, 377300, 70.44, 0, 1, 70.705, -999
20140828, 70.63, 71.11, 70.35, 70.92, 432900, 69.97, 0, 1, 70.3, -999
20140827, 71.13, 71.9, 70.64, 70.73, 456400, 69.79, 0, 1, 70.46, -999
20140826, 70.83, 71.37, 70.76, 71.13, 358700, 70.18, 0, 1, 70.505, -999
20140825, 71.17, 71.68, 70.81, 70.83, 311000, 69.89, 0, 1, 70.53, -999
20140822, 70.99, 71.37, 70.67, 71.02, 426300, 70.07, 0, 1, 70.53, -999
20140821, 70.3, 71.1, 70.11, 71.05, 344900, 70.1, 0, 1, 70.2, -999
20140820, 69.84, 70.6, 69.72, 70.45, 483100, 69.51, 0, 1, 69.675, -999
20140819, 70.01, 70.28, 69.66, 70.12, 435600, 69.19, 0, 1, 69.6, -999
20140818, 69.46, 69.66, 69.06, 69.63, 371500, 68.7, 0, 1, 69.08, -999
20140815, 69.08, 69.23, 68.24, 69.02, 522100, 68.1, 0, 1, 68.59, -999
20140814, 69.37, 69.47, 68.77, 68.99, 685300, 68.07, 0, 1, 68.72, -999
20140813, 69, 69.56, 68.76, 69.47, 500100, 68.54, 0, 1, 68.77, -999
20140812, 68.69, 68.92, 68.33, 68.73, 643400, 67.81, 0, 1, 68.25, -999
20140811, 69.14, 69.51, 68.65, 68.71, 363300, 67.79, 0, 1, 68.465, -999
20140808, 68.58, 69.24, 68.23, 69.14, 437500, 68.22, 0, 1, 68.4, -999
20140807, 69.23, 69.77, 68.1, 68.22, 502700, 67.31, 0, 1, 68.27, -999
20140806, 68.88, 69.34, 68.62, 68.98, 544100, 68.06, 0, 1, 68.47, -999
20140805, 68.66, 69.64, 68.45, 69.09, 688300, 68.17, 0, 1, 68.415, -999
20140804, 68.47, 69.27, 68.37, 69.08, 675200, 68.16, 0, 1, 68.315, -999
20140801, 68.05, 68.88, 67.93, 68.44, 659600, 67.53, 0, 1, 67.79, -999
20140731, 68.84, 69.4, 68.01, 68.27, 874800, 67.36, 0, 1, 68.1, -999
20140730, 67.2, 69.94, 66.85, 69.45, 1508500, 68.52, 0, 1, 67.86, -999
20140729, 72.29, 72.29, 68, 68.15, 2305500, 67.24, 0, 1, 69.765, -999
20140728, 72.84, 73, 72.01, 72.37, 945300, 71.41, 0, 1, 72.125, -999
20140725, 73.16, 73.63, 72.55, 72.69, 469500, 71.72, 0, 1, 72.44, -999
20140724, 73.37, 73.52, 73.04, 73.36, 376700, 72.38, 0, 1, 72.875, -999
20140723, 73.67, 73.77, 72.82, 73.1, 469600, 72.13, 0, 1, 72.9, -999
20140722, 74.21, 74.4, 73.18, 73.41, 598200, 72.43, 0, 1, 73.32, -999
20140721, 73.18, 74.11, 73.03, 73.76, 436000, 72.78, 0, 1, 72.98, -999
20140718, 73.03, 73.85, 72.87, 73.73, 375500, 72.75, 0, 1, 72.89, -999
20140717, 73.29, 73.94, 72.86, 72.89, 472900, 71.92, 0, 1, 72.605, -999
20140716, 73.65, 73.69, 73.1, 73.53, 399300, 72.55, 0, 1, 73.1, -999
20140715, 73.13, 73.74, 72.77, 73.16, 561700, 72.19, 0, 1, 72.66, -999
20140714, 73.77, 73.83, 73.1, 73.13, 370700, 72.16, 0, 1, 72.965, -999
20140711, 73.41, 73.7, 72.65, 73.04, 519100, 72.07, 0, 1, 72.74, -999
20140710, 71.52, 73.63, 71.17, 73.23, 651400, 72.25, 0, 1, 71.885, -999
20140709, 73.47, 73.81, 73.11, 73.35, 657000, 72.37, 0, 1, 72.92, -999
20140708, 73.75, 73.89, 73.22, 73.4, 1023200, 72.42, 0, 1, 73.085, -999
20140707, 75.81, 76.19, 73.64, 73.71, 1024700, 72.73, 0, 1, 74.27, -999
20140703, 75.72, 76.34, 75.67, 76.18, 277600, 75.16, 0, 1, 75.44, -999
20140702, 75.75, 75.99, 75.48, 75.63, 428800, 74.62, 0, 1, 75.185, -999
20140701, 76, 76.5, 75.8, 76, 598200, 74.99, 0, 1, 75.495, -999
20140630, 75.82, 76.2, 75.59, 75.75, 369500, 74.74, 0, 1, 75.28, -999
20140627, 75.55, 76.06, 75.3, 75.98, 477300, 74.97, 0, 1, 75.26, -999
20140626, 74.9, 75.63, 74.6, 75.51, 303500, 74.5, 0, 1, 74.7, -999
20140625, 74.9, 75.48, 74.55, 75.02, 344800, 74.02, 0, 1, 74.46, -999
20140624, 75.58, 75.96, 75.03, 75.04, 483200, 74.04, 0, 1, 74.81, -999
20140623, 75.7, 76, 75.43, 75.61, 323700, 74.6, 0, 1, 75.15, -999
20140620, 75.8, 76.13, 75.63, 75.78, 677600, 74.77, 0, 1, 75.285, -999
20140619, 75.9, 76.23, 75.08, 75.5, 543300, 74.49, 0, 1, 75.195, -999
20140618, 75.81, 75.87, 75.05, 75.58, 515100, 74.57, 0, 1, 75.19, -999
20140617, 75.75, 76.17, 75.35, 75.7, 440000, 74.69, 0, 1, 75.22, -999
20140616, 75.79, 76.56, 75.67, 75.75, 310600, 74.74, 0, 1, 75.265, -999
20140613, 76.69, 76.77, 75.75, 75.99, 388600, 74.98, 0, 1, 75.835, -999
20140612, 77.15, 77.15, 76.04, 76.26, 319200, 75.24, 0, 1, 76.195, -999
20140611, 77.13, 77.77, 77.13, 77.38, 370800, 76.35, 0, 1, 76.74, -999
20140610, 77.11, 77.65, 77.11, 77.46, 304600, 76.43, 0, 1, 76.77, -999
20140609, 77.17, 77.9, 77.11, 77.55, 576100, 76.52, 0, 1, 76.845, -999
20140606, 76.59, 77.52, 76.59, 77.35, 459700, 76.32, 0, 1, 76.455, -999
20140605, 76.15, 76.63, 75.36, 76.49, 485000, 75.47, 0, 1, 75.81, -999
20140604, 76.45, 76.45, 75.51, 75.73, 854500, 74.72, 0, 1, 75.585, -999
20140603, 76.82, 77.14, 74.95, 75.56, 1754700, 74.55, 0, 1, 75.685, -999
20140602, 77.25, 77.49, 76.73, 77.18, 540700, 76.15, 0, 1, 76.7, -999
