Ticker: HUM  Created on: 12/6/2014 5:24:54 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 141.62, 145.76, 141.47, 144.32, 2356100, 144.32, 0, 1, 142.97, -999
20141204, 141.12, 141.58, 139.52, 141.12, 983000, 141.12, 0, 1, 141.12, -999
20141203, 141.12, 144.3, 140.56, 141.71, 1475400, 141.71, 0, 1, 141.415, -999
20141202, 138.36, 140.22, 137.18, 140.12, 1041500, 140.12, 0, 1, 139.24, -999
20141201, 137.65, 140.62, 137.26, 139.08, 1114800, 139.08, 0, 1, 138.365, -999
20141128, 137.54, 138.98, 137.45, 137.97, 814500, 137.97, 0, 1, 137.755, -999
20141126, 138.18, 138.69, 136.67, 137.49, 806200, 137.49, 0, 1, 137.835, -999
20141125, 139.84, 140.92, 137.63, 137.69, 1667400, 137.69, 0, 1, 138.765, -999
20141124, 137.3, 140.46, 136.71, 139.84, 1388800, 139.84, 0, 1, 138.57, -999
20141121, 137.5, 137.79, 136.02, 136.42, 1118200, 136.42, 0, 1, 136.96, -999
20141120, 136.12, 136.71, 135.38, 136.2, 982600, 136.2, 0, 1, 136.16, -999
20141119, 139.02, 139.44, 136.17, 136.56, 1041000, 136.56, 0, 1, 137.79, -999
20141118, 137.91, 140.76, 137.56, 139.29, 1114700, 139.29, 0, 1, 138.6, -999
20141117, 136, 138.09, 135.57, 137.47, 721900, 137.47, 0, 1, 136.735, -999
20141114, 138.11, 138.43, 135.41, 135.77, 1179800, 135.77, 0, 1, 136.94, -999
20141113, 137.49, 139.3, 136.96, 138.41, 1485700, 138.41, 0, 1, 137.95, -999
20141112, 136.09, 137.75, 134.44, 137.25, 1123200, 137.25, 0, 1, 136.67, -999
20141111, 132.95, 136.59, 132.95, 136.44, 1411100, 136.44, 0, 1, 134.695, -999
20141110, 131.51, 133.21, 131.16, 132.46, 2620300, 132.46, 0, 1, 131.985, -999
20141107, 131.4, 135.75, 129.31, 130.58, 5468300, 130.58, 0, 1, 130.99, -999
20141106, 139.06, 140.65, 138.73, 139.87, 1395500, 139.87, 0, 1, 139.465, -999
20141105, 139.45, 139.94, 137.13, 138.94, 1582000, 138.94, 0, 1, 139.195, -999
20141104, 138.5, 139.65, 137.22, 137.75, 1138300, 137.75, 0, 1, 138.125, -999
20141103, 139, 139.75, 137.64, 138.48, 818000, 138.48, 0, 1, 138.74, -999
20141031, 138.93, 139.87, 138.31, 138.85, 1219100, 138.85, 0, 1, 138.89, -999
20141030, 134.51, 138, 134.51, 137.18, 847500, 137.18, 0, 1, 135.845, -999
20141029, 135, 136.6, 134.26, 134.95, 741500, 134.95, 0, 1, 134.975, -999
20141028, 131.14, 134.91, 130.51, 134.73, 806800, 134.73, 0, 1, 132.935, -999
20141027, 133.1, 133.71, 132.44, 132.73, 1092600, 132.73, 0, 1, 132.915, -999
20141024, 132.72, 133.16, 131.62, 133.11, 610000, 133.11, 0, 1, 132.915, -999
20141023, 132.88, 133.38, 132.25, 132.63, 727300, 132.63, 0, 1, 132.755, -999
20141022, 133.75, 133.78, 131.1, 131.47, 1497800, 131.47, 0, 1, 132.61, -999
20141021, 131.44, 133.78, 130.24, 133.27, 924300, 133.27, 0, 1, 132.355, -999
20141020, 128.14, 130.17, 128.1, 130.1, 868400, 130.1, 0, 1, 129.12, -999
20141017, 126.78, 128.54, 125.66, 128.23, 1004500, 128.23, 0, 1, 127.505, -999
20141016, 122.96, 129.48, 122.96, 125.73, 1668200, 125.73, 0, 1, 124.345, -999
20141015, 122.75, 124.83, 121.04, 124.17, 1340100, 124.17, 0, 1, 123.46, -999
20141014, 125.07, 125.07, 122.33, 124.2, 1338200, 124.2, 0, 1, 124.635, -999
20141013, 126.3, 128.4, 124.51, 124.63, 1135700, 124.63, 0, 1, 125.465, -999
20141010, 125.37, 127.87, 125.17, 126.39, 1536200, 126.39, 0, 1, 125.88, -999
20141009, 127.35, 128.46, 124.7, 125.03, 1024200, 125.03, 0, 1, 126.19, -999
20141008, 125.21, 127.46, 124.91, 127.42, 1123600, 127.42, 0, 1, 126.315, -999
20141007, 125.9, 126.66, 124.68, 124.73, 1351700, 124.73, 0, 1, 125.315, -999
20141006, 129.82, 130.45, 126.23, 126.24, 1171100, 126.24, 0, 1, 128.03, -999
20141003, 128.09, 129.57, 127.47, 128.92, 982600, 128.92, 0, 1, 128.505, -999
20141002, 127.1, 128.21, 125.9, 127.15, 1323300, 127.15, 0, 1, 127.125, -999
20141001, 130.28, 130.6, 127.49, 127.99, 1312300, 127.99, 0, 1, 129.135, -999
