Ticker: ICE  Created on: 12/6/2014 5:24:57 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 224.98, 228.79, 223.85, 224.77, 788200, 224.77, 0, 1, 224.875, -999
20141204, 226.56, 227.71, 225.25, 227.05, 563700, 227.05, 0, 1, 226.805, -999
20141203, 224.28, 226.56, 223.76, 226.33, 669100, 226.33, 0, 1, 225.305, -999
20141202, 224.51, 225.87, 223.48, 224.73, 559200, 224.73, 0, 1, 224.62, -999
20141201, 226.01, 226.1, 223.23, 223.82, 538300, 223.82, 0, 1, 224.915, -999
20141128, 221.95, 226.66, 220.37, 225.99, 544000, 225.99, 0, 1, 223.97, -999
20141126, 220, 221.1, 219.16, 220.82, 557100, 220.82, 0, 1, 220.41, -999
20141125, 221.27, 222.39, 219.55, 221.08, 566100, 221.08, 0, 1, 221.175, -999
20141124, 220.83, 223.19, 219.4, 221.72, 795900, 221.72, 0, 1, 221.275, -999
20141121, 221.25, 222.24, 219.38, 220.29, 670800, 220.29, 0, 1, 220.77, -999
20141120, 219.5, 220.92, 219, 219.85, 532500, 219.85, 0, 1, 219.675, -999
20141119, 221.03, 221.24, 219.1, 220.72, 494300, 220.72, 0, 1, 220.875, -999
20141118, 222.2, 223.51, 219.83, 219.95, 663500, 219.95, 0, 1, 221.075, -999
20141117, 221.56, 224.24, 221.12, 222.2, 452400, 222.2, 0, 1, 221.88, -999
20141114, 222.65, 223.36, 221.32, 222.56, 692700, 222.56, 0, 1, 222.605, -999
20141113, 221.85, 223.55, 220.55, 223.21, 798400, 223.21, 0, 1, 222.53, -999
20141112, 221.16, 222, 220.39, 221.2, 843600, 221.2, 0, 1, 221.18, -999
20141111, 219.23, 221.45, 219.08, 221.24, 638000, 221.24, 0, 1, 220.235, -999
20141110, 218, 219.45, 214.35, 219.33, 781200, 219.33, 0, 1, 218.665, -999
20141107, 220.46, 220.46, 218.25, 218.54, 745500, 218.54, 0, 1, 219.5, -999
