Ticker: IFF  Created on: 12/6/2014 5:24:58 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 103.39, 103.99, 102.93, 103.42, 404700, 103.42, 0, 1, 103.405, -999
20141204, 102.54, 103.23, 102.2, 103.19, 377100, 103.19, 0, 1, 102.865, -999
20141203, 102.2, 102.92, 101.66, 102.76, 423100, 102.76, 0, 1, 102.48, -999
20141202, 101.74, 102.28, 101.36, 102.16, 478400, 102.16, 0, 1, 101.95, -999
20141201, 100.8, 101.93, 99.9, 101.46, 776500, 101.46, 0, 1, 101.13, -999
20141128, 100.48, 102.08, 100.16, 101.17, 486200, 101.17, 0, 1, 100.825, -999
20141126, 99.41, 100.18, 98.71, 100.12, 250200, 100.12, 0, 1, 99.765, -999
20141125, 100.03, 100.33, 99.34, 99.39, 548300, 99.39, 0, 1, 99.71, -999
20141124, 100.23, 100.46, 99.23, 99.79, 328800, 99.79, 0, 1, 100.01, -999
20141121, 100.46, 101.07, 99.94, 100.14, 1065300, 100.14, 0, 1, 100.3, -999
20141120, 98.37, 99.68, 98.18, 99.63, 569400, 99.63, 0, 1, 99, -999
20141119, 98.84, 98.97, 98.18, 98.62, 493400, 98.62, 0, 1, 98.73, -999
20141118, 98.04, 98.94, 97.57, 98.83, 463900, 98.83, 0, 1, 98.435, -999
20141117, 97.75, 98.51, 97.37, 98.04, 420900, 98.04, 0, 1, 97.895, -999
20141114, 99.7, 99.7, 97.08, 98.14, 673500, 98.14, 0, 1, 98.92, -999
20141113, 100.3, 100.8, 99.58, 100.08, 280300, 100.08, 0, 1, 100.19, -999
20141112, 99.66, 100.17, 99.06, 100.08, 266400, 100.08, 0, 1, 99.87, -999
20141111, 99.42, 100.44, 99.28, 99.79, 311600, 99.79, 0, 1, 99.605, -999
20141110, 98.93, 99.47, 98.86, 99.29, 364900, 99.29, 0, 1, 99.11, -999
20141107, 99.11, 99.65, 98.55, 98.79, 432400, 98.79, 0, 1, 98.95, -999
20141106, 97.7, 99.27, 97.5, 98.94, 564300, 98.94, 0, 1, 98.32, -999
20141105, 95.7, 97.86, 95.65, 97.51, 661000, 97.51, 0, 1, 96.605, -999
20141104, 96.17, 100.44, 95.46, 95.5, 700100, 95.5, 0, 1, 95.835, -999
20141103, 99.51, 99.79, 97.49, 98.17, 552100, 98.17, 0, 1, 98.84, -999
20141031, 98.36, 99.18, 97.8, 99.15, 667700, 99.15, 0, 1, 98.755, -999
20141030, 96.39, 97.4, 96.13, 97, 392000, 97, 0, 1, 96.695, -999
20141029, 98.67, 98.74, 95.92, 96.52, 1148000, 96.52, 0, 1, 97.595, -999
20141028, 95.61, 98.67, 95.61, 98.67, 666700, 98.67, 0, 1, 97.14, -999
20141027, 96.33, 96.35, 94.93, 95.43, 539900, 95.43, 0, 1, 95.88, -999
20141024, 96.31, 97.4, 96.06, 97.31, 377300, 97.31, 0, 1, 96.81, -999
20141023, 98.62, 98.62, 96.02, 96.19, 700400, 96.19, 0, 1, 97.405, -999
20141022, 98.64, 99.37, 97.67, 97.71, 387200, 97.71, 0, 1, 98.175, -999
20141021, 96.72, 98.31, 96.71, 98.31, 450400, 98.31, 0, 1, 97.515, -999
20141020, 95.33, 96.34, 94.88, 96.31, 334900, 96.31, 0, 1, 95.82, -999
20141017, 95.4, 96.65, 94.99, 95.41, 594100, 95.41, 0, 1, 95.405, -999
20141016, 92.61, 94.98, 92.18, 94.64, 502000, 94.64, 0, 1, 93.625, -999
20141015, 92.28, 94.53, 91.65, 94.14, 658800, 94.14, 0, 1, 93.21, -999
20141014, 92.9, 93.88, 91.86, 93.39, 683200, 93.39, 0, 1, 93.145, -999
20141013, 93, 93.39, 91.64, 92.03, 893100, 92.03, 0, 1, 92.515, -999
20141010, 92.99, 93.47, 92.09, 92.93, 724000, 92.93, 0, 1, 92.96, -999
20141009, 94.79, 94.85, 92.85, 93.1, 547700, 93.1, 0, 1, 93.945, -999
20141008, 93.35, 94.89, 92.75, 94.86, 358000, 94.86, 0, 1, 94.105, -999
20141007, 94.12, 94.45, 93.18, 93.19, 492700, 93.19, 0, 1, 93.655, -999
20141006, 95.25, 95.73, 94.29, 94.53, 426400, 94.53, 0, 1, 94.89, -999
20141003, 95.01, 95.41, 94.89, 95.11, 419100, 95.11, 0, 1, 95.06, -999
20141002, 94.03, 94.83, 93.04, 94.7, 407500, 94.7, 0, 1, 94.365, -999
20141001, 95.73, 95.73, 94.09, 94.13, 530800, 94.13, 0, 1, 94.93, -999
20140930, 96.72, 97.01, 95.64, 95.88, 463100, 95.88, 0, 1, 96.3, -999
20140929, 95.86, 96.98, 95.82, 96.76, 398600, 96.76, 0, 1, 96.31, -999
20140926, 95.71, 96.82, 95.51, 96.79, 415500, 96.79, 0, 1, 96.25, -999
20140925, 97.17, 97.17, 95.53, 95.63, 462700, 95.63, 0, 1, 96.4, -999
20140924, 97.39, 97.78, 97.03, 97.49, 574600, 97.49, 0, 1, 97.44, -999
20140923, 98.89, 99.07, 97.49, 97.5, 480200, 97.5, 0.47, 1, 98.195, -999
20140922, 100.6, 100.99, 99.29, 99.45, 464300, 98.98, 0, 1, 99.79, -999
20140919, 101.08, 101.33, 100.22, 100.73, 903300, 100.25, 0, 1, 100.665, -999
20140918, 99.74, 100.81, 99.69, 100.65, 492100, 100.17, 0, 1, 99.955, -999
20140917, 99.63, 99.92, 98.95, 99.38, 341900, 98.91, 0, 1, 99.27, -999
20140916, 98.48, 99.57, 98.25, 99.24, 278100, 98.77, 0, 1, 98.625, -999
20140915, 98.19, 98.87, 97.92, 98.58, 267700, 98.11, 0, 1, 98.15, -999
20140912, 99.18, 99.56, 97.95, 98.27, 376100, 97.81, 0, 1, 98.495, -999
20140911, 98.47, 99.38, 98.46, 99.12, 310900, 98.65, 0, 1, 98.56, -999
20140910, 98.93, 99.47, 98.64, 99.02, 560700, 98.55, 0, 1, 98.74, -999
20140909, 100.99, 101.25, 98.85, 98.95, 640500, 98.48, 0, 1, 99.735, -999
20140908, 101.38, 102.01, 101.28, 101.34, 424900, 100.86, 0, 1, 101.12, -999
20140905, 101.39, 101.41, 100.72, 101.39, 416400, 100.91, 0, 1, 101.15, -999
20140904, 100.62, 101.59, 100.58, 101.18, 425000, 100.7, 0, 1, 100.66, -999
20140903, 102, 102, 100.44, 100.62, 571000, 100.14, 0, 1, 101.07, -999
20140902, 101.6, 102.08, 100.48, 101.34, 405300, 100.86, 0, 1, 101.23, -999
20140829, 101.48, 102, 101.08, 101.59, 258700, 101.11, 0, 1, 101.295, -999
20140828, 100.45, 101.56, 100.16, 101.25, 291400, 100.77, 0, 1, 100.61, -999
20140827, 101.2, 101.22, 100.08, 100.72, 344000, 100.24, 0, 1, 100.72, -999
20140826, 101.16, 101.28, 100.61, 100.71, 418600, 100.23, 0, 1, 100.695, -999
20140825, 100.96, 101.38, 100.61, 100.86, 461800, 100.38, 0, 1, 100.67, -999
20140822, 101.18, 101.62, 100.75, 100.78, 274200, 100.3, 0, 1, 100.74, -999
20140821, 101.08, 101.81, 100.72, 101.27, 327800, 100.79, 0, 1, 100.935, -999
20140820, 101.59, 101.76, 100.47, 100.87, 354300, 100.39, 0, 1, 100.99, -999
20140819, 101.35, 101.67, 101.04, 101.59, 346400, 101.11, 0, 1, 101.23, -999
20140818, 100.65, 101.2, 100.26, 100.88, 310800, 100.4, 0, 1, 100.525, -999
20140815, 100.84, 100.99, 99.36, 100.01, 463400, 99.54, 0, 1, 100.19, -999
20140814, 100.46, 100.94, 100.11, 100.49, 241900, 100.02, 0, 1, 100.24, -999
20140813, 100.26, 100.71, 99.57, 100.55, 354800, 100.07, 0, 1, 100.165, -999
20140812, 98.68, 99.63, 98.39, 99.45, 407700, 98.98, 0, 1, 98.83, -999
20140811, 98.84, 99.37, 98.44, 98.58, 390900, 98.11, 0, 1, 98.475, -999
20140808, 97.9, 98.78, 97.32, 98.73, 401000, 98.26, 0, 1, 98.08, -999
20140807, 98.34, 98.46, 97.19, 97.61, 653900, 97.15, 0, 1, 97.745, -999
20140806, 96.21, 98.28, 96.1, 98.05, 705900, 97.59, 0, 1, 96.9, -999
20140805, 98, 98.94, 96.23, 96.48, 1082700, 96.02, 0, 1, 97.01, -999
20140804, 101.56, 102.02, 100.49, 101.93, 372100, 101.45, 0, 1, 101.505, -999
20140801, 100.6, 101.59, 97.51, 101.13, 446100, 100.65, 0, 1, 100.625, -999
20140731, 102.76, 103.21, 100.96, 100.99, 439800, 100.51, 0, 1, 101.635, -999
20140730, 103.44, 103.59, 102.67, 103.21, 388900, 102.72, 0, 1, 103.08, -999
20140729, 103.99, 104.32, 102.94, 102.98, 289400, 102.49, 0, 1, 103.24, -999
20140728, 103.71, 104.41, 103.2, 104.06, 310700, 103.57, 0, 1, 103.64, -999
20140725, 103.8, 104.03, 103.31, 103.81, 359800, 103.32, 0, 1, 103.56, -999
20140724, 104.15, 104.45, 103.64, 103.85, 297800, 103.36, 0, 1, 103.755, -999
20140723, 104.15, 104.15, 103.49, 103.91, 691000, 103.42, 0, 1, 103.785, -999
20140722, 104.09, 105.07, 103.67, 104.09, 618500, 103.6, 0, 1, 103.845, -999
20140721, 103.98, 104.47, 103.27, 103.81, 282400, 103.32, 0, 1, 103.65, -999
20140718, 103.76, 104.45, 103.23, 104.29, 306000, 103.8, 0, 1, 103.78, -999
20140717, 103.89, 104.4, 103.25, 103.42, 306500, 102.93, 0, 1, 103.41, -999
20140716, 104.59, 104.59, 103.93, 104.24, 403400, 103.75, 0, 1, 104.17, -999
20140715, 104.79, 105.07, 104.09, 104.3, 289100, 103.81, 0, 1, 104.3, -999
20140714, 104.62, 104.7, 104.28, 104.51, 259300, 104.02, 0, 1, 104.32, -999
20140711, 103.93, 104.43, 103.84, 104.25, 255400, 103.76, 0, 1, 103.845, -999
20140710, 103.51, 104.25, 103.24, 103.93, 243500, 103.44, 0, 1, 103.475, -999
20140709, 104.98, 105.2, 104.16, 104.38, 313300, 103.89, 0, 1, 104.435, -999
20140708, 105.35, 105.37, 104.35, 104.5, 382800, 104.01, 0, 1, 104.68, -999
20140707, 105.59, 105.84, 105.04, 105.28, 557800, 104.78, 0, 1, 105.185, -999
20140703, 105.24, 105.66, 105.17, 105.43, 250900, 104.93, 0, 1, 105.085, -999
20140702, 104.91, 105.35, 104.6, 105.05, 263500, 104.55, 0, 1, 104.73, -999
20140701, 104.73, 105.37, 104.19, 105.12, 331300, 104.62, 0, 1, 104.675, -999
20140630, 104.55, 104.76, 103.48, 104.28, 309800, 103.79, 0, 1, 104.17, -999
20140627, 102.84, 104.44, 102.79, 104.37, 282600, 103.88, 0, 1, 103.36, -999
20140626, 103.68, 103.86, 102.8, 103.51, 192700, 103.02, 0, 1, 103.35, -999
20140625, 103.29, 104.03, 103.17, 103.84, 351800, 103.35, 0, 1, 103.32, -999
20140624, 103.65, 103.99, 103.1, 103.15, 303100, 102.66, 0.39, 1, 103.155, -999
20140623, 104.96, 105.33, 103.79, 104.11, 329700, 103.23, 0, 1, 104.095, -999
20140620, 103.46, 105.61, 101.75, 104.81, 837900, 103.92, 0, 1, 103.69, -999
20140619, 102.95, 103.11, 102.27, 102.75, 315000, 101.88, 0, 1, 102.415, -999
20140618, 101.07, 102.97, 100.73, 102.94, 501800, 102.07, 0, 1, 101.57, -999
20140617, 100.55, 101.15, 99.96, 100.94, 230900, 100.09, 0, 1, 100.32, -999
20140616, 100.79, 101.34, 100.11, 100.35, 525200, 99.5, 0, 1, 100.145, -999
20140613, 101.14, 101.29, 100.63, 100.79, 270800, 99.94, 0, 1, 100.54, -999
20140612, 101.59, 101.83, 101.04, 101.12, 294300, 100.27, 0, 1, 100.93, -999
20140611, 101.42, 102, 101.19, 101.85, 221000, 100.99, 0, 1, 101.205, -999
20140610, 101.63, 101.81, 101.31, 101.77, 236100, 100.91, 0, 1, 101.27, -999
20140609, 100.86, 101.73, 100.74, 101.66, 316100, 100.8, 0, 1, 100.83, -999
20140606, 100.5, 100.86, 100.15, 100.86, 299700, 100.01, 0, 1, 100.255, -999
20140605, 100.55, 100.91, 99.79, 100.45, 229000, 99.6, 0, 1, 100.075, -999
20140604, 99.86, 100.7, 99.43, 100.6, 417500, 99.75, 0, 1, 99.805, -999
20140603, 99.75, 100.58, 99.34, 99.75, 305200, 98.91, 0, 1, 99.33, -999
20140602, 99.45, 100.2, 99.21, 99.75, 416600, 98.91, 0, 1, 99.18, -999
20140530, 98.83, 100.23, 98.83, 99.26, 628600, 98.42, 0, 1, 98.625, -999
20140529, 98.79, 99, 98.17, 98.95, 268700, 98.11, 0, 1, 98.45, -999
20140528, 98.31, 98.92, 98.29, 98.64, 242400, 97.81, 0, 1, 98.06, -999
20140527, 99.08, 99.38, 98.24, 98.63, 261100, 97.8, 0, 1, 98.44, -999
20140523, 98, 98.92, 97.8, 98.86, 157700, 98.02, 0, 1, 98.01, -999
20140522, 97.96, 98.55, 97.77, 98.06, 198700, 97.23, 0, 1, 97.595, -999
20140521, 97.21, 98.42, 97.21, 98.1, 273600, 97.27, 0, 1, 97.24, -999
20140520, 97.93, 98, 96.59, 96.94, 270800, 96.12, 0, 1, 97.025, -999
20140519, 97.19, 98.1, 97.1, 97.93, 234500, 97.1, 0, 1, 97.145, -999
20140516, 96.37, 97.39, 96.17, 97.35, 342000, 96.53, 0, 1, 96.45, -999
20140515, 97.14, 97.23, 95.51, 96.27, 470000, 95.46, 0, 1, 96.3, -999
20140514, 98.13, 98.19, 97.16, 97.26, 375300, 96.44, 0, 1, 97.285, -999
20140513, 98.98, 99.22, 98.01, 98.2, 333400, 97.37, 0, 1, 98.175, -999
20140512, 98.88, 99.25, 98.35, 98.7, 466600, 97.87, 0, 1, 98.375, -999
20140509, 98.85, 99.04, 98.15, 98.31, 472100, 97.48, 0, 1, 98.165, -999
20140508, 99.76, 100.93, 98.56, 99, 378500, 98.16, 0, 1, 98.96, -999
20140507, 98.03, 100, 98, 100, 455200, 99.15, 0, 1, 98.59, -999
20140506, 98.1, 98.23, 97.14, 98.06, 484900, 97.23, 0, 1, 97.665, -999
20140505, 97.35, 97.97, 96.9, 97.84, 385100, 97.01, 0, 1, 97.18, -999
20140502, 98.22, 98.62, 97.47, 97.67, 620400, 96.84, 0, 1, 97.53, -999
20140501, 98.69, 98.98, 98.05, 98.28, 428700, 97.45, 0, 1, 98.07, -999
20140430, 96.53, 98.56, 96.22, 98.52, 611200, 97.69, 0, 1, 97.11, -999
20140429, 95.93, 96.97, 95.93, 96.81, 435500, 95.99, 0, 1, 95.96, -999
20140428, 95.44, 95.77, 94.7, 95.49, 678400, 94.68, 0, 1, 95.06, -999
20140425, 95.27, 95.73, 94.84, 95.22, 361200, 94.41, 0, 1, 94.84, -999
20140424, 96.31, 96.55, 95.37, 95.68, 269100, 94.87, 0, 1, 95.59, -999
20140423, 95.76, 96.04, 95.57, 95.91, 326000, 95.1, 0, 1, 95.43, -999
20140422, 95.26, 96.21, 95.26, 95.82, 327900, 95.01, 0, 1, 95.135, -999
20140421, 95.02, 95.16, 94.45, 95.15, 284800, 94.35, 0, 1, 94.685, -999
20140417, 94.67, 95.31, 94.65, 95.14, 377300, 94.34, 0, 1, 94.505, -999
20140416, 93.76, 94.77, 93.54, 94.38, 375800, 93.58, 0, 1, 93.67, -999
20140415, 92.51, 93.41, 92.1, 93.2, 520300, 92.41, 0, 1, 92.46, -999
20140414, 92.12, 92.7, 91.95, 92.48, 303800, 91.7, 0, 1, 91.91, -999
20140411, 91.64, 92.23, 91.31, 91.55, 460500, 90.78, 0, 1, 91.21, -999
20140410, 94.45, 94.5, 92.1, 92.1, 339800, 91.32, 0, 1, 92.885, -999
20140409, 93.2, 94.47, 92.9, 94.33, 409300, 93.53, 0, 1, 93.365, -999
20140408, 93.23, 93.56, 92.17, 93.1, 619100, 92.31, 0, 1, 92.77, -999
20140407, 94.83, 95.17, 93.21, 93.49, 746700, 92.7, 0, 1, 93.765, -999
20140404, 97.12, 97.41, 94.54, 94.85, 439700, 94.05, 0, 1, 95.585, -999
20140403, 96.66, 97.03, 96.08, 96.78, 612000, 95.96, 0, 1, 96.31, -999
20140402, 96.51, 96.6, 96.13, 96.43, 707200, 95.61, 0, 1, 96.06, -999
20140401, 95.73, 96.48, 95.43, 96.41, 430000, 95.59, 0, 1, 95.66, -999
20140331, 94.81, 95.76, 94.7, 95.67, 513500, 94.86, 0, 1, 94.835, -999
20140328, 93.29, 94.5, 93.27, 94.14, 349500, 93.34, 0, 1, 93.315, -999
20140327, 92.69, 93.51, 92.22, 93.2, 438500, 92.41, 0, 1, 92.55, -999
20140326, 93.58, 93.96, 92.59, 92.59, 398700, 91.81, 0, 1, 92.695, -999
20140325, 92.98, 93.46, 92.58, 93.36, 493900, 92.57, 0.39, 1, 92.775, -999
20140324, 94.31, 94.75, 92.39, 92.81, 296900, 91.64, 0, 1, 92.975, -999
20140321, 94.06, 94.19, 93.41, 93.77, 769900, 92.59, 0, 1, 93.325, -999
20140320, 92.55, 93.28, 92.28, 93.25, 517500, 92.07, 0, 1, 92.31, -999
20140319, 93.6, 93.81, 92.31, 92.72, 255700, 91.55, 0, 1, 92.575, -999
20140318, 93.73, 93.93, 93.2, 93.57, 252100, 92.39, 0, 1, 93.06, -999
20140317, 93.31, 94.15, 93.03, 93.54, 350700, 92.36, 0, 1, 92.835, -999
20140314, 92.78, 93.56, 92.7, 92.84, 484800, 91.67, 0, 1, 92.225, -999
20140313, 94.37, 94.82, 92.63, 92.74, 469600, 91.57, 0, 1, 92.97, -999
20140312, 93.93, 94.34, 93.73, 94.06, 396400, 92.87, 0, 1, 93.4, -999
20140311, 95.64, 96.43, 94.18, 94.28, 396300, 93.09, 0, 1, 94.365, -999
20140310, 95.37, 95.72, 94.66, 95.28, 299600, 94.08, 0, 1, 94.725, -999
20140307, 95.58, 95.63, 94.89, 95.3, 368700, 94.1, 0, 1, 94.84, -999
20140306, 95.58, 95.82, 94.95, 95.23, 405800, 94.03, 0, 1, 94.805, -999
20140305, 95.79, 96.01, 94.94, 95.28, 496600, 94.08, 0, 1, 94.935, -999
20140304, 95, 96.05, 94.11, 95.98, 571000, 94.77, 0, 1, 94.885, -999
20140303, 93.7, 97.91, 93.21, 94, 602800, 92.81, 0, 1, 93.255, -999
20140228, 93.39, 94.31, 93.1, 93.79, 505900, 92.61, 0, 1, 93, -999
20140227, 93.17, 93.5, 92.87, 93.18, 372200, 92, 0, 1, 92.585, -999
20140226, 91.94, 93.56, 91.94, 93.31, 584600, 92.13, 0, 1, 92.035, -999
20140225, 91.39, 92.42, 91.24, 91.71, 422700, 90.55, 0, 1, 90.97, -999
20140224, 91.53, 92.15, 91.37, 91.44, 276800, 90.29, 0, 1, 90.91, -999
20140221, 92.25, 92.63, 91.35, 91.39, 386300, 90.24, 0, 1, 91.245, -999
20140220, 91.65, 92.09, 90.95, 91.97, 405100, 90.81, 0, 1, 91.23, -999
20140219, 92.33, 93.29, 91.45, 91.51, 384500, 90.36, 0, 1, 91.345, -999
20140218, 92.03, 92.6, 91.61, 92.54, 449000, 91.37, 0, 1, 91.7, -999
20140214, 91.09, 92.04, 90.65, 91.74, 386500, 90.58, 0, 1, 90.835, -999
20140213, 88.65, 90.67, 87.57, 90.56, 630100, 89.42, 0, 1, 89.035, -999
20140212, 88.58, 88.91, 87.62, 88.11, 582700, 87, 0, 1, 87.79, -999
20140211, 88.03, 88.81, 87.71, 88.57, 294400, 87.45, 0, 1, 87.74, -999
20140210, 86.81, 87.79, 86.53, 87.77, 301500, 86.66, 0, 1, 86.735, -999
20140207, 86.39, 87.04, 86.23, 86.91, 259000, 85.81, 0, 1, 86.1, -999
20140206, 84.73, 86.07, 84.59, 85.93, 317000, 84.85, 0, 1, 84.79, -999
20140205, 83.5, 85, 82.91, 84.65, 375100, 83.58, 0, 1, 83.54, -999
