Ticker: INTC  Created on: 12/6/2014 5:24:56 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 37.57, 37.9, 37.52, 37.67, 20516000, 37.67, 0, 1, 37.62, -999
20141204, 37.4, 37.46, 37.04, 37.46, 23359100, 37.46, 0, 1, 37.43, -999
20141203, 37.68, 37.89, 37.41, 37.43, 30660800, 37.43, 0, 1, 37.555, -999
20141202, 37.18, 37.6, 37.18, 37.6, 28343700, 37.6, 0, 1, 37.39, -999
20141201, 37.21, 37.62, 36.9, 37.17, 30904000, 37.17, 0, 1, 37.19, -999
20141128, 37.04, 37.69, 36.94, 37.25, 19128500, 37.25, 0, 1, 37.145, -999
20141126, 36.37, 36.99, 36.28, 36.9, 24060000, 36.9, 0, 1, 36.635, -999
20141125, 36.36, 36.48, 36.15, 36.32, 29088500, 36.32, 0, 1, 36.34, -999
20141124, 35.89, 36.43, 35.84, 36.25, 33317900, 36.25, 0, 1, 36.07, -999
20141121, 35.98, 36.46, 35.5, 35.59, 56720400, 35.59, 0, 1, 35.785, -999
20141120, 34.14, 35.97, 34, 35.95, 61994700, 35.95, 0, 1, 35.045, -999
20141119, 34.69, 34.79, 34.25, 34.35, 21289500, 34.35, 0, 1, 34.52, -999
20141118, 34.19, 34.9, 34.16, 34.71, 30674800, 34.71, 0, 1, 34.45, -999
20141117, 33.82, 34.25, 33.76, 34.24, 17646000, 34.24, 0, 1, 34.03, -999
20141114, 33.75, 33.97, 33.35, 33.95, 18102500, 33.95, 0, 1, 33.85, -999
20141113, 33.35, 33.86, 33.34, 33.68, 26447400, 33.68, 0, 1, 33.515, -999
20141112, 33.23, 33.42, 33, 33.38, 22854400, 33.38, 0, 1, 33.305, -999
20141111, 33.36, 33.54, 33.2, 33.31, 19676600, 33.31, 0, 1, 33.335, -999
20141110, 33.43, 33.49, 33.08, 33.26, 30653600, 33.26, 0, 1, 33.345, -999
20141107, 33.98, 34, 33.19, 33.58, 27604500, 33.58, 0, 1, 33.78, -999
20141106, 33.69, 34.23, 33.41, 33.82, 25240600, 33.82, 0, 1, 33.755, -999
20141105, 34.05, 34.1, 33.6, 33.76, 34705500, 33.76, 0, 1, 33.905, -999
20141104, 34.25, 34.78, 34.21, 34.54, 34695900, 34.32, 0, 1, 34.285, -999
20141103, 33.81, 34.48, 33.79, 34.31, 28703600, 34.09, 0, 1, 33.95, -999
20141031, 33.74, 34.01, 32.63, 34.01, 52089700, 33.79, 0, 1, 33.765, -999
20141030, 33.58, 33.61, 32.4, 32.58, 55217900, 32.37, 0, 1, 32.975, -999
20141029, 33.76, 33.97, 33.51, 33.92, 24615200, 33.7, 0, 1, 33.73, -999
20141028, 33.23, 33.75, 33.23, 33.74, 21857800, 33.52, 0, 1, 33.375, -999
20141027, 33.08, 33.3, 32.77, 33.2, 23751900, 32.98, 0, 1, 33.03, -999
20141024, 32.72, 33.33, 32.57, 33.18, 27814300, 32.96, 0, 1, 32.84, -999
20141023, 32.72, 32.91, 32.6, 32.69, 22254900, 32.48, 0, 1, 32.6, -999
20141022, 32.66, 32.87, 32.22, 32.27, 26725600, 32.06, 0, 1, 32.36, -999
20141021, 31.67, 32.62, 31.58, 32.61, 33278400, 32.4, 0, 1, 32.035, -999
20141020, 31.04, 31.7, 30.9, 31.58, 30523700, 31.37, 0, 1, 31.205, -999
20141017, 31.2, 31.71, 30.97, 31.38, 37504500, 31.18, 0, 1, 31.19, -999
20141016, 30.89, 31.51, 30.75, 30.85, 47787400, 30.65, 0, 1, 30.77, -999
20141015, 30.54, 31.65, 29.65, 31.28, 92305200, 31.08, 0, 1, 30.81, -999
20141014, 31.99, 32.67, 31.71, 32.14, 68671000, 31.93, 0, 1, 31.96, -999
20141013, 31.72, 32.37, 31.47, 31.47, 42110200, 31.26, 0, 1, 31.49, -999
20141010, 32.62, 32.86, 30.5, 31.91, 80917600, 31.7, 0, 1, 32.16, -999
20141009, 34.15, 34.43, 33.58, 33.62, 28185700, 33.4, 0, 1, 33.775, -999
20141008, 33.49, 34.37, 33.14, 34.27, 34960600, 34.05, 0, 1, 33.77, -999
20141007, 34.04, 34.05, 33.42, 33.47, 25972100, 33.25, 0, 1, 33.645, -999
20141006, 34.15, 34.48, 33.87, 34.11, 24321100, 33.89, 0, 1, 34.02, -999
20141003, 33.66, 34.18, 33.47, 34.03, 25834600, 33.81, 0, 1, 33.735, -999
20141002, 33.96, 34, 33.26, 33.52, 32910800, 33.3, 0, 1, 33.63, -999
20141001, 34.61, 34.78, 33.84, 33.99, 35086600, 33.77, 0, 1, 34.19, -999
20140930, 34.9, 35, 34.41, 34.82, 35274600, 34.59, 0, 1, 34.745, -999
20140929, 34.06, 34.99, 33.94, 34.9, 29003100, 34.67, 0, 1, 34.365, -999
20140926, 34.26, 34.36, 33.63, 34.26, 25882300, 34.04, 0, 1, 34.15, -999
20140925, 34.68, 34.79, 33.88, 34.14, 34639700, 33.92, 0, 1, 34.3, -999
20140924, 34.4, 34.85, 34.37, 34.75, 18829000, 34.52, 0, 1, 34.46, -999
20140923, 34.71, 34.71, 34.38, 34.42, 25690700, 34.2, 0, 1, 34.455, -999
20140922, 34.78, 35.03, 34.55, 34.71, 25447700, 34.48, 0, 1, 34.63, -999
20140919, 35.16, 35.22, 34.82, 34.82, 46851900, 34.59, 0, 1, 34.875, -999
20140918, 35.12, 35.17, 34.86, 35.17, 23809600, 34.94, 0, 1, 35.03, -999
20140917, 34.91, 35.2, 34.74, 34.98, 26278900, 34.75, 0, 1, 34.83, -999
20140916, 34.47, 35.08, 34.47, 34.93, 20875700, 34.7, 0, 1, 34.585, -999
20140915, 34.71, 34.77, 34.23, 34.54, 22438000, 34.32, 0, 1, 34.515, -999
20140912, 34.9, 34.91, 34.5, 34.62, 26732600, 34.39, 0, 1, 34.645, -999
20140911, 34.79, 35.02, 34.53, 35.02, 21949000, 34.79, 0, 1, 34.79, -999
20140910, 34.85, 35.13, 34.67, 35.02, 19964200, 34.79, 0, 1, 34.82, -999
20140909, 35.29, 35.29, 34.85, 34.91, 22333100, 34.68, 0, 1, 34.985, -999
20140908, 34.96, 35.56, 34.88, 35.33, 24859600, 35.1, 0, 1, 35.03, -999
20140905, 34.92, 35.12, 34.83, 35, 20841900, 34.77, 0, 1, 34.845, -999
20140904, 34.53, 35.09, 34.52, 34.91, 27632400, 34.68, 0, 1, 34.605, -999
20140903, 34.82, 34.88, 34.45, 34.57, 26668800, 34.34, 0, 1, 34.58, -999
20140902, 34.76, 34.91, 34.43, 34.57, 32094800, 34.34, 0, 1, 34.55, -999
20140829, 34.81, 34.94, 34.67, 34.92, 32302800, 34.69, 0, 1, 34.75, -999
20140828, 34.61, 34.81, 34.61, 34.65, 18908900, 34.42, 0, 1, 34.515, -999
20140827, 34.89, 34.94, 34.63, 34.79, 17168900, 34.56, 0, 1, 34.725, -999
20140826, 34.79, 35.05, 34.69, 34.8, 19664700, 34.57, 0, 1, 34.68, -999
20140825, 35.09, 35.15, 34.65, 34.81, 18614500, 34.58, 0, 1, 34.835, -999
20140822, 35.2, 35.2, 34.91, 34.94, 21196700, 34.71, 0, 1, 34.955, -999
20140821, 34.46, 35.19, 34.45, 35.15, 37164900, 34.92, 0, 1, 34.69, -999
20140820, 34.23, 34.51, 34.18, 34.5, 27140300, 34.28, 0, 1, 34.255, -999
20140819, 34.5, 34.5, 34.25, 34.34, 29281900, 34.12, 0, 1, 34.31, -999
20140818, 34.26, 34.47, 33.98, 34.41, 27232200, 34.19, 0, 1, 34.225, -999
20140815, 34.1, 34.21, 33.71, 34.17, 28577600, 33.95, 0, 1, 34.025, -999
20140814, 34.05, 34.23, 33.74, 33.94, 25458000, 33.72, 0, 1, 33.885, -999
20140813, 33.24, 34.15, 33.23, 34.1, 36291000, 33.88, 0, 1, 33.56, -999
20140812, 32.91, 33.15, 32.68, 33.13, 24805600, 32.91, 0, 1, 32.91, -999
20140811, 32.82, 33.24, 32.81, 33.02, 27718600, 32.8, 0, 1, 32.81, -999
20140808, 32.78, 33, 32.54, 32.6, 35484000, 32.39, 0, 1, 32.585, -999
20140807, 32.93, 33.15, 32.54, 32.68, 27820100, 32.47, 0, 1, 32.7, -999
20140806, 32.6, 33.19, 32.39, 32.85, 27923900, 32.64, 0, 1, 32.62, -999
20140805, 33.76, 33.78, 32.6, 32.82, 49845100, 32.61, 0.225, 1, 33.185, -999
20140804, 33.79, 34.09, 33.55, 34.05, 27250100, 33.6, 0, 1, 33.695, -999
20140801, 33.75, 34.03, 33.61, 33.74, 33472400, 33.3, 0, 1, 33.525, -999
20140731, 34.09, 34.25, 33.81, 33.89, 35431200, 33.45, 0, 1, 33.77, -999
20140730, 34.31, 34.57, 34.04, 34.35, 32782800, 33.9, 0, 1, 34.105, -999
20140729, 34.27, 34.37, 34.09, 34.19, 26141700, 33.74, 0, 1, 34.005, -999
20140728, 34.23, 34.32, 33.88, 34.23, 30972200, 33.78, 0, 1, 34.005, -999
20140725, 34.15, 34.37, 33.93, 34.25, 31614000, 33.8, 0, 1, 33.975, -999
20140724, 34.38, 34.67, 34.1, 34.25, 33180400, 33.8, 0, 1, 34.09, -999
20140723, 34.68, 34.71, 34.3, 34.5, 26077000, 34.05, 0, 1, 34.365, -999
20140722, 34.16, 34.83, 34.07, 34.79, 42915100, 34.33, 0, 1, 34.245, -999
20140721, 33.55, 34.23, 33.54, 34.06, 32097200, 33.61, 0, 1, 33.58, -999
20140718, 33.8, 33.84, 33.39, 33.7, 46528800, 33.26, 0, 1, 33.53, -999
20140717, 34.2, 34.36, 33.63, 33.7, 70591100, 33.26, 0, 1, 33.73, -999
20140716, 33.31, 34.74, 33.21, 34.65, 135893200, 34.2, 0, 1, 33.755, -999
20140715, 31.58, 31.8, 31.16, 31.71, 61006100, 31.3, 0, 1, 31.44, -999
20140714, 31.41, 31.58, 31.34, 31.49, 24244600, 31.08, 0, 1, 31.245, -999
20140711, 31.26, 31.45, 31.04, 31.25, 20045000, 30.84, 0, 1, 31.05, -999
20140710, 30.6, 31.33, 30.44, 31.26, 32455100, 30.85, 0, 1, 30.725, -999
20140709, 30.84, 30.98, 30.69, 30.89, 28302400, 30.49, 0, 1, 30.665, -999
20140708, 31, 31.08, 30.7, 30.79, 37608700, 30.39, 0, 1, 30.695, -999
20140707, 31.09, 31.2, 30.92, 31.03, 22233400, 30.62, 0, 1, 30.855, -999
20140703, 31.08, 31.36, 31.02, 31.14, 20437600, 30.73, 0, 1, 30.905, -999
20140702, 30.99, 31.05, 30.8, 30.98, 16831200, 30.57, 0, 1, 30.78, -999
20140701, 30.99, 31.09, 30.87, 30.98, 28240000, 30.57, 0, 1, 30.78, -999
20140630, 30.87, 31, 30.66, 30.9, 21558400, 30.5, 0, 1, 30.685, -999
20140627, 30.87, 31, 30.7, 30.93, 30776300, 30.53, 0, 1, 30.7, -999
20140626, 30.81, 30.9, 30.61, 30.78, 26722300, 30.38, 0, 1, 30.595, -999
20140625, 30.48, 31, 30.45, 30.88, 44293300, 30.48, 0, 1, 30.48, -999
20140624, 30.16, 30.83, 30.09, 30.5, 53397600, 30.1, 0, 1, 30.13, -999
20140623, 30.1, 30.31, 29.85, 30.23, 26528900, 29.83, 0, 1, 29.965, -999
20140620, 30.07, 30.2, 30.03, 30.2, 39826400, 29.81, 0, 1, 29.94, -999
20140619, 29.97, 30.09, 29.89, 30.09, 27166600, 29.7, 0, 1, 29.835, -999
20140618, 29.88, 29.98, 29.67, 29.93, 34412300, 29.54, 0, 1, 29.71, -999
20140617, 29.88, 30.1, 29.84, 29.95, 28440600, 29.56, 0, 1, 29.72, -999
20140616, 29.72, 30.15, 29.67, 30.01, 36407800, 29.62, 0, 1, 29.67, -999
20140613, 29.75, 30.06, 29.56, 29.87, 122194300, 29.48, 0, 1, 29.615, -999
20140612, 27.86, 28.1, 27.77, 27.96, 31211400, 27.59, 0, 1, 27.725, -999
20140611, 28.14, 28.21, 27.8, 27.93, 27747700, 27.56, 0, 1, 27.85, -999
20140610, 27.85, 28.33, 27.72, 28.24, 34256900, 27.87, 0, 1, 27.86, -999
20140609, 28.1, 28.42, 27.83, 27.91, 39933000, 27.54, 0, 1, 27.82, -999
20140606, 27.78, 28.21, 27.73, 28.17, 34795600, 27.8, 0, 1, 27.79, -999
20140605, 27.56, 27.66, 27.43, 27.66, 26546200, 27.3, 0, 1, 27.43, -999
20140604, 27.51, 27.76, 27.5, 27.6, 21612500, 27.24, 0, 1, 27.375, -999
20140603, 27.22, 27.7, 27.12, 27.66, 33256300, 27.3, 0, 1, 27.26, -999
20140602, 27.31, 27.35, 27.12, 27.26, 20264900, 26.9, 0, 1, 27.105, -999
20140530, 26.94, 27.32, 26.93, 27.32, 43641000, 26.96, 0, 1, 26.95, -999
20140529, 26.91, 26.96, 26.72, 26.96, 20638900, 26.61, 0, 1, 26.76, -999
20140528, 26.7, 26.94, 26.66, 26.88, 27150100, 26.53, 0, 1, 26.615, -999
20140527, 26.33, 26.74, 26.18, 26.71, 27271900, 26.36, 0, 1, 26.345, -999
20140523, 26.15, 26.3, 26.14, 26.29, 17172200, 25.95, 0, 1, 26.05, -999
20140522, 26.21, 26.27, 26.08, 26.15, 15926500, 25.81, 0, 1, 26.01, -999
20140521, 26.1, 26.25, 26, 26.2, 18721300, 25.86, 0, 1, 25.98, -999
20140520, 26.02, 26.17, 25.88, 26.04, 22292600, 25.7, 0, 1, 25.86, -999
20140519, 25.75, 26.09, 25.75, 26.04, 22679600, 25.7, 0, 1, 25.725, -999
20140516, 26.05, 26.07, 25.74, 25.82, 30017200, 25.48, 0, 1, 25.765, -999
20140515, 26.33, 26.5, 26.01, 26.01, 31752700, 25.67, 0, 1, 26, -999
20140514, 26.49, 26.52, 26.33, 26.33, 17811900, 25.99, 0, 1, 26.24, -999
20140513, 26.49, 26.54, 26.33, 26.45, 20525000, 26.1, 0, 1, 26.295, -999
20140512, 26.41, 26.54, 26.3, 26.37, 20607800, 26.03, 0, 1, 26.22, -999
20140509, 26.37, 26.41, 26.22, 26.3, 20324400, 25.96, 0, 1, 26.165, -999
20140508, 26.32, 26.53, 26.22, 26.34, 24166900, 26, 0, 1, 26.16, -999
20140507, 26.26, 26.45, 26.22, 26.37, 24692800, 26.03, 0, 1, 26.145, -999
20140506, 26.16, 26.38, 26, 26.2, 21818000, 25.86, 0, 1, 26.01, -999
20140505, 26.16, 26.26, 25.99, 26.17, 20738900, 25.83, 0.225, 1, 25.995, -999
20140502, 26.56, 26.64, 26.4, 26.41, 24235200, 25.84, 0, 1, 26.2, -999
20140501, 26.51, 26.67, 26.39, 26.45, 19755200, 25.88, 0, 1, 26.195, -999
20140430, 26.32, 26.7, 26.22, 26.69, 25863900, 26.12, 0, 1, 26.22, -999
20140429, 26.36, 26.66, 26.35, 26.48, 22146000, 25.91, 0, 1, 26.135, -999
20140428, 26.17, 26.39, 26.01, 26.33, 33472800, 25.76, 0, 1, 25.965, -999
20140425, 26.65, 26.72, 26.19, 26.26, 33614400, 25.7, 0, 1, 26.175, -999
20140424, 26.81, 26.96, 26.64, 26.75, 25432800, 26.18, 0, 1, 26.495, -999
20140423, 26.8, 26.97, 26.72, 26.75, 25574300, 26.18, 0, 1, 26.49, -999
20140422, 26.91, 26.98, 26.66, 26.84, 29601600, 26.26, 0, 1, 26.585, -999
20140421, 27.05, 27.05, 26.73, 26.95, 20398600, 26.37, 0, 1, 26.71, -999
20140417, 26.88, 27.16, 26.79, 27.04, 38112600, 26.46, 0, 1, 26.67, -999
20140416, 26.98, 27.24, 26.6, 26.93, 59033600, 26.35, 0, 1, 26.665, -999
