Ticker: INTU  Created on: 12/6/2014 5:24:59 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 94.13, 94.13, 93.21, 93.68, 1083200, 93.68, 0, 1, 93.905, -999
20141204, 93.46, 93.91, 92.97, 93.87, 903900, 93.87, 0, 1, 93.665, -999
20141203, 93.24, 94.01, 93.02, 93.7, 1083300, 93.7, 0, 1, 93.47, -999
20141202, 94.15, 94.25, 93.21, 93.33, 2121200, 93.33, 0, 1, 93.74, -999
20141201, 93.25, 94.9, 93.24, 94.12, 1777900, 94.12, 0, 1, 93.685, -999
20141128, 92.77, 94.34, 92.68, 93.87, 949800, 93.87, 0, 1, 93.32, -999
20141126, 92, 92.93, 92, 92.24, 1411800, 92.24, 0, 1, 92.12, -999
20141125, 92.2, 93.23, 92.03, 92.66, 1330900, 92.66, 0, 1, 92.43, -999
20141124, 92.01, 92.99, 91.79, 92.67, 1717200, 92.67, 0, 1, 92.34, -999
20141121, 95.34, 95.42, 91.71, 91.72, 3773000, 91.72, 0, 1, 93.53, -999
20141120, 91.06, 91.07, 90.41, 90.73, 1677000, 90.73, 0, 1, 90.895, -999
20141119, 91.2, 91.52, 90.62, 91.42, 1302600, 91.42, 0, 1, 91.31, -999
20141118, 91.01, 91.76, 90.94, 91.34, 1577100, 91.34, 0, 1, 91.175, -999
20141117, 90.71, 91.4, 90.43, 90.93, 1806200, 90.93, 0, 1, 90.82, -999
20141114, 90.37, 90.71, 89.72, 90.69, 917900, 90.69, 0, 1, 90.53, -999
20141113, 89.87, 90.45, 89.49, 90.44, 1133900, 90.44, 0, 1, 90.155, -999
20141112, 90.43, 90.7, 89.47, 89.62, 1287700, 89.62, 0, 1, 90.025, -999
20141111, 90, 90.91, 89.92, 90.71, 1324800, 90.71, 0, 1, 90.355, -999
20141110, 88.75, 90, 88.53, 89.88, 1032600, 89.88, 0, 1, 89.315, -999
20141107, 89.3, 89.37, 88.61, 88.81, 790700, 88.81, 0, 1, 89.055, -999
20141106, 88.87, 89.19, 88.48, 89.13, 950100, 89.13, 0, 1, 89, -999
20141105, 88.51, 89.15, 88.21, 88.73, 1193200, 88.73, 0, 1, 88.62, -999
20141104, 88.13, 88.97, 88.05, 88.45, 872800, 88.45, 0, 1, 88.29, -999
20141103, 88.24, 88.81, 87.87, 88.34, 858700, 88.34, 0, 1, 88.29, -999
20141031, 88.61, 88.84, 87.65, 88.01, 1537300, 88.01, 0, 1, 88.31, -999
