Ticker: IP  Created on: 12/6/2014 5:24:58 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 54.62, 55.14, 54.62, 55.07, 2269100, 55.07, 0, 1, 54.845, -999
20141204, 54.29, 55.15, 54.24, 54.78, 2655800, 54.78, 0, 1, 54.535, -999
20141203, 53.81, 54.48, 53.76, 54.31, 2359700, 54.31, 0, 1, 54.06, -999
20141202, 53.31, 54.18, 53.13, 54.01, 3006600, 54.01, 0, 1, 53.66, -999
20141201, 53.67, 53.76, 52.68, 52.95, 2524900, 52.95, 0, 1, 53.31, -999
20141128, 53.48, 54.11, 53.48, 53.82, 1183600, 53.82, 0, 1, 53.65, -999
20141126, 53.94, 53.96, 53.05, 53.37, 1968800, 53.37, 0, 1, 53.655, -999
20141125, 53.75, 54.21, 53.57, 53.94, 2752500, 53.94, 0, 1, 53.845, -999
20141124, 53.78, 54.24, 53.64, 53.65, 2992700, 53.65, 0, 1, 53.715, -999
20141121, 54.35, 54.72, 53.54, 53.62, 3414100, 53.62, 0, 1, 53.985, -999
20141120, 53.94, 54.24, 53.64, 53.74, 3112300, 53.74, 0, 1, 53.84, -999
20141119, 54.76, 54.84, 54.16, 54.32, 4245200, 54.32, 0, 1, 54.54, -999
20141118, 54.8, 55.13, 54.6, 54.98, 3586700, 54.98, 0, 1, 54.89, -999
20141117, 54.53, 54.96, 54.49, 54.84, 1652000, 54.84, 0, 1, 54.685, -999
20141114, 54.29, 54.66, 54.22, 54.43, 2882100, 54.43, 0, 1, 54.36, -999
20141113, 53.72, 54.85, 53.72, 54.72, 5215200, 54.72, 0, 1, 54.22, -999
20141112, 53.62, 54.15, 53.53, 54.05, 2410900, 53.65, 0, 1, 53.635, -999
20141111, 53.66, 53.83, 53.4, 53.62, 2676500, 53.22, 0, 1, 53.44, -999
20141110, 52.84, 53.67, 52.65, 53.66, 2583700, 53.26, 0, 1, 53.05, -999
