Ticker: IRM  Created on: 12/6/2014 5:25:00 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 37.29, 37.64, 37.2, 37.33, 1059300, 37.33, 0, 1, 37.31, -999
20141204, 37.45, 37.56, 37.19, 37.38, 1554900, 37.38, 0, 1, 37.415, -999
20141203, 38.35, 38.58, 37.35, 37.5, 4226600, 37.5, 0, 1, 37.925, -999
20141202, 38.81, 39.14, 38.54, 38.92, 2627100, 38.44, 0, 1, 38.625, -999
20141201, 37.88, 39.34, 37.77, 38.83, 3493100, 38.36, 0, 1, 38.12, -999
20141128, 37.8, 38.09, 37.67, 38.01, 1127400, 37.55, 0, 1, 37.675, -999
20141126, 36.95, 37.7, 36.95, 37.58, 3228700, 37.12, 0, 1, 37.035, -999
20141125, 37.8, 37.95, 37.2, 37.2, 17681900, 36.75, 0, 1, 37.275, -999
20141124, 37.9, 38.03, 37.57, 37.94, 1839500, 37.23, 0, 1, 37.565, -999
20141121, 38.05, 38.23, 37.59, 37.66, 1424100, 36.95, 0, 1, 37.5, -999
20141120, 37.63, 37.69, 37.16, 37.67, 1830900, 36.96, 0, 1, 37.295, -999
20141119, 37.74, 37.82, 37.3, 37.69, 2894400, 36.98, 0, 1, 37.36, -999
20141118, 37.88, 37.97, 37.54, 37.74, 2116800, 37.03, 0, 1, 37.455, -999
20141117, 37.97, 38.11, 37.81, 37.86, 2069500, 37.15, 0, 1, 37.56, -999
20141114, 38.35, 38.5, 37.64, 37.69, 2065800, 36.98, 0, 1, 37.665, -999
20141113, 38.08, 38.39, 38.02, 38.37, 2048800, 37.65, 0, 1, 37.865, -999
20141112, 37.72, 38.17, 37.66, 38.05, 1291000, 37.33, 0, 1, 37.525, -999
20141111, 37.53, 37.83, 37.43, 37.83, 1805800, 37.12, 0, 1, 37.325, -999
20141110, 37.93, 38, 37.35, 37.64, 2362300, 36.93, 0, 1, 37.43, -999
20141107, 36.7, 38.06, 36.7, 38.05, 4389200, 37.33, 0, 1, 37.015, -999
20141106, 36.2, 36.51, 36.2, 36.47, 1767900, 35.78, 0, 1, 35.99, -999
20141105, 36.6, 36.84, 36.05, 36.11, 2366400, 35.43, 0, 1, 36.015, -999
20141104, 36.74, 36.9, 36.19, 36.31, 2438000, 35.63, 0, 1, 36.185, -999
20141103, 36.05, 36.93, 35.88, 36.65, 3353500, 35.96, 0, 1, 36.005, -999
