Ticker: IR  Created on: 12/6/2014 5:24:55 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 63.28, 63.87, 63.19, 63.6, 1364600, 63.6, 0, 1, 63.44, -999
20141204, 63.54, 63.74, 63.07, 63.28, 1546600, 63.28, 0, 1, 63.41, -999
20141203, 63.06, 64.45, 62.98, 63.81, 1638500, 63.81, 0, 1, 63.435, -999
20141202, 62.54, 63.28, 62.36, 63.06, 1326700, 63.06, 0, 1, 62.8, -999
20141201, 62.86, 62.95, 61.64, 62.12, 1406000, 62.12, 0, 1, 62.49, -999
20141128, 63.34, 63.39, 62.8, 63.06, 640400, 63.06, 0, 1, 63.2, -999
20141126, 63.84, 63.93, 63.36, 63.49, 1041000, 63.49, 0, 1, 63.665, -999
20141125, 63.8, 64.15, 63.53, 63.84, 1462600, 63.84, 0, 1, 63.82, -999
20141124, 63.73, 63.89, 63.49, 63.77, 1237700, 63.77, 0, 1, 63.75, -999
20141121, 63.73, 64.17, 63.35, 63.47, 1150900, 63.47, 0, 1, 63.6, -999
20141120, 62.28, 63.23, 62.01, 63.02, 1190900, 63.02, 0, 1, 62.65, -999
20141119, 62.68, 62.72, 61.98, 62.7, 1271700, 62.7, 0, 1, 62.69, -999
20141118, 62.66, 63.21, 62.35, 62.76, 1322300, 62.76, 0, 1, 62.71, -999
20141117, 62.5, 62.65, 62.22, 62.52, 1531200, 62.52, 0, 1, 62.51, -999
20141114, 62.42, 62.95, 62.42, 62.59, 1085000, 62.59, 0, 1, 62.505, -999
20141113, 63.14, 63.14, 62.33, 62.53, 1294600, 62.53, 0, 1, 62.835, -999
20141112, 62.83, 63.43, 62.65, 63, 1465200, 63, 0, 1, 62.915, -999
20141111, 63.67, 63.76, 62.91, 63.05, 1541500, 63.05, 0, 1, 63.36, -999
20141110, 63.51, 63.86, 63.34, 63.42, 1628400, 63.42, 0, 1, 63.465, -999
20141107, 63.16, 63.77, 63.07, 63.51, 1465800, 63.51, 0, 1, 63.335, -999
20141106, 62.12, 63.2, 61.98, 63.16, 1855600, 63.16, 0, 1, 62.64, -999
20141105, 61.8, 62.41, 60.64, 62.2, 3315300, 62.2, 0, 1, 62, -999
20141104, 61.68, 61.81, 61.01, 61.34, 1588400, 61.34, 0, 1, 61.51, -999
20141103, 62.59, 62.67, 61.56, 61.81, 2350200, 61.81, 0, 1, 62.2, -999
20141031, 62.38, 62.82, 62.12, 62.62, 2368000, 62.62, 0, 1, 62.5, -999
20141030, 61.29, 62.01, 60.95, 61.73, 1509200, 61.73, 0, 1, 61.51, -999
20141029, 61.98, 62.18, 60.71, 61.48, 1602200, 61.48, 0, 1, 61.73, -999
20141028, 60.6, 62.1, 60.5, 62, 2121400, 62, 0, 1, 61.3, -999
20141027, 60.02, 60.39, 59.59, 60.18, 1989500, 60.18, 0, 1, 60.1, -999
20141024, 60.23, 60.33, 59.34, 60.26, 1734800, 60.26, 0, 1, 60.245, -999
20141023, 58.26, 60.84, 58.25, 60.01, 2757000, 60.01, 0, 1, 59.135, -999
20141022, 57.15, 60.1, 56.8, 57.74, 7247700, 57.74, 0, 1, 57.445, -999
20141021, 57.85, 59.13, 57.77, 58.34, 3758500, 58.34, 0, 1, 58.095, -999
20141020, 56.38, 57.25, 56.09, 57.15, 2675800, 57.15, 0, 1, 56.765, -999
20141017, 55.54, 56.87, 55.41, 56.48, 2981000, 56.48, 0, 1, 56.01, -999
20141016, 53, 55.12, 52.99, 54.91, 2755000, 54.91, 0, 1, 53.955, -999
20141015, 53.27, 54.31, 52.47, 53.94, 3232300, 53.94, 0, 1, 53.605, -999
20141014, 54.01, 54.64, 53.83, 54.08, 3778900, 54.08, 0, 1, 54.045, -999
20141013, 54.75, 54.94, 53.48, 53.57, 3067700, 53.57, 0, 1, 54.16, -999
