Ticker: ISRG  Created on: 12/6/2014 5:24:59 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 509, 514.74, 508.02, 508.87, 119100, 508.87, 0, 1, 508.935, -999
20141204, 512.5, 519.95, 509, 510.7, 180200, 510.7, 0, 1, 511.6, -999
20141203, 511.71, 519.81, 510.89, 518.61, 158200, 518.61, 0, 1, 515.16, -999
20141202, 515.94, 516.05, 509.54, 512.38, 179400, 512.38, 0, 1, 514.16, -999
20141201, 515.87, 519.27, 511.68, 513.73, 130600, 513.73, 0, 1, 514.8, -999
20141128, 515.01, 519.69, 514.34, 517.77, 94200, 517.77, 0, 1, 516.39, -999
20141126, 504.24, 516.16, 504.24, 515.01, 146800, 515.01, 0, 1, 509.625, -999
20141125, 520, 523.65, 515.15, 516.49, 345500, 516.49, 0, 1, 518.245, -999
20141124, 515, 522.28, 513.8, 521.33, 263700, 521.33, 0, 1, 518.165, -999
20141121, 520, 520, 509.12, 515.43, 264100, 515.43, 0, 1, 517.715, -999
20141120, 511.83, 515.31, 511.36, 513.52, 114000, 513.52, 0, 1, 512.675, -999
20141119, 514.53, 515.74, 511.44, 513.03, 210900, 513.03, 0, 1, 513.78, -999
20141118, 510.35, 517.85, 510, 516.19, 222300, 516.19, 0, 1, 513.27, -999
20141117, 510.3, 518.33, 509.95, 511.39, 173500, 511.39, 0, 1, 510.845, -999
20141114, 517.41, 517.83, 510.75, 512.21, 196100, 512.21, 0, 1, 514.81, -999
20141113, 514.35, 523.41, 514.14, 516.1, 341000, 516.1, 0, 1, 515.225, -999
20141112, 514.34, 516.81, 509.48, 513.24, 159200, 513.24, 0, 1, 513.79, -999
20141111, 509.84, 514.88, 503, 514.34, 258600, 514.34, 0, 1, 512.09, -999
20141110, 499.12, 509.46, 499.12, 508.99, 267700, 508.99, 0, 1, 504.055, -999
20141107, 510.37, 511.4, 497, 500.02, 252400, 500.02, 0, 1, 505.195, -999
20141106, 504.01, 512.23, 499.02, 508.65, 269700, 508.65, 0, 1, 506.33, -999
20141105, 497.84, 506.23, 494.02, 505.37, 442400, 505.37, 0, 1, 501.605, -999
20141104, 495.84, 498.77, 490.55, 496, 232300, 496, 0, 1, 495.92, -999
20141103, 487.06, 500.82, 486.31, 495.84, 277300, 495.84, 0, 1, 491.45, -999
20141031, 495.77, 500.51, 492.52, 495.8, 375700, 495.8, 0, 1, 495.785, -999
20141030, 485.55, 494.08, 482.24, 490, 261900, 490, 0, 1, 487.775, -999
20141029, 482.35, 490, 480.88, 487.42, 315300, 487.42, 0, 1, 484.885, -999
20141028, 479.79, 492.14, 478.57, 491.69, 324000, 491.69, 0, 1, 485.74, -999
20141027, 475.49, 479.98, 469.75, 477.71, 387900, 477.71, 0, 1, 476.6, -999
20141024, 485.32, 487.78, 477.29, 478.01, 453000, 478.01, 0, 1, 481.665, -999
20141023, 484.19, 494.54, 482.59, 485.53, 448500, 485.53, 0, 1, 484.86, -999
20141022, 501.7, 501.7, 476.97, 481.81, 899800, 481.81, 0, 1, 491.755, -999
20141021, 484.15, 498.66, 475, 495.77, 777600, 495.77, 0, 1, 489.96, -999
