Ticker: ITW  Created on: 12/6/2014 5:24:55 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 96.07, 97.17, 95.97, 96.69, 1546000, 96.69, 0, 1, 96.38, -999
20141204, 96.72, 96.84, 95.85, 96.17, 1904100, 96.17, 0, 1, 96.445, -999
20141203, 95.27, 96.92, 95.2, 96.8, 1794700, 96.8, 0, 1, 96.035, -999
20141202, 94.54, 95.37, 94.4, 94.98, 1826700, 94.98, 0, 1, 94.76, -999
20141201, 94.75, 94.87, 94.12, 94.31, 1914200, 94.31, 0, 1, 94.53, -999
20141128, 95.78, 95.85, 94.76, 94.93, 1039400, 94.93, 0, 1, 95.355, -999
20141126, 95.58, 95.76, 95.17, 95.53, 1745700, 95.53, 0, 1, 95.555, -999
20141125, 96.01, 96.18, 95.46, 95.72, 2003600, 95.72, 0, 1, 95.865, -999
20141124, 96.03, 96.33, 95.76, 96.09, 1040700, 96.09, 0, 1, 96.06, -999
20141121, 96.24, 96.54, 95.79, 95.9, 1624700, 95.9, 0, 1, 96.07, -999
20141120, 94.04, 95.11, 93.88, 95.08, 1734300, 95.08, 0, 1, 94.56, -999
20141119, 94.51, 94.66, 94.06, 94.65, 1513800, 94.65, 0, 1, 94.58, -999
20141118, 94.02, 94.96, 93.95, 94.71, 1663700, 94.71, 0, 1, 94.365, -999
20141117, 93.57, 94.04, 93.22, 93.98, 1776200, 93.98, 0, 1, 93.775, -999
20141114, 92.59, 93.78, 92.59, 93.78, 2346900, 93.78, 0, 1, 93.185, -999
20141113, 93.2, 93.42, 92.51, 92.66, 2169600, 92.66, 0, 1, 92.93, -999
20141112, 92.78, 93.43, 92.76, 93.23, 1276400, 93.23, 0, 1, 93.005, -999
20141111, 93.07, 93.5, 92.71, 93, 1789400, 93, 0, 1, 93.035, -999
20141110, 92.73, 93.4, 92.68, 93.07, 1775000, 93.07, 0, 1, 92.9, -999
20141107, 92.98, 93.16, 92.44, 92.81, 1545700, 92.81, 0, 1, 92.895, -999
20141106, 92, 93.04, 91.66, 92.96, 1322200, 92.96, 0, 1, 92.48, -999
20141105, 91.37, 91.85, 91.06, 91.72, 1332400, 91.72, 0, 1, 91.545, -999
20141104, 90.75, 91.24, 90.56, 90.9, 2377500, 90.9, 0, 1, 90.825, -999
20141103, 90.96, 91.33, 90.43, 90.9, 2129100, 90.9, 0, 1, 90.93, -999
20141031, 91.07, 91.39, 90.41, 91.05, 2256600, 91.05, 0, 1, 91.06, -999
20141030, 89.38, 90.16, 88.79, 90.02, 1966900, 90.02, 0, 1, 89.7, -999
20141029, 89.8, 90.13, 88.93, 89.54, 2641000, 89.54, 0, 1, 89.67, -999
20141028, 88.96, 89.86, 88.96, 89.84, 1458700, 89.84, 0, 1, 89.4, -999
20141027, 87.86, 88.6, 87.55, 88.41, 1437000, 88.41, 0, 1, 88.135, -999
20141024, 87.36, 88.11, 87.18, 87.98, 1355400, 87.98, 0, 1, 87.67, -999
20141023, 87.1, 87.86, 87.1, 87.34, 1754100, 87.34, 0, 1, 87.22, -999
20141022, 86.7, 87.45, 86.06, 86.09, 2862700, 86.09, 0, 1, 86.395, -999
20141021, 85.8, 86.87, 84.91, 86.6, 2634300, 86.6, 0, 1, 86.2, -999
20141020, 83.26, 83.87, 82.88, 83.41, 2029400, 83.41, 0, 1, 83.335, -999
20141017, 83.88, 84.57, 82.91, 83.39, 3697600, 83.39, 0, 1, 83.635, -999
20141016, 80.1, 83.42, 79.99, 83.07, 3936000, 83.07, 0, 1, 81.585, -999
20141015, 79.93, 81.31, 79.06, 80.94, 2806900, 80.94, 0, 1, 80.435, -999
20141014, 79.85, 81.51, 79.66, 80.53, 2255400, 80.53, 0, 1, 80.19, -999
20141013, 80.79, 81.02, 79.14, 79.19, 2022500, 79.19, 0, 1, 79.99, -999
20141010, 81.33, 81.61, 80.27, 80.79, 2696100, 80.79, 0, 1, 81.06, -999
20141009, 83.3, 83.39, 81.57, 81.68, 1860200, 81.68, 0, 1, 82.49, -999
20141008, 81.8, 83.56, 81.36, 83.51, 1771600, 83.51, 0, 1, 82.655, -999
20141007, 83, 83.02, 81.67, 81.72, 1688700, 81.72, 0, 1, 82.36, -999
20141006, 83.81, 84.03, 83.23, 83.59, 1288700, 83.59, 0, 1, 83.7, -999
20141003, 83.44, 83.84, 83.27, 83.63, 1527000, 83.63, 0, 1, 83.535, -999
20141002, 83.12, 83.48, 82.66, 83.06, 1460500, 83.06, 0, 1, 83.09, -999
20141001, 84.28, 84.37, 82.9, 83.11, 2184000, 83.11, 0, 1, 83.695, -999
20140930, 85.25, 85.62, 84.22, 84.42, 1952900, 84.42, 0, 1, 84.835, -999
20140929, 84.98, 85.61, 84.78, 85.28, 1536500, 85.28, 0, 1, 85.13, -999
20140926, 84.35, 85.84, 84.34, 85.61, 1549500, 85.61, 0.485, 1, 84.98, -999
20140925, 86.4, 86.4, 84.96, 84.96, 1986100, 84.47, 0, 1, 85.435, -999
20140924, 86.73, 86.8, 86.11, 86.53, 3133100, 86.04, 0, 1, 86.385, -999
20140923, 87.42, 87.63, 86.69, 86.73, 2644800, 86.23, 0, 1, 86.825, -999
20140922, 88.59, 88.63, 87.64, 87.78, 1231900, 87.28, 0, 1, 87.935, -999
20140919, 89.39, 89.58, 88.21, 88.62, 4549000, 88.11, 0, 1, 88.75, -999
20140918, 89.01, 89.11, 88.58, 88.93, 1590400, 88.42, 0, 1, 88.715, -999
20140917, 88.86, 89.17, 88.23, 88.63, 1839800, 88.12, 0, 1, 88.49, -999
20140916, 88.18, 89.06, 87.94, 88.7, 1476100, 88.19, 0, 1, 88.185, -999
20140915, 88.03, 88.58, 87.63, 88.3, 1125700, 87.8, 0, 1, 87.915, -999
20140912, 88.34, 88.8, 87.96, 88.26, 1877500, 87.76, 0, 1, 88.05, -999
20140911, 87.8, 88.64, 87.71, 88.56, 1818500, 88.05, 0, 1, 87.925, -999
20140910, 88.09, 88.27, 87.43, 88.13, 2277400, 87.63, 0, 1, 87.86, -999
20140909, 87.95, 88.25, 87.62, 87.79, 1526400, 87.29, 0, 1, 87.62, -999
20140908, 88.12, 88.32, 87.67, 88, 1645400, 87.5, 0, 1, 87.81, -999
20140905, 88.09, 88.31, 87.47, 88.29, 1859200, 87.79, 0, 1, 87.94, -999
20140904, 88.17, 89.43, 88.08, 88.29, 1863100, 87.79, 0, 1, 87.98, -999
20140903, 88.66, 88.99, 88.02, 88.12, 1178500, 87.62, 0, 1, 88.14, -999
20140902, 88.28, 88.61, 87.89, 88.37, 1646300, 87.87, 0, 1, 88.075, -999
20140829, 88.26, 88.43, 87.8, 88.21, 1251800, 87.71, 0, 1, 87.985, -999
20140828, 88.05, 88.25, 87.51, 88.03, 899300, 87.53, 0, 1, 87.79, -999
20140827, 88.28, 88.78, 88.28, 88.48, 1032600, 87.97, 0, 1, 88.125, -999
20140826, 89.04, 89.23, 88.4, 88.41, 995300, 87.91, 0, 1, 88.475, -999
20140825, 89.11, 89.17, 88.63, 88.82, 1105200, 88.31, 0, 1, 88.71, -999
20140822, 88.85, 89.21, 88.22, 88.5, 1460700, 87.99, 0, 1, 88.42, -999
20140821, 89.27, 89.44, 88.54, 89.06, 1266800, 88.55, 0, 1, 88.91, -999
20140820, 88.5, 89.37, 88.31, 89.14, 1572800, 88.63, 0, 1, 88.565, -999
