Ticker: IVZ  Created on: 12/6/2014 5:24:59 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 40.63, 41.2, 40.63, 41.15, 1984000, 41.15, 0, 1, 40.89, -999
20141204, 40.41, 40.56, 40.01, 40.46, 2640200, 40.46, 0, 1, 40.435, -999
20141203, 40.48, 40.67, 40.38, 40.44, 1736700, 40.44, 0, 1, 40.46, -999
20141202, 40.46, 40.73, 40.33, 40.5, 1792000, 40.5, 0, 1, 40.48, -999
20141201, 40.25, 40.49, 39.77, 40.29, 2419100, 40.29, 0, 1, 40.27, -999
20141128, 40.62, 40.62, 40.28, 40.36, 858300, 40.36, 0, 1, 40.49, -999
20141126, 40.46, 40.57, 40.25, 40.46, 1314300, 40.46, 0, 1, 40.46, -999
20141125, 40.61, 40.64, 40.33, 40.43, 2010900, 40.43, 0, 1, 40.52, -999
20141124, 40.46, 40.8, 40.34, 40.47, 2387900, 40.47, 0, 1, 40.465, -999
20141121, 40.41, 40.66, 40.22, 40.26, 2038700, 40.26, 0, 1, 40.335, -999
20141120, 39.22, 39.9, 39.18, 39.9, 1687800, 39.9, 0, 1, 39.56, -999
20141119, 39.68, 39.79, 39.21, 39.46, 3544300, 39.46, 0, 1, 39.57, -999
20141118, 39.81, 40.02, 39.65, 39.8, 3669300, 39.8, 0, 1, 39.805, -999
20141117, 40.09, 40.11, 39.71, 39.81, 2284900, 39.81, 0, 1, 39.95, -999
20141114, 40.45, 40.59, 40.06, 40.15, 2032400, 40.15, 0, 1, 40.3, -999
20141113, 40.9, 41.11, 40.28, 40.69, 3142900, 40.44, 0, 1, 40.67, -999
20141112, 40.91, 41.04, 40.68, 40.86, 2404000, 40.61, 0, 1, 40.76, -999
20141111, 41.16, 41.24, 40.99, 41.05, 1528000, 40.8, 0, 1, 40.98, -999
20141110, 41.27, 41.36, 41.01, 41.17, 2279000, 40.92, 0, 1, 41.095, -999
20141107, 41, 41.48, 40.73, 41.28, 2335200, 41.03, 0, 1, 41.015, -999
20141106, 40.36, 41.03, 40.36, 40.95, 2068400, 40.7, 0, 1, 40.53, -999
20141105, 40.37, 40.46, 40.12, 40.43, 1766000, 40.18, 0, 1, 40.275, -999
20141104, 39.94, 40.34, 39.64, 40.15, 1896600, 39.9, 0, 1, 39.92, -999
20141103, 40.42, 40.62, 40, 40.17, 2138700, 39.92, 0, 1, 40.17, -999
20141031, 40.29, 40.57, 40.13, 40.47, 3986100, 40.22, 0, 1, 40.255, -999
20141030, 38.81, 39.99, 38.81, 39.68, 3102700, 39.44, 0, 1, 39.125, -999
20141029, 39.24, 39.39, 38.47, 38.84, 3450500, 38.6, 0, 1, 38.92, -999
20141028, 38.19, 39.1, 38.1, 39.1, 2911100, 38.86, 0, 1, 38.525, -999
20141027, 37.81, 38.03, 37.61, 37.94, 2187600, 37.71, 0, 1, 37.76, -999
20141024, 37.78, 38.09, 37.67, 38.06, 2354100, 37.83, 0, 1, 37.805, -999
20141023, 37.52, 38.07, 37.46, 37.8, 2627200, 37.57, 0, 1, 37.545, -999
20141022, 37.76, 37.76, 37.08, 37.12, 2013100, 36.89, 0, 1, 37.325, -999
20141021, 37.04, 37.78, 36.93, 37.78, 2915800, 37.55, 0, 1, 37.295, -999
20141020, 36.5, 36.75, 36.34, 36.7, 2664700, 36.47, 0, 1, 36.485, -999
20141017, 36.35, 36.8, 36.23, 36.69, 3446400, 36.46, 0, 1, 36.405, -999
20141016, 34.78, 36.16, 34.75, 35.85, 3912600, 35.63, 0, 1, 35.205, -999
20141015, 35.15, 35.75, 34.4, 35.56, 5274600, 35.34, 0, 1, 35.245, -999
20141014, 36.2, 36.32, 35.47, 35.73, 5035500, 35.51, 0, 1, 35.855, -999
20141013, 37.01, 37.1, 36.01, 36.06, 3794800, 35.84, 0, 1, 36.425, -999
20141010, 37.55, 37.79, 36.99, 37, 3677900, 36.77, 0, 1, 37.16, -999
20141009, 38.72, 38.85, 37.57, 37.57, 3407500, 37.34, 0, 1, 38.03, -999
20141008, 38.51, 38.94, 38.06, 38.9, 5471000, 38.66, 0, 1, 38.585, -999
20141007, 39.35, 39.35, 38.53, 38.56, 2302300, 38.32, 0, 1, 38.835, -999
20141006, 39.86, 39.88, 39.31, 39.57, 2428500, 39.33, 0, 1, 39.595, -999
20141003, 39.35, 39.88, 39.16, 39.63, 3265000, 39.39, 0, 1, 39.37, -999
20141002, 38.71, 39.11, 38.31, 39, 3560300, 38.76, 0, 1, 38.735, -999
20141001, 39.45, 39.45, 38.7, 38.83, 3708600, 38.59, 0, 1, 39.02, -999
20140930, 39.55, 39.82, 39.36, 39.48, 2701500, 39.24, 0, 1, 39.395, -999
20140929, 39.66, 39.87, 39.48, 39.6, 2714500, 39.36, 0, 1, 39.51, -999
20140926, 39.89, 40.3, 39.76, 40.2, 3036500, 39.95, 0, 1, 39.92, -999
20140925, 40.47, 40.47, 39.55, 39.65, 2811900, 39.41, 0, 1, 39.94, -999
20140924, 40.26, 40.57, 40.1, 40.53, 2926200, 40.28, 0, 1, 40.27, -999
20140923, 40.52, 40.81, 40.2, 40.27, 2363400, 40.02, 0, 1, 40.27, -999
20140922, 40.76, 40.88, 40.38, 40.63, 2600000, 40.38, 0, 1, 40.57, -999
20140919, 41.32, 41.41, 40.92, 40.99, 2885500, 40.74, 0, 1, 41.03, -999
20140918, 41.07, 41.44, 40.99, 41.25, 2210900, 41, 0, 1, 41.035, -999
20140917, 40.65, 41.07, 40.5, 40.85, 2480000, 40.6, 0, 1, 40.625, -999
20140916, 40.2, 40.7, 39.97, 40.61, 2182000, 40.36, 0, 1, 40.28, -999
20140915, 40.71, 40.84, 40.38, 40.41, 2263600, 40.16, 0, 1, 40.435, -999
20140912, 40.71, 40.9, 40.58, 40.8, 2961200, 40.55, 0, 1, 40.63, -999
20140911, 40.36, 40.77, 40.28, 40.73, 2336000, 40.48, 0, 1, 40.42, -999
20140910, 40.45, 40.63, 40.22, 40.47, 2079800, 40.22, 0, 1, 40.335, -999
20140909, 40.85, 40.95, 40.22, 40.33, 2626600, 40.08, 0, 1, 40.465, -999
