Ticker: JCI  Created on: 12/6/2014 5:25:02 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 49.91, 50.03, 49.44, 49.6, 3350400, 49.6, 0, 1, 49.755, -999
20141204, 50.3, 50.55, 49.75, 49.9, 2512700, 49.9, 0, 1, 50.1, -999
20141203, 50.22, 50.83, 50.1, 50.34, 6653100, 50.34, 0, 1, 50.28, -999
20141202, 49.24, 50.22, 49.19, 49.94, 3818800, 49.94, 0, 1, 49.59, -999
20141201, 49.63, 49.74, 49, 49.18, 5136000, 49.18, 0, 1, 49.405, -999
20141128, 50.11, 50.48, 49.87, 50, 1931900, 50, 0, 1, 50.055, -999
20141126, 50.26, 50.35, 49.6, 49.89, 4476200, 49.89, 0, 1, 50.075, -999
20141125, 50.6, 50.66, 50.25, 50.27, 4139700, 50.27, 0, 1, 50.435, -999
20141124, 50.44, 50.77, 50.34, 50.52, 3858900, 50.52, 0, 1, 50.48, -999
20141121, 50.62, 50.92, 50.1, 50.17, 5077900, 50.17, 0, 1, 50.395, -999
20141120, 49.94, 50.46, 49.87, 50.07, 4373900, 50.07, 0, 1, 50.005, -999
20141119, 50.12, 50.48, 49.95, 50.19, 3067100, 50.19, 0, 1, 50.155, -999
20141118, 49.61, 50.37, 49.61, 50.23, 2560800, 50.23, 0, 1, 49.92, -999
20141117, 49.35, 49.82, 49.29, 49.72, 2246100, 49.72, 0, 1, 49.535, -999
20141114, 49.28, 49.46, 49.17, 49.41, 3179900, 49.41, 0, 1, 49.345, -999
20141113, 49.58, 49.73, 49.29, 49.41, 3541400, 49.41, 0, 1, 49.495, -999
20141112, 49.33, 49.73, 49.09, 49.54, 3705200, 49.54, 0, 1, 49.435, -999
20141111, 49.07, 49.7, 49.03, 49.58, 2465200, 49.58, 0, 1, 49.325, -999
20141110, 48.75, 49.28, 48.45, 49.17, 2629600, 49.17, 0, 1, 48.96, -999
20141107, 49.3, 49.58, 48.51, 48.76, 5469800, 48.76, 0, 1, 49.03, -999
20141106, 48.62, 49.69, 48.51, 49.41, 4351700, 49.41, 0, 1, 49.015, -999
20141105, 47.98, 48.63, 47.84, 48.56, 2976400, 48.56, 0, 1, 48.27, -999
20141104, 47.57, 47.98, 47.5, 47.69, 3869900, 47.69, 0, 1, 47.63, -999
20141103, 47.4, 48.37, 47.4, 47.83, 4789100, 47.83, 0, 1, 47.615, -999
20141031, 46.42, 47.46, 46.4, 47.25, 6617900, 47.25, 0, 1, 46.835, -999
20141030, 44.06, 46, 43.5, 45.79, 5071000, 45.79, 0, 1, 44.925, -999
20141029, 44.44, 44.61, 43.69, 44.42, 4667700, 44.42, 0, 1, 44.43, -999
20141028, 44, 44.41, 43.68, 44.4, 3993900, 44.4, 0, 1, 44.2, -999
20141027, 43.44, 43.84, 42.86, 43.74, 5328700, 43.74, 0, 1, 43.59, -999
20141024, 42.91, 43.59, 42.52, 43.57, 4023700, 43.57, 0, 1, 43.24, -999
20141023, 42.07, 42.94, 42.07, 42.76, 3073400, 42.76, 0, 1, 42.415, -999
20141022, 42.18, 42.35, 41.61, 41.68, 3074100, 41.68, 0, 1, 41.93, -999
20141021, 41.13, 42.02, 41.06, 41.99, 4082900, 41.99, 0, 1, 41.56, -999
20141020, 40.84, 40.88, 40.42, 40.79, 3962800, 40.79, 0, 1, 40.815, -999
20141017, 41.26, 41.62, 40.49, 40.92, 4830500, 40.92, 0, 1, 41.09, -999
20141016, 39.17, 40.81, 39.16, 40.69, 4196400, 40.69, 0, 1, 39.93, -999
20141015, 39.55, 40.09, 38.6, 39.9, 7600600, 39.9, 0, 1, 39.725, -999
20141014, 40.19, 40.61, 39.23, 40.34, 6094700, 40.34, 0, 1, 40.265, -999
20141013, 40.74, 41.18, 40.16, 40.24, 4680600, 40.24, 0, 1, 40.49, -999
20141010, 42.17, 42.42, 41.26, 41.27, 4467600, 41.27, 0, 1, 41.72, -999
20141009, 44.14, 44.16, 42.23, 42.28, 4679400, 42.28, 0, 1, 43.21, -999
20141008, 43.66, 44.25, 43.09, 44.22, 3775500, 44.22, 0, 1, 43.94, -999
20141007, 44.43, 44.54, 43.72, 43.72, 3271600, 43.72, 0, 1, 44.075, -999
20141006, 44.94, 45.02, 44.59, 44.72, 1798900, 44.72, 0, 1, 44.83, -999
20141003, 45.03, 45.2, 44.63, 44.82, 3271800, 44.82, 0, 1, 44.925, -999
20141002, 44.11, 44.75, 43.82, 44.68, 3313000, 44.68, 0, 1, 44.395, -999
20141001, 44.03, 44.35, 43.81, 44.07, 4986700, 44.07, 0, 1, 44.05, -999
20140930, 44.38, 44.53, 43.74, 44, 4463100, 44, 0, 1, 44.19, -999
20140929, 44.85, 44.91, 44.34, 44.39, 3440200, 44.39, 0, 1, 44.62, -999
20140926, 44.8, 45.06, 44.56, 45.02, 3193100, 45.02, 0, 1, 44.91, -999
