Ticker: JEC  Created on: 12/6/2014 5:25:01 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 46.3, 46.83, 46, 46.31, 1314500, 46.31, 0, 1, 46.305, -999
20141204, 46.56, 46.61, 45.9, 46.31, 1087500, 46.31, 0, 1, 46.435, -999
20141203, 46.95, 47.96, 46.73, 46.79, 1572400, 46.79, 0, 1, 46.87, -999
20141202, 45.5, 46.61, 45.5, 46.58, 2618600, 46.58, 0, 1, 46.04, -999
20141201, 46.25, 46.42, 45.28, 45.97, 2437300, 45.97, 0, 1, 46.11, -999
20141128, 47.01, 47.06, 45.9, 46.45, 1262400, 46.45, 0, 1, 46.73, -999
20141126, 48.25, 48.46, 47.42, 47.47, 1293000, 47.47, 0, 1, 47.86, -999
20141125, 47.73, 48.66, 47.6, 48.33, 2079600, 48.33, 0, 1, 48.03, -999
20141124, 48.25, 48.38, 47.12, 47.51, 2816200, 47.51, 0, 1, 47.88, -999
20141121, 49.47, 49.9, 48.91, 49.08, 1628800, 49.08, 0, 1, 49.275, -999
20141120, 47, 49.26, 46.95, 48.75, 1435800, 48.75, 0, 1, 47.875, -999
20141119, 47.35, 47.6, 47.06, 47.2, 1903300, 47.2, 0, 1, 47.275, -999
20141118, 47.28, 48.39, 46.72, 47.7, 2297200, 47.7, 0, 1, 47.49, -999
20141117, 47.54, 47.54, 46.94, 47.23, 1071400, 47.23, 0, 1, 47.385, -999
20141114, 47.36, 48.07, 47.21, 47.69, 1080200, 47.69, 0, 1, 47.525, -999
20141113, 48.21, 48.47, 47.06, 47.48, 927300, 47.48, 0, 1, 47.845, -999
20141112, 47.41, 48.5, 47.4, 48.4, 1037500, 48.4, 0, 1, 47.905, -999
20141111, 47.51, 47.81, 47.29, 47.58, 934100, 47.58, 0, 1, 47.545, -999
20141110, 48.07, 48.54, 47.33, 47.62, 1212700, 47.62, 0, 1, 47.845, -999
20141107, 48.02, 48.49, 47.87, 48.26, 1061000, 48.26, 0, 1, 48.14, -999
20141106, 48.06, 48.41, 47.69, 47.92, 977800, 47.92, 0, 1, 47.99, -999
20141105, 47.27, 48.15, 46.82, 47.93, 1127100, 47.93, 0, 1, 47.6, -999
20141104, 46.92, 47.27, 46.49, 46.84, 1577900, 46.84, 0, 1, 46.88, -999
