Ticker: JNPR  Created on: 12/6/2014 5:25:02 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 22.17, 22.37, 22.06, 22.34, 4707600, 22.34, 0, 1, 22.255, -999
20141204, 22.22, 22.28, 22.08, 22.24, 3891100, 22.24, 0, 1, 22.23, -999
20141203, 21.63, 22.33, 21.59, 22.31, 5782200, 22.31, 0, 1, 21.97, -999
20141202, 21.58, 21.7, 21.41, 21.53, 5900000, 21.53, 0, 1, 21.555, -999
20141201, 22.09, 22.09, 21.67, 21.76, 5173500, 21.76, 0, 1, 21.925, -999
20141128, 22.07, 22.28, 21.9, 22.16, 2035600, 22.16, 0, 1, 22.115, -999
20141126, 22.23, 22.29, 22.12, 22.2, 5056200, 22.1, 0, 1, 22.165, -999
20141125, 22.02, 22.27, 22.01, 22.26, 4853600, 22.16, 0, 1, 22.09, -999
20141124, 21.84, 22.08, 21.72, 22.05, 4000300, 21.95, 0, 1, 21.895, -999
20141121, 21.63, 21.85, 21.53, 21.85, 3685000, 21.75, 0, 1, 21.69, -999
20141120, 21.35, 21.49, 21.18, 21.39, 3879800, 21.29, 0, 1, 21.32, -999
20141119, 21.51, 21.54, 21.29, 21.46, 3808800, 21.36, 0, 1, 21.435, -999
20141118, 21.27, 21.71, 21.19, 21.58, 5535100, 21.48, 0, 1, 21.375, -999
20141117, 21.04, 21.43, 20.88, 21.33, 6537500, 21.23, 0, 1, 21.135, -999
20141114, 20.41, 21.02, 20.4, 20.99, 5634600, 20.9, 0, 1, 20.655, -999
20141113, 20.8, 20.85, 20.35, 20.45, 7384800, 20.36, 0, 1, 20.58, -999
20141112, 20.18, 20.96, 20.13, 20.87, 9857200, 20.78, 0, 1, 20.48, -999
20141111, 21.86, 21.95, 20.22, 20.28, 21582500, 20.19, 0, 1, 21.025, -999
20141110, 21.18, 21.7, 21.18, 21.5, 6225800, 21.4, 0, 1, 21.29, -999
20141107, 21.55, 22, 21.55, 21.91, 5231600, 21.81, 0, 1, 21.68, -999
20141106, 21.45, 21.67, 21.41, 21.61, 5634300, 21.51, 0, 1, 21.48, -999
20141105, 21.26, 21.47, 21.09, 21.43, 5069200, 21.33, 0, 1, 21.295, -999
20141104, 21.12, 21.23, 20.95, 21.19, 4573800, 21.09, 0, 1, 21.105, -999
20141103, 21.05, 21.11, 20.83, 21.07, 6262600, 20.98, 0, 1, 21.015, -999
20141031, 21.18, 21.31, 20.84, 21.07, 11697200, 20.98, 0, 1, 21.08, -999
20141030, 20.95, 21.23, 20.8, 20.97, 10288300, 20.88, 0, 1, 20.915, -999
20141029, 20.65, 21.03, 20.52, 20.96, 11885400, 20.87, 0, 1, 20.76, -999
