Ticker: KEY  Created on: 12/6/2014 5:25:04 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 13.59, 13.92, 13.59, 13.78, 12666000, 13.78, 0, 1, 13.685, -999
20141204, 13.34, 13.5, 13.3, 13.49, 11942600, 13.49, 0, 1, 13.415, -999
20141203, 13.2, 13.37, 13.19, 13.32, 8244300, 13.32, 0, 1, 13.26, -999
20141202, 13.21, 13.4, 13.16, 13.2, 11576900, 13.2, 0, 1, 13.205, -999
20141201, 13.44, 13.46, 13.04, 13.18, 17273000, 13.18, 0, 1, 13.31, -999
20141128, 13.64, 13.66, 13.47, 13.5, 5158900, 13.5, 0, 1, 13.57, -999
20141126, 13.52, 13.63, 13.52, 13.62, 6521200, 13.56, 0, 1, 13.54, -999
20141125, 13.57, 13.58, 13.47, 13.54, 11647000, 13.48, 0, 1, 13.525, -999
20141124, 13.32, 13.56, 13.32, 13.53, 13012500, 13.47, 0, 1, 13.395, -999
20141121, 13.38, 13.51, 13.23, 13.24, 8791000, 13.18, 0, 1, 13.28, -999
20141120, 13.17, 13.35, 13.16, 13.35, 6733100, 13.29, 0, 1, 13.23, -999
20141119, 13.31, 13.32, 13.17, 13.29, 9216100, 13.23, 0, 1, 13.27, -999
20141118, 13.26, 13.34, 13.19, 13.31, 11595200, 13.25, 0, 1, 13.255, -999
20141117, 13.3, 13.33, 13.2, 13.24, 8665600, 13.18, 0, 1, 13.24, -999
20141114, 13.41, 13.5, 13.31, 13.35, 7740900, 13.29, 0, 1, 13.35, -999
20141113, 13.46, 13.53, 13.36, 13.45, 9893600, 13.39, 0, 1, 13.425, -999
20141112, 13.39, 13.52, 13.39, 13.48, 8028200, 13.42, 0, 1, 13.405, -999
20141111, 13.47, 13.54, 13.42, 13.48, 5476800, 13.42, 0, 1, 13.445, -999
20141110, 13.36, 13.51, 13.35, 13.48, 5061100, 13.42, 0, 1, 13.39, -999
20141107, 13.43, 13.5, 13.32, 13.39, 7201800, 13.33, 0, 1, 13.38, -999
20141106, 13.38, 13.5, 13.29, 13.48, 7552800, 13.42, 0, 1, 13.4, -999
20141105, 13.35, 13.38, 13.19, 13.32, 9318600, 13.26, 0, 1, 13.305, -999
20141104, 13.24, 13.28, 13.1, 13.25, 7629400, 13.19, 0, 1, 13.215, -999
20141103, 13.19, 13.31, 13.15, 13.22, 11754500, 13.16, 0, 1, 13.175, -999
20141031, 13.25, 13.28, 13.12, 13.2, 15564000, 13.14, 0, 1, 13.195, -999
20141030, 13.07, 13.15, 12.95, 13.04, 13566400, 12.98, 0, 1, 13.025, -999
20141029, 12.96, 13.16, 12.91, 13.11, 8078000, 13.05, 0, 1, 13.005, -999
20141028, 12.82, 13.03, 12.81, 13, 7594800, 12.94, 0, 1, 12.88, -999
20141027, 12.76, 12.8, 12.71, 12.79, 6264600, 12.73, 0, 1, 12.745, -999
20141024, 12.7, 12.79, 12.68, 12.79, 7344700, 12.73, 0, 1, 12.715, -999
20141023, 12.73, 12.83, 12.67, 12.7, 10407700, 12.64, 0, 1, 12.685, -999
20141022, 12.69, 12.76, 12.52, 12.58, 16548000, 12.52, 0, 1, 12.605, -999
