Ticker: KLAC  Created on: 12/6/2014 5:25:05 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 70.33, 71.09, 70.33, 70.66, 1413800, 70.66, 0, 1, 70.495, -999
20141204, 71.14, 71.71, 69.97, 70.33, 1851100, 70.33, 0, 1, 70.735, -999
20141203, 68.97, 71.21, 68.71, 71.02, 2271700, 71.02, 0, 1, 69.995, -999
20141202, 68.94, 69.1, 68.18, 68.84, 1924500, 68.84, 0, 1, 68.89, -999
20141201, 69.07, 69.77, 68.21, 68.86, 2107000, 68.86, 0, 1, 68.965, -999
20141128, 67.68, 69.62, 67.5, 69.44, 1944100, 69.44, 0, 1, 68.56, -999
20141126, 67.53, 67.89, 66.74, 67.33, 2725900, 67.33, 0, 1.24, 67.43, -999
20141125, 83.99, 84.21, 83.26, 84.18, 2532000, 67.68, 0, 1, 75.835, -999
20141124, 82.1, 83.92, 81.8, 83.71, 2461400, 67.3, 0, 1, 74.7, -999
20141121, 81.78, 81.78, 80.55, 81.52, 2435000, 65.54, 0, 1, 73.66, -999
20141120, 80.88, 81.36, 80.25, 80.69, 2561900, 64.87, 0, 1, 72.875, -999
20141119, 80.65, 81.22, 80.23, 81.01, 1910800, 65.13, 0, 1, 72.89, -999
20141118, 78.99, 80.91, 78.99, 80.71, 1309000, 64.89, 0, 1, 71.94, -999
20141117, 79.4, 79.79, 78.64, 79.02, 1288100, 63.53, 0, 1, 71.465, -999
20141114, 79.57, 80.52, 78.98, 80.33, 945300, 64.58, 0, 1, 72.075, -999
20141113, 79.57, 80.27, 79.23, 79.44, 1022300, 63.87, 0, 1, 71.72, -999
20141112, 80.12, 80.28, 79.3, 79.73, 945800, 63.7, 0, 1, 71.91, -999
20141111, 80.63, 80.85, 80, 80.19, 799500, 64.07, 0, 1, 72.35, -999
20141110, 80.12, 80.85, 79.94, 80.51, 1019400, 64.32, 0, 1, 72.22, -999
20141107, 81.15, 81.16, 79.26, 80, 1507300, 63.92, 0, 1, 72.535, -999
20141106, 81.46, 82.03, 80.6, 80.83, 1399900, 64.58, 0, 1, 73.02, -999
20141105, 80.32, 81.65, 79.54, 81.28, 1212600, 64.94, 0, 1, 72.63, -999
20141104, 79.63, 80.71, 79.12, 80.03, 2122300, 63.94, 0, 1, 71.785, -999
20141103, 79.04, 80.52, 79.02, 79.95, 1896200, 63.88, 0, 1, 71.46, -999
20141031, 78.37, 79.88, 77.99, 79.15, 1918100, 63.24, 0, 1, 70.805, -999
20141030, 75.98, 76.41, 75.15, 76.36, 1824000, 61.01, 0, 1, 68.495, -999
20141029, 75.02, 76.69, 75.02, 76.3, 2082900, 60.96, 0, 1, 67.99, -999
20141028, 75.25, 76.11, 74.97, 76.1, 2180500, 60.8, 0, 1, 68.025, -999
20141027, 75.93, 76.28, 74.3, 75.06, 2689500, 59.97, 0, 1, 67.95, -999
20141024, 76.17, 78.63, 73.29, 75.9, 8183700, 60.64, 0, 1, 68.405, -999
20141023, 70.74, 71.7, 70.08, 71, 3933200, 56.73, 0, 1, 63.735, -999
20141022, 71.79, 71.99, 70.24, 70.3, 1258100, 56.17, 0, 1, 63.98, -999
20141021, 69.73, 71.4, 66.47, 71.38, 1088200, 57.03, 0, 1, 63.38, -999
20141020, 68.27, 69.59, 67.84, 69.56, 951400, 55.57, 0, 1, 61.92, -999
20141017, 68.93, 69.62, 68.3, 68.44, 1305400, 54.68, 0, 1, 61.805, -999
20141016, 66.33, 68.95, 66.18, 68.23, 1684500, 54.51, 0, 1, 60.42, -999
20141015, 65.29, 67.84, 65.25, 67.46, 2515900, 53.9, 0, 1, 59.595, -999
20141014, 66.52, 67.5, 65.51, 66.42, 2430700, 53.07, 0, 1, 59.795, -999
20141013, 67.92, 68.29, 65.6, 65.61, 3379200, 52.42, 0, 1, 60.17, -999
20141010, 72, 72.1, 67.74, 68.07, 6705700, 54.38, 0, 1, 63.19, -999
20141009, 75.57, 76, 73.62, 73.65, 2425600, 58.84, 0, 1, 67.205, -999
20141008, 75.75, 76.04, 75.17, 75.84, 3846300, 60.59, 0, 1, 68.17, -999
20141007, 75.59, 76.15, 74.45, 75.51, 2352300, 60.33, 0, 1, 67.96, -999
20141006, 76.62, 76.67, 75.54, 76, 1540800, 60.72, 0, 1, 68.67, -999
20141003, 76.27, 76.67, 75.93, 76.25, 1314700, 60.92, 0, 1, 68.595, -999
20141002, 76.26, 76.9, 75.58, 76.65, 1403400, 61.24, 0, 1, 68.75, -999
20141001, 78.88, 78.88, 76.29, 76.54, 2079500, 61.15, 0, 1, 70.015, -999
20140930, 79.75, 79.88, 78.76, 78.78, 1350900, 62.94, 0, 1, 71.345, -999
20140929, 79.56, 80.2, 79.43, 79.85, 821000, 63.8, 0, 1, 71.68, -999
20140926, 79.51, 80.19, 79.41, 80.06, 838900, 63.96, 0, 1, 71.735, -999
20140925, 80.33, 80.51, 78.89, 79.53, 1844100, 63.54, 0, 1, 71.935, -999
20140924, 79.99, 80.53, 79.9, 80.52, 1402200, 64.33, 0, 1, 72.16, -999
20140923, 79.92, 80.52, 79.61, 80, 1817600, 63.92, 0, 1, 71.92, -999
20140922, 80.52, 80.78, 79.89, 80.09, 1898600, 63.99, 0, 1, 72.255, -999
20140919, 81.23, 81.27, 80.52, 80.77, 2297300, 64.53, 0, 1, 72.88, -999
20140918, 79.57, 80.89, 79.44, 80.86, 1401700, 64.6, 0, 1, 72.085, -999
20140917, 78.31, 79.77, 78.02, 79.57, 1324500, 63.57, 0, 1, 70.94, -999
20140916, 77.11, 78.4, 76.96, 78.28, 1249300, 62.54, 0, 1, 69.825, -999
20140915, 78.08, 78.48, 77.24, 77.33, 2361400, 61.78, 0, 1, 69.93, -999
20140912, 78.64, 78.64, 78.2, 78.28, 1466300, 62.54, 0, 1, 70.59, -999
20140911, 78.38, 78.78, 78.12, 78.64, 1120800, 62.83, 0, 1, 70.605, -999
20140910, 78.8, 79.05, 78.27, 78.67, 1754900, 62.85, 0, 1, 70.825, -999
20140909, 78.39, 79.07, 78.03, 78.57, 2836000, 62.77, 0, 1, 70.58, -999
20140908, 78.31, 79.02, 78.15, 78.65, 1856600, 62.84, 0, 1, 70.575, -999
20140905, 77.45, 78.33, 77.4, 78.31, 1274300, 62.57, 0, 1, 70.01, -999
20140904, 77.72, 78.14, 77.34, 77.6, 1532000, 62, 0, 1, 69.86, -999
20140903, 77.27, 77.91, 77.08, 77.72, 1144900, 62.09, 0, 1, 69.68, -999
20140902, 76.54, 77.3, 76.47, 77.15, 1328600, 61.64, 0, 1, 69.09, -999
20140829, 76.64, 76.73, 76.16, 76.42, 831500, 61.06, 0, 1, 68.85, -999
20140828, 76.27, 76.44, 75.93, 76.33, 794500, 60.98, 0, 1, 68.625, -999
20140827, 75.84, 76.45, 75.84, 76.43, 916600, 61.06, 0, 1, 68.45, -999
20140826, 75.73, 76.09, 75.51, 75.97, 1203400, 60.7, 0, 1, 68.215, -999
20140825, 75.3, 75.66, 75.2, 75.51, 749700, 60.33, 0, 1, 67.815, -999
20140822, 75.15, 75.49, 74.85, 74.98, 603100, 59.91, 0, 1, 67.53, -999
20140821, 74.85, 75.3, 74.6, 75.14, 576900, 60.03, 0, 1, 67.44, -999
20140820, 74.68, 75.08, 74.48, 74.7, 694500, 59.68, 0, 1, 67.18, -999
20140819, 74.3, 75.07, 72.33, 74.96, 708200, 59.89, 0, 1, 67.095, -999
20140818, 74.44, 74.52, 73.88, 74.37, 989100, 59.42, 0, 1, 66.93, -999
20140815, 73.33, 74.41, 73.25, 74.07, 1563800, 59.18, 0, 1, 66.255, -999
20140814, 72.46, 73.11, 72.27, 73.04, 803500, 58.36, 0.5, 1, 65.41, -999
20140813, 72.85, 73.29, 72.66, 72.93, 1264700, 57.87, 0, 1, 65.36, -999
20140812, 72.32, 72.98, 72.21, 72.82, 1080200, 57.78, 0, 1, 65.05, -999
20140811, 72.44, 73.43, 72.4, 72.6, 974100, 57.61, 0, 1, 65.025, -999
20140808, 71.72, 72.4, 71.52, 72.34, 989500, 57.4, 0, 1, 64.56, -999
20140807, 72.3, 72.3, 71.33, 71.63, 1540700, 56.84, 0, 1, 64.57, -999
