Ticker: KMB  Created on: 12/6/2014 5:25:05 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 114.48, 114.7, 113.7, 114.04, 2018800, 114.04, 0, 1, 114.26, -999
20141204, 115, 115.33, 114.05, 114.6, 1726200, 114.6, 0, 1, 114.8, -999
20141203, 115.07, 115.19, 113.85, 114.7, 2856300, 114.7, 0, 1, 114.885, -999
20141202, 115.71, 116.59, 115.2, 116.22, 1720300, 115.38, 0, 1, 115.545, -999
20141201, 115.61, 116.72, 115.57, 115.91, 1564900, 115.07, 0, 1, 115.34, -999
20141128, 114.66, 116.78, 114.6, 116.59, 1328800, 115.75, 0, 1, 115.205, -999
20141126, 113.65, 114.19, 113.18, 114.16, 1299500, 113.33, 0, 1, 113.49, -999
20141125, 113.25, 114.06, 113.03, 113.84, 1592900, 113.02, 0, 1, 113.135, -999
20141124, 113.81, 113.81, 112.71, 113.02, 1903200, 112.2, 0, 1, 113.005, -999
20141121, 113.85, 114.07, 113.2, 113.61, 1885100, 112.79, 0, 1, 113.32, -999
20141120, 113.18, 113.46, 112.61, 112.73, 1903700, 111.92, 0, 1, 112.55, -999
20141119, 113.33, 114, 112.84, 113.84, 1227300, 113.02, 0, 1, 113.175, -999
20141118, 113.82, 113.82, 113.06, 113.6, 1454300, 112.78, 0, 1, 113.3, -999
20141117, 112.65, 114, 112.65, 113.65, 1766200, 112.83, 0, 1, 112.74, -999
20141114, 114.09, 114.24, 112.54, 112.65, 1641600, 111.84, 0, 1, 112.965, -999
20141113, 113.7, 114.46, 113.07, 114.07, 2142400, 113.25, 0, 1, 113.475, -999
20141112, 112.98, 113.69, 112.6, 113.38, 1401000, 112.56, 0, 1, 112.77, -999
20141111, 113.79, 113.89, 113.05, 113.37, 1308600, 112.55, 0, 1, 113.17, -999
20141110, 113.03, 113.93, 112.65, 113.92, 1327400, 113.1, 0, 1, 113.065, -999
20141107, 112.69, 113.27, 112.22, 113.24, 2038200, 112.42, 0, 1, 112.555, -999
20141106, 112.69, 113.39, 112.25, 113.05, 1808100, 112.23, 0, 1, 112.46, -999
20141105, 114.15, 114.15, 111.38, 112.28, 2539800, 111.47, 0, 1, 112.81, -999
20141104, 111.13, 113.31, 111.13, 113.16, 3057400, 112.34, 0, 1, 111.735, -999
20141103, 109.44, 111.38, 109.07, 111.36, 2298700, 110.56, 0, 1.05, 110, -999
20141031, 113.98, 114.82, 113.76, 114.27, 1923400, 108.77, 0, 1, 111.375, -999
20141030, 112.55, 113.92, 112.55, 113.62, 1155700, 108.15, 0, 1, 110.35, -999
20141029, 113.88, 114.02, 112.65, 113.44, 1292700, 107.98, 0, 1, 110.93, -999
20141028, 113.67, 113.86, 112.88, 113.73, 1408400, 108.25, 0, 1, 110.96, -999
20141027, 113.1, 113.82, 113.04, 113.29, 1132400, 107.83, 0, 1, 110.465, -999
20141024, 112.66, 113.44, 112.36, 113.1, 1273200, 107.65, 0, 1, 110.155, -999
20141023, 113.14, 113.14, 111.28, 112.01, 1841200, 106.62, 0, 1, 109.88, -999
20141022, 111.7, 113.49, 111.54, 112.65, 2379500, 107.23, 0, 1, 109.465, -999
20141021, 109.1, 111.35, 107.66, 111.23, 2134900, 105.87, 0, 1, 107.485, -999
20141020, 106.21, 108.07, 106.13, 108.04, 1723200, 102.84, 0, 1, 104.525, -999
20141017, 105.92, 106.44, 104.78, 106.26, 2464200, 101.14, 0, 1, 103.53, -999
20141016, 104.18, 105.81, 103.88, 105.04, 1955100, 99.98, 0, 1, 102.08, -999
20141015, 105.84, 107.36, 104.24, 105.41, 2833200, 100.33, 0, 1, 103.085, -999
20141014, 106.85, 107.02, 105.96, 106.41, 1782900, 101.29, 0, 1, 104.07, -999
20141013, 108.38, 108.54, 106.55, 106.6, 1736000, 101.47, 0, 1, 104.925, -999
20141010, 108.63, 109.47, 108.43, 108.43, 1474400, 103.21, 0, 1, 105.92, -999
20141009, 109.07, 109.79, 108.09, 108.45, 1685800, 103.23, 0, 1, 106.15, -999
20141008, 107.25, 109.25, 107.1, 109.21, 2227300, 103.95, 0, 1, 105.6, -999
20141007, 106.52, 107.9, 106.34, 106.97, 1713500, 101.82, 0, 1, 104.17, -999
20141006, 107.71, 108, 106.18, 106.83, 1907000, 101.69, 0, 1, 104.7, -999
20141003, 107.43, 108.04, 107.06, 107.7, 1761000, 102.51, 0, 1, 104.97, -999
20141002, 107, 107.83, 106.67, 106.81, 1472800, 101.67, 0, 1, 104.335, -999
20141001, 107.03, 107.79, 106.63, 106.75, 1632300, 101.61, 0, 1, 104.32, -999
20140930, 107.91, 107.96, 107.21, 107.57, 1530900, 102.39, 0, 1, 105.15, -999
20140929, 107.26, 108.02, 107.08, 107.91, 1201200, 102.71, 0, 1, 104.985, -999
20140926, 107.04, 108.04, 106.87, 107.85, 1255700, 102.66, 0, 1, 104.85, -999
20140925, 108.16, 108.25, 107.12, 107.2, 1685300, 102.04, 0, 1, 105.1, -999
20140924, 106.47, 108.96, 106.46, 108.86, 2372700, 103.62, 0, 1, 105.045, -999
20140923, 107.54, 107.68, 106.47, 106.47, 1399200, 101.34, 0, 1, 104.44, -999
20140922, 107.02, 108.08, 107, 107.67, 1899900, 102.48, 0, 1, 104.75, -999
20140919, 107.09, 107.2, 106.7, 106.93, 1896200, 101.78, 0, 1, 104.435, -999
20140918, 106.9, 107.01, 106.49, 106.72, 1038300, 101.58, 0, 1, 104.24, -999
20140917, 106.99, 107.38, 106.6, 106.72, 1428200, 101.58, 0, 1, 104.285, -999
20140916, 107.39, 107.39, 106.17, 106.85, 1705100, 101.7, 0, 1, 104.545, -999
20140915, 106.02, 106.57, 105.84, 106.39, 1664500, 101.27, 0, 1, 103.645, -999
20140912, 107.06, 107.06, 105.55, 106.02, 1277600, 100.91, 0, 1, 103.985, -999
20140911, 106.9, 107.14, 106.5, 107.06, 1484800, 101.9, 0, 1, 104.4, -999
20140910, 107.06, 107.1, 106.41, 106.89, 1548800, 101.74, 0, 1, 104.4, -999
20140909, 106.98, 107.19, 106.27, 106.85, 2064100, 101.7, 0, 1, 104.34, -999
20140908, 107.2, 107.7, 106.75, 106.98, 1246000, 101.83, 0, 1, 104.515, -999
20140905, 107.64, 107.89, 107.29, 107.5, 1801900, 102.32, 0, 1, 104.98, -999
20140904, 107.65, 108.39, 107.33, 107.54, 1447400, 102.36, 0, 1, 105.005, -999
20140903, 107.71, 107.94, 107.47, 107.55, 1344600, 102.37, 0.80537, 1, 105.04, -999
20140902, 108.17, 108.56, 107.54, 108, 1886600, 102, 0, 1, 105.085, -999
20140829, 108.49, 108.49, 107.99, 108, 1418600, 102, 0, 1, 105.245, -999
20140828, 108.76, 108.76, 108.04, 108.14, 1124700, 102.13, 0, 1, 105.445, -999
20140827, 108, 108.92, 108, 108.92, 1769000, 102.87, 0, 1, 105.435, -999
20140826, 109.2, 109.59, 108.12, 108.13, 1388900, 102.12, 0, 1, 105.66, -999
20140825, 109.23, 109.66, 108.81, 109.21, 1071300, 103.14, 0, 1, 106.185, -999
20140822, 109.32, 109.46, 108.72, 108.77, 880700, 102.73, 0, 1, 106.025, -999
20140821, 108.76, 109.5, 108.65, 109.18, 1086900, 103.11, 0, 1, 105.935, -999
20140820, 108.15, 108.66, 108.04, 108.57, 871100, 102.54, 0, 1, 105.345, -999
20140819, 108.87, 108.93, 108.19, 108.46, 910600, 102.43, 0, 1, 105.65, -999
20140818, 108.31, 108.82, 108.12, 108.64, 1345200, 102.6, 0, 1, 105.455, -999
20140815, 108.47, 108.49, 107.31, 107.72, 1268300, 101.74, 0, 1, 105.105, -999
20140814, 107.75, 108.24, 107.73, 108.08, 964500, 102.08, 0, 1, 104.915, -999
20140813, 108.11, 108.6, 107.69, 107.94, 1146900, 101.94, 0, 1, 105.025, -999
20140812, 107.88, 108, 107.29, 107.62, 1082500, 101.64, 0, 1, 104.76, -999
20140811, 108.07, 108.51, 107.3, 108.06, 1431100, 102.06, 0, 1, 105.065, -999
20140808, 106.31, 107.32, 105.77, 107.31, 1445900, 101.35, 0, 1, 103.83, -999
20140807, 106.85, 107.22, 105.92, 106.18, 1600600, 100.28, 0, 1, 103.565, -999
20140806, 104.44, 106.79, 104.35, 106.71, 2733600, 100.78, 0, 1, 102.61, -999
20140805, 104.72, 105.25, 104.19, 104.62, 1460000, 98.81, 0, 1, 101.765, -999
20140804, 105.31, 105.41, 104.58, 105.23, 2279800, 99.38, 0, 1, 102.345, -999
20140801, 103.58, 105.55, 103.5, 104.9, 2809300, 99.07, 0, 1, 101.325, -999
20140731, 104.85, 106.67, 103.85, 103.87, 2242200, 98.1, 0, 1, 101.475, -999
20140730, 107.38, 107.55, 105.43, 106.1, 2641700, 100.21, 0, 1, 103.795, -999
20140729, 108.3, 108.36, 107.08, 107.09, 1732800, 101.14, 0, 1, 104.72, -999
20140728, 108.37, 108.75, 107.78, 108.31, 1165000, 102.29, 0, 1, 105.33, -999
20140725, 109.44, 109.62, 108.49, 108.53, 1542100, 102.5, 0, 1, 105.97, -999
20140724, 109.59, 109.96, 109.42, 109.49, 2126800, 103.41, 0, 1, 106.5, -999
20140723, 109.46, 110.05, 109.07, 109.5, 2444200, 103.42, 0, 1, 106.44, -999
20140722, 110.91, 111.2, 108.79, 108.84, 4394100, 102.79, 0, 1, 106.85, -999
20140721, 113.02, 113.16, 112.04, 112.31, 2419800, 106.07, 0, 1, 109.545, -999
20140718, 113.06, 113.31, 112.35, 113.29, 1432400, 107, 0, 1, 110.03, -999
20140717, 113.74, 114.02, 112.61, 112.67, 1360200, 106.41, 0, 1, 110.075, -999
20140716, 114.1, 114.45, 113.51, 114.24, 1495100, 107.89, 0, 1, 110.995, -999
20140715, 113.41, 113.97, 113.12, 113.79, 1684200, 107.47, 0, 1, 110.44, -999
20140714, 113.07, 113.71, 112.96, 113.02, 1278500, 106.74, 0, 1, 109.905, -999
20140711, 112.69, 112.78, 112.38, 112.61, 841100, 106.35, 0, 1, 109.52, -999
20140710, 112.46, 113.06, 112.42, 112.81, 955800, 106.54, 0, 1, 109.5, -999
20140709, 112.5, 113.22, 112.5, 113.06, 1110100, 106.78, 0, 1, 109.64, -999
20140708, 111.97, 112.73, 111.68, 112.49, 1172700, 106.24, 0, 1, 109.105, -999
20140707, 111.87, 112.25, 111.65, 112.14, 837300, 105.91, 0, 1, 108.89, -999
20140703, 111.13, 112.06, 111.13, 111.88, 896400, 105.66, 0, 1, 108.395, -999
20140702, 111.58, 111.92, 111.25, 111.44, 950600, 105.25, 0, 1, 108.415, -999
20140701, 110.83, 111.82, 110.44, 111.52, 1197400, 105.32, 0, 1, 108.075, -999
20140630, 111.53, 112.11, 111.01, 111.22, 1254500, 105.04, 0, 1, 108.285, -999
20140627, 110.85, 111.63, 110.4, 111.37, 1298700, 105.18, 0, 1, 108.015, -999
20140626, 111.26, 111.26, 110.25, 110.85, 1136100, 104.69, 0, 1, 107.975, -999
20140625, 111.41, 111.66, 111.05, 111.4, 1080800, 105.21, 0, 1, 108.31, -999
20140624, 111.58, 111.89, 111.21, 111.59, 1060900, 105.39, 0, 1, 108.485, -999
20140623, 112.73, 112.73, 111.68, 111.91, 1045800, 105.69, 0, 1, 109.21, -999
20140620, 113.93, 113.93, 112.18, 112.66, 2597000, 106.4, 0, 1, 110.165, -999
20140619, 111.96, 113.21, 111.83, 113.11, 1468100, 106.83, 0, 1, 109.395, -999
20140618, 110.96, 112.02, 110.58, 112.01, 1263000, 105.79, 0, 1, 108.375, -999
20140617, 110.84, 111.41, 110.39, 111.1, 1022600, 104.93, 0, 1, 107.885, -999
20140616, 110.39, 111.4, 110.12, 110.94, 1121600, 104.78, 0, 1, 107.585, -999
20140613, 110.17, 111, 109.84, 110.66, 1073800, 104.51, 0, 1, 107.34, -999
20140612, 110.76, 110.91, 109.66, 110.13, 1236800, 104.01, 0, 1, 107.385, -999
20140611, 111.29, 111.57, 110.81, 111.09, 847800, 104.92, 0, 1, 108.105, -999
20140610, 111.66, 112.06, 111.3, 111.53, 1000400, 105.33, 0, 1, 108.495, -999
20140609, 111.55, 112.25, 111.17, 111.98, 1157100, 105.76, 0, 1, 108.655, -999
20140606, 111.31, 111.97, 111.02, 111.66, 1178600, 105.46, 0, 1, 108.385, -999
20140605, 111.42, 111.56, 110.67, 111.1, 1287600, 104.93, 0, 1, 108.175, -999
20140604, 110.36, 111.45, 110.01, 111.36, 1629200, 105.17, 0.80537, 1, 107.765, -999
20140603, 111.91, 112.23, 111.06, 111.1, 1246400, 104.13, 0, 1, 108.02, -999
20140602, 112.34, 112.37, 111.82, 112.08, 959100, 105.05, 0, 1, 108.695, -999
20140530, 111.07, 112.5, 111.07, 112.35, 1618800, 105.31, 0, 1, 108.19, -999
20140529, 110.91, 111.34, 110.58, 111.26, 1036700, 104.28, 0, 1, 107.595, -999
20140528, 110.78, 110.92, 110.25, 110.54, 1053500, 103.61, 0, 1, 107.195, -999
20140527, 110.9, 111.02, 110.48, 110.56, 1302200, 103.63, 0, 1, 107.265, -999
20140523, 110.1, 110.8, 110.03, 110.73, 873200, 103.79, 0, 1, 106.945, -999
20140522, 109.91, 110.37, 109.71, 110.13, 927200, 103.22, 0, 1, 106.565, -999
20140521, 109.73, 110.19, 109.34, 110.02, 1129200, 103.12, 0, 1, 106.425, -999
20140520, 109.58, 110.47, 109.53, 109.56, 1385700, 102.69, 0, 1, 106.135, -999
20140519, 109.96, 110.29, 109.22, 109.72, 2122800, 102.84, 0, 1, 106.4, -999
20140516, 110.28, 111.31, 110.12, 111.06, 1275600, 104.1, 0, 1, 107.19, -999
20140515, 110.86, 111.39, 110.51, 110.74, 1252700, 103.8, 0, 1, 107.33, -999
20140514, 111.18, 111.77, 110.88, 111.02, 919500, 104.06, 0, 1, 107.62, -999
20140513, 110.59, 111.34, 110.38, 111.28, 1237700, 104.3, 0, 1, 107.445, -999
20140512, 111, 111.14, 110.01, 110.2, 1523500, 103.29, 0, 1, 107.145, -999
20140509, 110.72, 111.07, 110.63, 110.81, 1338100, 103.86, 0, 1, 107.29, -999
20140508, 110.63, 111.15, 110.5, 110.71, 1316600, 103.77, 0, 1, 107.2, -999
20140507, 110.36, 111.33, 110.11, 110.95, 1694500, 103.99, 0, 1, 107.175, -999
20140506, 110.23, 110.68, 109.8, 109.86, 1546200, 102.97, 0, 1, 106.6, -999
20140505, 110.42, 110.73, 110.15, 110.23, 1253300, 103.32, 0, 1, 106.87, -999
20140502, 111, 111.5, 110.74, 111.03, 1322500, 104.07, 0, 1, 107.535, -999
20140501, 111.81, 112.1, 110.6, 111.23, 1818700, 104.26, 0, 1, 108.035, -999
20140430, 111.11, 112.49, 111.03, 112.25, 2106400, 105.21, 0, 1, 108.16, -999
20140429, 111.11, 112.15, 110.93, 111.11, 1941600, 104.14, 0, 1, 107.625, -999
20140428, 109.67, 111.49, 109.51, 111.23, 2943500, 104.26, 0, 1, 106.965, -999
20140425, 109.06, 109.5, 108.77, 109.24, 1910800, 102.39, 0, 1, 105.725, -999
20140424, 108.81, 109.57, 108.57, 109.03, 1952400, 102.19, 0, 1, 105.5, -999
20140423, 108.54, 109.03, 108.08, 108.71, 2451100, 101.89, 0, 1, 105.215, -999
20140422, 111.23, 111.29, 108.02, 108.4, 4678700, 101.6, 0, 1, 106.415, -999
20140421, 109.03, 112.5, 109, 110.94, 2935200, 103.98, 0, 1, 106.505, -999
20140417, 112.09, 113.09, 111.8, 112.54, 3012800, 105.48, 0, 1, 108.785, -999
20140416, 111.22, 112.55, 111.11, 112.41, 1944900, 105.36, 0, 1, 108.29, -999
20140415, 110.73, 110.96, 110.14, 110.55, 2250400, 103.62, 0, 1, 107.175, -999
20140414, 110.16, 110.6, 109.88, 110.36, 1672100, 103.44, 0, 1, 106.8, -999
20140411, 110.95, 111.63, 109.68, 109.75, 2176300, 102.87, 0, 1, 106.91, -999
20140410, 111.3, 112.77, 111.07, 111.07, 2635100, 104.11, 0, 1, 107.705, -999
20140409, 111.01, 111.93, 110.72, 111.23, 2358700, 104.26, 0, 1, 107.635, -999
20140408, 109.95, 110.94, 109.81, 110.74, 1898200, 103.8, 0, 1, 106.875, -999
20140407, 109.78, 111.2, 109.53, 110.11, 2241300, 103.21, 0, 1, 106.495, -999
20140404, 110.16, 111.11, 109.59, 109.77, 1863600, 102.89, 0, 1, 106.525, -999
20140403, 109.95, 110.36, 109.55, 109.75, 1610800, 102.87, 0, 1, 106.41, -999
20140402, 110.18, 110.39, 109.1, 109.5, 2011300, 102.63, 0, 1, 106.405, -999
20140401, 109.78, 110.14, 108.56, 109.6, 2113600, 102.73, 0, 1, 106.255, -999
20140331, 110.36, 110.47, 109.58, 110.25, 2109800, 103.34, 0, 1, 106.85, -999
20140328, 110.45, 110.45, 109.39, 109.82, 1907100, 102.93, 0, 1, 106.69, -999
20140327, 110.87, 111.2, 109.63, 109.64, 2156100, 102.77, 0, 1, 106.82, -999
20140326, 110.6, 111.3, 110.38, 110.64, 1987900, 103.7, 0, 1, 107.15, -999
20140325, 110.64, 111.3, 110.22, 110.56, 2073900, 103.63, 0, 1, 107.135, -999
20140324, 110.51, 111.59, 110.37, 110.66, 1663000, 103.72, 0, 1, 107.115, -999
20140321, 110.46, 111.71, 110.11, 110.16, 2408600, 103.25, 0, 1, 106.855, -999
20140320, 109.86, 110.4, 109.35, 109.77, 1421700, 102.89, 0, 1, 106.375, -999
20140319, 110.74, 111.56, 109.51, 109.86, 1460300, 102.97, 0, 1, 106.855, -999
20140318, 111.14, 111.18, 110.25, 110.8, 1375800, 103.85, 0, 1, 107.495, -999
20140317, 110.04, 111.22, 109.8, 111.05, 1504700, 104.09, 0, 1, 107.065, -999
20140314, 108.59, 109.86, 108.51, 109.66, 1682700, 102.78, 0, 1, 105.685, -999
20140313, 109.97, 110.86, 108.99, 109.08, 2102700, 102.24, 0, 1, 106.105, -999
20140312, 108.67, 109.92, 108.33, 109.75, 2253000, 102.87, 0, 1, 105.77, -999
20140311, 109.1, 109.45, 108.71, 109.05, 1334700, 102.21, 0, 1, 105.655, -999
20140310, 108.97, 109.66, 108.8, 109.17, 1218000, 102.32, 0, 1, 105.645, -999
20140307, 109.91, 109.99, 108.29, 108.95, 1806900, 102.12, 0, 1, 106.015, -999
20140306, 108.92, 109.88, 108.75, 109.39, 1770200, 102.53, 0, 1, 105.725, -999
20140305, 108.63, 109.7, 108.32, 108.64, 1545400, 101.83, 0.80537, 1, 105.23, -999
20140304, 109.8, 111.19, 109.57, 110.86, 1828800, 103.12, 0, 1, 106.46, -999
20140303, 109.67, 109.67, 108.54, 109.04, 1472500, 101.43, 0, 1, 105.55, -999
20140228, 109, 110.88, 108.85, 110.35, 2044500, 102.65, 0, 1, 105.825, -999
20140227, 108.44, 109.39, 108.03, 108.9, 1869000, 101.3, 0, 1, 104.87, -999
20140226, 110.2, 110.5, 108.53, 108.56, 1806200, 100.98, 0, 1, 105.59, -999
20140225, 110.27, 110.74, 109.88, 109.99, 1385300, 102.31, 0, 1, 106.29, -999
20140224, 110.38, 111.24, 110.03, 110.16, 1913000, 102.47, 0, 1, 106.425, -999
20140221, 110.34, 111.29, 109.76, 109.85, 1716800, 102.18, 0, 1, 106.26, -999
20140220, 109.12, 110.68, 109, 109.97, 1853000, 102.29, 0, 1, 105.705, -999
20140219, 109.43, 110, 108.67, 108.78, 1704300, 101.19, 0, 1, 105.31, -999
20140218, 109.99, 110.13, 108.83, 109.73, 1619600, 102.07, 0, 1, 106.03, -999
20140214, 108.73, 110.44, 108.3, 110.24, 1547400, 102.54, 0, 1, 105.635, -999
20140213, 107.64, 108.85, 107.43, 108.75, 1504900, 101.16, 0, 1, 104.4, -999
20140212, 108.67, 108.82, 107.09, 107.96, 1855500, 100.42, 0, 1, 104.545, -999
20140211, 107.61, 108.93, 107.15, 108.59, 1778300, 101.01, 0, 1, 104.31, -999
20140210, 106.9, 107.64, 106.48, 107.61, 1897300, 100.1, 0, 1, 103.5, -999
20140207, 106.53, 107.25, 106.49, 106.9, 1613700, 99.44, 0, 1, 102.985, -999
20140206, 106.07, 106.36, 105.56, 106.35, 1791500, 98.93, 0, 1, 102.5, -999
20140205, 105.2, 106.06, 104.96, 105.6, 1839200, 98.23, 0, 1, 101.715, -999
20140204, 106.14, 106.5, 104.93, 105.56, 2598400, 98.19, 0, 1, 102.165, -999
20140203, 109, 109.56, 105.3, 105.49, 2788800, 98.13, 0, 1, 103.565, -999
20140131, 107.26, 109.76, 106.54, 109.37, 3294300, 101.74, 0, 1, 104.5, -999
20140130, 107.59, 108.77, 107.48, 108.4, 2396200, 100.83, 0, 1, 104.21, -999
20140129, 107.42, 107.82, 106.05, 107.01, 2861700, 99.54, 0, 1, 103.48, -999
20140128, 107.45, 108.77, 107.24, 108.65, 1956900, 101.07, 0, 1, 104.26, -999
20140127, 107.83, 108.19, 106.86, 107.45, 2097700, 99.95, 0, 1, 103.89, -999
20140124, 108.12, 110.42, 106.75, 107.4, 3493000, 99.9, 0, 1, 104.01, -999
20140123, 105.52, 106.22, 105.13, 105.42, 2381800, 98.06, 0, 1, 101.79, -999
20140122, 106.35, 106.82, 105.92, 106.01, 1702800, 98.61, 0, 1, 102.48, -999
20140121, 105.86, 106.85, 105.34, 106.43, 2058000, 99, 0, 1, 102.43, -999
20140117, 106.47, 106.49, 105.44, 105.46, 2863000, 98.1, 0, 1, 102.285, -999
20140116, 105.18, 106.07, 104.53, 106.05, 1350400, 98.65, 0, 1, 101.915, -999
20140115, 105.46, 105.69, 104.7, 105.38, 1525800, 98.02, 0, 1, 101.74, -999
20140114, 104.74, 105.69, 104.43, 105.43, 2056400, 98.07, 0, 1, 101.405, -999
20140113, 104.39, 105.58, 104.21, 104.73, 1956500, 97.42, 0, 1, 100.905, -999
20140110, 104.05, 104.87, 103.9, 104.86, 1755200, 97.54, 0, 1, 100.795, -999
20140109, 103.5, 104.1, 103.31, 103.73, 1513700, 96.49, 0, 1, 99.995, -999
20140108, 103.88, 103.89, 103.06, 103.28, 1933700, 96.07, 0, 1, 99.975, -999
20140107, 103.36, 104.86, 102.81, 103.98, 1755400, 96.72, 0, 1, 100.04, -999
20140106, 104.78, 105.31, 104.09, 104.36, 1647400, 97.08, 0, 1, 100.93, -999
20140103, 104.31, 104.92, 103.95, 104.35, 1402000, 97.07, 0, 1, 100.69, -999
20140102, 104.32, 104.62, 103.52, 103.84, 1494500, 96.59, 0, 1, 100.455, -999
20131231, 105.73, 105.74, 104.16, 104.46, 1377800, 97.17, 0, 1, 101.45, -999
20131230, 105.1, 105.97, 104.95, 105.93, 1049700, 98.54, 0, 1, 101.82, -999
20131227, 105.22, 105.8, 105, 105.1, 698100, 97.76, 0, 1, 101.49, -999
20131226, 104.8, 105.13, 104.41, 104.99, 670600, 97.66, 0, 1, 101.23, -999
20131224, 104.7, 105.18, 104.45, 104.79, 403400, 97.48, 0, 1, 101.09, -999
20131223, 105.29, 105.39, 104.43, 104.54, 1124900, 97.24, 0, 1, 101.265, -999
20131220, 104.67, 105.61, 104.17, 105.18, 2106500, 97.84, 0, 1, 101.255, -999
20131219, 104.33, 105.08, 104.04, 104.38, 1619400, 97.09, 0, 1, 100.71, -999
20131218, 103.25, 105.18, 102.71, 105.14, 1855800, 97.8, 0, 1, 100.525, -999
20131217, 103.78, 103.99, 102.53, 102.75, 1846000, 95.58, 0, 1, 99.68, -999
20131216, 104.39, 104.89, 103.85, 104.03, 1505400, 96.77, 0, 1, 100.58, -999
20131213, 104.02, 104.34, 103.36, 103.92, 1031800, 96.67, 0, 1, 100.345, -999
20131212, 105.12, 105.26, 103.74, 103.83, 1617000, 96.58, 0, 1, 100.85, -999
20131211, 105.16, 106.17, 104.97, 105.38, 1721300, 98.02, 0, 1, 101.59, -999
20131210, 105.42, 105.5, 104.58, 104.91, 1690200, 97.59, 0, 1, 101.505, -999
20131209, 105.85, 106.23, 105.38, 105.83, 1345300, 98.44, 0, 1, 102.145, -999
20131206, 104.75, 105.6, 104.73, 105.58, 1930300, 98.21, 0, 1, 101.48, -999
20131205, 104.03, 104.3, 103.42, 103.9, 2164100, 96.65, 0, 1, 100.34, -999
20131204, 105, 105.13, 104.04, 104.2, 2809800, 96.93, 0.77661, 1, 100.965, -999
20131203, 106.59, 106.74, 105.51, 106.48, 3130400, 98.29, 0, 1, 102.44, -999
20131202, 108.86, 109.4, 107.04, 107.15, 2423100, 98.91, 0, 1, 103.885, -999
20131129, 108.25, 109.54, 108.14, 109.16, 1545200, 100.77, 0, 1, 104.51, -999
20131127, 108.22, 108.39, 107.51, 108.22, 1262200, 99.9, 0, 1, 104.06, -999
20131126, 108.44, 108.89, 108.13, 108.13, 1770100, 99.82, 0, 1, 104.13, -999
20131125, 108.99, 109.37, 108.16, 108.36, 1075400, 100.03, 0, 1, 104.51, -999
20131122, 107.74, 109.29, 107.74, 109, 6736500, 100.62, 0, 1, 104.18, -999
20131121, 108.05, 108.53, 107.71, 107.92, 4902600, 99.62, 0, 1, 103.835, -999
20131120, 107.84, 108.87, 107.57, 107.82, 1314000, 99.53, 0, 1, 103.685, -999
20131119, 107.74, 108.15, 107.39, 107.88, 2055800, 99.59, 0, 1, 103.665, -999
20131118, 109, 109.44, 107.59, 108, 2644900, 99.7, 0, 1, 104.35, -999
20131115, 111.54, 111.68, 108.28, 109.26, 3462800, 100.86, 0, 1, 106.2, -999
20131114, 109.1, 109.91, 108.85, 109.71, 1340500, 101.28, 0, 1, 105.19, -999
20131113, 107.74, 108.85, 107.57, 108.84, 1223200, 100.47, 0, 1, 104.105, -999
20131112, 107.89, 108.4, 107.47, 108.21, 1270400, 99.89, 0, 1, 103.89, -999
20131111, 108.03, 108.75, 107.83, 107.96, 952500, 99.66, 0, 1, 103.845, -999
20131108, 107.88, 108.1, 106.72, 108.03, 1732600, 99.72, 0, 1, 103.8, -999
20131107, 109.66, 109.68, 107.73, 107.88, 1648100, 99.59, 0, 1, 104.625, -999
20131106, 108.96, 109.72, 108.34, 109.63, 1290500, 101.2, 0, 1, 105.08, -999
20131105, 108.54, 109.04, 108.05, 108.81, 1039800, 100.44, 0, 1, 104.49, -999
20131104, 108.05, 108.88, 107.54, 108.85, 1292300, 100.48, 0, 1, 104.265, -999
20131101, 107.87, 108.29, 107.27, 108.01, 1594100, 99.71, 0, 1, 103.79, -999
20131031, 107.89, 108.39, 107.15, 108, 1436800, 99.7, 0, 1, 103.795, -999
20131030, 108.33, 108.56, 107.01, 107.9, 1760800, 99.6, 0, 1, 103.965, -999
20131029, 107.42, 108.21, 107.01, 108.17, 2294300, 99.85, 0, 1, 103.635, -999
20131028, 105.51, 107.84, 105.27, 107.31, 2523200, 99.06, 0, 1, 102.285, -999
20131025, 104, 105.56, 103.62, 105.51, 1517600, 97.4, 0, 1, 100.7, -999
20131024, 104.72, 105.05, 104.17, 104.21, 1853200, 96.2, 0, 1, 100.46, -999
20131023, 102.22, 105.32, 102.19, 104.96, 3020000, 96.89, 0, 1, 99.555, -999
20131022, 102.43, 103.48, 100.83, 102.97, 3764700, 95.05, 0, 1, 98.74, -999
20131021, 98.83, 98.88, 98, 98.83, 1994800, 91.23, 0, 1, 95.03, -999
20131018, 99.63, 99.63, 98.49, 99.18, 1871900, 91.56, 0, 1, 95.595, -999
