Ticker: KMI  Created on: 12/6/2014 5:25:05 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 41.91, 41.91, 41.08, 41.12, 37484700, 41.12, 0, 1, 41.515, -999
20141204, 41.56, 41.8, 41.01, 41.46, 39118600, 41.46, 0, 1, 41.51, -999
20141203, 41.67, 42.16, 41.5, 41.83, 58148500, 41.83, 0, 1, 41.75, -999
20141202, 40.82, 41.8, 40.54, 41.62, 32259000, 41.62, 0, 1, 41.22, -999
20141201, 41.15, 41.35, 39.91, 40.94, 63805600, 40.94, 0, 1, 41.045, -999
20141128, 41.38, 42.35, 41.01, 41.35, 38714200, 41.35, 0, 1, 41.365, -999
20141126, 40.86, 42.41, 40.66, 42.32, 251528800, 42.32, 0, 1, 41.59, -999
20141125, 41.5, 41.74, 40.74, 40.75, 36325100, 40.75, 0, 1, 41.125, -999
20141124, 40.08, 41.01, 39.99, 40.79, 29886700, 40.79, 0, 1, 40.435, -999
20141121, 40.08, 40.42, 39.44, 39.75, 58600500, 39.75, 0, 1, 39.915, -999
20141120, 40.66, 41.45, 39.91, 39.92, 52556900, 39.92, 0, 1, 40.29, -999
20141119, 40.29, 41, 40.23, 40.94, 22295900, 40.94, 0, 1, 40.615, -999
20141118, 40.2, 40.86, 40.17, 40.41, 20728500, 40.41, 0, 1, 40.305, -999
20141117, 39.34, 40.46, 39.23, 40.25, 21587500, 40.25, 0, 1, 39.795, -999
20141114, 38.42, 39.56, 38.35, 39.37, 19615700, 39.37, 0, 1, 38.895, -999
20141113, 38.44, 38.84, 38.17, 38.38, 22025100, 38.38, 0, 1, 38.41, -999
20141112, 38.41, 38.79, 38.35, 38.53, 16220400, 38.53, 0, 1, 38.47, -999
20141111, 38.58, 38.85, 38.29, 38.54, 12002200, 38.54, 0, 1, 38.56, -999
20141110, 38.88, 38.98, 38.35, 38.5, 14236400, 38.5, 0, 1, 38.69, -999
20141107, 38.5, 39, 38.42, 38.75, 16004100, 38.75, 0, 1, 38.625, -999
20141106, 38.1, 38.61, 37.72, 38.53, 19672200, 38.53, 0, 1, 38.315, -999
20141105, 37.61, 38.13, 37.2, 38.1, 12767900, 38.1, 0, 1, 37.855, -999
20141104, 38.28, 38.28, 37.28, 37.46, 12330800, 37.46, 0, 1, 37.87, -999
20141103, 38.72, 38.92, 38.38, 38.5, 13378300, 38.5, 0, 1, 38.61, -999
20141031, 38.83, 38.93, 38.4, 38.7, 14156800, 38.7, 0, 1, 38.765, -999
20141030, 38.16, 38.81, 38.08, 38.54, 9595300, 38.54, 0, 1, 38.35, -999
20141029, 38.89, 39.08, 37.84, 38.33, 9880600, 38.33, 0.44, 1, 38.61, -999
20141028, 39.19, 39.26, 38.75, 39.17, 10581800, 38.73, 0, 1, 38.96, -999
20141027, 38.91, 39.08, 38.5, 38.93, 9965400, 38.49, 0, 1, 38.7, -999
20141024, 38.72, 39.1, 38.26, 39.03, 11024800, 38.59, 0, 1, 38.655, -999
20141023, 38.68, 39.21, 38.41, 38.68, 14332600, 38.25, 0, 1, 38.465, -999
20141022, 38.34, 38.8, 37.89, 37.92, 16867300, 37.49, 0, 1, 37.915, -999
20141021, 37.98, 38.36, 37.68, 38.31, 15430100, 37.88, 0, 1, 37.93, -999
20141020, 36.95, 37.59, 36.82, 37.57, 8710200, 37.15, 0, 1, 37.05, -999
20141017, 37.32, 37.87, 36.37, 36.81, 16616600, 36.4, 0, 1, 36.86, -999
20141016, 34.7, 37.31, 34.52, 36.82, 30303100, 36.41, 0, 1, 35.555, -999
20141015, 33.94, 35.62, 33.25, 35.29, 23247300, 34.89, 0, 1, 34.415, -999
20141014, 35.51, 35.87, 33.46, 34.5, 30041000, 34.11, 0, 1, 34.81, -999
20141013, 36.49, 37.16, 35.43, 35.5, 14888700, 35.1, 0, 1, 35.795, -999
20141010, 36.64, 37.33, 35.63, 36.47, 18427500, 36.06, 0, 1, 36.35, -999
20141009, 38.2, 38.37, 36.68, 36.7, 15882700, 36.29, 0, 1, 37.245, -999
20141008, 38.22, 38.34, 37.37, 38.26, 13279800, 37.83, 0, 1, 38.025, -999
20141007, 38.56, 39.03, 38.23, 38.25, 8353100, 37.82, 0, 1, 38.19, -999
20141006, 38.99, 39.05, 38.48, 38.72, 6837600, 38.29, 0, 1, 38.64, -999
20141003, 39.48, 39.6, 38.8, 38.86, 12287700, 38.42, 0, 1, 38.95, -999
20141002, 38.5, 39.52, 38.3, 39.39, 19066400, 38.95, 0, 1, 38.725, -999
20141001, 38.35, 38.61, 38.1, 38.2, 9320900, 37.77, 0, 1, 38.06, -999
20140930, 38.53, 38.58, 38.06, 38.34, 8794900, 37.91, 0, 1, 38.22, -999
20140929, 38.18, 38.59, 37.9, 38.53, 8318800, 38.1, 0, 1, 38.14, -999
20140926, 37.8, 38.67, 37.51, 38.39, 7823500, 37.96, 0, 1, 37.88, -999
20140925, 38.46, 38.55, 37.63, 37.72, 10188100, 37.3, 0, 1, 37.88, -999
20140924, 38.15, 38.6, 37.8, 38.48, 11922200, 38.05, 0, 1, 38.1, -999
20140923, 37.72, 38.31, 37.66, 38.21, 14896800, 37.78, 0, 1, 37.75, -999
20140922, 37.85, 37.85, 37.34, 37.5, 8131800, 37.08, 0, 1, 37.465, -999
20140919, 38.22, 38.34, 37.9, 37.97, 13634500, 37.54, 0, 1, 37.88, -999
