Ticker: KRFT  Created on: 12/6/2014 5:25:06 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 59.72, 60.28, 59.6, 60.27, 2369300, 60.27, 0, 1, 59.995, -999
20141204, 59.91, 60.04, 59.5, 59.7, 2412800, 59.7, 0, 1, 59.805, -999
20141203, 60, 60.25, 59.82, 60.19, 2256000, 60.19, 0, 1, 60.095, -999
20141202, 59.97, 60.13, 59.75, 60.1, 2942000, 60.1, 0, 1, 60.035, -999
20141201, 60.06, 60.2, 59.82, 59.92, 2580200, 59.92, 0, 1, 59.99, -999
20141128, 59.65, 60.24, 59.45, 60.17, 1759200, 60.17, 0, 1, 59.91, -999
20141126, 58.94, 59.3, 58.88, 59.28, 1279100, 59.28, 0, 1, 59.11, -999
20141125, 58.9, 59.14, 58.66, 58.94, 1984700, 58.94, 0, 1, 58.92, -999
20141124, 59.16, 59.32, 58.83, 58.97, 2182600, 58.97, 0, 1, 59.065, -999
20141121, 59.2, 59.64, 59, 59.22, 5544200, 59.22, 0, 1, 59.21, -999
20141120, 58.19, 58.68, 58.02, 58.53, 2338900, 58.53, 0, 1, 58.36, -999
20141119, 58.24, 58.41, 57.95, 58.37, 1920000, 58.37, 0, 1, 58.305, -999
20141118, 58.05, 58.4, 57.91, 58.22, 1918900, 58.22, 0, 1, 58.135, -999
20141117, 57.43, 58, 57.43, 57.99, 1805900, 57.99, 0, 1, 57.71, -999
20141114, 57.81, 57.82, 57.21, 57.42, 2009600, 57.42, 0, 1, 57.615, -999
20141113, 57.71, 57.97, 57.4, 57.63, 1703400, 57.63, 0, 1, 57.67, -999
20141112, 57.51, 57.82, 57.1, 57.46, 2563700, 57.46, 0, 1, 57.485, -999
20141111, 57.84, 58.05, 57.62, 57.88, 1580100, 57.88, 0, 1, 57.86, -999
20141110, 57.9, 58.23, 57.61, 57.91, 1870300, 57.91, 0, 1, 57.905, -999
20141107, 58.46, 58.46, 57.02, 57.87, 2973400, 57.87, 0, 1, 58.165, -999
20141106, 58.02, 58.33, 57.56, 58.27, 3174900, 58.27, 0, 1, 58.145, -999
20141105, 57.65, 57.86, 57.32, 57.66, 2590000, 57.66, 0, 1, 57.655, -999
20141104, 56.89, 57.54, 56.69, 57.12, 2828900, 57.12, 0, 1, 57.005, -999
20141103, 56.33, 56.88, 56.27, 56.79, 3448900, 56.79, 0, 1, 56.56, -999
20141031, 57.66, 57.66, 55.8, 56.35, 5608500, 56.35, 0, 1, 57.005, -999
20141030, 55.23, 56.24, 55.14, 56.16, 5391900, 56.16, 0, 1, 55.695, -999
20141029, 57.32, 57.39, 56.38, 56.91, 3750400, 56.91, 0, 1, 57.115, -999
20141028, 57.12, 57.41, 56.78, 57.25, 2818700, 57.25, 0, 1, 57.185, -999
20141027, 56.77, 57.2, 56.65, 56.92, 1704100, 56.92, 0, 1, 56.845, -999
20141024, 56.47, 56.87, 56.13, 56.83, 2816800, 56.83, 0, 1, 56.65, -999
20141023, 56.66, 56.88, 56.39, 56.54, 2993800, 56.54, 0, 1, 56.6, -999
20141022, 56.74, 56.78, 56.42, 56.56, 3031600, 56.56, 0, 1, 56.65, -999
20141021, 55.96, 56.5, 55.65, 56.44, 2119000, 56.44, 0, 1, 56.2, -999
20141020, 54.95, 55.94, 54.92, 55.88, 2399200, 55.88, 0, 1, 55.415, -999
20141017, 54.84, 55.17, 54.35, 54.99, 4288400, 54.99, 0, 1, 54.915, -999
20141016, 54.01, 54.66, 53.63, 54.39, 4365100, 54.39, 0, 1, 54.2, -999
20141015, 54.89, 55.18, 54, 54.53, 5723100, 54.53, 0.55, 1, 54.71, -999
20141014, 55.7, 56.43, 55.6, 56.04, 3508900, 55.49, 0, 1, 55.595, -999
20141013, 55.85, 56.15, 55.38, 55.4, 3297700, 54.86, 0, 1, 55.355, -999
20141010, 56.08, 56.71, 55.87, 55.87, 3265100, 55.32, 0, 1, 55.7, -999
20141009, 56.5, 56.87, 56.17, 56.23, 4524100, 55.68, 0, 1, 56.09, -999
20141008, 55.74, 56.66, 55.61, 56.6, 3647900, 56.04, 0, 1, 55.89, -999
20141007, 56.15, 56.29, 55.56, 55.57, 2367700, 55.02, 0, 1, 55.585, -999
20141006, 56.43, 56.6, 55.79, 56.31, 2154400, 55.76, 0, 1, 56.095, -999
20141003, 55.93, 56.48, 55.78, 56.3, 2440400, 55.75, 0, 1, 55.84, -999
20141002, 55.95, 56.2, 55.55, 55.83, 1924700, 55.28, 0, 1, 55.615, -999
20141001, 56.42, 56.44, 55.82, 55.83, 2391400, 55.28, 0, 1, 55.85, -999
20140930, 56.49, 56.8, 56.24, 56.4, 2811500, 55.85, 0, 1, 56.17, -999
20140929, 56.04, 56.47, 55.97, 56.29, 1973800, 55.74, 0, 1, 55.89, -999
20140926, 56.09, 56.53, 55.82, 56.37, 2054700, 55.82, 0, 1, 55.955, -999
20140925, 56.64, 56.77, 56.08, 56.21, 3262000, 55.66, 0, 1, 56.15, -999
20140924, 56.02, 56.85, 55.95, 56.81, 2307800, 56.25, 0, 1, 56.135, -999
20140923, 56.53, 56.66, 56.03, 56.05, 2446500, 55.5, 0, 1, 56.015, -999
20140922, 56.88, 56.95, 56.5, 56.69, 3156900, 56.13, 0, 1, 56.505, -999
20140919, 57.36, 57.47, 56.88, 56.91, 5174900, 56.35, 0, 1, 56.855, -999
20140918, 57.38, 57.52, 57.27, 57.44, 2714500, 56.88, 0, 1, 57.13, -999
20140917, 58.18, 58.25, 57.27, 57.32, 3484600, 56.76, 0, 1, 57.47, -999
20140916, 57.94, 58.53, 57.91, 58.35, 2042500, 57.78, 0, 1, 57.86, -999
20140915, 57.97, 58.16, 57.69, 57.87, 1637400, 57.3, 0, 1, 57.635, -999
20140912, 58.05, 58.36, 57.47, 57.72, 3332900, 57.15, 0, 1, 57.6, -999
20140911, 57.83, 58.41, 57.72, 58.4, 1497800, 57.83, 0, 1, 57.83, -999
20140910, 58.24, 58.3, 57.88, 58.16, 1401800, 57.59, 0, 1, 57.915, -999
20140909, 58.06, 58.26, 57.84, 58.09, 2096700, 57.52, 0, 1, 57.79, -999
20140908, 58.55, 58.72, 58.12, 58.21, 1943400, 57.64, 0, 1, 58.095, -999
20140905, 58.55, 58.83, 58.34, 58.82, 1569400, 58.24, 0, 1, 58.395, -999
