Ticker: KSS  Created on: 12/6/2014 5:25:06 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 56.87, 57.27, 56.32, 57.06, 3592000, 57.06, 0, 1, 56.965, -999
20141204, 57.98, 58.08, 56.44, 56.81, 2944100, 56.81, 0, 1, 57.395, -999
20141203, 57.04, 58.24, 56.85, 58.21, 3030600, 58.21, 0, 1, 57.625, -999
20141202, 57.94, 58.33, 56.94, 57.23, 2885800, 57.23, 0, 1, 57.585, -999
20141201, 59.39, 59.46, 57.05, 57.53, 3391300, 57.53, 0, 1, 58.46, -999
20141128, 59.15, 59.88, 58.74, 59.62, 1848700, 59.62, 0, 1, 59.385, -999
20141126, 58.73, 59.35, 58.47, 58.67, 2375900, 58.67, 0, 1, 58.7, -999
20141125, 59.19, 59.78, 58.75, 58.83, 2652100, 58.83, 0, 1, 59.01, -999
20141124, 58.42, 59.2, 58.4, 58.92, 3085400, 58.92, 0, 1, 58.67, -999
20141121, 58.84, 58.89, 57.68, 58.22, 2308700, 58.22, 0, 1, 58.53, -999
20141120, 57.33, 58.6, 57.22, 58.34, 1659100, 58.34, 0, 1, 57.835, -999
20141119, 57.21, 57.59, 56.99, 57.4, 1604600, 57.4, 0, 1, 57.305, -999
20141118, 57.14, 57.33, 56.32, 57.13, 2084200, 57.13, 0, 1, 57.135, -999
20141117, 56.97, 57.76, 56.68, 57.34, 2461400, 57.34, 0, 1, 57.155, -999
20141114, 56.07, 57.18, 55.81, 57.12, 2543100, 57.12, 0, 1, 56.595, -999
20141113, 56.31, 57.1, 55.32, 56.07, 4895600, 56.07, 0, 1, 56.19, -999
20141112, 56.23, 57.98, 56.03, 57.91, 4056200, 57.91, 0, 1, 57.07, -999
20141111, 56.4, 56.7, 55.92, 56.23, 1916900, 56.23, 0, 1, 56.315, -999
20141110, 57.11, 57.55, 56.52, 56.57, 2108400, 56.57, 0, 1, 56.84, -999
20141107, 56.64, 57.7, 56.48, 57.22, 2439500, 57.22, 0, 1, 56.93, -999
20141106, 55.13, 56.97, 55.1, 56.81, 3660300, 56.81, 0, 1, 55.97, -999
20141105, 55.47, 55.62, 54.86, 55.09, 1838600, 55.09, 0, 1, 55.28, -999
20141104, 54.71, 55.2, 54.11, 55.17, 2236000, 55.17, 0, 1, 54.94, -999
20141103, 54.28, 55, 54.01, 54.95, 2184600, 54.95, 0, 1, 54.615, -999
20141031, 55.38, 55.47, 53.86, 54.22, 3384900, 54.22, 0, 1, 54.8, -999
20141030, 54.23, 55.17, 54.21, 54.8, 2165700, 54.8, 0, 1, 54.515, -999
20141029, 54.47, 55.05, 54.07, 54.44, 3545800, 54.44, 0, 1, 54.455, -999
20141028, 54.97, 55.39, 53.88, 54.66, 9071200, 54.66, 0, 1, 54.815, -999
20141027, 58.94, 59, 57.76, 58.55, 3097300, 58.55, 0, 1, 58.745, -999
20141024, 58.96, 59.3, 58.27, 59.09, 3158600, 59.09, 0, 1, 59.025, -999
20141023, 58.75, 59.63, 58.66, 59.2, 2137600, 59.2, 0, 1, 58.975, -999
20141022, 58.64, 59.37, 58.34, 58.43, 2113400, 58.43, 0, 1, 58.535, -999
20141021, 57.85, 58.81, 57.53, 58.71, 2335500, 58.71, 0, 1, 58.28, -999
20141020, 56.54, 57.84, 56.5, 57.52, 2520800, 57.52, 0, 1, 57.03, -999
20141017, 56.68, 56.82, 55.76, 56.54, 3077500, 56.54, 0, 1, 56.61, -999
20141016, 55.43, 57.31, 55.39, 56.28, 3369000, 56.28, 0, 1, 55.855, -999
20141015, 56.26, 56.7, 55.53, 56.46, 3485600, 56.46, 0, 1, 56.36, -999
20141014, 56.32, 57.62, 56.2, 56.7, 3595600, 56.7, 0, 1, 56.51, -999
20141013, 56.21, 56.87, 55.83, 56.02, 4318200, 56.02, 0, 1, 56.115, -999
20141010, 57.2, 57.8, 56.29, 56.61, 4406500, 56.61, 0, 1, 56.905, -999
20141009, 58.07, 58.09, 56.94, 57.14, 4883500, 57.14, 0, 1, 57.605, -999
20141008, 58.11, 58.67, 57, 58.06, 5169300, 58.06, 0, 1, 58.085, -999
20141007, 59.17, 59.29, 57.74, 57.84, 5634100, 57.84, 0, 1, 58.505, -999
20141006, 61.61, 61.68, 59.52, 59.59, 2951300, 59.59, 0, 1, 60.6, -999
20141003, 61.3, 61.9, 61.21, 61.47, 2112500, 61.47, 0, 1, 61.385, -999
20141002, 60.51, 61.11, 59.91, 60.83, 2316000, 60.83, 0, 1, 60.67, -999
20141001, 60.89, 61.29, 60.3, 60.41, 2081600, 60.41, 0, 1, 60.65, -999
20140930, 61.17, 61.33, 60.73, 61.03, 2417500, 61.03, 0, 1, 61.1, -999
20140929, 61.75, 61.82, 60.9, 61.26, 2519600, 61.26, 0, 1, 61.505, -999
20140926, 61.75, 62.79, 61.75, 62.19, 2566900, 62.19, 0, 1, 61.97, -999
20140925, 62.33, 62.39, 61.36, 61.36, 2481400, 61.36, 0, 1, 61.845, -999
20140924, 61.9, 62.51, 61.78, 62.46, 2650200, 62.46, 0, 1, 62.18, -999
20140923, 61.68, 62.09, 61.4, 61.89, 2053500, 61.89, 0, 1, 61.785, -999
20140922, 61.87, 62, 61.42, 61.73, 2138100, 61.73, 0, 1, 61.8, -999
20140919, 62.68, 62.69, 61.93, 61.99, 3926100, 61.99, 0, 1, 62.335, -999
20140918, 62.25, 63.54, 62.16, 62.5, 6693800, 62.5, 0, 1, 62.375, -999
20140917, 61.32, 61.79, 60.85, 61.52, 2315100, 61.52, 0, 1, 61.42, -999
20140916, 60.18, 61.44, 60.08, 61.11, 3052800, 61.11, 0, 1, 60.645, -999
20140915, 59.46, 60.67, 59.43, 60.35, 3333600, 60.35, 0, 1, 59.905, -999
20140912, 59.9, 60.73, 59.64, 60.38, 3940600, 60.38, 0, 1, 60.14, -999
20140911, 58.77, 60, 58.76, 59.85, 2354100, 59.85, 0, 1, 59.31, -999
20140910, 59.28, 59.31, 58.7, 58.89, 2119200, 58.89, 0, 1, 59.085, -999
20140909, 58.9, 59.44, 58.47, 59.28, 3357300, 59.28, 0, 1, 59.09, -999
20140908, 59.19, 59.47, 58.48, 58.79, 2578300, 58.79, 0.39, 1, 58.99, -999
20140905, 60.2, 60.2, 58.95, 59.95, 3660600, 59.56, 0, 1, 59.88, -999
20140904, 59.08, 60.75, 58.95, 60.33, 4164300, 59.94, 0, 1, 59.51, -999
20140903, 59.61, 59.85, 59.01, 59.14, 2389400, 58.76, 0, 1, 59.185, -999
20140902, 58.99, 59.36, 58.71, 59.11, 2720000, 58.73, 0, 1, 58.86, -999
20140829, 59.36, 59.41, 58.57, 58.79, 2538100, 58.41, 0, 1, 58.885, -999
20140828, 59.18, 59.51, 58.75, 59.4, 1240700, 59.01, 0, 1, 59.095, -999
20140827, 59.61, 59.72, 59.12, 59.66, 1535100, 59.27, 0, 1, 59.44, -999
20140826, 59.66, 59.9, 59.33, 59.47, 1152600, 59.08, 0, 1, 59.37, -999
20140825, 59.78, 59.88, 59.21, 59.61, 1244300, 59.22, 0, 1, 59.5, -999
20140822, 59.5, 59.89, 59.31, 59.43, 2611000, 59.04, 0, 1, 59.27, -999
20140821, 58.86, 59.59, 58.65, 59.29, 2911000, 58.9, 0, 1, 58.88, -999
20140820, 57.84, 59.2, 57.61, 58.88, 3406300, 58.5, 0, 1, 58.17, -999
20140819, 57.88, 58.32, 57.42, 57.74, 3244400, 57.36, 0, 1, 57.62, -999
20140818, 57.2, 57.73, 56.83, 57.55, 1997200, 57.18, 0, 1, 57.19, -999
20140815, 57.07, 57.08, 55.99, 56.88, 2990000, 56.51, 0, 1, 56.79, -999
20140814, 57.18, 57.73, 56.55, 56.91, 7347600, 56.54, 0, 1, 56.86, -999
20140813, 54.75, 55.13, 54.03, 55.11, 5936100, 54.75, 0, 1, 54.75, -999
20140812, 55.46, 56.08, 55.37, 55.93, 2074600, 55.57, 0, 1, 55.515, -999
20140811, 55.94, 56.23, 55.46, 55.83, 3170800, 55.47, 0, 1, 55.705, -999
20140808, 54.52, 55.83, 54.47, 55.72, 2585700, 55.36, 0, 1, 54.94, -999
20140807, 55.01, 55.25, 54.38, 54.45, 3486200, 54.1, 0, 1, 54.555, -999
20140806, 53.75, 55, 53.6, 54.73, 2819000, 54.37, 0, 1, 54.06, -999
20140805, 53.34, 54.3, 53.18, 53.96, 2122300, 53.61, 0, 1, 53.475, -999
20140804, 53.65, 54.14, 53.62, 53.74, 2600100, 53.39, 0, 1, 53.52, -999
20140801, 53.35, 53.71, 53.07, 53.56, 2635600, 53.21, 0, 1, 53.28, -999
20140731, 53.12, 54.13, 53.02, 53.54, 3436100, 53.19, 0, 1, 53.155, -999
20140730, 52.1, 54.2, 52.02, 53.56, 4392400, 53.21, 0, 1, 52.655, -999
20140729, 52.17, 52.64, 51.93, 51.94, 1269400, 51.6, 0, 1, 51.885, -999
20140728, 51.53, 52.24, 51.26, 52.23, 1626400, 51.89, 0, 1, 51.71, -999
20140725, 52.07, 52.07, 51.16, 51.36, 1842400, 51.03, 0, 1, 51.55, -999
20140724, 51.8, 52.51, 51.77, 52.1, 1999200, 51.76, 0, 1, 51.78, -999
20140723, 51.74, 52.14, 51.66, 51.82, 1783500, 51.48, 0, 1, 51.61, -999
20140722, 52.32, 52.55, 51.51, 51.66, 2978200, 51.32, 0, 1, 51.82, -999
20140721, 52.3, 52.45, 52.03, 52.31, 1453200, 51.97, 0, 1, 52.135, -999
20140718, 51.81, 52.4, 51.56, 52.4, 1939800, 52.06, 0, 1, 51.935, -999
20140717, 51.39, 52.22, 51.25, 51.63, 2209900, 51.29, 0, 1, 51.34, -999
20140716, 51.52, 52.08, 51.14, 51.63, 2618100, 51.29, 0, 1, 51.405, -999
20140715, 50.97, 51.4, 50.94, 51.33, 3154800, 51, 0, 1, 50.985, -999
20140714, 51.9, 51.9, 50.9, 51, 2909200, 50.67, 0, 1, 51.285, -999
20140711, 52.02, 52.08, 51.36, 51.51, 2551200, 51.17, 0, 1, 51.595, -999
20140710, 52.82, 52.97, 52.06, 52.07, 2521700, 51.73, 0, 1, 52.275, -999
20140709, 53.07, 53.75, 52.98, 53.2, 2385000, 52.85, 0, 1, 52.96, -999
20140708, 52.81, 53.11, 52.44, 53.02, 2334100, 52.68, 0, 1, 52.745, -999
20140707, 52.78, 53.12, 52.7, 53.02, 2244300, 52.68, 0, 1, 52.73, -999
20140703, 52.65, 53.21, 52.65, 52.95, 1624700, 52.61, 0, 1, 52.63, -999
20140702, 52.94, 53.15, 52.18, 52.35, 3814800, 52.01, 0, 1, 52.475, -999
20140701, 52.71, 53.22, 52.71, 53.16, 1703100, 52.81, 0, 1, 52.76, -999
20140630, 53.13, 53.47, 52.63, 52.68, 1829500, 52.34, 0, 1, 52.735, -999
20140627, 52.93, 53.28, 52.83, 53.23, 2155500, 52.88, 0, 1, 52.905, -999
20140626, 52.72, 53.14, 52.58, 53.02, 1916200, 52.68, 0, 1, 52.7, -999
20140625, 53.06, 53.29, 52.69, 52.77, 1385800, 52.43, 0, 1, 52.745, -999
20140624, 52.94, 53.31, 52.77, 53.08, 1810900, 52.73, 0, 1, 52.835, -999
20140623, 52.48, 52.86, 52.46, 52.81, 2248700, 52.47, 0, 1, 52.475, -999
20140620, 52.86, 53.37, 52.36, 52.4, 3880200, 52.06, 0, 1, 52.46, -999
20140619, 53.08, 53.28, 52.84, 53.2, 1714600, 52.85, 0, 1, 52.965, -999
20140618, 53.02, 53.49, 52.71, 53.03, 1520900, 52.69, 0, 1, 52.855, -999
20140617, 52.69, 53.19, 52.58, 53.03, 1188000, 52.69, 0, 1, 52.69, -999
20140616, 52.3, 52.88, 52.13, 52.77, 1707800, 52.43, 0, 1, 52.365, -999
20140613, 52.25, 52.4, 51.95, 52.12, 1880600, 51.78, 0, 1, 52.015, -999
20140612, 52.45, 52.6, 51.88, 52.25, 2663300, 51.91, 0, 1, 52.18, -999
20140611, 53.06, 53.12, 52.32, 52.37, 2497900, 52.03, 0, 1, 52.545, -999
20140610, 53.59, 53.77, 53.13, 53.23, 2408600, 52.88, 0, 1, 53.235, -999
20140609, 53.82, 54.51, 53.61, 53.71, 2090600, 53.36, 0.39, 1, 53.59, -999
20140606, 53.91, 54.45, 53.83, 54.2, 1690500, 53.46, 0, 1, 53.685, -999
20140605, 54.33, 54.36, 52.96, 53.69, 2470400, 52.96, 0, 1, 53.645, -999
20140604, 53.79, 54.41, 53.76, 54.25, 1581400, 53.51, 0, 1, 53.65, -999
20140603, 53.97, 54.2, 53.76, 53.9, 1768800, 53.16, 0, 1, 53.565, -999
20140602, 54.66, 54.81, 54.23, 54.28, 1690000, 53.54, 0, 1, 54.1, -999
20140530, 54.34, 54.89, 53.84, 54.44, 2883300, 53.7, 0, 1, 54.02, -999
20140529, 54.03, 54.55, 53.94, 54.48, 1716700, 53.74, 0, 1, 53.885, -999
20140528, 54.19, 54.19, 53.36, 53.96, 1896800, 53.22, 0, 1, 53.705, -999
20140527, 53.33, 54.31, 52.95, 54.3, 3142000, 53.56, 0, 1, 53.445, -999
20140523, 52.81, 52.97, 52.54, 52.83, 1362300, 52.11, 0, 1, 52.46, -999
20140522, 52.9, 53.39, 52.64, 52.88, 1779700, 52.16, 0, 1, 52.53, -999
20140521, 52.44, 53.28, 52.31, 52.7, 1794200, 51.98, 0, 1, 52.21, -999
20140520, 52.89, 53, 51.89, 52.35, 2193700, 51.64, 0, 1, 52.265, -999
20140519, 53.07, 53.56, 52.74, 53.04, 2512000, 52.32, 0, 1, 52.695, -999
20140516, 52.42, 53.38, 51.83, 53.26, 3495200, 52.53, 0, 1, 52.475, -999
20140515, 52.3, 54.02, 52.17, 52.21, 6679800, 51.5, 0, 1, 51.9, -999
20140514, 55.83, 56.03, 53.83, 54.03, 4877000, 53.29, 0, 1, 54.56, -999
20140513, 55.66, 56.14, 55.31, 55.89, 2900300, 55.13, 0, 1, 55.395, -999
20140512, 54.96, 55.86, 54.96, 55.6, 2880500, 54.84, 0, 1, 54.9, -999
20140509, 53.87, 54.84, 53.66, 54.75, 2845000, 54, 0, 1, 53.935, -999
20140508, 53.71, 54.83, 53.56, 53.86, 2672900, 53.12, 0, 1, 53.415, -999
20140507, 53.99, 53.99, 52.82, 53.6, 3042600, 52.87, 0, 1, 53.43, -999
20140506, 55.12, 55.15, 53.63, 53.84, 2877000, 53.1, 0, 1, 54.11, -999
20140505, 55.35, 55.95, 55.01, 55.34, 1846000, 54.58, 0, 1, 54.965, -999
20140502, 55.37, 56.23, 55.26, 55.72, 1569400, 54.96, 0, 1, 55.165, -999
20140501, 54.89, 55.48, 54.69, 55.24, 1639000, 54.49, 0, 1, 54.69, -999
20140430, 55.21, 55.21, 54.38, 54.79, 2111000, 54.04, 0, 1, 54.625, -999
20140429, 55.47, 55.68, 55.07, 55.34, 1559300, 54.58, 0, 1, 55.025, -999
20140428, 54.92, 55.92, 54.8, 55.44, 2310500, 54.68, 0, 1, 54.8, -999
20140425, 54.59, 54.81, 53.88, 54.68, 1532400, 53.93, 0, 1, 54.26, -999
20140424, 54.84, 55.09, 54.5, 54.73, 1110500, 53.98, 0, 1, 54.41, -999
20140423, 54.26, 54.97, 54.22, 54.77, 1642800, 54.02, 0, 1, 54.14, -999
20140422, 54.59, 54.66, 54.05, 54.24, 2110900, 53.5, 0, 1, 54.045, -999
20140421, 55.34, 55.34, 54.33, 54.57, 1289300, 53.82, 0, 1, 54.58, -999
20140417, 55.1, 55.11, 53.75, 54.26, 2444600, 53.52, 0, 1, 54.31, -999
20140416, 54.75, 55.35, 54.64, 55.04, 1996800, 54.29, 0, 1, 54.52, -999
20140415, 53.7, 54.59, 53.64, 54.43, 2875700, 53.69, 0, 1, 53.695, -999
20140414, 53.74, 53.97, 53.11, 53.56, 2433800, 52.83, 0, 1, 53.285, -999
20140411, 53.95, 54.25, 53.12, 53.53, 3346000, 52.8, 0, 1, 53.375, -999
20140410, 56.25, 56.75, 54.54, 54.56, 3839900, 53.82, 0, 1, 55.035, -999
20140409, 56.78, 57.14, 56.01, 56.34, 1928100, 55.57, 0, 1, 56.175, -999
20140408, 55.89, 56.82, 55.53, 56.64, 2328300, 55.87, 0, 1, 55.88, -999
20140407, 57.45, 57.53, 55.91, 56.02, 2721300, 55.26, 0, 1, 56.355, -999
20140404, 57.99, 58.2, 57.53, 57.66, 2597700, 56.87, 0, 1, 57.43, -999
20140403, 57.98, 58.07, 57.34, 57.85, 1931400, 57.06, 0, 1, 57.52, -999
