Ticker: KSU  Created on: 12/6/2014 5:25:03 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 118.43, 119.05, 116.93, 117.3, 509100, 117.3, 0, 1, 117.865, -999
20141204, 119.88, 120.48, 117.81, 118.45, 708900, 118.45, 0, 1, 119.165, -999
20141203, 119.3, 120.57, 119.09, 120.24, 967300, 120.24, 0, 1, 119.77, -999
20141202, 115.38, 119.08, 115.23, 119.05, 1740300, 119.05, 0, 1, 117.215, -999
20141201, 117.99, 118, 111.35, 115.47, 2220300, 115.47, 0, 1, 116.73, -999
20141128, 125.61, 125.61, 118.62, 118.94, 1291800, 118.94, 0, 1, 122.275, -999
20141126, 125.27, 125.92, 124.84, 125.3, 395100, 125.3, 0, 1, 125.285, -999
20141125, 125.54, 126.01, 125.31, 125.4, 704100, 125.4, 0, 1, 125.47, -999
20141124, 124.64, 125.89, 124.37, 125.14, 577500, 125.14, 0, 1, 124.89, -999
20141121, 125.34, 125.34, 123.64, 124.17, 727900, 124.17, 0, 1, 124.755, -999
20141120, 122.71, 124.73, 122.5, 124.2, 659300, 124.2, 0, 1, 123.455, -999
20141119, 123.27, 123.56, 122.09, 122.92, 678600, 122.92, 0, 1, 123.095, -999
20141118, 124.7, 125.38, 123.58, 123.72, 783400, 123.72, 0, 1, 124.21, -999
20141117, 125.21, 125.38, 124.54, 124.8, 555600, 124.8, 0, 1, 125.005, -999
20141114, 124.8, 126.08, 124.36, 125.88, 821600, 125.88, 0, 1, 125.34, -999
20141113, 124.04, 124.83, 123.59, 124.62, 899000, 124.62, 0, 1, 124.33, -999
20141112, 124.25, 125.31, 123.33, 123.55, 646000, 123.55, 0, 1, 123.9, -999
20141111, 124.93, 126.49, 124.26, 124.84, 1100500, 124.84, 0, 1, 124.885, -999
20141110, 123.81, 125.44, 123.8, 124.75, 588400, 124.75, 0, 1, 124.28, -999
20141107, 124.21, 125.1, 122.66, 123.32, 697300, 123.32, 0, 1, 123.765, -999
20141106, 122.4, 124.6, 122.1, 123.73, 616000, 123.73, 0, 1, 123.065, -999
20141105, 121.08, 122.4, 120.1, 121.81, 645700, 121.81, 0, 1, 121.445, -999
20141104, 120.8, 122.06, 120.23, 120.63, 534400, 120.63, 0, 1, 120.715, -999
20141103, 122.73, 122.96, 120.77, 121.54, 728600, 121.54, 0, 1, 122.135, -999
20141031, 122.5, 123.23, 121.28, 122.79, 745700, 122.79, 0, 1, 122.645, -999
20141030, 120.19, 121.98, 119.36, 120.79, 816500, 120.79, 0, 1, 120.49, -999
20141029, 122.14, 122.46, 119.48, 120.5, 763300, 120.5, 0, 1, 121.32, -999
20141028, 120.27, 122.47, 120.27, 121.79, 743600, 121.79, 0, 1, 121.03, -999
20141027, 120.1, 120.53, 118.73, 120.05, 725100, 120.05, 0, 1, 120.075, -999
20141024, 120.34, 120.87, 118.89, 120.26, 641300, 120.26, 0, 1, 120.3, -999
20141023, 118.78, 120.61, 118.59, 119.72, 1000200, 119.72, 0, 1, 119.25, -999
20141022, 119.89, 121.08, 116.66, 116.79, 1068900, 116.79, 0, 1, 118.34, -999
20141021, 117.4, 120.11, 116.91, 120.11, 1195000, 120.11, 0, 1, 118.755, -999
20141020, 114.43, 117.41, 114.34, 116.42, 1101800, 116.42, 0, 1, 115.425, -999
20141017, 119.14, 119.42, 113.91, 115.79, 1956900, 115.79, 0, 1, 117.465, -999
20141016, 113.15, 118.28, 112.77, 116.41, 1498500, 116.41, 0, 1, 114.78, -999
20141015, 113.51, 115.72, 112.11, 115.57, 1681900, 115.57, 0, 1, 114.54, -999
20141014, 112.9, 116.22, 112.35, 115.14, 1799200, 115.14, 0, 1, 114.02, -999
20141013, 116.66, 124.68, 111.29, 111.55, 2199700, 111.55, 0, 1, 114.105, -999
20141010, 115.6, 116.2, 112.53, 112.57, 1295300, 112.57, 0, 1, 114.085, -999
20141009, 119.04, 119.22, 115.21, 115.67, 874300, 115.67, 0, 1, 117.355, -999
20141008, 116.64, 119.66, 115.2, 119.44, 832200, 119.44, 0, 1, 118.04, -999
20141007, 119.61, 119.8, 116.85, 116.96, 1116700, 116.96, 0, 1, 118.285, -999
20141006, 123.02, 123.49, 120.5, 120.55, 719800, 120.55, 0, 1, 121.785, -999
20141003, 119.68, 122.94, 119.52, 122.03, 1040600, 122.03, 0, 1, 120.855, -999
20141002, 116.75, 118.81, 116.22, 118.57, 827300, 118.57, 0, 1, 117.66, -999
20141001, 120.11, 120.23, 116.14, 116.86, 1434600, 116.86, 0, 1, 118.485, -999
20140930, 121.66, 123.95, 121.1, 121.2, 887900, 121.2, 0, 1, 121.43, -999
20140929, 119.47, 121.81, 118.7, 121.69, 678600, 121.69, 0, 1, 120.58, -999
20140926, 119.05, 120.75, 118.63, 120.07, 603000, 120.07, 0, 1, 119.56, -999
20140925, 120.68, 120.68, 118.41, 119.06, 633000, 119.06, 0, 1, 119.87, -999
20140924, 119.38, 121.04, 119.03, 120.95, 599200, 120.95, 0, 1, 120.165, -999
20140923, 119.18, 120.08, 118.93, 119.11, 722900, 119.11, 0, 1, 119.145, -999
20140922, 121.24, 121.94, 118.92, 119.66, 803300, 119.66, 0, 1, 120.45, -999
20140919, 122.25, 122.52, 120.83, 121.43, 810900, 121.43, 0, 1, 121.84, -999
20140918, 121.82, 122.45, 120.92, 121.86, 658300, 121.86, 0, 1, 121.84, -999
20140917, 119.32, 122.88, 119.32, 121.74, 1490100, 121.74, 0, 1, 120.53, -999
20140916, 115.24, 119.25, 114.56, 118.42, 1450100, 118.42, 0, 1, 116.83, -999
20140915, 115.07, 115.53, 114.27, 115.28, 532100, 115.28, 0, 1, 115.175, -999
20140912, 115.83, 116.16, 114.88, 114.96, 624500, 114.96, 0, 1, 115.395, -999
20140911, 114.61, 115.87, 114.41, 115.65, 551700, 115.65, 0, 1, 115.13, -999
20140910, 115.66, 115.75, 114.54, 115.19, 513200, 115.19, 0, 1, 115.425, -999
20140909, 116.12, 116.29, 115.07, 115.53, 304800, 115.53, 0, 1, 115.825, -999
20140908, 117.25, 117.44, 115.8, 116.09, 689000, 116.09, 0, 1, 116.67, -999
20140905, 115.96, 117.43, 115.51, 117.21, 719600, 117.21, 0, 1, 116.585, -999
20140904, 115.56, 116.83, 115.45, 116.2, 787300, 116.2, 0.28, 1, 115.88, -999
20140903, 116.58, 116.99, 115.64, 115.73, 793300, 115.45, 0, 1, 116.015, -999
20140902, 115.42, 117, 115.42, 116.17, 835600, 115.89, 0, 1, 115.655, -999
20140829, 114.39, 115.44, 113.95, 115.36, 522900, 115.08, 0, 1, 114.735, -999
20140828, 114.09, 114.72, 113.71, 114.39, 367800, 114.11, 0, 1, 114.1, -999
20140827, 113.53, 114.63, 113.01, 114.57, 408600, 114.29, 0, 1, 113.91, -999
20140826, 114.06, 114.25, 113.05, 113.47, 369800, 113.2, 0, 1, 113.63, -999
20140825, 114.22, 114.75, 113.31, 113.71, 326900, 113.43, 0, 1, 113.825, -999
20140822, 113.91, 114.18, 113.29, 113.59, 446300, 113.32, 0, 1, 113.615, -999
20140821, 114.9, 114.99, 113.65, 114.26, 424400, 113.98, 0, 1, 114.44, -999
20140820, 112.97, 114.68, 112.74, 114.52, 516800, 114.24, 0, 1, 113.605, -999
20140819, 113.68, 113.99, 112.71, 112.95, 636000, 112.68, 0, 1, 113.18, -999
20140818, 113.18, 113.93, 112.96, 113.4, 547000, 113.13, 0, 1, 113.155, -999
20140815, 113.13, 113.17, 111.32, 112.54, 574500, 112.27, 0, 1, 112.7, -999
20140814, 111.38, 112.47, 110.78, 112.46, 394300, 112.19, 0, 1, 111.785, -999
20140813, 111.95, 111.97, 110.72, 111, 555000, 110.73, 0, 1, 111.34, -999
20140812, 112.22, 112.58, 110.9, 111.47, 437400, 111.2, 0, 1, 111.71, -999
20140811, 110.2, 112.81, 109.96, 111.67, 890800, 111.4, 0, 1, 110.8, -999
20140808, 107.89, 109.75, 107.22, 109.66, 664600, 109.39, 0, 1, 108.64, -999
20140807, 108.96, 109.65, 107.13, 107.4, 729200, 107.14, 0, 1, 108.05, -999
20140806, 107.59, 108.79, 107.38, 108.39, 610300, 108.13, 0, 1, 107.86, -999
20140805, 108, 108.9, 107.72, 108.36, 628800, 108.1, 0, 1, 108.05, -999
20140804, 107.94, 108.89, 107.49, 108.8, 535600, 108.54, 0, 1, 108.24, -999
20140801, 108.5, 109.98, 107.35, 107.79, 680500, 107.53, 0, 1, 108.015, -999
20140731, 109.69, 110.59, 108.55, 109.06, 627800, 108.8, 0, 1, 109.245, -999
20140730, 110.83, 111.25, 109.91, 110.81, 479500, 110.54, 0, 1, 110.685, -999
20140729, 111.05, 111.31, 109.5, 110.11, 762100, 109.84, 0, 1, 110.445, -999
20140728, 114.09, 114.27, 110.6, 111.03, 1059700, 110.76, 0, 1, 112.425, -999
20140725, 115.25, 115.56, 113.88, 114.25, 433300, 113.97, 0, 1, 114.61, -999
20140724, 115.71, 116.32, 115.34, 115.66, 683800, 115.38, 0, 1, 115.545, -999
