Ticker: LB  Created on: 12/6/2014 5:25:07 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 83, 83.77, 82.63, 82.92, 1293100, 82.92, 0, 1, 82.96, -999
20141204, 83, 83.14, 82.3, 82.67, 2550500, 82.67, 0, 1, 82.835, -999
20141203, 81.25, 82.35, 80.6, 82.18, 1125200, 82.18, 0, 1, 81.715, -999
20141202, 80.78, 81.17, 80.27, 81.04, 1223800, 81.04, 0, 1, 80.91, -999
20141201, 80.86, 81.3, 79.9, 80.79, 1297000, 80.79, 0, 1, 80.825, -999
20141128, 80.49, 81.81, 80.47, 80.9, 650500, 80.9, 0, 1, 80.695, -999
20141126, 79.3, 80.29, 79.26, 80.17, 1015800, 80.17, 0, 1, 79.735, -999
20141125, 80.61, 81.12, 79.05, 79.1, 2030100, 79.1, 0, 1, 79.855, -999
20141124, 79, 80.04, 78.95, 79.97, 1409200, 79.97, 0, 1, 79.485, -999
20141121, 80.69, 80.94, 78.85, 78.87, 2529900, 78.87, 0, 1, 79.78, -999
20141120, 77.72, 80.18, 77, 80.08, 3308400, 80.08, 0, 1, 78.9, -999
20141119, 77.15, 77.89, 76.76, 77.68, 2377700, 77.68, 0, 1, 77.415, -999
20141118, 77.34, 77.9, 76.85, 77.33, 1883900, 76.99, 0, 1, 77.165, -999
20141117, 77.7, 78.34, 77.45, 77.71, 1964200, 77.37, 0, 1, 77.535, -999
20141114, 77.21, 77.64, 76.99, 77.48, 1080800, 77.14, 0, 1, 77.175, -999
20141113, 77.89, 78.19, 76.1, 77.05, 2149800, 76.71, 0, 1, 77.3, -999
20141112, 76.57, 78.15, 76.41, 77.94, 1796700, 77.6, 0, 1, 77.085, -999
20141111, 76.5, 76.89, 76.05, 76.7, 1106800, 76.36, 0, 1, 76.43, -999
20141110, 75.67, 76.59, 75.41, 76.56, 1268000, 76.22, 0, 1, 75.945, -999
20141107, 75.75, 75.94, 74.75, 75.61, 1919100, 75.28, 0, 1, 75.515, -999
20141106, 75.23, 76.46, 74.92, 76.35, 1560400, 76.01, 0, 1, 75.62, -999
20141105, 75.16, 75.34, 73.89, 75, 1975400, 74.67, 0, 1, 74.915, -999
20141104, 72.75, 75.7, 72.75, 74.28, 3349500, 73.95, 0, 1, 73.35, -999
20141103, 72.36, 72.62, 71.46, 72.44, 2064200, 72.12, 0, 1, 72.24, -999
20141031, 72.99, 73.24, 71.75, 72.12, 1576400, 71.8, 0, 1, 72.395, -999
20141030, 71.21, 72.4, 71.03, 72.13, 997800, 71.81, 0, 1, 71.51, -999
20141029, 71.08, 71.7, 70.9, 71.41, 1101600, 71.1, 0, 1, 71.09, -999
20141028, 70.99, 71.18, 69.8, 71.18, 1452800, 70.87, 0, 1, 70.93, -999
20141027, 70.5, 71.21, 69.67, 71, 1325400, 70.69, 0, 1, 70.595, -999
20141024, 70.56, 70.81, 69.57, 70.01, 1449900, 69.7, 0, 1, 70.13, -999
20141023, 70.18, 71.32, 70.14, 70.84, 1816700, 70.53, 0, 1, 70.355, -999
20141022, 70.66, 70.75, 69.16, 69.46, 2461400, 69.15, 0, 1, 69.905, -999
20141021, 69.51, 70.8, 69.14, 70.35, 1908100, 70.04, 0, 1, 69.775, -999
20141020, 67.2, 69.43, 67.16, 69.33, 1935700, 69.03, 0, 1, 68.115, -999
20141017, 67.79, 68.06, 66.89, 67.3, 1171000, 67, 0, 1, 67.395, -999
20141016, 65.34, 67.97, 65.18, 67.3, 2420600, 67, 0, 1, 66.17, -999
20141015, 65.73, 66.78, 64.47, 66.53, 3769600, 66.24, 0, 1, 65.985, -999
20141014, 65.86, 67.2, 65.44, 66.76, 2161900, 66.47, 0, 1, 66.165, -999
20141013, 66.68, 66.68, 65.37, 65.48, 2153700, 65.19, 0, 1, 65.935, -999
20141010, 67.2, 67.43, 66.66, 66.66, 1948700, 66.37, 0, 1, 66.785, -999
20141009, 68.01, 68.49, 66.9, 67.41, 2777200, 67.11, 0, 1, 67.56, -999
20141008, 66.23, 67.95, 66.16, 67.84, 1649200, 67.54, 0, 1, 66.885, -999
20141007, 66.73, 67.01, 65.89, 65.94, 1938600, 65.65, 0, 1, 66.19, -999
20141006, 68.44, 68.49, 67, 67.08, 1527600, 66.79, 0, 1, 67.615, -999
20141003, 66.83, 67.41, 66.5, 67.3, 1066500, 67, 0, 1, 66.915, -999
20141002, 66.22, 66.96, 65.62, 66.61, 1199700, 66.32, 0, 1, 66.27, -999
20141001, 66.98, 66.98, 65.89, 66.13, 1437800, 65.84, 0, 1, 66.41, -999
20140930, 67.63, 67.82, 66.86, 66.98, 1217300, 66.69, 0, 1, 67.16, -999
20140929, 68, 68.43, 67.46, 67.77, 2040800, 67.47, 0, 1, 67.735, -999
20140926, 67.84, 68.61, 67.8, 68.27, 2065200, 67.97, 0, 1, 67.905, -999
20140925, 67.9, 68.16, 67.2, 67.8, 3008500, 67.5, 0, 1, 67.7, -999
20140924, 66.49, 68.13, 66.36, 68, 2106200, 67.7, 0, 1, 67.095, -999
20140923, 66.2, 66.49, 65.81, 66.25, 1501000, 65.96, 0, 1, 66.08, -999
20140922, 66.25, 66.8, 66.22, 66.57, 2524500, 66.28, 0, 1, 66.265, -999
20140919, 67.04, 67.17, 66.17, 66.56, 1461100, 66.27, 0, 1, 66.655, -999
20140918, 65.75, 66.67, 65.67, 66.56, 1304100, 66.27, 0, 1, 66.01, -999
20140917, 65.71, 65.91, 65.23, 65.64, 1310700, 65.35, 0, 1, 65.53, -999
20140916, 64.77, 66.05, 64.72, 66, 1480800, 65.71, 0, 1, 65.24, -999
20140915, 64.98, 65.42, 64.87, 65.04, 709600, 64.75, 0, 1, 64.865, -999
20140912, 65.29, 65.75, 64.89, 65.19, 1126700, 64.9, 0, 1, 65.095, -999
20140911, 64.65, 65.4, 64.62, 65.14, 2069800, 64.85, 0, 1, 64.75, -999
20140910, 64.18, 65.02, 63.89, 64.76, 2081800, 64.48, 0, 1, 64.33, -999
20140909, 64.18, 64.26, 63.54, 63.67, 1048000, 63.39, 0, 1, 63.785, -999
20140908, 64.48, 64.92, 63.82, 64.13, 1005900, 63.85, 0, 1, 64.165, -999
20140905, 64.36, 64.63, 63.72, 64.46, 1897800, 64.18, 0, 1, 64.27, -999
20140904, 64.5, 65.16, 64.01, 64.62, 1840500, 64.34, 0, 1, 64.42, -999
20140903, 63.96, 64.27, 63.57, 63.69, 930000, 63.41, 0, 1, 63.685, -999
20140902, 63.9, 64.28, 63.51, 63.61, 1092800, 63.33, 0, 1, 63.615, -999
20140829, 64.04, 64.24, 63.71, 63.85, 910400, 63.57, 0, 1, 63.805, -999
20140828, 63.33, 64.09, 62.91, 63.75, 835300, 63.47, 0, 1, 63.4, -999
20140827, 64.01, 64.13, 63.44, 63.74, 1315900, 63.46, 0, 1, 63.735, -999
20140826, 63.44, 64.05, 63.44, 63.78, 1752600, 63.5, 0, 1, 63.47, -999
20140825, 64.13, 64.47, 63.79, 63.85, 1415700, 63.57, 0, 1, 63.85, -999
20140822, 63.81, 64.25, 63.6, 63.9, 1285700, 63.62, 0, 1, 63.715, -999
20140821, 63.53, 64.04, 62.74, 63.72, 1962700, 63.44, 0, 1, 63.485, -999
20140820, 62.93, 63.21, 62.46, 62.98, 2636900, 62.7, 0.34, 1, 62.815, -999
20140819, 63.16, 63.7, 62.92, 63.22, 1992300, 62.6, 0, 1, 62.88, -999
20140818, 61.93, 62.64, 61.85, 62.64, 2557300, 62.03, 0, 1, 61.98, -999
20140815, 62.91, 62.93, 61.45, 61.6, 1797500, 61, 0, 1, 61.955, -999
20140814, 62.54, 62.96, 62.04, 62.75, 1229900, 62.14, 0, 1, 62.34, -999
20140813, 61.78, 62.49, 61.74, 62.26, 1820900, 61.65, 0, 1, 61.715, -999
20140812, 62.52, 62.94, 62.15, 62.42, 1573600, 61.81, 0, 1, 62.165, -999
20140811, 63.27, 63.29, 62.02, 62.52, 1996100, 61.91, 0, 1, 62.59, -999
20140808, 60.93, 63.54, 60.93, 63.2, 2567800, 62.58, 0, 1, 61.755, -999
20140807, 61.8, 62.28, 60.38, 60.62, 2815600, 60.03, 0, 1, 60.915, -999
20140806, 58.42, 59.63, 58.25, 59.19, 1130000, 58.61, 0, 1, 58.515, -999
20140805, 58.49, 59.28, 58.18, 58.75, 1263000, 58.18, 0, 1, 58.335, -999
20140804, 58.05, 59.06, 57.93, 58.95, 1438600, 58.38, 0, 1, 58.215, -999
20140801, 57.89, 57.94, 57.21, 57.81, 1172200, 57.25, 0, 1, 57.57, -999
20140731, 58.1, 58.39, 57.93, 57.97, 1587800, 57.4, 0, 1, 57.75, -999
20140730, 58, 58.93, 58, 58.83, 1459100, 58.26, 0, 1, 58.13, -999
20140729, 57.54, 58.19, 57.42, 57.8, 1058100, 57.24, 0, 1, 57.39, -999
20140728, 57.59, 57.75, 57.07, 57.61, 903200, 57.05, 0, 1, 57.32, -999
