Ticker: LH  Created on: 12/6/2014 5:25:07 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 105.09, 107.12, 104.8, 106.14, 1410100, 106.14, 0, 1, 105.615, -999
20141204, 105.77, 105.84, 103.97, 104.79, 1685700, 104.79, 0, 1, 105.28, -999
20141203, 104.93, 106, 104.22, 105.77, 1455100, 105.77, 0, 1, 105.35, -999
20141202, 104.6, 105, 103.08, 104.85, 1572400, 104.85, 0, 1, 104.725, -999
20141201, 104.64, 105.24, 103.43, 104.04, 1593700, 104.04, 0, 1, 104.34, -999
20141128, 102.49, 105.14, 102.37, 104.64, 1132200, 104.64, 0, 1, 103.565, -999
20141126, 100.43, 102.44, 100.17, 102.15, 1614900, 102.15, 0, 1, 101.29, -999
20141125, 101.43, 101.97, 100.35, 100.53, 1818100, 100.53, 0, 1, 100.98, -999
20141124, 100.74, 101.76, 100.48, 101.66, 1028200, 101.66, 0, 1, 101.2, -999
20141121, 101.85, 102, 100.35, 100.46, 1444500, 100.46, 0, 1, 101.155, -999
20141120, 100.7, 101.05, 99.73, 100.64, 991500, 100.64, 0, 1, 100.67, -999
20141119, 101.31, 101.82, 100.81, 100.95, 939600, 100.95, 0, 1, 101.13, -999
20141118, 100.43, 101.34, 100, 101.18, 1201800, 101.18, 0, 1, 100.805, -999
20141117, 98.82, 100.24, 98.54, 100.08, 1408900, 100.08, 0, 1, 99.45, -999
20141114, 99.72, 99.89, 98.63, 98.84, 1517500, 98.84, 0, 1, 99.28, -999
20141113, 99.69, 100.51, 98.8, 99.56, 1850400, 99.56, 0, 1, 99.625, -999
20141112, 99.6, 100.89, 99.01, 100.7, 1870400, 100.7, 0, 1, 100.15, -999
20141111, 101, 101.08, 99.66, 100.09, 1118200, 100.09, 0, 1, 100.545, -999
20141110, 100.93, 101.31, 100.26, 100.98, 1189300, 100.98, 0, 1, 100.955, -999
20141107, 102.74, 102.91, 100.05, 100.52, 1978500, 100.52, 0, 1, 101.63, -999
20141106, 102.21, 102.96, 101.92, 102.93, 1285100, 102.93, 0, 1, 102.57, -999
20141105, 102.55, 102.93, 101.15, 102.21, 1619300, 102.21, 0, 1, 102.38, -999
20141104, 101.06, 102.97, 100.12, 102.38, 3612000, 102.38, 0, 1, 101.72, -999
20141103, 104.79, 105, 99.65, 101.23, 8323600, 101.23, 0, 1, 103.01, -999
20141031, 109.31, 109.47, 108.24, 109.29, 901200, 109.29, 0, 1, 109.3, -999
20141030, 106.7, 107.42, 106.28, 107.39, 955000, 107.39, 0, 1, 107.045, -999
20141029, 107.87, 108.07, 105.95, 106.7, 855600, 106.7, 0, 1, 107.285, -999
20141028, 104.03, 108.94, 103.58, 107.51, 1434300, 107.51, 0, 1, 105.77, -999
20141027, 103.71, 103.75, 102.67, 103.14, 568000, 103.14, 0, 1, 103.425, -999
20141024, 103.12, 103.89, 102.44, 103.73, 494700, 103.73, 0, 1, 103.425, -999
20141023, 101.64, 103.87, 101.39, 102.68, 611100, 102.68, 0, 1, 102.16, -999
20141022, 101.23, 102.65, 100.84, 101.07, 909700, 101.07, 0, 1, 101.15, -999
20141021, 99.41, 101.47, 99.36, 101.3, 438600, 101.3, 0, 1, 100.355, -999
20141020, 98.27, 98.99, 98.1, 98.94, 449200, 98.94, 0, 1, 98.605, -999
20141017, 98.62, 99.35, 98.26, 98.67, 417000, 98.67, 0, 1, 98.645, -999
20141016, 96.51, 98.26, 96.51, 98.01, 826300, 98.01, 0, 1, 97.26, -999
20141015, 97.92, 98.66, 95.61, 98.27, 960600, 98.27, 0, 1, 98.095, -999
20141014, 99, 99.74, 97.7, 97.81, 575600, 97.81, 0, 1, 98.405, -999
20141013, 98.78, 100.64, 98.72, 98.78, 686000, 98.78, 0, 1, 98.78, -999
20141010, 98.71, 100.13, 98.6, 99.05, 624000, 99.05, 0, 1, 98.88, -999
20141009, 100.87, 101.08, 98.4, 98.44, 570900, 98.44, 0, 1, 99.655, -999
20141008, 99.12, 100.88, 98.49, 100.76, 911900, 100.76, 0, 1, 99.94, -999
20141007, 101.01, 101.01, 98.89, 98.96, 973900, 98.96, 0, 1, 99.985, -999
20141006, 103.01, 103.15, 100.78, 101.4, 467000, 101.4, 0, 1, 102.205, -999
20141003, 102.77, 102.94, 101.55, 102.52, 809000, 102.52, 0, 1, 102.645, -999
20141002, 101.18, 102.57, 100.73, 102.16, 551100, 102.16, 0, 1, 101.67, -999
20141001, 101.88, 102.47, 101.1, 101.18, 736700, 101.18, 0, 1, 101.53, -999
20140930, 103.01, 103.01, 101.74, 101.75, 405700, 101.75, 0, 1, 102.38, -999
20140929, 101.84, 103.41, 101.55, 103.14, 547700, 103.14, 0, 1, 102.49, -999
20140926, 102.28, 102.98, 101.76, 102.81, 705600, 102.81, 0, 1, 102.545, -999
20140925, 103.71, 103.72, 102.03, 102.03, 402200, 102.03, 0, 1, 102.87, -999
20140924, 102.75, 103.93, 102.63, 103.88, 522100, 103.88, 0, 1, 103.315, -999
20140923, 104.33, 104.43, 102.82, 102.96, 666300, 102.96, 0, 1, 103.645, -999
20140922, 105.92, 106.04, 104.24, 104.5, 498200, 104.5, 0, 1, 105.21, -999
20140919, 106.58, 106.76, 105.98, 106.12, 541800, 106.12, 0, 1, 106.35, -999
20140918, 106.15, 106.68, 105.41, 106.06, 435800, 106.06, 0, 1, 106.105, -999
20140917, 106.87, 107.32, 105.87, 106.12, 432300, 106.12, 0, 1, 106.495, -999
20140916, 106.06, 107.44, 105.6, 107.01, 415200, 107.01, 0, 1, 106.535, -999
20140915, 106.63, 106.83, 105.6, 105.86, 312700, 105.86, 0, 1, 106.245, -999
20140912, 107.02, 107.24, 106.11, 106.35, 559300, 106.35, 0, 1, 106.685, -999
20140911, 106.74, 107.27, 106.3, 107.27, 311100, 107.27, 0, 1, 107.005, -999
20140910, 108.36, 108.54, 106.76, 107.16, 343600, 107.16, 0, 1, 107.76, -999
20140909, 108.22, 108.77, 107.83, 108.25, 385800, 108.25, 0, 1, 108.235, -999
20140908, 107.98, 108.39, 107.6, 108.13, 369600, 108.13, 0, 1, 108.055, -999
20140905, 107.8, 108.31, 107.69, 107.98, 455800, 107.98, 0, 1, 107.89, -999
20140904, 108.12, 108.68, 107.44, 107.98, 582500, 107.98, 0, 1, 108.05, -999
