Ticker: LLL  Created on: 12/6/2014 5:25:07 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 123.98, 125.89, 123.98, 124.59, 826700, 124.59, 0, 1, 124.285, -999
20141204, 123.21, 123.78, 122.62, 123.52, 920700, 123.52, 0, 1, 123.365, -999
20141203, 123.81, 124.22, 122.21, 123.08, 1278100, 123.08, 0, 1, 123.445, -999
20141202, 123.73, 124.21, 123.01, 123.52, 836600, 123.52, 0, 1, 123.625, -999
20141201, 124.3, 125.3, 123.75, 123.9, 669000, 123.9, 0, 1, 124.1, -999
20141128, 124.68, 125.52, 124.17, 124.6, 286400, 124.6, 0, 1, 124.64, -999
20141126, 123.82, 124.83, 123.33, 124.41, 449200, 124.41, 0, 1, 124.115, -999
20141125, 123.8, 124.89, 122.88, 124.02, 777100, 124.02, 0, 1, 123.91, -999
20141124, 122.89, 123.73, 122.51, 123.48, 650700, 123.48, 0, 1, 123.185, -999
20141121, 122.98, 123.1, 121.76, 122.29, 774200, 122.29, 0, 1, 122.635, -999
20141120, 120.15, 121.72, 120.09, 121.37, 1003200, 121.37, 0, 1, 120.76, -999
20141119, 120.75, 121.27, 119.91, 120.85, 794600, 120.85, 0, 1, 120.8, -999
20141118, 119.87, 121.63, 119.8, 120.92, 1469400, 120.92, 0, 1, 120.395, -999
20141117, 119.19, 120.15, 118.88, 119.84, 816300, 119.84, 0, 1, 119.515, -999
20141114, 119.81, 120.75, 119.09, 119.28, 716200, 119.28, 0, 1, 119.545, -999
20141113, 117.08, 119.92, 116.9, 119.73, 945100, 119.73, 0, 1, 118.405, -999
20141112, 118.45, 118.93, 117.12, 117.22, 1296800, 116.62, 0, 1, 117.535, -999
20141111, 120.13, 120.22, 118.3, 118.7, 1253000, 118.09, 0, 1, 119.11, -999
20141110, 121.6, 121.6, 119.8, 120.03, 1650300, 119.42, 0, 1, 120.51, -999
20141107, 122.54, 123.32, 120.94, 121.64, 781500, 121.02, 0, 1, 121.78, -999
20141106, 122.91, 123.55, 121.66, 123.1, 822000, 122.47, 0, 1, 122.69, -999
20141105, 123.12, 123.5, 121.92, 123.1, 755100, 122.47, 0, 1, 122.795, -999
20141104, 121.61, 123.08, 121.61, 122.6, 921300, 121.97, 0, 1, 121.79, -999
20141103, 121.3, 122.34, 119.73, 121.46, 962100, 120.84, 0, 1, 121.07, -999
20141031, 121.81, 122.08, 120.2, 121.46, 1209200, 120.84, 0, 1, 121.325, -999
20141030, 113.32, 122.88, 111.41, 119.85, 2402800, 119.24, 0, 1, 116.28, -999
20141029, 117.41, 117.81, 116.47, 117.49, 1192900, 116.89, 0, 1, 117.15, -999
20141028, 115.59, 117.05, 115.35, 116.76, 626400, 116.16, 0, 1, 115.875, -999
20141027, 113.97, 115.3, 113.73, 115.23, 549000, 114.64, 0, 1, 114.305, -999
20141024, 114.85, 114.85, 112.8, 114.56, 537000, 113.97, 0, 1, 114.41, -999
20141023, 113.2, 115.47, 112.26, 114.43, 905800, 113.84, 0, 1, 113.52, -999
