Ticker: LLTC  Created on: 12/6/2014 5:25:11 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 46.5, 47.13, 46.49, 47.12, 2553500, 47.12, 0, 1, 46.81, -999
20141204, 46.86, 46.86, 46.4, 46.56, 2993100, 46.56, 0, 1, 46.71, -999
20141203, 45.85, 46.84, 45.85, 46.8, 3826400, 46.8, 0, 1, 46.325, -999
20141202, 45.43, 45.93, 45.32, 45.88, 1444700, 45.88, 0, 1, 45.655, -999
20141201, 45.98, 46.39, 45.43, 45.45, 2531300, 45.45, 0, 1, 45.715, -999
20141128, 45.79, 46.08, 45.53, 46.03, 1301500, 46.03, 0, 1, 45.91, -999
20141126, 44.33, 45.76, 44.25, 45.55, 2408600, 45.55, 0, 1, 44.94, -999
20141125, 44.5, 44.63, 44.19, 44.34, 1360900, 44.34, 0, 1, 44.42, -999
20141124, 44.1, 44.5, 43.86, 44.49, 1559400, 44.49, 0, 1, 44.295, -999
20141121, 44.31, 44.31, 43.53, 44.1, 1559200, 44.1, 0, 1, 44.205, -999
20141120, 43.16, 43.8, 43.14, 43.71, 1002300, 43.71, 0, 1, 43.435, -999
20141119, 43.76, 43.91, 43.35, 43.5, 1313700, 43.5, 0, 1, 43.63, -999
20141118, 43.22, 43.97, 43.16, 43.78, 1225200, 43.78, 0, 1, 43.5, -999
20141117, 43.36, 43.46, 42.96, 43.29, 927000, 43.29, 0, 1, 43.325, -999
20141114, 43.13, 43.49, 42.7, 43.4, 1217800, 43.4, 0, 1, 43.265, -999
20141113, 43.2, 43.41, 42.88, 43.04, 1179000, 43.04, 0, 1, 43.12, -999
20141112, 42.94, 43.22, 42.75, 43.11, 1340100, 43.11, 0, 1, 43.025, -999
20141111, 43.59, 43.71, 43.02, 43.23, 1497500, 42.96, 0, 1, 43.275, -999
20141110, 43.44, 43.84, 43.26, 43.64, 1806600, 43.37, 0, 1, 43.405, -999
20141107, 43.47, 43.67, 42.95, 43.36, 2099900, 43.09, 0, 1, 43.28, -999
20141106, 43.96, 44.32, 43.38, 43.43, 2555000, 43.16, 0, 1, 43.56, -999
20141105, 43.78, 44.03, 43.24, 43.97, 2394900, 43.7, 0, 1, 43.74, -999
20141104, 43.32, 43.67, 43.08, 43.34, 3918800, 43.07, 0, 1, 43.195, -999
20141103, 42.7, 43.35, 42.7, 43.15, 2290200, 42.88, 0, 1, 42.79, -999
20141031, 42.79, 43.75, 42.05, 42.84, 5413000, 42.57, 0, 1, 42.68, -999
20141030, 41.43, 41.49, 40.6, 41.31, 2681800, 41.05, 0, 1, 41.24, -999
20141029, 40.96, 41.51, 40.79, 41.46, 2016400, 41.2, 0, 1, 41.08, -999
20141028, 40.89, 41.1, 40.44, 41.05, 2436300, 40.79, 0, 1, 40.84, -999
20141027, 40.67, 40.98, 40.37, 40.82, 1754700, 40.57, 0, 1, 40.62, -999
20141024, 40.76, 41.16, 40.64, 40.89, 2659700, 40.63, 0, 1, 40.695, -999
20141023, 40.82, 41.24, 40.59, 40.92, 2303500, 40.66, 0, 1, 40.74, -999
20141022, 41, 41.03, 40.23, 40.27, 2142700, 40.02, 0, 1, 40.51, -999
20141021, 39.99, 40.95, 39.84, 40.88, 3319500, 40.62, 0, 1, 40.305, -999
20141020, 38.97, 39.65, 38.64, 39.59, 3480500, 39.34, 0, 1, 39.155, -999
20141017, 39.57, 40.09, 39, 39.09, 8028000, 38.85, 0, 1, 39.21, -999
20141016, 38.28, 39.81, 38.05, 39.49, 7147000, 39.24, 0, 1, 38.76, -999
20141015, 38, 40.27, 37.56, 38.69, 11355800, 38.45, 0, 1, 38.225, -999
20141014, 39.28, 40.06, 38.74, 39.03, 5191400, 38.79, 0, 1, 39.035, -999
20141013, 39.07, 40.08, 38.79, 38.81, 6064700, 38.57, 0, 1, 38.82, -999
20141010, 39.67, 40.22, 38.16, 39.28, 9597200, 39.03, 0, 1, 39.35, -999
20141009, 42.04, 42.47, 41.23, 41.3, 4279700, 41.04, 0, 1, 41.54, -999
20141008, 41.14, 42.53, 40.77, 42.5, 4501500, 42.23, 0, 1, 41.685, -999
20141007, 42, 42.17, 41.16, 41.17, 3491000, 40.91, 0, 1, 41.455, -999
20141006, 42.54, 42.83, 41.94, 42.27, 3002800, 42.01, 0, 1, 42.275, -999
20141003, 42.91, 43.07, 42.45, 42.47, 2383400, 42.2, 0, 1, 42.555, -999
20141002, 42.97, 43, 42.11, 42.72, 3934300, 42.45, 0, 1, 42.71, -999
20141001, 44.22, 44.33, 42.98, 43.11, 3990000, 42.84, 0, 1, 43.53, -999
20140930, 44.69, 45.11, 44.05, 44.39, 3141300, 44.11, 0, 1, 44.4, -999
20140929, 44.15, 45.1, 44.03, 44.73, 2515400, 44.45, 0, 1, 44.3, -999
20140926, 44.1, 44.52, 43.83, 44.43, 2151000, 44.15, 0, 1, 44.125, -999
20140925, 44.87, 44.98, 44.06, 44.18, 1503200, 43.9, 0, 1, 44.385, -999
20140924, 45.11, 45.29, 44.83, 45.02, 1327100, 44.74, 0, 1, 44.925, -999
20140923, 45.15, 45.57, 44.89, 45.04, 2102500, 44.76, 0, 1, 44.955, -999
20140922, 45.44, 45.44, 44.96, 45.2, 1533400, 44.92, 0, 1, 45.18, -999
20140919, 46.08, 46.09, 45.23, 45.46, 2553100, 45.18, 0, 1, 45.63, -999
20140918, 45.32, 45.97, 45.19, 45.89, 1430100, 45.6, 0, 1, 45.46, -999
