Ticker: LLY  Created on: 12/6/2014 5:25:10 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 72.09, 72.21, 71.68, 71.85, 5411900, 71.85, 0, 1, 71.97, -999
20141204, 70.98, 72.44, 70.84, 72.38, 6516600, 72.38, 0, 1, 71.68, -999
20141203, 70.28, 71.16, 70, 71.13, 6423400, 71.13, 0, 1, 70.705, -999
20141202, 68.63, 70.77, 68.59, 70.38, 8242600, 70.38, 0, 1, 69.505, -999
20141201, 67.97, 68.77, 67.6, 68.51, 4669500, 68.51, 0, 1, 68.24, -999
20141128, 67.73, 68.55, 67.6, 68.12, 2237800, 68.12, 0, 1, 67.925, -999
20141126, 67.03, 67.39, 66.89, 67.32, 2372900, 67.32, 0, 1, 67.175, -999
20141125, 66.86, 67.22, 66.75, 66.85, 4380000, 66.85, 0, 1, 66.855, -999
20141124, 67.61, 67.67, 66.85, 66.93, 4574100, 66.93, 0, 1, 67.27, -999
20141121, 67.45, 67.5, 67.03, 67.36, 5892000, 67.36, 0, 1, 67.405, -999
20141120, 66.96, 67.08, 66.56, 66.8, 2464400, 66.8, 0, 1, 66.88, -999
20141119, 67.66, 67.66, 66.91, 67.21, 3126000, 67.21, 0, 1, 67.435, -999
20141118, 67.19, 68, 67.01, 67.78, 3705400, 67.78, 0, 1, 67.485, -999
20141117, 67.07, 67.35, 66.94, 67.29, 3309300, 67.29, 0, 1, 67.18, -999
20141114, 67.68, 67.72, 67.12, 67.33, 2333300, 67.33, 0, 1, 67.505, -999
20141113, 67.68, 68.16, 67.41, 67.68, 3292700, 67.68, 0, 1, 67.68, -999
20141112, 67.35, 67.85, 67.02, 67.4, 4499400, 67.4, 0, 1, 67.375, -999
20141111, 68.35, 68.67, 67.81, 67.85, 5282300, 67.36, 0, 1, 67.855, -999
20141110, 66.82, 68.42, 66.42, 68.35, 4438100, 67.86, 0, 1, 67.34, -999
20141107, 66.82, 66.93, 66.25, 66.6, 3796800, 66.12, 0, 1, 66.47, -999
20141106, 67.03, 67.23, 66.65, 66.96, 3091800, 66.48, 0, 1, 66.755, -999
20141105, 67.42, 67.61, 66.76, 66.99, 3073900, 66.51, 0, 1, 66.965, -999
20141104, 66.88, 67.23, 66.45, 67.17, 4057800, 66.68, 0, 1, 66.78, -999
20141103, 66.05, 66.66, 66.03, 66.54, 3465400, 66.06, 0, 1, 66.055, -999
20141031, 67.3, 67.43, 65.91, 66.33, 4471900, 65.85, 0, 1, 66.575, -999
20141030, 65.4, 66.98, 65.31, 66.8, 4128000, 66.32, 0, 1, 65.86, -999
20141029, 65, 65.97, 64.78, 65.49, 6196800, 65.02, 0, 1, 65.01, -999
20141028, 66, 66.1, 63.74, 64.83, 8981000, 64.36, 0, 1, 65.18, -999
20141027, 65.94, 66.62, 65.79, 66.2, 4112500, 65.72, 0, 1, 65.83, -999
20141024, 64.58, 66.24, 64.4, 66.05, 4784700, 65.57, 0, 1, 65.075, -999
20141023, 64.27, 65.2, 63.78, 64.35, 6343000, 63.89, 0, 1, 64.08, -999
20141022, 64.59, 65.3, 64.58, 64.68, 4294500, 64.21, 0, 1, 64.4, -999
20141021, 63.41, 64.75, 63.41, 64.68, 3478200, 64.21, 0, 1, 63.81, -999
20141020, 62.63, 63.1, 62.4, 63.1, 2900700, 62.64, 0, 1, 62.635, -999
20141017, 62.45, 62.81, 61.9, 62.58, 5329400, 62.13, 0, 1, 62.29, -999
20141016, 62.02, 62.55, 61.1, 61.9, 5488400, 61.45, 0, 1, 61.735, -999
20141015, 61.91, 63.14, 60.58, 62.87, 6814100, 62.42, 0, 1, 62.165, -999
20141014, 63.75, 63.94, 62.77, 63.14, 4432900, 62.68, 0, 1, 63.215, -999
20141013, 64.06, 64.52, 63.23, 63.28, 4030300, 62.82, 0, 1, 63.44, -999
20141010, 64.02, 65.11, 63.83, 64.15, 3281200, 63.69, 0, 1, 63.855, -999
20141009, 64.94, 65.38, 64.29, 64.3, 3632100, 63.84, 0, 1, 64.39, -999
20141008, 63.85, 65.26, 63.4, 65.24, 3411200, 64.77, 0, 1, 64.31, -999
20141007, 65.13, 65.19, 64.1, 64.22, 6157400, 63.76, 0, 1, 64.445, -999
20141006, 65.93, 65.97, 65.39, 65.62, 3428800, 65.15, 0, 1, 65.54, -999
20141003, 65.22, 65.76, 65.12, 65.67, 3609800, 65.2, 0, 1, 65.21, -999
20141002, 65.09, 65.15, 64.38, 64.83, 4306900, 64.36, 0, 1, 64.725, -999
20141001, 65.88, 65.88, 64.7, 65.08, 4246900, 64.61, 0, 1, 65.245, -999
20140930, 65.43, 65.57, 64.83, 64.85, 4945700, 64.38, 0, 1, 64.905, -999
20140929, 65.06, 65.45, 64.83, 65.34, 3520600, 64.87, 0, 1, 64.965, -999
20140926, 65.8, 65.8, 64.99, 65.48, 2925400, 65.01, 0, 1, 65.405, -999
20140925, 65.97, 66.14, 65.5, 65.58, 3122600, 65.11, 0, 1, 65.54, -999
20140924, 66.32, 66.55, 66.08, 66.19, 3273600, 65.71, 0, 1, 66.015, -999
20140923, 65.65, 66.12, 65.5, 65.95, 2718900, 65.47, 0, 1, 65.56, -999
20140922, 66.32, 66.36, 65.75, 66.08, 3981700, 65.6, 0, 1, 65.96, -999
20140919, 66.99, 67.14, 66.4, 66.53, 6504900, 66.05, 0, 1, 66.52, -999
20140918, 66.08, 66.66, 66.04, 66.59, 4326900, 66.11, 0, 1, 66.095, -999
20140917, 65.77, 66.18, 65.66, 65.91, 5096200, 65.43, 0, 1, 65.6, -999
20140916, 65.25, 65.91, 64.9, 65.8, 2867100, 65.32, 0, 1, 65.285, -999
20140915, 65.14, 65.24, 64.79, 65.19, 2720900, 64.72, 0, 1, 64.93, -999
20140912, 65.25, 65.54, 65, 65.27, 5392400, 64.8, 0, 1, 65.025, -999
20140911, 64.65, 65.19, 64.56, 65.18, 3577000, 64.71, 0, 1, 64.68, -999
20140910, 64.84, 64.96, 64.33, 64.78, 3893000, 64.31, 0, 1, 64.575, -999
20140909, 64.73, 64.83, 64.1, 64.44, 4745800, 63.97, 0, 1, 64.35, -999
20140908, 64.62, 65.25, 64.59, 65, 4264100, 64.53, 0, 1, 64.575, -999
20140905, 64.11, 64.82, 63.97, 64.72, 5457200, 64.25, 0, 1, 64.18, -999
20140904, 64.12, 64.37, 64, 64.22, 5792000, 63.76, 0, 1, 63.94, -999
20140903, 63.91, 64.16, 63.75, 64.15, 4701200, 63.69, 0, 1, 63.8, -999
20140902, 63.6, 63.87, 63.48, 63.68, 3470600, 63.22, 0, 1, 63.41, -999
20140829, 63.37, 63.59, 62.97, 63.56, 3388300, 63.1, 0, 1, 63.235, -999
20140828, 62.81, 63.27, 62.54, 63.11, 2162000, 62.65, 0, 1, 62.73, -999
20140827, 63.19, 63.29, 62.8, 63, 3082100, 62.55, 0, 1, 62.87, -999
20140826, 62.71, 63.02, 62.62, 62.81, 1927700, 62.36, 0, 1, 62.535, -999
20140825, 62.43, 63.13, 62.19, 62.73, 2078700, 62.28, 0, 1, 62.355, -999
20140822, 62.01, 62.81, 61.9, 62.32, 3147200, 61.87, 0, 1, 61.94, -999
20140821, 62.37, 62.44, 61.91, 62.03, 2846000, 61.58, 0, 1, 61.975, -999
20140820, 61.94, 62.24, 61.67, 62.01, 2082200, 61.56, 0, 1, 61.75, -999
20140819, 61.89, 62.36, 61.32, 62.16, 3523200, 61.71, 0, 1, 61.8, -999
20140818, 61.18, 61.45, 61.07, 61.35, 2198300, 60.91, 0, 1, 61.045, -999
20140815, 61.33, 61.46, 60.5, 60.84, 3075600, 60.4, 0, 1, 60.865, -999
20140814, 60.78, 61.22, 60.78, 61.19, 1801600, 60.75, 0, 1, 60.765, -999
20140813, 61.24, 61.49, 60.46, 60.59, 4136900, 60.15, 0.49, 1, 60.695, -999
20140812, 61.07, 61.46, 61, 61.37, 3481500, 60.44, 0, 1, 60.755, -999
20140811, 61.35, 61.87, 61.06, 61.08, 2850400, 60.15, 0, 1, 60.75, -999
20140808, 60.48, 61.04, 60.34, 60.98, 2665400, 60.06, 0, 1, 60.27, -999
20140807, 61.4, 61.42, 60.14, 60.35, 2352400, 59.44, 0, 1, 60.42, -999
20140806, 60.91, 61.42, 60.71, 61.11, 2682800, 60.18, 0, 1, 60.545, -999
20140805, 61.5, 61.7, 60.74, 60.87, 3389600, 59.95, 0, 1, 60.725, -999
20140804, 61, 61.69, 60.75, 61.63, 4379100, 60.7, 0, 1, 60.85, -999
20140801, 61.01, 61.06, 60.19, 60.68, 6884700, 59.76, 0, 1, 60.385, -999
20140731, 61.97, 62.45, 60.94, 61.06, 5485600, 60.14, 0, 1, 61.055, -999
20140730, 63.14, 63.18, 62.27, 62.62, 3974000, 61.67, 0, 1, 62.405, -999
20140729, 63.7, 63.81, 62.61, 62.77, 5287400, 61.82, 0, 1, 62.76, -999
20140728, 63.78, 64.8, 62.87, 63.39, 3956600, 62.43, 0, 1, 63.105, -999
20140725, 64.02, 64.1, 63.49, 63.78, 2987400, 62.81, 0, 1, 63.415, -999
20140724, 64.1, 65.7, 63.8, 64.37, 5090200, 63.39, 0, 1, 63.745, -999
20140723, 63.93, 64.44, 63.8, 64.25, 5559900, 63.28, 0, 1, 63.605, -999
20140722, 63.82, 64.15, 63.44, 63.72, 3101800, 62.75, 0, 1, 63.285, -999
20140721, 63, 63.69, 62.75, 63.64, 3479400, 62.68, 0, 1, 62.84, -999
20140718, 62.48, 63.5, 62.32, 63.47, 3281400, 62.51, 0, 1, 62.495, -999
20140717, 62.36, 62.87, 62.14, 62.26, 3424700, 61.32, 0, 1, 61.84, -999
20140716, 63.05, 63.17, 62.07, 62.81, 3885700, 61.86, 0, 1, 62.455, -999
20140715, 63, 63.12, 62.73, 62.86, 3854400, 61.91, 0, 1, 62.455, -999
20140714, 63, 63.29, 62.71, 63.01, 2436600, 62.06, 0, 1, 62.53, -999
20140711, 62.44, 62.95, 62.27, 62.84, 2400700, 61.89, 0, 1, 62.165, -999
20140710, 62.13, 62.71, 62, 62.53, 2619200, 61.58, 0, 1, 61.855, -999
20140709, 62.53, 62.71, 62.27, 62.62, 2748600, 61.67, 0, 1, 62.1, -999
20140708, 62.49, 62.54, 61.87, 62.46, 3449400, 61.51, 0, 1, 62, -999
20140707, 62.83, 63.23, 62.32, 62.61, 2627300, 61.66, 0, 1, 62.245, -999
20140703, 62.9, 63.1, 62.44, 63.06, 2709100, 62.1, 0, 1, 62.5, -999
20140702, 62.45, 63.08, 62.12, 62.7, 3941000, 61.75, 0, 1, 62.1, -999
20140701, 62.63, 62.85, 62, 62.5, 4109000, 61.55, 0, 1, 62.09, -999
20140630, 63.34, 63.38, 62.06, 62.17, 4943600, 61.23, 0, 1, 62.285, -999
20140627, 62.97, 63.26, 62.69, 63.1, 4643700, 62.14, 0, 1, 62.555, -999
20140626, 62.84, 63.1, 62.44, 63.04, 3663000, 62.09, 0, 1, 62.465, -999
20140625, 61.97, 63.1, 61.97, 63, 6416500, 62.05, 0, 1, 62.01, -999
20140624, 61.99, 62.4, 61.59, 61.89, 3809500, 60.95, 0, 1, 61.47, -999
20140623, 62.08, 62.4, 61.72, 62.07, 5103400, 61.13, 0, 1, 61.605, -999
20140620, 60.67, 62.14, 60.29, 62.03, 11960600, 61.09, 0, 1, 60.88, -999
20140619, 60.05, 60.2, 59.65, 59.85, 2431300, 58.94, 0, 1, 59.495, -999
20140618, 59.37, 60, 59.06, 59.99, 3211600, 59.08, 0, 1, 59.225, -999
20140617, 58.76, 59.33, 58.63, 59.25, 2805700, 58.35, 0, 1, 58.555, -999
20140616, 58.94, 59.17, 58.5, 58.83, 3209200, 57.94, 0, 1, 58.44, -999
20140613, 59.95, 59.95, 58.84, 58.9, 2881200, 58.01, 0, 1, 58.98, -999
20140612, 59.27, 59.5, 58.71, 58.88, 3937400, 57.99, 0, 1, 58.63, -999
20140611, 59.25, 59.84, 59.21, 59.47, 2977400, 58.57, 0, 1, 58.91, -999
20140610, 59.82, 59.82, 59.09, 59.75, 2988000, 58.84, 0, 1, 59.33, -999
20140609, 59.57, 59.76, 59.19, 59.74, 2570100, 58.84, 0, 1, 59.205, -999
20140606, 59.85, 59.85, 59.38, 59.63, 2551300, 58.73, 0, 1, 59.29, -999
20140605, 59.28, 59.76, 59.07, 59.58, 2753800, 58.68, 0, 1, 58.98, -999
20140604, 59.18, 59.45, 58.99, 59.22, 2997400, 58.32, 0, 1, 58.75, -999
20140603, 59.31, 59.63, 59.11, 59.35, 2798200, 58.45, 0, 1, 58.88, -999
20140602, 59.75, 59.86, 58.85, 59.49, 3405700, 58.59, 0, 1, 59.17, -999
20140530, 59.38, 60.1, 59.3, 59.86, 4803000, 58.95, 0, 1, 59.165, -999
20140529, 59.91, 60, 59.36, 59.47, 3362100, 58.57, 0, 1, 59.24, -999
20140528, 60.23, 60.25, 59.7, 59.7, 2604600, 58.8, 0, 1, 59.515, -999
20140527, 60, 60.01, 59.44, 59.73, 4006600, 58.83, 0, 1, 59.415, -999
20140523, 59.63, 59.86, 59.4, 59.8, 2624600, 58.89, 0, 1, 59.26, -999
20140522, 59.13, 59.86, 58.7, 59.72, 3782400, 58.82, 0, 1, 58.975, -999
20140521, 58.76, 59.1, 58.65, 59.07, 3020700, 58.18, 0, 1, 58.47, -999
20140520, 58.65, 58.87, 58.34, 58.66, 3952800, 57.77, 0, 1, 58.21, -999
20140519, 58.28, 58.76, 58.22, 58.65, 3564300, 57.76, 0, 1, 58.02, -999
20140516, 57.98, 58.5, 57.81, 58.34, 8677100, 57.46, 0, 1, 57.72, -999
20140515, 59.6, 59.81, 58.01, 58.21, 9782900, 57.33, 0, 1, 58.465, -999
20140514, 60.05, 60.49, 60, 60.1, 4050200, 59.19, 0, 1, 59.62, -999
20140513, 59.04, 60.35, 58.76, 60.04, 6843500, 59.13, 0.49, 1, 59.085, -999
20140512, 59.96, 60.05, 59.06, 59.42, 4982700, 58.04, 0, 1, 59, -999
20140509, 59.44, 59.5, 58.43, 59.36, 5098400, 57.98, 0, 1, 58.71, -999
20140508, 59.08, 59.51, 58.79, 59.5, 11023900, 58.12, 0, 1, 58.6, -999
20140507, 58.68, 59.17, 58.05, 59.15, 5453300, 57.77, 0, 1, 58.225, -999
20140506, 58.74, 59.6, 58.45, 58.56, 4185900, 57.2, 0, 1, 57.97, -999
20140505, 58.77, 58.97, 58.04, 58.88, 3805900, 57.51, 0, 1, 58.14, -999
20140502, 59.36, 59.63, 58.75, 59.08, 4122500, 57.71, 0, 1, 58.535, -999
20140501, 59.18, 59.71, 58.79, 59.52, 4173400, 58.13, 0, 1, 58.655, -999
20140430, 59.5, 59.58, 58.66, 59.1, 5198100, 57.72, 0, 1, 58.61, -999
20140429, 59.2, 59.67, 59.12, 59.62, 5110900, 58.23, 0, 1, 58.715, -999
20140428, 59.67, 59.67, 58.16, 58.97, 4930700, 57.6, 0, 1, 58.635, -999
20140425, 58.7, 59.13, 58.28, 58.5, 4260400, 57.14, 0, 1, 57.92, -999
20140424, 58.31, 59.18, 57.35, 58.68, 7854500, 57.31, 0, 1, 57.81, -999
20140423, 59.67, 60.01, 59.23, 59.56, 6555400, 58.17, 0, 1, 58.92, -999
20140422, 60.97, 61.15, 59.97, 60.03, 6270800, 58.63, 0, 1, 59.8, -999
20140421, 60.44, 60.89, 59.95, 60.86, 3343000, 59.44, 0, 1, 59.94, -999
20140417, 59.73, 60.45, 59.62, 60.43, 4750000, 59.02, 0, 1, 59.375, -999
20140416, 59.4, 60, 59.35, 59.96, 5321800, 58.56, 0, 1, 58.98, -999
20140415, 59.19, 59.69, 58.28, 59.42, 4526200, 58.04, 0, 1, 58.615, -999
20140414, 58.92, 59.65, 58.3, 58.95, 3675600, 57.58, 0, 1, 58.25, -999
20140411, 58.38, 58.89, 58.03, 58.45, 5351000, 57.09, 0, 1, 57.735, -999
20140410, 60.4, 60.4, 58.53, 58.66, 5514500, 57.29, 0, 1, 58.845, -999
20140409, 58.7, 60.46, 58.66, 60.43, 6638600, 59.02, 0, 1, 58.86, -999
20140408, 58, 58.93, 57.6, 58.58, 6169800, 57.22, 0, 1, 57.61, -999
20140407, 59.26, 60.08, 58.58, 58.62, 5522400, 57.26, 0, 1, 58.26, -999
20140404, 59.22, 59.96, 58.93, 59.01, 5177900, 57.64, 0, 1, 58.43, -999
