Ticker: LMT  Created on: 12/6/2014 5:25:11 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 189.07, 190.18, 188.47, 189.87, 1204300, 189.87, 0, 1, 189.47, -999
20141204, 189.98, 190.25, 188.47, 189.73, 900100, 189.73, 0, 1, 189.855, -999
20141203, 190.2, 190.67, 189.65, 189.68, 1383300, 189.68, 0, 1, 189.94, -999
20141202, 190.67, 191.57, 189.32, 190.11, 1659900, 190.11, 0, 1, 190.39, -999
20141201, 190.93, 191.88, 190.02, 191.1, 1538300, 191.1, 0, 1, 191.015, -999
20141128, 189.62, 192.58, 189, 191.56, 940900, 191.56, 0, 1, 190.59, -999
20141126, 187.5, 189.55, 187.13, 189.15, 1320600, 189.15, 0, 1, 188.325, -999
20141125, 188.82, 190.04, 188.55, 188.67, 1808100, 187.17, 0, 1, 187.995, -999
20141124, 188.28, 189.26, 188, 188.82, 1127000, 187.32, 0, 1, 187.8, -999
20141121, 187.96, 188.28, 187.18, 187.93, 1327800, 186.44, 0, 1, 187.2, -999
20141120, 185.65, 185.98, 184.39, 185.56, 1021600, 184.08, 0, 1, 184.865, -999
20141119, 186.07, 186.76, 185.41, 186, 1167400, 184.52, 0, 1, 185.295, -999
20141118, 185.28, 187.24, 184.5, 186.56, 1775200, 185.08, 0, 1, 185.18, -999
20141117, 186.69, 187.18, 185.36, 185.51, 1160900, 184.04, 0, 1, 185.365, -999
20141114, 187.99, 188, 185.91, 186.6, 1665700, 185.12, 0, 1, 186.555, -999
20141113, 187.18, 189.05, 186.93, 187.97, 990600, 186.48, 0, 1, 186.83, -999
20141112, 186.93, 187.82, 186.35, 186.87, 789300, 185.38, 0, 1, 186.155, -999
20141111, 187, 188.44, 186.74, 187.12, 881400, 185.63, 0, 1, 186.315, -999
20141110, 186.46, 187.26, 185.76, 186.99, 1296200, 185.5, 0, 1, 185.98, -999
20141107, 189.38, 189.41, 184.91, 186.15, 2569400, 184.67, 0, 1, 187.025, -999
20141106, 190, 190.47, 189.08, 189.88, 995100, 188.37, 0, 1, 189.185, -999
20141105, 192.19, 192.34, 188.28, 189.73, 1743800, 188.22, 0, 1, 190.205, -999
20141104, 190.84, 192.94, 190.29, 190.79, 1667900, 189.27, 0, 1, 190.055, -999
20141103, 191.3, 191.93, 188.63, 190.75, 1145900, 189.23, 0, 1, 190.265, -999
20141031, 191.4, 191.92, 189.66, 190.57, 1699900, 189.05, 0, 1, 190.225, -999
20141030, 185.96, 189.62, 184.83, 189.29, 1586000, 187.79, 0, 1, 186.875, -999
20141029, 186.03, 186.78, 184.91, 186.43, 1663700, 184.95, 0, 1, 185.49, -999
20141028, 184.1, 185.55, 182.68, 185.55, 1809200, 184.07, 0, 1, 184.085, -999
20141027, 181.69, 183.1, 180.7, 183, 1071400, 181.55, 0, 1, 181.62, -999
20141024, 181.67, 181.76, 179.42, 181.33, 1550700, 179.89, 0, 1, 180.78, -999
20141023, 177.09, 181.63, 177.09, 180.67, 2442900, 179.23, 0, 1, 178.16, -999
20141022, 171, 177.84, 170.71, 176.01, 3805700, 174.61, 0, 1, 172.805, -999
20141021, 170.15, 173.85, 166.28, 172.61, 4106600, 171.24, 0, 1, 170.695, -999
20141020, 175.93, 176.37, 173.93, 175.53, 2054900, 174.13, 0, 1, 175.03, -999
20141017, 176.84, 177.89, 175.86, 176.24, 2360100, 174.84, 0, 1, 175.84, -999
20141016, 173.23, 176.73, 172.45, 174.72, 1972800, 173.33, 0, 1, 173.28, -999
20141015, 174.01, 176.02, 170.26, 175.19, 2180500, 173.8, 0, 1, 173.905, -999
20141014, 173.55, 177.75, 173.14, 176.11, 1585300, 174.71, 0, 1, 174.13, -999
20141013, 173.97, 176.45, 172.78, 172.88, 1473800, 171.51, 0, 1, 172.74, -999
20141010, 174.68, 176.78, 173.7, 174.47, 1668600, 173.08, 0, 1, 173.88, -999
20141009, 176.32, 176.56, 173.55, 174.55, 1581500, 173.16, 0, 1, 174.74, -999
20141008, 173.27, 176.55, 171.83, 176.35, 1677600, 174.95, 0, 1, 174.11, -999
20141007, 176.4, 176.56, 173, 173.02, 1182700, 171.64, 0, 1, 174.02, -999
20141006, 179.62, 179.7, 176.67, 176.92, 1486300, 175.51, 0, 1, 177.565, -999
20141003, 177.67, 179.34, 176.92, 178.34, 2463700, 176.92, 0, 1, 177.295, -999
20141002, 177.66, 178.3, 175.79, 176.35, 1468900, 174.95, 0, 1, 176.305, -999
20141001, 181.15, 181.15, 177.08, 177.89, 1901400, 176.48, 0, 1, 178.815, -999
20140930, 182.6, 184.09, 182.13, 182.78, 1981200, 181.33, 0, 1, 181.965, -999
20140929, 181.8, 182.79, 180.11, 181.36, 1579900, 179.92, 0, 1, 180.86, -999
20140926, 177.54, 182.27, 177.54, 181.58, 1877700, 180.14, 0, 1, 178.84, -999
20140925, 178.1, 178.74, 176.26, 177.44, 1739100, 176.03, 0, 1, 177.065, -999
20140924, 176.28, 178.5, 176.28, 178.39, 959400, 176.97, 0, 1, 176.625, -999
20140923, 178.53, 178.98, 175.92, 176.34, 1451100, 174.94, 0, 1, 176.735, -999
20140922, 179.72, 180.76, 178.76, 178.99, 1097400, 177.57, 0, 1, 178.645, -999
20140919, 180.49, 181.22, 180.22, 180.74, 1896300, 179.3, 0, 1, 179.895, -999
20140918, 179.37, 179.72, 178.3, 179.57, 1040400, 178.14, 0, 1, 178.755, -999
20140917, 177.78, 179.65, 177.45, 178.8, 1152600, 177.38, 0, 1, 177.58, -999
20140916, 175.13, 177.94, 175.02, 177.19, 1186800, 175.78, 0, 1, 175.455, -999
20140915, 174.42, 175.78, 173.92, 175.6, 678500, 174.2, 0, 1, 174.31, -999
20140912, 174.17, 174.99, 173.71, 174.43, 759400, 173.04, 0, 1, 173.605, -999
20140911, 174.38, 174.77, 173.58, 174.2, 1299200, 172.82, 0, 1, 173.6, -999
20140910, 174.96, 175.03, 173.72, 174.59, 2210500, 173.2, 0, 1, 174.08, -999
20140909, 175.6, 176.35, 174.84, 174.94, 1418300, 173.55, 0, 1, 174.575, -999
20140908, 174.52, 175.57, 174.36, 174.77, 926500, 173.38, 0, 1, 173.95, -999
20140905, 173.17, 174.65, 172.37, 174.58, 983600, 173.19, 0, 1, 173.18, -999
20140904, 173.99, 174.49, 172.76, 173.04, 1109000, 171.66, 0, 1, 172.825, -999
20140903, 174.94, 175.64, 173.21, 173.5, 1454800, 172.12, 0, 1, 173.53, -999
20140902, 175.14, 175.31, 173.07, 173.8, 1547700, 172.42, 0, 1, 173.78, -999
20140829, 174.76, 175.09, 173.75, 174, 1532000, 172.62, 0, 1, 173.69, -999
20140828, 174.67, 175.05, 173.74, 174.1, 1455800, 172.72, 1.33, 1, 173.695, -999
20140827, 176.99, 177.19, 176, 176.52, 1115200, 173.8, 0, 1, 175.395, -999
20140826, 176.97, 177.01, 176.04, 176.61, 1036500, 173.89, 0, 1, 175.43, -999
20140825, 175.75, 177.07, 175.43, 176.53, 866400, 173.81, 0, 1, 174.78, -999
20140822, 174.71, 176.13, 174.36, 175.15, 801400, 172.45, 0, 1, 173.58, -999
20140821, 174.92, 175.49, 174.18, 175.1, 1088200, 172.4, 0, 1, 173.66, -999
20140820, 172.15, 175.47, 172.13, 175.31, 1351100, 172.61, 0, 1, 172.38, -999
20140819, 172.02, 172.4, 171.29, 172.13, 841100, 169.47, 0, 1, 170.745, -999
20140818, 170.2, 172.1, 170.04, 171.52, 766400, 168.87, 0, 1, 169.535, -999
20140815, 169.91, 170.5, 167.94, 169.16, 1062400, 166.55, 0, 1, 168.23, -999
20140814, 169.34, 170.21, 168.86, 169.5, 1030000, 166.89, 0, 1, 168.115, -999
20140813, 166.15, 169.4, 166.15, 169.09, 1081600, 166.48, 0, 1, 166.315, -999
20140812, 166.15, 167.15, 165.26, 165.78, 779500, 163.22, 0, 1, 164.685, -999
20140811, 166.86, 166.93, 166, 166.15, 801800, 163.59, 0, 1, 165.225, -999
20140808, 163.11, 166.19, 163.1, 165.8, 1196000, 163.24, 0, 1, 163.175, -999
20140807, 164.28, 164.62, 162.52, 162.95, 1087100, 160.44, 0, 1, 162.36, -999
20140806, 166.08, 166.08, 162.71, 163.05, 1883000, 160.53, 0, 1, 163.305, -999
20140805, 167.79, 169.16, 166.56, 166.93, 1218900, 164.36, 0, 1, 166.075, -999
20140804, 167.56, 168.58, 167.03, 168.29, 1196400, 165.69, 0, 1, 166.625, -999
20140801, 166.72, 168.77, 166.19, 167.12, 1535900, 164.54, 0, 1, 165.63, -999
20140731, 169.08, 169.24, 166.97, 166.97, 1935900, 164.39, 0, 1, 166.735, -999
20140730, 170.24, 171.36, 168.84, 170.18, 1077200, 167.55, 0, 1, 168.895, -999
20140729, 170.5, 170.66, 169.24, 169.33, 1063100, 166.72, 0, 1, 168.61, -999
20140728, 169.99, 170.57, 168.3, 170, 1989600, 167.38, 0, 1, 168.685, -999
20140725, 169.33, 170.69, 169.19, 170.04, 2112300, 167.42, 0, 1, 168.375, -999
20140724, 168.53, 170.12, 167.82, 169.97, 1617600, 167.35, 0, 1, 167.94, -999
20140723, 167.76, 169.21, 167.22, 168.1, 1808500, 165.51, 0, 1, 166.635, -999
20140722, 164.5, 168.18, 164.39, 167.87, 2174500, 165.28, 0, 1, 164.89, -999
20140721, 162, 163.67, 161.19, 162.98, 1201200, 160.47, 0, 1, 161.235, -999
20140718, 161.82, 162.54, 161.06, 162.49, 1074700, 159.98, 0, 1, 160.9, -999
20140717, 161.11, 163.2, 160.56, 161.33, 1190600, 158.84, 0, 1, 159.975, -999
20140716, 163.08, 163.46, 161.15, 161.55, 947800, 159.06, 0, 1, 161.07, -999
20140715, 161.73, 163.49, 161.47, 162.62, 1312000, 160.11, 0, 1, 160.92, -999
20140714, 160.78, 161.98, 160.5, 161.81, 1045100, 159.31, 0, 1, 160.045, -999
20140711, 158.13, 160.62, 157.93, 160.31, 1073600, 157.84, 0, 1, 157.985, -999
20140710, 156.23, 159.04, 156.23, 158.18, 815700, 155.74, 0, 1, 155.985, -999
20140709, 158.12, 158.73, 157.43, 157.93, 827400, 155.49, 0, 1, 156.805, -999
20140708, 158.44, 158.44, 156.96, 157.21, 970900, 154.79, 0, 1, 156.615, -999
20140707, 159.25, 159.71, 157.71, 158.3, 1164700, 155.86, 0, 1, 157.555, -999
20140703, 159.8, 160.38, 159.11, 159.9, 687200, 157.43, 0, 1, 158.615, -999
20140702, 160.77, 160.88, 158.2, 158.98, 1309800, 156.53, 0, 1, 158.65, -999
20140701, 160.04, 161.77, 158.59, 160.64, 1358200, 158.16, 0, 1, 159.1, -999
20140630, 162.76, 162.83, 160.36, 160.73, 1234500, 158.25, 0, 1, 160.505, -999
20140627, 162.28, 162.93, 161.86, 162.7, 1102200, 160.19, 0, 1, 161.235, -999
20140626, 162.81, 162.81, 160.51, 162.05, 988400, 159.55, 0, 1, 161.18, -999
20140625, 162.65, 162.91, 161.44, 162.45, 988400, 159.94, 0, 1, 161.295, -999
20140624, 163.28, 164.5, 162.46, 162.51, 812500, 160, 0, 1, 161.64, -999
20140623, 165.27, 165.81, 163.32, 163.95, 829500, 161.42, 0, 1, 163.345, -999
20140620, 163.75, 165.7, 163.75, 165.4, 1862900, 162.85, 0, 1, 163.3, -999
20140619, 164.01, 165.62, 163.3, 164.2, 1045800, 161.67, 0, 1, 162.84, -999
20140618, 164.13, 164.22, 162.05, 163.79, 1028200, 161.26, 0, 1, 162.695, -999
20140617, 165, 165.64, 163.55, 164.24, 858100, 161.71, 0, 1, 163.355, -999
20140616, 163.86, 165.63, 163.53, 165.14, 889300, 162.59, 0, 1, 163.225, -999
20140613, 162.96, 164.59, 162.66, 164.04, 750200, 161.51, 0, 1, 162.235, -999
20140612, 164.3, 164.76, 162.18, 162.64, 857100, 160.13, 0, 1, 162.215, -999
20140611, 166.52, 166.94, 164.03, 164.53, 1297500, 161.99, 0, 1, 164.255, -999
20140610, 167.99, 168.07, 166.28, 167.34, 1002700, 164.76, 0, 1, 166.375, -999
20140609, 166.21, 168.87, 165.7, 168.08, 1351000, 165.49, 0, 1, 165.85, -999
20140606, 166.53, 167.23, 166.35, 167.17, 891000, 164.59, 0, 1, 165.56, -999
20140605, 164.53, 166.51, 164.53, 166.33, 996100, 163.76, 0, 1, 164.145, -999
20140604, 163.49, 164.72, 162.99, 164.52, 871300, 161.98, 0, 1, 162.735, -999
20140603, 164.11, 164.48, 163.19, 163.89, 850900, 161.36, 0, 1, 162.735, -999
20140602, 163.88, 164.41, 162.63, 164.11, 1012600, 161.58, 0, 1, 162.73, -999
20140530, 162.73, 163.96, 162.29, 163.65, 2121200, 161.13, 0, 1, 161.93, -999
20140529, 161.12, 163.39, 160.58, 163.15, 1489200, 160.63, 1.33, 1, 160.875, -999
20140528, 163.43, 164.6, 161.87, 162.1, 1831500, 158.29, 0, 1, 160.86, -999
20140527, 163.13, 163.23, 162.01, 162.95, 1294500, 159.12, 0, 1, 161.125, -999
20140523, 162.67, 163.24, 161.9, 162.64, 1663400, 158.82, 0, 1, 160.745, -999
20140522, 162.07, 162.38, 161.26, 161.82, 823200, 158.02, 0, 1, 160.045, -999
20140521, 161.16, 162.08, 160.85, 161.89, 859500, 158.09, 0, 1, 159.625, -999
20140520, 162.49, 162.5, 159.89, 160.57, 907600, 156.8, 0, 1, 159.645, -999
20140519, 162.15, 163.24, 161.7, 162.3, 1460200, 158.49, 0, 1, 160.32, -999
20140516, 163.69, 164.29, 162.01, 162.1, 1739200, 158.29, 0, 1, 160.99, -999
20140515, 164.82, 165.42, 162.77, 163.54, 1061100, 159.7, 0, 1, 162.26, -999
20140514, 167.99, 168, 164.85, 165.26, 1165600, 161.38, 0, 1, 164.685, -999
20140513, 166.92, 167.98, 166.33, 167.64, 968400, 163.7, 0, 1, 165.31, -999
20140512, 165.5, 167.17, 165.3, 166.92, 1051900, 163, 0, 1, 164.25, -999
20140509, 164.15, 165.2, 163.38, 165.18, 837900, 161.3, 0, 1, 162.725, -999
20140508, 164.18, 165.35, 163.64, 164.39, 1024700, 160.53, 0, 1, 162.355, -999
20140507, 164, 164.47, 162.57, 164.2, 1173300, 160.34, 0, 1, 162.17, -999
20140506, 164.66, 165.3, 163.19, 163.49, 1026600, 159.65, 0, 1, 162.155, -999
20140505, 163.5, 165.37, 162.79, 165.12, 945500, 161.24, 0, 1, 162.37, -999
20140502, 163, 164.11, 162.7, 163.9, 1133100, 160.05, 0, 1, 161.525, -999
20140501, 163.72, 164.84, 162.32, 162.85, 1301700, 159.02, 0, 1, 161.37, -999
20140430, 162.02, 164.38, 161.35, 164.14, 1615800, 160.28, 0, 1, 161.15, -999
20140429, 161.3, 162.53, 160.91, 161.99, 1225900, 158.18, 0, 1, 159.74, -999
20140428, 161.33, 162.27, 159.8, 161.37, 1352700, 157.58, 0, 1, 159.455, -999
20140425, 160.22, 161.49, 158.69, 161.09, 1803400, 157.3, 0, 1, 158.76, -999
20140424, 162.43, 162.59, 159.6, 160.62, 1398300, 156.84, 0, 1, 159.635, -999
20140423, 156.81, 162.43, 155.82, 161.98, 2862400, 158.17, 0, 1, 157.49, -999
20140422, 164.68, 164.71, 156.2, 156.69, 2674100, 153.01, 0, 1, 158.845, -999
20140421, 163.24, 163.24, 160.36, 161.49, 1303700, 157.69, 0, 1, 160.465, -999
20140417, 158.25, 160.49, 158.25, 160.25, 1544900, 156.48, 0, 1, 157.365, -999
20140416, 158.44, 159.47, 156.87, 159.44, 1167900, 155.69, 0, 1, 157.065, -999
20140415, 155.55, 157.59, 154.21, 157.39, 1160500, 153.69, 0, 1, 154.62, -999
20140414, 155, 157.16, 154.29, 155.82, 1356100, 152.16, 0, 1, 153.58, -999
20140411, 154.97, 155.39, 153.54, 153.82, 2024200, 150.2, 0, 1, 152.585, -999
20140410, 159.08, 159.65, 155.31, 155.43, 1499300, 151.78, 0, 1, 155.43, -999
20140409, 158.03, 159.95, 156.92, 158.83, 1124300, 155.1, 0, 1, 156.565, -999
20140408, 157.57, 157.8, 154.75, 156.65, 1782800, 152.97, 0, 1, 155.27, -999
20140407, 159.38, 160.61, 157.48, 157.74, 1315200, 154.03, 0, 1, 156.705, -999
20140404, 164.95, 164.95, 159.42, 159.61, 1622500, 155.86, 0, 1, 160.405, -999
20140403, 165, 165.13, 163.7, 163.75, 1254600, 159.9, 0, 1, 162.45, -999
20140402, 164, 164.77, 162.68, 164.7, 1050300, 160.83, 0, 1, 162.415, -999
20140401, 163.52, 164.13, 162.53, 163.71, 981900, 159.86, 0, 1, 161.69, -999
