Ticker: LM  Created on: 12/6/2014 5:25:08 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 54.89, 55.19, 53.89, 54.47, 2589900, 54.47, 0, 1, 54.68, -999
20141204, 55.05, 55.46, 54.08, 54.61, 2069600, 54.61, 0, 1, 54.83, -999
20141203, 55.04, 55.96, 54.91, 55.53, 1956100, 55.53, 0, 1, 55.285, -999
20141202, 55.53, 55.73, 54.7, 55.14, 2350700, 55.14, 0, 1, 55.335, -999
20141201, 56.4, 56.45, 55.99, 56.04, 950800, 56.04, 0, 1, 56.22, -999
20141128, 56.88, 57.15, 56.65, 56.75, 346500, 56.75, 0, 1, 56.815, -999
20141126, 56.6, 56.74, 56.18, 56.68, 597100, 56.68, 0, 1, 56.64, -999
20141125, 56.82, 56.92, 56.41, 56.7, 1127800, 56.7, 0, 1, 56.76, -999
20141124, 56.17, 56.61, 55.97, 56.59, 933200, 56.59, 0, 1, 56.38, -999
20141121, 56.04, 56.33, 55.74, 55.85, 786500, 55.85, 0, 1, 55.945, -999
20141120, 54.7, 55.48, 54.61, 55.43, 648500, 55.43, 0, 1, 55.065, -999
20141119, 55.5, 55.6, 54.47, 55.14, 1277100, 55.14, 0, 1, 55.32, -999
20141118, 55.43, 55.96, 55.32, 55.34, 1341700, 55.34, 0, 1, 55.385, -999
20141117, 55.01, 55.69, 54.76, 55.52, 1265700, 55.52, 0, 1, 55.265, -999
20141114, 55.08, 55.34, 54.46, 55.08, 1145800, 55.08, 0, 1, 55.08, -999
20141113, 54.5, 55.13, 54.36, 55.1, 1801000, 55.1, 0, 1, 54.8, -999
20141112, 53.99, 54.34, 53.89, 54.03, 518700, 54.03, 0, 1, 54.01, -999
20141111, 54.24, 54.52, 54.11, 54.38, 770200, 54.38, 0, 1, 54.31, -999
20141110, 54.23, 54.88, 54.17, 54.28, 1301900, 54.28, 0, 1, 54.255, -999
20141107, 54.47, 54.95, 54.01, 54.23, 1459000, 54.23, 0, 1, 54.35, -999
20141106, 54.01, 54.46, 53.7, 54.45, 1097900, 54.45, 0, 1, 54.23, -999
20141105, 53.15, 53.84, 52.96, 53.74, 1293500, 53.74, 0, 1, 53.445, -999
20141104, 52.03, 53.21, 51.98, 52.87, 1562800, 52.87, 0, 1, 52.45, -999
20141103, 52.01, 52.49, 51.75, 52.33, 1129800, 52.33, 0, 1, 52.17, -999
20141031, 52, 52.88, 51.15, 52, 3571200, 52, 0, 1, 52, -999
20141030, 51.59, 52.03, 51.46, 51.96, 1124700, 51.96, 0, 1, 51.775, -999
20141029, 51.37, 51.83, 51.05, 51.76, 1046000, 51.76, 0, 1, 51.565, -999
20141028, 50.93, 51.32, 50.82, 51.14, 1020200, 51.14, 0, 1, 51.035, -999
20141027, 50.48, 50.77, 49.85, 50.69, 621400, 50.69, 0, 1, 50.585, -999
20141024, 50.79, 50.85, 50.2, 50.83, 628200, 50.83, 0, 1, 50.81, -999
20141023, 50.42, 51.03, 50.09, 50.58, 642000, 50.58, 0, 1, 50.5, -999
20141022, 50.92, 50.95, 49.4, 49.54, 1042800, 49.54, 0, 1, 50.23, -999
20141021, 49.77, 50.87, 49.77, 50.8, 625400, 50.8, 0, 1, 50.285, -999
20141020, 48.72, 49.45, 48.59, 49.42, 677200, 49.42, 0, 1, 49.07, -999
20141017, 49.03, 49.71, 48.69, 49.03, 898400, 49.03, 0, 1, 49.03, -999
20141016, 47.07, 48.92, 47.01, 48.41, 845400, 48.41, 0, 1, 47.74, -999
20141015, 47.16, 48.28, 45.78, 48.21, 1599100, 48.21, 0, 1, 47.685, -999
20141014, 48.01, 48.46, 47.41, 47.61, 1182300, 47.61, 0, 1, 47.81, -999
20141013, 49.55, 49.77, 47.65, 47.71, 1249000, 47.71, 0, 1, 48.63, -999
20141010, 49.41, 50.28, 48.89, 49.46, 1834700, 49.46, 0, 1, 49.435, -999
20141009, 50.98, 51.04, 49.23, 49.28, 1643800, 49.28, 0, 1, 50.13, -999
20141008, 50.15, 51.19, 49.38, 51.18, 1291200, 51.18, 0, 1, 50.665, -999
20141007, 50.93, 50.97, 50.08, 50.15, 1187600, 50.15, 0.16, 1, 50.54, -999
20141006, 52, 52.02, 51.15, 51.56, 1425600, 51.4, 0, 1, 51.7, -999
20141003, 51.23, 52.09, 51.02, 51.83, 1224600, 51.67, 0, 1, 51.45, -999
20141002, 50.36, 50.8, 49.48, 50.75, 1489500, 50.59, 0, 1, 50.475, -999
20141001, 51.15, 51.15, 50.33, 50.52, 2509500, 50.36, 0, 1, 50.755, -999
20140930, 51.73, 51.8, 51.15, 51.16, 1617200, 51, 0, 1, 51.365, -999
20140929, 50.24, 51.73, 49.98, 51.64, 1837400, 51.48, 0, 1, 50.86, -999
20140926, 50.33, 52, 50.21, 50.77, 3087600, 50.61, 0, 1, 50.47, -999
20140925, 49.7, 49.87, 48.66, 48.68, 871100, 48.53, 0, 1, 49.115, -999
20140924, 49.82, 50.03, 49.63, 49.83, 850600, 49.68, 0, 1, 49.75, -999
20140923, 50, 50.6, 49.75, 49.75, 597000, 49.6, 0, 1, 49.8, -999
20140922, 50.72, 50.89, 50.19, 50.25, 543600, 50.09, 0, 1, 50.405, -999
20140919, 51.37, 51.45, 50.47, 50.78, 751600, 50.62, 0, 1, 50.995, -999
20140918, 50.93, 51.45, 50.72, 51.19, 392400, 51.03, 0, 1, 50.98, -999
20140917, 50.48, 51, 50.26, 50.62, 504000, 50.46, 0, 1, 50.47, -999
20140916, 49.63, 50.47, 49.43, 50.3, 626500, 50.14, 0, 1, 49.885, -999
20140915, 50.13, 50.24, 49.51, 49.72, 552900, 49.57, 0, 1, 49.85, -999
20140912, 50, 50.96, 49.96, 50.23, 1033600, 50.07, 0, 1, 50.035, -999
20140911, 49.36, 50.34, 49.26, 50.13, 818200, 49.97, 0, 1, 49.665, -999
20140910, 48.76, 49.85, 48.74, 49.45, 1072200, 49.3, 0, 1, 49.03, -999
20140909, 49.1, 49.29, 48.39, 48.62, 447400, 48.47, 0, 1, 48.785, -999
20140908, 48.51, 49.37, 48.51, 49.23, 665800, 49.08, 0, 1, 48.795, -999
20140905, 48.96, 49.08, 48.44, 48.73, 610600, 48.58, 0, 1, 48.77, -999
20140904, 49.32, 49.8, 48.82, 49.09, 635500, 48.94, 0, 1, 49.13, -999
20140903, 49.87, 49.99, 48.95, 49.13, 623800, 48.98, 0, 1, 49.425, -999
20140902, 49.48, 49.56, 49.07, 49.45, 495300, 49.3, 0, 1, 49.39, -999
20140829, 49.13, 49.36, 48.86, 49.32, 391100, 49.17, 0, 1, 49.15, -999
20140828, 49.13, 49.16, 48.85, 48.92, 561300, 48.77, 0, 1, 48.95, -999
20140827, 50, 50, 49.42, 49.54, 276900, 49.39, 0, 1, 49.695, -999
20140826, 49.52, 49.99, 49.52, 49.86, 447300, 49.71, 0, 1, 49.615, -999
20140825, 49.23, 49.72, 49.23, 49.5, 447100, 49.35, 0, 1, 49.29, -999
20140822, 48.56, 48.94, 48.33, 48.7, 689000, 48.55, 0, 1, 48.555, -999
20140821, 48.89, 49.14, 48.1, 48.56, 1477700, 48.41, 0, 1, 48.65, -999
20140820, 48.58, 48.92, 48.4, 48.78, 585200, 48.63, 0, 1, 48.605, -999
