Ticker: LOW  Created on: 12/6/2014 5:25:12 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 64.47, 64.88, 64.4, 64.86, 4710600, 64.86, 0, 1, 64.665, -999
20141204, 64.08, 64.56, 63.88, 64.55, 4930400, 64.55, 0, 1, 64.315, -999
20141203, 63.78, 64.54, 63.69, 64.3, 4213500, 64.3, 0, 1, 64.04, -999
20141202, 63.32, 64.04, 63.22, 63.97, 5063400, 63.97, 0, 1, 63.645, -999
20141201, 63.55, 63.87, 62.91, 63.16, 4905500, 63.16, 0, 1, 63.355, -999
20141128, 63.14, 64.12, 63.12, 63.83, 2945300, 63.83, 0, 1, 63.485, -999
20141126, 63.02, 63.07, 62.33, 62.86, 5405700, 62.86, 0, 1, 62.94, -999
20141125, 63.76, 64.14, 62.94, 62.95, 6360800, 62.95, 0, 1, 63.355, -999
20141124, 63.47, 63.86, 63.23, 63.64, 4630000, 63.64, 0, 1, 63.555, -999
20141121, 62.79, 63.59, 62.48, 63.26, 7490500, 63.26, 0, 1, 63.025, -999
20141120, 62.2, 62.83, 62.01, 62.43, 6086400, 62.43, 0, 1, 62.315, -999
20141119, 61.23, 62.48, 60.84, 62.26, 11703600, 62.26, 0, 1, 61.745, -999
20141118, 58.21, 58.7, 57.96, 58.53, 6582100, 58.53, 0, 1, 58.37, -999
20141117, 58.52, 59.16, 58.48, 58.89, 4721400, 58.89, 0, 1, 58.705, -999
20141114, 58.61, 58.76, 58.46, 58.58, 3748700, 58.58, 0, 1, 58.595, -999
20141113, 58.36, 58.76, 58.29, 58.61, 3830700, 58.61, 0, 1, 58.485, -999
20141112, 58.15, 58.35, 57.98, 58.22, 5107500, 58.22, 0, 1, 58.185, -999
20141111, 57.88, 58.12, 57.73, 58, 3128800, 58, 0, 1, 57.94, -999
20141110, 57.69, 58.01, 57.53, 57.83, 3268400, 57.83, 0, 1, 57.76, -999
20141107, 57.51, 58.04, 57.5, 57.69, 3907300, 57.69, 0, 1, 57.6, -999
20141106, 57.1, 57.7, 56.97, 57.57, 4127800, 57.57, 0, 1, 57.335, -999
20141105, 57.59, 57.65, 56.76, 56.94, 4889600, 56.94, 0, 1, 57.265, -999
20141104, 57.39, 57.45, 56.87, 57.26, 4333100, 57.26, 0, 1, 57.325, -999
20141103, 57.2, 57.5, 56.93, 57.45, 5337200, 57.45, 0, 1, 57.325, -999
20141031, 57, 57.41, 56.92, 57.2, 7772500, 57.2, 0, 1, 57.1, -999
20141030, 56.46, 56.56, 55.91, 56.27, 5001900, 56.27, 0, 1, 56.365, -999
20141029, 56.06, 56.39, 55.52, 55.81, 3540200, 55.81, 0, 1, 55.935, -999
20141028, 55.66, 56.06, 55.62, 56.06, 4646400, 56.06, 0, 1, 55.86, -999
20141027, 55.21, 55.83, 55.21, 55.47, 3365400, 55.47, 0, 1, 55.34, -999
20141024, 54.85, 55.34, 54.58, 55.33, 4586200, 55.33, 0, 1, 55.09, -999
20141023, 54.43, 55.19, 54.38, 54.96, 8477000, 54.96, 0, 1, 54.695, -999
20141022, 54.5, 54.85, 53.93, 53.94, 5093300, 53.94, 0, 1, 54.22, -999
20141021, 53.66, 54.61, 53.46, 54.59, 4316700, 54.59, 0, 1, 54.125, -999
20141020, 52.35, 53.63, 52.35, 53.49, 5876200, 53.49, 0.23, 1, 52.92, -999
20141017, 51.88, 52.9, 51.83, 52.51, 7948100, 52.28, 0, 1, 52.08, -999
20141016, 50.72, 51.83, 50.29, 51.41, 5330200, 51.18, 0, 1, 50.95, -999
20141015, 51.47, 51.67, 49.85, 51.21, 10547500, 50.99, 0, 1, 51.23, -999
20141014, 52.09, 52.55, 51.2, 52.01, 11281900, 51.78, 0, 1, 51.935, -999
20141013, 53.5, 53.65, 52.36, 52.47, 8235900, 52.24, 0, 1, 52.87, -999
20141010, 53.98, 54.58, 53.68, 53.7, 7372000, 53.46, 0, 1, 53.72, -999
20141009, 54.25, 54.75, 53.83, 53.91, 6799500, 53.67, 0, 1, 53.96, -999
20141008, 53.23, 54.42, 53.14, 54.34, 5806900, 54.1, 0, 1, 53.665, -999
20141007, 53.3, 53.82, 53.16, 53.18, 4886100, 52.95, 0, 1, 53.125, -999
20141006, 53.77, 54.12, 53.38, 53.6, 3237100, 53.37, 0, 1, 53.57, -999
20141003, 53.31, 53.72, 53.21, 53.59, 4172500, 53.36, 0, 1, 53.335, -999
20141002, 52.62, 53.34, 52.58, 53.03, 4471800, 52.8, 0, 1, 52.71, -999
20141001, 52.76, 53.06, 52.45, 52.6, 5502900, 52.37, 0, 1, 52.565, -999
20140930, 53.4, 53.44, 52.57, 52.92, 5349800, 52.69, 0, 1, 53.045, -999
20140929, 52.97, 53.44, 52.76, 53.35, 4370900, 53.12, 0, 1, 53.045, -999
20140926, 53.16, 53.35, 52.89, 53.18, 4428700, 52.95, 0, 1, 53.055, -999
20140925, 53.45, 53.76, 53.02, 53.07, 4217000, 52.84, 0, 1, 53.145, -999
20140924, 53.15, 53.79, 53.09, 53.63, 4567100, 53.4, 0, 1, 53.275, -999
20140923, 53.28, 53.48, 53.06, 53.12, 3488500, 52.89, 0, 1, 53.085, -999
20140922, 53.92, 53.92, 53.3, 53.46, 3885200, 53.23, 0, 1, 53.575, -999
20140919, 54.38, 54.81, 53.82, 54.09, 7181400, 53.85, 0, 1, 54.115, -999
