Ticker: LUV  Created on: 12/6/2014 5:26:05 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 41.74, 41.92, 40.99, 41.12, 8805300, 41.12, 0, 1, 41.43, -999
20141204, 42.15, 42.25, 41.11, 41.39, 10850800, 41.39, 0, 1, 41.77, -999
20141203, 40.64, 41.16, 40.02, 41.05, 8186200, 41.05, 0, 1, 40.845, -999
20141202, 40.34, 41.42, 40.27, 40.46, 8573700, 40.46, 0, 1, 40.4, -999
20141201, 42.24, 42.52, 40.46, 40.5, 10624200, 40.5, 0, 1, 41.37, -999
20141128, 41.1, 42.42, 41.07, 41.82, 8358400, 41.82, 0, 1, 41.46, -999
20141126, 38.6, 39.39, 38.6, 39.28, 4400800, 39.28, 0, 1, 38.94, -999
20141125, 38.5, 38.9, 38.19, 38.51, 9538300, 38.51, 0, 1, 38.505, -999
20141124, 38.48, 38.78, 38.18, 38.51, 5688000, 38.51, 0, 1, 38.495, -999
20141121, 39.26, 39.26, 37.77, 38.02, 10877800, 38.02, 0, 1, 38.64, -999
20141120, 38.98, 39.22, 38.51, 38.87, 5846900, 38.87, 0, 1, 38.925, -999
20141119, 39.51, 39.78, 39.02, 39.27, 6455300, 39.27, 0, 1, 39.39, -999
20141118, 39.15, 39.88, 39.06, 39.67, 5790200, 39.67, 0, 1, 39.41, -999
20141117, 38.93, 39.53, 38.9, 39.07, 6281100, 39.07, 0, 1, 39, -999
20141114, 39.33, 39.45, 38.83, 38.95, 7352600, 38.95, 0, 1, 39.14, -999
20141113, 39.56, 39.97, 39.19, 39.46, 6693700, 39.46, 0, 1, 39.51, -999
20141112, 39.08, 39.5, 38.89, 39.37, 6043200, 39.37, 0, 1, 39.225, -999
20141111, 39.46, 40.06, 39.28, 39.37, 9180900, 39.37, 0, 1, 39.415, -999
20141110, 38.24, 39.18, 37.97, 39.12, 9662000, 39.12, 0, 1, 38.68, -999
20141107, 38.01, 38.36, 37.75, 38.24, 9598200, 38.24, 0, 1, 38.125, -999
20141106, 36.84, 38.16, 36.7, 37.94, 9823400, 37.94, 0, 1, 37.39, -999
20141105, 36.83, 36.88, 36.16, 36.75, 9807200, 36.75, 0, 1, 36.79, -999
20141104, 35.51, 36.58, 35.5, 36.43, 11373900, 36.43, 0, 1, 35.97, -999
20141103, 34.55, 35.32, 34.47, 35.31, 7229100, 35.31, 0, 1, 34.93, -999
20141031, 34.64, 34.84, 34.28, 34.48, 6436600, 34.48, 0, 1, 34.56, -999
20141030, 34.35, 34.51, 33.88, 34.13, 6727000, 34.13, 0, 1, 34.24, -999
20141029, 34.54, 34.57, 33.61, 34.13, 7411900, 34.13, 0, 1, 34.335, -999
20141028, 34.22, 34.56, 33.72, 34.53, 8725500, 34.53, 0, 1, 34.375, -999
20141027, 33.85, 34.13, 33.42, 34.05, 8823600, 34.05, 0, 1, 33.95, -999
20141024, 33.36, 34.25, 33.36, 33.87, 9844200, 33.87, 0, 1, 33.615, -999
20141023, 35, 35.35, 32.41, 33.25, 23476100, 33.25, 0, 1, 34.125, -999
20141022, 34.93, 35, 34.15, 34.2, 12749800, 34.2, 0, 1, 34.565, -999
20141021, 33.68, 34.75, 33.62, 34.59, 14342900, 34.59, 0, 1, 34.135, -999
20141020, 31.38, 33.09, 31.38, 32.84, 13588700, 32.84, 0, 1, 32.11, -999
20141017, 31.32, 31.84, 30.78, 31.05, 12181600, 31.05, 0, 1, 31.185, -999
20141016, 28.65, 31.28, 28.6, 30.94, 18366600, 30.94, 0, 1, 29.795, -999
20141015, 29.08, 30.63, 28.4, 30.02, 21067900, 30.02, 0, 1, 29.55, -999
20141014, 29.37, 31.25, 28.77, 30, 16869800, 30, 0, 1, 29.685, -999
20141013, 30.76, 30.76, 28.52, 28.88, 21586500, 28.88, 0, 1, 29.82, -999
20141010, 31.14, 31.57, 30.3, 30.57, 11790100, 30.57, 0, 1, 30.855, -999
20141009, 32.29, 32.53, 31.08, 31.32, 12496100, 31.32, 0, 1, 31.805, -999
20141008, 32.92, 32.96, 31.69, 32.11, 11969600, 32.11, 0, 1, 32.515, -999
20141007, 32.75, 32.79, 32.22, 32.23, 7321100, 32.23, 0, 1, 32.49, -999
20141006, 33.5, 33.77, 32.94, 33.04, 5758500, 33.04, 0, 1, 33.27, -999
