Ticker: LYB  Created on: 12/6/2014 5:25:12 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 83.43, 83.44, 80.21, 80.77, 7066100, 80.77, 0, 1, 82.1, -999
20141204, 78.25, 81.14, 78.21, 81.14, 7154100, 81.14, 0, 1, 79.695, -999
20141203, 77.6, 80.17, 77.06, 78.72, 7430000, 78.72, 0, 1, 78.16, -999
20141202, 77.23, 77.98, 75.88, 77.03, 6120700, 77.03, 0, 1, 77.13, -999
20141201, 76.21, 78.61, 75.3, 76.81, 12690600, 76.81, 0, 1, 76.51, -999
20141128, 83.92, 84.02, 78.58, 78.86, 8323300, 78.86, 0, 1, 81.39, -999
20141126, 90.39, 90.39, 88.37, 89.54, 3836700, 89.54, 0, 1, 89.965, -999
20141125, 91.29, 91.66, 90.1, 90.65, 3914000, 90.65, 0, 1, 90.97, -999
20141124, 91.13, 91.61, 90.31, 90.56, 4207500, 90.56, 0, 1, 90.845, -999
20141121, 94, 94.33, 90.43, 91.2, 6461400, 91.2, 0, 1, 92.6, -999
20141120, 88, 90.75, 87.66, 90.42, 6185500, 90.42, 0, 1, 89.21, -999
20141119, 89.17, 89.62, 88.33, 89.35, 3339600, 88.65, 0, 1, 88.91, -999
20141118, 88.09, 89.63, 88.07, 89.04, 4714200, 88.34, 0, 1, 88.215, -999
20141117, 88.18, 88.33, 86.74, 87.7, 4940100, 87.01, 0, 1, 87.595, -999
20141114, 87.94, 89.38, 87.6, 88.33, 4124200, 87.64, 0, 1, 87.79, -999
20141113, 88.56, 89.65, 86.88, 87.94, 4850400, 87.25, 0, 1, 87.905, -999
20141112, 88.75, 89.12, 86.84, 88.59, 5527100, 87.9, 0, 1, 88.325, -999
20141111, 87.96, 88.55, 86.57, 88.54, 3119600, 87.85, 0, 1, 87.905, -999
20141110, 87.48, 89.07, 87.03, 88.03, 3982200, 87.34, 0, 1, 87.41, -999
20141107, 86.51, 87.83, 86.31, 87.46, 4184500, 86.77, 0, 1, 86.64, -999
20141106, 84.81, 87.22, 84.43, 86.3, 4870000, 85.62, 0, 1, 85.215, -999
20141105, 84.46, 86.76, 84.03, 85.25, 6079900, 84.58, 0, 1, 84.52, -999
20141104, 88.49, 88.5, 83.16, 84.07, 9161200, 83.41, 0, 1, 85.95, -999
20141103, 91.89, 92.5, 89.03, 89.22, 6612300, 88.52, 0, 1, 90.205, -999
20141031, 92.23, 92.52, 89.71, 91.63, 6514200, 90.91, 0, 1, 91.57, -999
20141030, 90.03, 91.44, 89.35, 91.01, 4771200, 90.3, 0, 1, 90.165, -999
20141029, 90.21, 90.87, 88.41, 90.79, 11498800, 90.08, 0, 1, 90.145, -999
20141028, 87.25, 89.27, 86.33, 89.23, 6405500, 88.53, 0, 1, 87.89, -999
20141027, 89.15, 89.91, 84.69, 87.19, 12042900, 86.51, 0, 1, 87.83, -999
20141024, 92.22, 93.42, 90.01, 92.39, 7485100, 91.67, 0, 1, 91.945, -999
20141023, 94.48, 94.9, 92.31, 94.33, 5020200, 93.59, 0, 1, 94.035, -999
20141022, 96.48, 96.81, 93.36, 93.48, 4837700, 92.75, 0, 1, 94.615, -999
20141021, 92.89, 95.71, 92.83, 95.19, 5721900, 94.44, 0, 1, 93.665, -999
20141020, 89.38, 92.27, 89.26, 92.02, 4532800, 91.3, 0, 1, 90.34, -999
20141017, 92.29, 92.82, 89.27, 89.63, 7247700, 88.93, 0, 1, 90.61, -999
20141016, 84.47, 90.54, 84.46, 89.33, 9025100, 88.63, 0, 1, 86.55, -999
20141015, 83.76, 86.29, 81.15, 85.93, 12921400, 85.26, 0, 1, 84.51, -999
20141014, 88.25, 89.45, 84.5, 85.39, 12464400, 84.72, 0, 1, 86.485, -999
20141013, 95.51, 95.8, 86.36, 86.59, 12437600, 85.91, 0, 1, 90.71, -999
