Ticker: MAR  Created on: 12/6/2014 5:25:14 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 78.06, 79.19, 77.97, 78.99, 1598700, 78.99, 0, 1, 78.525, -999
20141204, 78, 79, 77.45, 77.94, 1499100, 77.94, 0, 1, 77.97, -999
20141203, 77.5, 78.49, 77.2, 78.14, 1400200, 78.14, 0, 1, 77.82, -999
20141202, 77.73, 78.19, 77.4, 77.45, 2655700, 77.45, 0, 1, 77.59, -999
20141201, 78.5, 78.79, 77.37, 77.45, 1903100, 77.45, 0, 1, 77.975, -999
20141128, 78.33, 79.21, 78.15, 78.79, 981200, 78.79, 0, 1, 78.56, -999
20141126, 76.82, 77.65, 76.77, 77.48, 1010900, 77.48, 0, 1, 77.15, -999
20141125, 77.02, 77.3, 76.44, 77.04, 4748000, 77.04, 0, 1, 77.03, -999
20141124, 76.47, 77.23, 76.47, 76.97, 2092500, 76.97, 0, 1, 76.72, -999
20141121, 76.81, 77.05, 75.91, 75.98, 2211300, 75.98, 0, 1, 76.395, -999
20141120, 76.37, 76.41, 75.34, 75.89, 2319000, 75.89, 0, 1, 76.13, -999
20141119, 76.98, 77.35, 76.32, 76.38, 1783400, 76.38, 0, 1, 76.68, -999
20141118, 76.89, 77.22, 76.51, 76.94, 2442900, 76.94, 0, 1, 76.915, -999
20141117, 77.1, 77.74, 76.77, 77.17, 2517600, 76.97, 0, 1, 77.035, -999
20141114, 78.09, 78.39, 77.71, 77.96, 1456700, 77.76, 0, 1, 77.925, -999
20141113, 77.38, 78.25, 77.33, 78.09, 1443300, 77.89, 0, 1, 77.635, -999
20141112, 76.58, 77.5, 76.38, 77.3, 1319200, 77.1, 0, 1, 76.84, -999
20141111, 76.8, 77.28, 76.56, 77.14, 1463000, 76.94, 0, 1, 76.87, -999
20141110, 75.52, 76.67, 75.33, 76.56, 1434600, 76.36, 0, 1, 75.94, -999
20141107, 75.33, 75.55, 74.96, 75.5, 1803200, 75.3, 0, 1, 75.315, -999
20141106, 75.07, 75.34, 74.44, 75.25, 2331700, 75.05, 0, 1, 75.06, -999
20141105, 75.19, 75.2, 73.94, 74.9, 3106700, 74.71, 0, 1, 74.95, -999
20141104, 75.4, 75.59, 74.32, 74.57, 3395500, 74.38, 0, 1, 74.89, -999
20141103, 75.91, 76.15, 74.95, 75.8, 2427500, 75.6, 0, 1, 75.755, -999
20141031, 77.99, 77.99, 75.21, 75.75, 3577300, 75.55, 0, 1, 76.77, -999
20141030, 73.51, 76.31, 73.5, 76, 3342900, 75.8, 0, 1, 74.655, -999
20141029, 74, 75.19, 72.09, 74.03, 4337100, 73.84, 0, 1, 73.92, -999
20141028, 69.85, 72.21, 69.23, 71.95, 4551100, 71.76, 0, 1, 70.805, -999
20141027, 69.3, 70.4, 69.01, 70.26, 2317400, 70.08, 0, 1, 69.69, -999
20141024, 68.4, 69.35, 68.04, 69.29, 2363900, 69.11, 0, 1, 68.755, -999
20141023, 69, 70, 68.34, 68.43, 3434800, 68.25, 0, 1, 68.625, -999
20141022, 69.41, 69.63, 68.22, 68.42, 2353800, 68.24, 0, 1, 68.825, -999
20141021, 67.58, 68.7, 67.3, 68.42, 2820800, 68.24, 0, 1, 67.91, -999
20141020, 64.94, 67.63, 64.9, 67.02, 3737000, 66.85, 0, 1, 65.895, -999
20141017, 63.63, 65.34, 63.23, 65.01, 3110300, 64.84, 0, 1, 64.235, -999
20141016, 60.72, 63.55, 60.66, 62.79, 2919200, 62.63, 0, 1, 61.675, -999
20141015, 61.92, 63.9, 59.61, 62.2, 6844700, 62.04, 0, 1, 61.98, -999
20141014, 62.11, 63.88, 62.06, 62.55, 5234700, 62.39, 0, 1, 62.25, -999
20141013, 63.55, 63.66, 61.63, 61.71, 6500400, 61.55, 0, 1, 62.55, -999
20141010, 64.4, 64.74, 63.12, 63.55, 4100400, 63.39, 0, 1, 63.895, -999
20141009, 65.59, 66.19, 64.53, 64.58, 3565600, 64.41, 0, 1, 65, -999
20141008, 65.87, 66.34, 65.34, 66.17, 5241600, 66, 0, 1, 65.935, -999
20141007, 66.66, 67.41, 65.98, 66, 3238200, 65.83, 0, 1, 66.245, -999
20141006, 68.09, 68.39, 67.09, 67.33, 2673400, 67.16, 0, 1, 67.625, -999
20141003, 67.16, 68.27, 67.04, 68.1, 3763600, 67.92, 0, 1, 67.54, -999
20141002, 67.98, 68.16, 65.48, 66.8, 4099800, 66.63, 0, 1, 67.305, -999
20141001, 69.56, 69.58, 67.34, 67.94, 4252100, 67.76, 0, 1, 68.66, -999
20140930, 70.23, 70.63, 69.9, 69.9, 1989100, 69.72, 0, 1, 69.975, -999
20140929, 70.27, 70.69, 69.97, 70.44, 1664600, 70.26, 0, 1, 70.265, -999
20140926, 70.85, 71.07, 70.52, 70.72, 3139700, 70.54, 0, 1, 70.695, -999
20140925, 71.37, 71.67, 70.46, 70.52, 1508100, 70.34, 0, 1, 70.855, -999
20140924, 70.9, 71.48, 70.78, 71.39, 1213800, 71.2, 0, 1, 71.05, -999
20140923, 71.49, 71.8, 70.9, 70.92, 1889200, 70.74, 0, 1, 71.115, -999
20140922, 72.32, 72.32, 71.28, 71.61, 1961100, 71.42, 0, 1, 71.87, -999
20140919, 72.98, 73.28, 72.04, 72.19, 3799000, 72, 0, 1, 72.49, -999
20140918, 72.19, 72.47, 71.76, 72.45, 1677300, 72.26, 0, 1, 72.225, -999
20140917, 71.28, 72.09, 71.21, 71.73, 1476700, 71.54, 0, 1, 71.41, -999
20140916, 70.5, 71.23, 70.33, 71.14, 2199600, 70.96, 0, 1, 70.73, -999
20140915, 70.54, 70.91, 70.45, 70.71, 1412900, 70.53, 0, 1, 70.535, -999
20140912, 71.14, 71.23, 70.22, 70.62, 1640500, 70.44, 0, 1, 70.79, -999
20140911, 70.82, 71.53, 70.51, 71.4, 2869100, 71.21, 0, 1, 71.015, -999
20140910, 70.9, 71.04, 70.5, 70.79, 1789300, 70.61, 0, 1, 70.755, -999
20140909, 71, 71.3, 70.72, 70.78, 1571300, 70.6, 0, 1, 70.8, -999
20140908, 70.86, 71.33, 70.65, 71.07, 2313100, 70.89, 0, 1, 70.875, -999
20140905, 70.21, 70.83, 70.21, 70.83, 2367300, 70.65, 0, 1, 70.43, -999
20140904, 70.44, 70.98, 70.33, 70.52, 2832400, 70.34, 0, 1, 70.39, -999
20140903, 69.6, 70.2, 69.44, 70, 2911500, 69.82, 0, 1, 69.71, -999
20140902, 69.68, 69.69, 68.8, 69.43, 1833700, 69.25, 0, 1, 69.465, -999
20140829, 69.33, 69.49, 68.85, 69.4, 1393100, 69.22, 0, 1, 69.275, -999
20140828, 68.78, 69.12, 68.17, 68.99, 1382300, 68.81, 0, 1, 68.795, -999
20140827, 69.04, 69.21, 68.78, 68.88, 1421400, 68.7, 0, 1, 68.87, -999
20140826, 68.98, 69.07, 68.45, 68.99, 1147400, 68.81, 0, 1, 68.895, -999
