Ticker: MAS  Created on: 12/6/2014 5:25:15 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 24.75, 25.07, 24.63, 24.87, 5612500, 24.87, 0, 1, 24.81, -999
20141204, 24.75, 24.83, 24.57, 24.78, 4336500, 24.78, 0, 1, 24.765, -999
20141203, 24.4, 24.77, 24.36, 24.73, 4332100, 24.73, 0, 1, 24.565, -999
20141202, 23.9, 24.42, 23.86, 24.34, 2999900, 24.34, 0, 1, 24.12, -999
20141201, 24.08, 24.19, 23.85, 23.94, 3515400, 23.94, 0, 1, 24.01, -999
20141128, 24.16, 24.3, 23.96, 24.2, 1131200, 24.2, 0, 1, 24.18, -999
20141126, 24.26, 24.35, 24.07, 24.12, 1986200, 24.12, 0, 1, 24.19, -999
20141125, 24.47, 24.69, 24.11, 24.23, 3423900, 24.23, 0, 1, 24.35, -999
20141124, 24.14, 24.35, 24.09, 24.31, 2210600, 24.31, 0, 1, 24.225, -999
20141121, 24.13, 24.37, 24.04, 24.07, 4619100, 24.07, 0, 1, 24.1, -999
20141120, 23.36, 24.04, 23.24, 23.85, 3862800, 23.85, 0, 1, 23.605, -999
20141119, 23.4, 23.52, 23.18, 23.41, 2970500, 23.41, 0, 1, 23.405, -999
20141118, 23.01, 23.58, 22.99, 23.39, 4611400, 23.39, 0, 1, 23.2, -999
20141117, 23.09, 23.18, 22.77, 22.98, 2966800, 22.98, 0, 1, 23.035, -999
20141114, 23.11, 23.43, 23.08, 23.19, 2400300, 23.19, 0, 1, 23.15, -999
20141113, 23.18, 23.36, 23.06, 23.18, 3067200, 23.18, 0, 1, 23.18, -999
20141112, 23.2, 23.27, 22.98, 23.19, 2435800, 23.19, 0, 1, 23.195, -999
20141111, 23.15, 23.33, 23.12, 23.22, 2232600, 23.22, 0, 1, 23.185, -999
20141110, 23.36, 23.54, 23.07, 23.18, 2884000, 23.18, 0, 1, 23.27, -999
20141107, 23.19, 23.46, 23.14, 23.35, 3907800, 23.35, 0, 1, 23.27, -999
20141106, 22.53, 23.21, 22.53, 23.14, 4557000, 23.14, 0, 1, 22.835, -999
20141105, 22.35, 22.53, 22.19, 22.47, 5488600, 22.47, 0, 1, 22.41, -999
20141104, 22.1, 22.36, 22.01, 22.18, 4625200, 22.18, 0, 1, 22.14, -999
20141103, 22.1, 22.33, 21.91, 22.2, 6928800, 22.2, 0, 1, 22.15, -999
20141031, 22.01, 22.26, 21.77, 22.07, 7153300, 22.07, 0, 1, 22.04, -999
20141030, 21.65, 22.18, 21.65, 21.8, 5998900, 21.8, 0, 1, 21.725, -999
20141029, 22.27, 22.32, 21.58, 21.81, 4962700, 21.81, 0, 1, 22.04, -999
20141028, 21.79, 22.34, 21.38, 22.14, 11906100, 22.14, 0, 1, 21.965, -999
20141027, 22.76, 23.09, 22.55, 22.97, 5476400, 22.97, 0, 1, 22.865, -999
20141024, 22.96, 23.11, 22.62, 23.08, 2546700, 23.08, 0, 1, 23.02, -999
20141023, 22.83, 23.18, 22.76, 22.93, 1783200, 22.93, 0, 1, 22.88, -999
20141022, 22.6, 23.12, 22.55, 22.59, 4930900, 22.59, 0, 1, 22.595, -999
20141021, 22.35, 22.56, 22.17, 22.42, 6646800, 22.42, 0, 1, 22.385, -999
20141020, 21.71, 22.33, 21.59, 22.28, 4987800, 22.28, 0, 1, 21.995, -999
20141017, 21.34, 21.78, 21.3, 21.67, 4953400, 21.67, 0, 1, 21.505, -999
20141016, 20.43, 21.36, 20.32, 21.22, 5709400, 21.22, 0, 1, 20.825, -999
20141015, 20.42, 20.92, 19.84, 20.86, 11645900, 20.86, 0, 1, 20.64, -999
20141014, 21.05, 21.25, 20.3, 20.95, 9348600, 20.95, 0, 1, 21, -999
20141013, 21.9, 22.18, 20.91, 20.97, 8718400, 20.97, 0, 1, 21.435, -999
20141010, 22.75, 22.91, 22.15, 22.16, 3917500, 22.16, 0, 1, 22.455, -999
20141009, 23.33, 23.46, 22.63, 22.76, 4171600, 22.76, 0, 1, 23.045, -999
20141008, 22.96, 23.43, 22.76, 23.41, 4952500, 23.41, 0.09, 1, 23.185, -999
20141007, 23.34, 23.47, 23.05, 23.07, 5596200, 22.98, 0, 1, 23.16, -999
20141006, 23.71, 23.88, 23.46, 23.52, 3477000, 23.43, 0, 1, 23.57, -999
20141003, 23.89, 23.98, 23.46, 23.66, 5497700, 23.57, 0, 1, 23.73, -999
20141002, 23.51, 23.78, 23.43, 23.69, 4918800, 23.6, 0, 1, 23.555, -999
20141001, 24.2, 24.22, 23.44, 23.5, 4263900, 23.41, 0, 1, 23.805, -999
20140930, 24.71, 24.91, 23.88, 23.92, 9331500, 23.83, 0, 1, 24.27, -999
20140929, 23.09, 23.43, 23.03, 23.32, 2643200, 23.23, 0, 1, 23.16, -999
20140926, 23.35, 23.42, 23.09, 23.34, 2461500, 23.25, 0, 1, 23.3, -999
20140925, 23.53, 23.63, 23.23, 23.33, 2836200, 23.24, 0, 1, 23.385, -999
20140924, 23.34, 23.62, 23.24, 23.58, 3835600, 23.49, 0, 1, 23.415, -999
20140923, 23.26, 23.57, 23.22, 23.46, 4229000, 23.37, 0, 1, 23.315, -999
20140922, 23.77, 23.83, 23.37, 23.43, 2687400, 23.34, 0, 1, 23.555, -999
20140919, 24.31, 24.33, 23.62, 23.83, 4629800, 23.74, 0, 1, 24.025, -999
