Ticker: MAT  Created on: 12/6/2014 5:25:16 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 30.64, 30.97, 30.52, 30.88, 2899200, 30.88, 0, 1, 30.76, -999
20141204, 30.16, 30.72, 30.14, 30.68, 3429200, 30.68, 0, 1, 30.42, -999
20141203, 30.51, 30.68, 30.04, 30.27, 5077800, 30.27, 0, 1, 30.39, -999
20141202, 30.64, 31.09, 30.47, 30.58, 2849300, 30.58, 0, 1, 30.61, -999
20141201, 31.36, 31.46, 30.53, 30.57, 3512100, 30.57, 0, 1, 30.965, -999
20141128, 31.21, 31.69, 31.05, 31.55, 1812400, 31.55, 0, 1, 31.38, -999
20141126, 31.24, 31.26, 30.84, 30.88, 1887600, 30.88, 0, 1, 31.06, -999
20141125, 31.18, 31.36, 31.02, 31.19, 2404200, 31.19, 0, 1, 31.185, -999
20141124, 31.05, 31.24, 30.86, 31.2, 2724800, 31.2, 0, 1, 31.125, -999
20141121, 31.91, 31.91, 31.06, 31.45, 6151800, 31.07, 0, 1, 31.49, -999
20141120, 31.09, 31.89, 31.09, 31.54, 2750500, 31.16, 0, 1, 31.125, -999
20141119, 30.89, 31.14, 30.8, 31.09, 2708900, 30.71, 0, 1, 30.8, -999
20141118, 30.93, 31.09, 30.72, 30.9, 2313100, 30.53, 0, 1, 30.73, -999
20141117, 31.01, 31.06, 30.72, 30.83, 2106000, 30.46, 0, 1, 30.735, -999
20141114, 31.14, 31.19, 30.77, 30.99, 2580000, 30.62, 0, 1, 30.88, -999
20141113, 31.42, 31.58, 31, 31.17, 2830800, 30.79, 0, 1, 31.105, -999
20141112, 30.75, 31.36, 30.7, 31.31, 3142200, 30.93, 0, 1, 30.84, -999
20141111, 31.47, 31.47, 30.65, 30.76, 3952600, 30.39, 0, 1, 30.93, -999
20141110, 31.69, 31.85, 31.42, 31.5, 2384100, 31.12, 0, 1, 31.405, -999
20141107, 31.57, 31.85, 31.41, 31.67, 3481800, 31.29, 0, 1, 31.43, -999
20141106, 31.31, 31.68, 31.26, 31.49, 3488600, 31.11, 0, 1, 31.21, -999
20141105, 31.35, 31.35, 31, 31.3, 3429700, 30.92, 0, 1, 31.135, -999
20141104, 31.01, 31.26, 30.95, 31.15, 3436300, 30.77, 0, 1, 30.89, -999
20141103, 31.17, 31.27, 30.88, 31.13, 6085800, 30.75, 0, 1, 30.96, -999
20141031, 31.22, 31.52, 31, 31.07, 9426500, 30.69, 0, 1, 30.955, -999
20141030, 30.67, 31.06, 30.65, 30.81, 2693700, 30.44, 0, 1, 30.555, -999
20141029, 30.97, 31.1, 30.73, 30.88, 2861600, 30.51, 0, 1, 30.74, -999
20141028, 30.83, 31.03, 30.72, 30.95, 3384300, 30.58, 0, 1, 30.705, -999
20141027, 30.3, 30.83, 30.14, 30.65, 4392900, 30.28, 0, 1, 30.29, -999
20141024, 30.3, 30.38, 30.04, 30.31, 3379000, 29.94, 0, 1, 30.12, -999
20141023, 30.2, 30.34, 30.05, 30.24, 2897100, 29.87, 0, 1, 30.035, -999
20141022, 29.73, 30.14, 29.67, 29.98, 5986400, 29.62, 0, 1, 29.675, -999
20141021, 29.62, 29.73, 29.3, 29.53, 6324800, 29.17, 0, 1, 29.395, -999
20141020, 28.86, 29.57, 28.79, 29.47, 6005000, 29.11, 0, 1, 28.985, -999
20141017, 29.78, 30, 28.7, 28.78, 11196600, 28.43, 0, 1, 29.105, -999
20141016, 29.14, 30.24, 28.67, 29.62, 11400800, 29.26, 0, 1, 29.2, -999
20141015, 30.1, 30.63, 29.8, 30.54, 6604000, 30.17, 0, 1, 30.135, -999
20141014, 30.4, 30.82, 30.1, 30.66, 4866800, 30.29, 0, 1, 30.345, -999
20141013, 30.65, 30.73, 30.11, 30.2, 3217300, 29.84, 0, 1, 30.245, -999
20141010, 30.68, 30.94, 30.57, 30.73, 5080200, 30.36, 0, 1, 30.52, -999
20141009, 31.38, 31.57, 30.58, 30.62, 4709200, 30.25, 0, 1, 30.815, -999
20141008, 31.42, 31.64, 30.98, 31.55, 4029300, 31.17, 0, 1, 31.295, -999
20141007, 31.74, 32.17, 31.39, 31.45, 4451900, 31.07, 0, 1, 31.405, -999
20141006, 31.94, 32, 31.44, 31.86, 5251500, 31.48, 0, 1, 31.71, -999
20141003, 31.31, 32.1, 31.22, 31.78, 6334500, 31.4, 0, 1, 31.355, -999
20141002, 30.65, 31.2, 30.41, 31.11, 4674000, 30.73, 0, 1, 30.69, -999
20141001, 30.62, 30.62, 30.29, 30.46, 4974200, 30.09, 0, 1, 30.355, -999
20140930, 30.49, 30.66, 29.96, 30.65, 7288600, 30.28, 0, 1, 30.385, -999
20140929, 30.28, 30.64, 30.15, 30.48, 5381800, 30.11, 0, 1, 30.195, -999
20140926, 31.15, 31.34, 30.45, 30.81, 5933600, 30.44, 0, 1, 30.795, -999
20140925, 31.38, 31.57, 31.14, 31.2, 5357900, 30.82, 0, 1, 31.1, -999
20140924, 31.94, 32.19, 31.41, 31.67, 9059500, 31.29, 0, 1, 31.615, -999
