Ticker: MCD  Created on: 12/6/2014 5:25:17 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 95.78, 96.61, 95.65, 96.31, 6199400, 96.31, 0, 1, 96.045, -999
20141204, 95.39, 95.99, 95.14, 95.66, 5149300, 95.66, 0, 1, 95.525, -999
20141203, 94.8, 95.57, 94.78, 95.5, 5316700, 95.5, 0, 1, 95.15, -999
20141202, 95.21, 97, 94.76, 95.11, 10370000, 95.11, 0, 1, 95.16, -999
20141201, 96.15, 96.94, 95.64, 95.78, 5273700, 95.78, 0, 1, 95.965, -999
20141128, 95.98, 97.4, 95.97, 96.81, 3442900, 96.81, 0, 1, 96.395, -999
20141126, 96.36, 96.39, 95.92, 96.22, 3667800, 96.22, 0, 1, 96.29, -999
20141125, 97.2, 97.34, 96.85, 97, 5368900, 96.15, 0, 1, 96.675, -999
20141124, 96.83, 97.42, 96.53, 97.17, 5222500, 96.32, 0, 1, 96.575, -999
20141121, 97.47, 97.5, 96.42, 96.68, 5483700, 95.83, 0, 1, 96.65, -999
20141120, 96.54, 97.3, 96.5, 96.64, 4551600, 95.79, 0, 1, 96.165, -999
20141119, 96.74, 97.3, 96.43, 96.56, 6631300, 95.71, 0, 1, 96.225, -999
20141118, 96.04, 96.95, 95.37, 96.41, 6258600, 95.57, 0, 1, 95.805, -999
20141117, 96.06, 96.08, 95.6, 95.97, 3596500, 95.13, 0, 1, 95.595, -999
20141114, 95.38, 97.18, 95.27, 96.21, 7793400, 95.37, 0, 1, 95.375, -999
20141113, 95.5, 96.22, 95.18, 95.48, 4099800, 94.64, 0, 1, 95.07, -999
20141112, 94.93, 95.38, 94.83, 95.33, 2725700, 94.49, 0, 1, 94.71, -999
20141111, 95.22, 95.42, 94.93, 95.14, 3429000, 94.31, 0, 1, 94.765, -999
20141110, 95.56, 95.69, 94.98, 95.11, 5123900, 94.28, 0, 1, 94.92, -999
20141107, 94.4, 95.1, 94.06, 95.1, 4674600, 94.27, 0, 1, 94.335, -999
20141106, 94.74, 94.93, 94.42, 94.66, 3597300, 93.83, 0, 1, 94.285, -999
20141105, 95, 95.07, 94.39, 94.64, 4123800, 93.81, 0, 1, 94.405, -999
20141104, 93.93, 94.63, 93.77, 94.47, 5802200, 93.64, 0, 1, 93.785, -999
20141103, 93.78, 93.78, 93.02, 93.61, 4064900, 92.79, 0, 1, 93.285, -999
20141031, 93.9, 94.01, 92.83, 93.73, 6795900, 92.91, 0, 1, 93.405, -999
20141030, 92.57, 93.39, 92.49, 93.38, 3965500, 92.56, 0, 1, 92.565, -999
20141029, 92.65, 93.12, 92, 92.73, 5295900, 91.92, 0, 1, 92.285, -999
20141028, 92.48, 92.6, 91.69, 92.6, 5083000, 91.79, 0, 1, 92.135, -999
20141027, 91.52, 92.09, 91.5, 92.01, 4071100, 91.2, 0, 1, 91.36, -999
20141024, 90.7, 91.79, 90.55, 91.67, 5256600, 90.87, 0, 1, 90.785, -999
20141023, 91.84, 92.1, 90.88, 91.02, 5966700, 90.22, 0, 1, 91.03, -999
20141022, 90.7, 91.51, 90.6, 90.94, 6455600, 90.14, 0, 1, 90.42, -999
20141021, 89.95, 91.45, 89.7, 91.01, 11422200, 90.21, 0, 1, 90.08, -999
20141020, 90.96, 91.59, 90.71, 91.59, 5403200, 90.79, 0, 1, 90.875, -999
20141017, 90.41, 91.14, 89.64, 91.04, 7074500, 90.24, 0, 1, 90.325, -999
20141016, 89.39, 90.29, 89.34, 89.91, 7526400, 89.12, 0, 1, 89.255, -999
20141015, 90.49, 90.98, 89.57, 90.44, 10468500, 89.65, 0, 1, 90.07, -999
20141014, 90.81, 91.74, 90.63, 91.1, 5539500, 90.3, 0, 1, 90.555, -999
20141013, 92.13, 92.42, 90.66, 90.73, 6173800, 89.93, 0, 1, 91.03, -999
20141010, 92.76, 93.45, 92.3, 92.3, 5844900, 91.49, 0, 1, 92.125, -999
20141009, 93.77, 94, 92.71, 92.72, 5068600, 91.91, 0, 1, 92.84, -999
20141008, 93.08, 93.95, 92.81, 93.83, 5586600, 93.01, 0, 1, 93.045, -999
20141007, 93.51, 93.54, 92.8, 92.81, 6093800, 92, 0, 1, 92.755, -999
20141006, 94.36, 94.43, 93.69, 93.84, 4278600, 93.02, 0, 1, 93.69, -999
20141003, 95.29, 95.29, 94.51, 94.86, 3948600, 94.03, 0, 1, 94.66, -999
20141002, 94.03, 94.6, 94, 94.12, 4116000, 93.3, 0, 1, 93.665, -999
20141001, 94.37, 95.08, 94.01, 94.19, 5334600, 93.36, 0, 1, 93.865, -999
20140930, 96.23, 96.36, 94.34, 94.81, 10036400, 93.98, 0, 1, 95.105, -999
20140929, 94.26, 97.3, 93.98, 96.22, 16489100, 95.38, 0, 1, 94.82, -999
20140926, 94.05, 94.88, 94.02, 94.7, 3454400, 93.87, 0, 1, 93.96, -999
20140925, 94.94, 95.31, 94.06, 94.16, 4569100, 93.33, 0, 1, 94.135, -999
20140924, 93.7, 95.32, 93.66, 95, 7817900, 94.17, 0, 1, 93.935, -999
20140923, 93.7, 94.15, 93.44, 93.51, 4702700, 92.69, 0, 1, 93.195, -999
20140922, 94.12, 94.47, 93.82, 93.93, 4875700, 93.11, 0, 1, 93.615, -999
20140919, 93.95, 94.93, 93.8, 94.36, 9043100, 93.53, 0, 1, 93.74, -999
20140918, 93.43, 93.9, 93.26, 93.48, 5488900, 92.66, 0, 1, 93.045, -999
20140917, 93.68, 93.83, 93.18, 93.53, 5738600, 92.71, 0, 1, 93.195, -999
20140916, 93.27, 94.11, 93.25, 93.75, 5826200, 92.93, 0, 1, 93.1, -999
20140915, 93.26, 93.91, 93.25, 93.47, 6255000, 92.65, 0, 1, 92.955, -999
20140912, 92.94, 93.84, 92.82, 93.34, 8033100, 92.52, 0, 1, 92.73, -999
20140911, 92.94, 93.29, 92.42, 92.96, 5960100, 92.15, 0, 1, 92.545, -999
20140910, 90.84, 93.06, 90.53, 93, 12031400, 92.19, 0, 1, 91.515, -999
20140909, 92.6, 92.7, 90.96, 91.09, 9795200, 90.29, 0, 1, 91.445, -999
20140908, 92.8, 92.82, 92.2, 92.5, 5251900, 91.69, 0, 1, 92.245, -999
20140905, 93.1, 93.12, 92.8, 93.07, 4004600, 92.25, 0, 1, 92.675, -999
20140904, 93.02, 93.23, 92.8, 93.01, 4849800, 92.19, 0, 1, 92.605, -999
20140903, 93.27, 93.49, 93.04, 93.14, 4855300, 92.32, 0, 1, 92.795, -999
20140902, 93.24, 93.7, 92.69, 92.8, 6727100, 91.99, 0, 1, 92.615, -999
20140829, 94.2, 94.2, 93.51, 93.72, 4635100, 92.9, 0, 1, 93.55, -999
20140828, 93.65, 94.76, 93.51, 94.14, 5492400, 93.32, 0.81, 1, 93.485, -999
20140827, 94.23, 94.68, 93.6, 94.65, 9027300, 93.02, 0, 1, 93.625, -999
20140826, 94.39, 94.79, 94.05, 94.11, 6392400, 92.49, 0, 1, 93.44, -999
20140825, 94.85, 95.37, 94.41, 94.44, 4614300, 92.81, 0, 1, 93.83, -999
20140822, 94.53, 94.86, 94.27, 94.45, 3586900, 92.82, 0, 1, 93.675, -999
20140821, 94.31, 94.76, 94.24, 94.53, 5981600, 92.9, 0, 1, 93.605, -999
20140820, 94.45, 94.66, 94, 94.19, 4150400, 92.57, 0, 1, 93.51, -999
20140819, 94.6, 94.75, 94.26, 94.45, 3331700, 92.82, 0, 1, 93.71, -999
20140818, 94.15, 94.74, 93.93, 94.25, 4398800, 92.62, 0, 1, 93.385, -999
20140815, 94.07, 94.47, 93.41, 93.79, 4281300, 92.17, 0, 1, 93.12, -999
20140814, 93.65, 93.89, 93.26, 93.66, 5644500, 92.04, 0, 1, 92.845, -999
20140813, 93.75, 94.32, 93.55, 93.96, 3599900, 92.34, 0, 1, 93.045, -999
20140812, 93.43, 93.65, 93.15, 93.56, 3235900, 91.95, 0, 1, 92.69, -999
20140811, 93.73, 93.92, 93.46, 93.53, 4288400, 91.92, 0, 1, 92.825, -999
20140808, 93.07, 93.84, 92.92, 93.55, 6505900, 91.94, 0, 1, 92.505, -999
20140807, 93.82, 94, 93.24, 93.31, 3261100, 91.7, 0, 1, 92.76, -999
20140806, 93.39, 93.95, 93.36, 93.47, 3728000, 91.86, 0, 1, 92.625, -999
20140805, 94, 94.3, 93.35, 93.43, 5494800, 91.82, 0, 1, 92.91, -999
20140804, 94.3, 94.35, 93.52, 94.31, 7652700, 92.68, 0, 1, 93.49, -999
20140801, 94.3, 94.73, 94.2, 94.3, 4576400, 92.67, 0, 1, 93.485, -999
20140731, 95.22, 95.36, 94.56, 94.56, 6826000, 92.93, 0, 1, 94.075, -999
20140730, 96.19, 96.34, 95.57, 95.95, 6049800, 94.3, 0, 1, 95.245, -999
20140729, 95.89, 96.42, 95.71, 95.82, 6712700, 94.17, 0, 1, 95.03, -999
20140728, 95.5, 95.97, 95.39, 95.78, 4863100, 94.13, 0, 1, 94.815, -999
20140725, 95.36, 95.85, 95.32, 95.72, 4992500, 94.07, 0, 1, 94.715, -999
20140724, 95.48, 95.62, 95.27, 95.35, 7781700, 93.71, 0, 1, 94.595, -999
20140723, 95.51, 95.82, 94.82, 95.35, 9483200, 93.71, 0, 1, 94.61, -999
20140722, 95.39, 96.85, 95.1, 96.27, 12398100, 94.61, 0, 1, 95, -999
20140721, 98.52, 98.63, 97.55, 97.55, 6510600, 95.87, 0, 1, 97.195, -999
20140718, 98.64, 99.09, 98.13, 98.99, 4044900, 97.28, 0, 1, 97.96, -999
20140717, 98.96, 99.09, 98.35, 98.37, 4099100, 96.67, 0, 1, 97.815, -999
20140716, 99.65, 99.8, 98.76, 99.27, 7128700, 97.56, 0, 1, 98.605, -999
20140715, 100.32, 100.37, 99.86, 100.3, 3787000, 98.57, 0, 1, 99.445, -999
20140714, 100.69, 100.73, 100.3, 100.47, 4159900, 98.74, 0, 1, 99.715, -999
20140711, 100.66, 100.81, 100.03, 100.37, 2812500, 98.64, 0, 1, 99.65, -999
20140710, 100.22, 101.05, 100.16, 100.58, 3274900, 98.85, 0, 1, 99.535, -999
20140709, 100.3, 101.25, 100.26, 101.07, 5604900, 99.33, 0, 1, 99.815, -999
20140708, 99.79, 100.57, 99.73, 100.09, 3115100, 98.36, 0, 1, 99.075, -999
20140707, 100.75, 100.75, 99.82, 100.17, 3951700, 98.44, 0, 1, 99.595, -999
20140703, 101.32, 101.32, 100.74, 100.98, 2295800, 99.24, 0, 1, 100.28, -999
20140702, 101.02, 101.08, 100.35, 100.53, 3216700, 98.8, 0, 1, 99.91, -999
20140701, 100.43, 101.36, 100.24, 101, 3787700, 99.26, 0, 1, 99.845, -999
20140630, 101.27, 101.48, 100.5, 100.74, 4265700, 99, 0, 1, 100.135, -999
20140627, 101.25, 101.67, 101.15, 101.46, 2785500, 99.71, 0, 1, 100.48, -999
20140626, 101.61, 101.89, 101.07, 101.51, 2783200, 99.76, 0, 1, 100.685, -999
20140625, 101.09, 101.9, 101.03, 101.61, 3662000, 99.86, 0, 1, 100.475, -999
20140624, 101.84, 102.18, 101.41, 101.47, 4586400, 99.72, 0, 1, 100.78, -999
20140623, 101.64, 101.99, 101.51, 101.91, 2919000, 100.15, 0, 1, 100.895, -999
20140620, 102.2, 102.3, 101.66, 101.92, 5418100, 100.16, 0, 1, 101.18, -999
20140619, 101.04, 102.03, 101.04, 101.91, 3372200, 100.15, 0, 1, 100.595, -999
20140618, 101.74, 101.79, 100.91, 101.35, 5441200, 99.6, 0, 1, 100.67, -999
20140617, 100.91, 101.84, 100.82, 101.27, 6479700, 99.52, 0, 1, 100.215, -999
20140616, 100.42, 101.17, 100.24, 101.1, 4038600, 99.36, 0, 1, 99.89, -999
20140613, 99.41, 100.59, 99.41, 100.49, 4014600, 98.76, 0, 1, 99.085, -999
20140612, 100.41, 101.01, 99.54, 99.76, 5609100, 98.04, 0, 1, 99.225, -999
20140611, 100.74, 100.96, 100.33, 100.42, 6606100, 98.69, 0, 1, 99.715, -999
20140610, 101.61, 101.61, 100.68, 100.88, 5961200, 99.14, 0, 1, 100.375, -999
20140609, 101.59, 102, 101.18, 101.38, 3802600, 99.63, 0, 1, 100.61, -999
20140606, 102.41, 102.62, 101.78, 101.96, 2955500, 100.2, 0, 1, 101.305, -999
20140605, 102.34, 102.6, 101.75, 102.45, 2407800, 100.68, 0, 1, 101.51, -999
20140604, 101.36, 102.47, 101.27, 102.44, 3589200, 100.67, 0, 1, 101.015, -999
20140603, 101.64, 102, 101.41, 101.45, 3363500, 99.7, 0, 1, 100.67, -999
20140602, 101.39, 102.5, 101.32, 102.03, 3001400, 100.27, 0, 1, 100.83, -999
20140530, 101.25, 101.46, 100.71, 101.43, 4232800, 99.68, 0, 1, 100.465, -999
20140529, 101.27, 101.49, 100.87, 101.34, 4123700, 99.59, 0.81, 1, 100.43, -999
20140528, 101.84, 102.04, 100.87, 101.3, 8930700, 98.76, 0, 1, 100.3, -999
20140527, 102.2, 102.9, 102.07, 102.36, 5093200, 99.79, 0, 1, 100.995, -999
20140523, 102.52, 102.85, 101.77, 102, 4174300, 99.44, 0, 1, 100.98, -999
20140522, 102.65, 102.98, 102.23, 102.45, 3376000, 99.88, 0, 1, 101.265, -999
20140521, 101.71, 102.58, 101.55, 102.56, 2735600, 99.99, 0, 1, 100.85, -999
20140520, 102.05, 102.44, 101.44, 101.53, 3123700, 98.98, 0, 1, 100.515, -999
20140519, 102.81, 102.83, 101.74, 102.09, 3859800, 99.53, 0, 1, 101.17, -999
20140516, 102.55, 103.39, 102.35, 103.14, 5081000, 100.55, 0, 1, 101.55, -999
20140515, 102.78, 103, 102.15, 102.5, 3810800, 99.93, 0, 1, 101.355, -999
20140514, 103.69, 103.78, 102.54, 103.03, 3826300, 100.44, 0, 1, 102.065, -999
20140513, 103.32, 103.62, 102.5, 103.53, 3955400, 100.93, 0, 1, 102.125, -999
20140512, 102.95, 103.33, 102.79, 102.86, 3817400, 100.28, 0, 1, 101.615, -999
20140509, 101.85, 102.95, 101.82, 102.93, 3649400, 100.35, 0, 1, 101.1, -999
20140508, 102, 102.18, 101.43, 101.95, 3384500, 99.39, 0, 1, 100.695, -999
20140507, 101.26, 102.11, 100.95, 101.96, 4322600, 99.4, 0, 1, 100.33, -999
20140506, 101.06, 101.3, 100.8, 100.95, 3075100, 98.42, 0, 1, 99.74, -999
20140505, 101.38, 101.38, 100.59, 101.14, 3483500, 98.6, 0, 1, 99.99, -999
20140502, 101.11, 102.28, 100.99, 101.43, 4934000, 98.88, 0, 1, 99.995, -999
20140501, 100.68, 101.04, 100.33, 100.96, 3531400, 98.43, 0, 1, 99.555, -999
20140430, 101.55, 101.76, 101.04, 101.38, 4519800, 98.83, 0, 1, 100.19, -999
20140429, 100.21, 101.78, 99.81, 101.5, 6626100, 98.95, 0, 1, 99.58, -999
20140428, 100.98, 101.18, 99.65, 100.31, 7444500, 97.79, 0, 1, 99.385, -999
20140425, 99.85, 100.75, 99.39, 100.73, 5047100, 98.2, 0, 1, 99.025, -999
20140424, 99.52, 100.1, 99.13, 99.84, 4764900, 97.33, 0, 1, 98.425, -999
20140423, 99.35, 99.99, 99.01, 99.13, 4179100, 96.64, 0, 1, 97.995, -999
20140422, 100.02, 100.27, 98.89, 99.32, 8934300, 96.83, 0, 1, 98.425, -999
20140421, 99.8, 100.39, 99.25, 99.67, 6357000, 97.17, 0, 1, 98.485, -999
20140417, 100.73, 101, 100.25, 100.25, 4545200, 97.73, 0, 1, 99.23, -999
20140416, 101, 101.12, 100.49, 100.83, 3532700, 98.3, 0, 1, 99.65, -999
20140415, 100.7, 100.94, 100.07, 100.83, 5882400, 98.3, 0, 1, 99.5, -999
20140414, 99.66, 100.16, 99.32, 100.11, 6155900, 97.6, 0, 1, 98.63, -999
20140411, 99.15, 99.73, 99.06, 99.29, 6553600, 96.8, 0, 1, 97.975, -999
20140410, 98.55, 99.85, 98.16, 99.43, 8873000, 96.93, 0, 1, 97.74, -999
20140409, 98.08, 98.54, 97.9, 98.35, 3669500, 95.88, 0, 1, 96.98, -999
20140408, 96.98, 98.22, 96.52, 98.08, 5579500, 95.62, 0, 1, 96.3, -999
20140407, 97.58, 98.24, 96.57, 97.01, 5994600, 94.57, 0, 1, 96.075, -999
20140404, 97.77, 98.42, 97.39, 97.87, 5409000, 95.41, 0, 1, 96.59, -999
20140403, 98.03, 98.11, 97.35, 97.66, 2575700, 95.21, 0, 1, 96.62, -999
20140402, 98.15, 98.23, 97.34, 97.59, 3701200, 95.14, 0, 1, 96.645, -999
20140401, 98.1, 98.52, 97.63, 97.9, 4494000, 95.44, 0, 1, 96.77, -999
20140331, 97.44, 98.45, 97.3, 98.03, 4853300, 95.57, 0, 1, 96.505, -999
20140328, 96.27, 97.44, 96.21, 97.24, 4344100, 94.8, 0, 1, 95.535, -999
20140327, 95.77, 96.36, 95.52, 96.16, 3756000, 93.75, 0, 1, 94.76, -999
20140326, 96.04, 96.57, 95.84, 95.84, 4127000, 93.43, 0, 1, 94.735, -999
20140325, 96.44, 96.49, 95.83, 95.91, 4929800, 93.5, 0, 1, 94.97, -999
20140324, 96.09, 96.74, 95.99, 96.18, 6393000, 93.77, 0, 1, 94.93, -999
20140321, 97.22, 97.4, 95.47, 95.47, 12625800, 93.07, 0, 1, 95.145, -999
20140320, 95.94, 96.95, 95.81, 96.6, 4242600, 94.17, 0, 1, 95.055, -999
20140319, 97.27, 97.29, 95.78, 96.1, 5556900, 93.69, 0, 1, 95.48, -999
20140318, 97.8, 97.99, 97.22, 97.31, 3269500, 94.87, 0, 1, 96.335, -999
20140317, 98.14, 98.2, 97.46, 97.6, 5554300, 95.15, 0, 1, 96.645, -999
20140314, 97.33, 97.89, 97.01, 97.58, 5510700, 95.13, 0, 1, 96.23, -999
20140313, 98.9, 98.9, 97.01, 97.37, 5480200, 94.93, 0, 1, 96.915, -999
20140312, 98.41, 99.07, 98.15, 98.71, 6701700, 96.23, 0, 1, 97.32, -999
20140311, 95.94, 98.92, 95.71, 98.78, 16354400, 96.3, 0, 1, 96.12, -999
20140310, 95.26, 95.68, 94.97, 95.2, 4388900, 92.81, 0, 1, 94.035, -999
20140307, 95.74, 95.79, 94.97, 95.5, 3724000, 93.1, 0, 1, 94.42, -999
20140306, 95.06, 95.67, 94.75, 95.58, 4362900, 93.18, 0, 1, 94.12, -999
20140305, 95.34, 95.61, 94.94, 95.02, 3913300, 92.63, 0, 1, 93.985, -999
20140304, 95.25, 95.27, 94.86, 94.98, 4655200, 92.6, 0, 1, 93.925, -999
20140303, 94.24, 94.8, 94, 94.32, 5149300, 91.95, 0, 1, 93.095, -999
20140228, 95.11, 95.46, 94.86, 95.15, 5104700, 92.76, 0, 1, 93.935, -999
20140227, 95.24, 95.41, 94.65, 95.08, 4179600, 92.69, 0.81, 1, 93.965, -999
20140226, 96.63, 96.74, 95.71, 95.89, 4265900, 92.69, 0, 1, 94.66, -999
20140225, 96.46, 96.72, 95.89, 96.62, 4233600, 93.4, 0, 1, 94.93, -999
20140224, 96.43, 96.94, 96.24, 96.5, 4472200, 93.28, 0, 1, 94.855, -999
20140221, 96.04, 97, 96.04, 96.45, 5284300, 93.23, 0, 1, 94.635, -999
20140220, 95.66, 96.11, 95.49, 95.75, 2975000, 92.56, 0, 1, 94.11, -999
20140219, 95.78, 96.66, 95.46, 95.55, 4505500, 92.36, 0, 1, 94.07, -999
20140218, 96.03, 96.57, 95.54, 96.02, 5454200, 92.82, 0, 1, 94.425, -999
20140214, 95.3, 95.97, 95.11, 95.78, 3532900, 92.59, 0, 1, 93.945, -999
20140213, 94.69, 95.58, 94.5, 95.46, 3617900, 92.28, 0, 1, 93.485, -999
20140212, 95.44, 95.67, 94.79, 94.89, 4268900, 91.73, 0, 1, 93.585, -999
20140211, 95.06, 95.84, 94.83, 95.34, 5343500, 92.16, 0, 1, 93.61, -999
20140210, 95.75, 95.93, 94.52, 94.86, 6968200, 91.7, 0, 1, 93.725, -999
20140207, 95.09, 95.95, 94.62, 95.92, 6591200, 92.72, 0, 1, 93.905, -999
20140206, 93.87, 95.19, 93.69, 94.94, 5356900, 91.77, 0, 1, 92.82, -999
20140205, 92.8, 93.84, 92.22, 93.58, 4958900, 90.46, 0, 1, 91.63, -999
20140204, 92.86, 93.47, 92.59, 93.09, 6300400, 89.99, 0, 1, 91.425, -999
20140203, 94.54, 94.74, 92.91, 93.02, 6904700, 89.92, 0, 1, 92.23, -999
20140131, 93.05, 94.55, 92.95, 94.17, 5972500, 91.03, 0, 1, 92.04, -999
20140130, 93.39, 94, 92.93, 93.8, 4987400, 90.67, 0, 1, 92.03, -999
20140129, 93.96, 94.3, 92.87, 93.15, 8013500, 90.04, 0, 1, 92, -999
20140128, 94.33, 94.64, 94.1, 94.18, 3682800, 91.04, 0, 1, 92.685, -999
20140127, 94.29, 94.68, 93.92, 94.07, 6607600, 90.93, 0, 1, 92.61, -999
20140124, 94.73, 95.96, 94.39, 94.43, 6944800, 91.28, 0, 1, 93.005, -999
20140123, 94.55, 95.95, 94.5, 95.32, 7146000, 92.14, 0, 1, 93.345, -999
20140122, 95.07, 95.32, 94.69, 94.88, 4976400, 91.72, 0, 1, 93.395, -999
20140121, 95.36, 95.96, 95.01, 95.08, 6462700, 91.91, 0, 1, 93.635, -999
20140117, 96.02, 96.13, 94.77, 94.93, 5975300, 91.77, 0, 1, 93.895, -999
20140116, 95.4, 96.3, 95.19, 96.06, 5058000, 92.86, 0, 1, 94.13, -999
20140115, 95.49, 95.67, 95.15, 95.46, 3560600, 92.28, 0, 1, 93.885, -999
20140114, 94.81, 95.4, 94.8, 95.22, 3842200, 92.05, 0, 1, 93.43, -999
20140113, 95.83, 95.83, 94.59, 94.83, 5753200, 91.67, 0, 1, 93.75, -999
20140110, 95.83, 96.22, 95.64, 95.8, 5512200, 92.61, 0, 1, 94.22, -999
20140109, 96.24, 96.35, 95.25, 95.46, 7709000, 92.28, 0, 1, 94.26, -999
20140108, 95.55, 95.71, 95, 95.41, 7669800, 92.23, 0, 1, 93.89, -999
20140107, 96.38, 97.08, 96.13, 96.38, 4881800, 93.17, 0, 1, 94.775, -999
20140106, 96.62, 96.62, 95.52, 95.85, 5022700, 92.65, 0, 1, 94.635, -999
20140103, 96.9, 97.03, 96.5, 96.54, 2965300, 93.32, 0, 1, 95.11, -999
20140102, 96.81, 97.03, 96.26, 96.41, 2925800, 93.2, 0, 1, 95.005, -999
20131231, 96.95, 97.08, 96.63, 97.03, 2560900, 93.8, 0, 1, 95.375, -999
20131230, 96.88, 97.15, 96.79, 97.01, 2293000, 93.78, 0, 1, 95.33, -999
20131227, 96.87, 97.28, 96.8, 96.91, 1987100, 93.68, 0, 1, 95.275, -999
20131226, 96.77, 96.91, 96.63, 96.84, 1978300, 93.61, 0, 1, 95.19, -999
20131224, 96.14, 96.75, 96.14, 96.54, 1155900, 93.32, 0, 1, 94.73, -999
20131223, 96.72, 96.95, 96.05, 96.3, 3296300, 93.09, 0, 1, 94.905, -999
20131220, 95.46, 96.51, 95.34, 96.51, 8039500, 93.29, 0, 1, 94.375, -999
20131219, 95.88, 96.3, 94.93, 95.14, 5476500, 91.97, 0, 1, 93.925, -999
20131218, 94.66, 95.95, 94.57, 95.93, 5526800, 92.73, 0, 1, 93.695, -999
20131217, 95.44, 95.58, 94.27, 94.38, 4460300, 91.23, 0, 1, 93.335, -999
20131216, 94.97, 95.78, 94.9, 95.45, 4868100, 92.27, 0, 1, 93.62, -999
20131213, 94.19, 94.62, 94.05, 94.44, 3277500, 91.29, 0, 1, 92.74, -999
20131212, 95.4, 95.68, 94.04, 94.1, 5719900, 90.96, 0, 1, 93.18, -999
20131211, 95.51, 95.72, 95.17, 95.26, 5194500, 92.08, 0, 1, 93.795, -999
20131210, 95.69, 95.7, 95.07, 95.43, 4190600, 92.25, 0, 1, 93.97, -999
20131209, 96.13, 96.5, 95.45, 95.72, 5056100, 92.53, 0, 1, 94.33, -999
20131206, 95.94, 96.95, 95.9, 96.8, 5811200, 93.57, 0, 1, 94.755, -999
20131205, 95.37, 95.82, 95.2, 95.43, 5076500, 92.25, 0, 1, 93.81, -999
20131204, 95.66, 96.13, 95.36, 95.71, 4951300, 92.52, 0, 1, 94.09, -999
20131203, 96.75, 96.75, 96.07, 96.38, 4851900, 93.17, 0, 1, 94.96, -999
20131202, 97.29, 97.29, 96.33, 96.51, 4810000, 93.29, 0, 1, 95.29, -999
20131129, 97.25, 97.6, 97.08, 97.37, 2920300, 94.12, 0, 1, 95.685, -999
20131127, 97.62, 97.66, 96.95, 97.06, 3501500, 93.82, 0.81, 1, 95.72, -999
20131126, 98.8, 99.09, 98.15, 98.2, 5517400, 94.14, 0, 1, 96.47, -999
20131125, 98.75, 99.27, 98.65, 98.92, 20420800, 94.83, 0, 1, 96.79, -999
20131122, 97.84, 98.51, 97.37, 98.27, 16495500, 94.21, 0, 1, 96.025, -999
20131121, 97.8, 98.09, 97.59, 97.7, 12884800, 93.66, 0, 1, 95.73, -999
20131120, 97.57, 98.05, 97.18, 97.54, 3815100, 93.51, 0, 1, 95.54, -999
20131119, 97.52, 98.29, 97.36, 97.98, 3836600, 93.93, 0, 1, 95.725, -999
20131118, 96.9, 97.79, 96.9, 97.65, 4966700, 93.62, 0, 1, 95.26, -999
20131115, 97.45, 97.71, 96.4, 96.92, 7096800, 92.92, 0, 1, 95.185, -999
20131114, 98.18, 98.7, 97.18, 97.56, 6594200, 93.53, 0, 1, 95.855, -999
