Ticker: MCO  Created on: 12/6/2014 5:25:23 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 98.88, 99.57, 98.44, 98.59, 1067700, 98.59, 0, 1, 98.735, -999
20141204, 99.79, 100.33, 98.77, 98.97, 1329600, 98.97, 0, 1, 99.38, -999
20141203, 100.28, 101.02, 99.95, 100.17, 1093800, 100.17, 0, 1, 100.225, -999
20141202, 99.94, 100.92, 99.2, 100.53, 1588400, 100.53, 0, 1, 100.235, -999
20141201, 100.74, 101.05, 99.14, 99.67, 1659000, 99.67, 0, 1, 100.205, -999
20141128, 100.72, 101.62, 100.72, 101.01, 766700, 101.01, 0, 1, 100.865, -999
20141126, 99.8, 101.03, 99.73, 100.17, 1550400, 100.17, 0, 1, 99.985, -999
20141125, 101.53, 101.75, 99.8, 99.87, 2335600, 99.87, 0, 1, 100.7, -999
20141124, 101.42, 101.86, 101.02, 101.55, 655800, 101.55, 0, 1, 101.485, -999
20141121, 101.55, 101.7, 100.63, 100.94, 960400, 100.94, 0, 1, 101.245, -999
20141120, 100.03, 100.7, 99.86, 100.45, 624500, 100.45, 0, 1, 100.24, -999
20141119, 101.45, 101.53, 100.24, 100.6, 681000, 100.6, 0, 1, 101.025, -999
20141118, 100.62, 102.24, 100.3, 101.84, 1139400, 101.84, 0, 1, 101.23, -999
20141117, 100.38, 100.85, 99.94, 100.55, 820000, 100.27, 0, 1, 100.325, -999
20141114, 100.63, 100.94, 100.11, 100.47, 723500, 100.19, 0, 1, 100.41, -999
20141113, 100.25, 101.11, 100.18, 100.9, 1224200, 100.62, 0, 1, 100.435, -999
20141112, 99.03, 100.42, 98.81, 100.08, 1120700, 99.8, 0, 1, 99.415, -999
20141111, 99.64, 99.85, 98.88, 99.31, 1083800, 99.03, 0, 1, 99.335, -999
20141110, 99.2, 99.99, 98.79, 99.32, 1345200, 99.04, 0, 1, 99.12, -999
20141107, 99, 99.23, 98.56, 98.95, 751000, 98.67, 0, 1, 98.835, -999
