Ticker: MDT  Created on: 12/6/2014 5:25:19 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 73.88, 75.1, 73.71, 75.04, 9583400, 75.04, 0, 1, 74.46, -999
20141204, 74.84, 74.99, 73.47, 73.94, 8246300, 73.94, 0, 1, 74.39, -999
20141203, 74.21, 75.04, 74.14, 74.84, 7224500, 74.84, 0, 1, 74.525, -999
20141202, 73.99, 74.78, 73.98, 74.33, 5500900, 74.33, 0, 1, 74.16, -999
20141201, 73.41, 74.17, 72.94, 73.87, 5350000, 73.87, 0, 1, 73.64, -999
20141128, 73.93, 74.53, 73.63, 73.87, 3074500, 73.87, 0, 1, 73.9, -999
20141126, 72.82, 73.55, 72.76, 73.48, 5062600, 73.48, 0, 1, 73.15, -999
20141125, 72.79, 73.13, 72.65, 72.79, 5621000, 72.79, 0, 1, 72.79, -999
20141124, 72.6, 72.95, 72.31, 72.93, 6667100, 72.93, 0, 1, 72.765, -999
20141121, 72.82, 72.89, 72.13, 72.49, 8974400, 72.49, 0, 1, 72.655, -999
20141120, 71.39, 72.09, 70.9, 72.08, 6878100, 72.08, 0, 1, 71.735, -999
20141119, 72.27, 72.46, 71.64, 71.76, 8109000, 71.76, 0, 1, 72.015, -999
20141118, 69.39, 72.74, 68.83, 72.47, 12928900, 72.47, 0, 1, 70.93, -999
20141117, 68.77, 69.64, 68.73, 69.19, 5325400, 69.19, 0, 1, 68.98, -999
20141114, 69.46, 69.49, 68.8, 68.95, 5833700, 68.95, 0, 1, 69.205, -999
20141113, 68.82, 69.62, 68.66, 69.38, 6920100, 69.38, 0, 1, 69.1, -999
20141112, 68.55, 68.9, 68.25, 68.5, 4630500, 68.5, 0, 1, 68.525, -999
20141111, 68.71, 69.33, 68.46, 68.99, 4542400, 68.99, 0, 1, 68.85, -999
20141110, 68.12, 68.75, 67.69, 68.71, 5883000, 68.71, 0, 1, 68.415, -999
20141107, 68.7, 68.86, 67.79, 68.1, 6054000, 68.1, 0, 1, 68.4, -999
20141106, 68.86, 69.1, 68.48, 68.74, 7329500, 68.74, 0, 1, 68.8, -999
20141105, 68.7, 69.01, 68.28, 68.7, 11671500, 68.7, 0, 1, 68.7, -999
20141104, 68.11, 68.29, 67.39, 67.93, 5679800, 67.93, 0, 1, 68.02, -999
20141103, 68.12, 68.39, 67.58, 68.15, 4436000, 68.15, 0, 1, 68.135, -999
20141031, 68.21, 68.41, 67.89, 68.16, 8663400, 68.16, 0, 1, 68.185, -999
20141030, 66.83, 67.75, 66.59, 67.43, 5561100, 67.43, 0, 1, 67.13, -999
20141029, 66.5, 67.36, 66.23, 67.04, 8229200, 67.04, 0, 1, 66.77, -999
20141028, 66.32, 66.53, 66.16, 66.51, 5708600, 66.51, 0, 1, 66.415, -999
20141027, 66.42, 66.7, 65.51, 66.26, 6673100, 66.26, 0, 1, 66.34, -999
20141024, 65.75, 66.6, 65.65, 66.56, 7883000, 66.56, 0, 1, 66.155, -999
20141023, 65.09, 65.88, 65.06, 65.61, 6642600, 65.61, 0, 1, 65.35, -999
20141022, 65.35, 65.58, 64.63, 64.66, 8396900, 64.66, 0, 1, 65.005, -999
