Ticker: MHFI  Created on: 12/6/2014 5:25:17 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 93.51, 93.94, 93.24, 93.71, 711100, 93.71, 0, 1, 93.61, -999
20141204, 93.05, 93.94, 92.61, 93.36, 1536500, 93.36, 0, 1, 93.205, -999
20141203, 93.2, 93.57, 92.71, 93.03, 638800, 93.03, 0, 1, 93.115, -999
20141202, 92.06, 93.13, 92.06, 93.12, 910900, 93.12, 0, 1, 92.59, -999
20141201, 93.37, 93.59, 92.88, 92.92, 910400, 92.92, 0, 1, 93.145, -999
20141128, 93.32, 93.94, 92.94, 93.46, 808800, 93.46, 0, 1, 93.39, -999
20141126, 93.2, 93.25, 92.41, 93.15, 787800, 93.15, 0, 1, 93.175, -999
20141125, 92.44, 92.91, 92.41, 92.8, 987600, 92.8, 0, 1, 92.62, -999
20141124, 92.09, 92.49, 91.99, 92.44, 1002300, 92.44, 0, 1, 92.265, -999
20141121, 91.6, 92.27, 91.42, 91.99, 1135200, 91.99, 0, 1, 91.795, -999
20141120, 90.46, 91.11, 90.23, 90.87, 1320400, 90.57, 0, 1, 90.515, -999
20141119, 92.95, 92.95, 90.6, 91.08, 1344600, 90.78, 0, 1, 91.865, -999
20141118, 91.19, 92.98, 90.68, 92.36, 1112900, 92.06, 0, 1, 91.625, -999
20141117, 91.5, 91.98, 90.5, 91.27, 900400, 90.97, 0, 1, 91.235, -999
20141114, 90.58, 91.53, 90.33, 91.13, 818100, 90.83, 0, 1, 90.705, -999
20141113, 90.86, 90.92, 89.98, 90.7, 1222000, 90.4, 0, 1, 90.63, -999
20141112, 89.18, 90.79, 89.16, 90.51, 1257200, 90.21, 0, 1, 89.695, -999
20141111, 90.52, 90.6, 89.15, 89.41, 1356900, 89.11, 0, 1, 89.815, -999
20141110, 89.79, 90.76, 89.54, 90.6, 843300, 90.3, 0, 1, 90.045, -999
20141107, 90, 90.63, 89.5, 89.94, 1073200, 89.64, 0, 1, 89.82, -999
20141106, 90.59, 90.75, 89.73, 89.99, 1267700, 89.69, 0, 1, 90.14, -999
20141105, 90.31, 90.96, 89.95, 90.54, 1882900, 90.24, 0, 1, 90.275, -999
20141104, 90.01, 90.42, 89.58, 89.62, 927700, 89.32, 0, 1, 89.665, -999
20141103, 90.83, 91.14, 89.88, 90.24, 1472800, 89.94, 0, 1, 90.385, -999
20141031, 90.1, 90.75, 89.7, 90.48, 1490600, 90.18, 0, 1, 90.14, -999
20141030, 86.94, 89.45, 86.63, 89.36, 1871200, 89.06, 0, 1, 88, -999
20141029, 85.21, 87.67, 84.69, 87.52, 2040800, 87.23, 0, 1, 86.22, -999
20141028, 84.57, 85.98, 84.33, 85.7, 1460000, 85.42, 0, 1, 84.995, -999
20141027, 84.24, 84.69, 83.66, 84.62, 750300, 84.34, 0, 1, 84.29, -999
20141024, 82.79, 84.11, 82.69, 84.05, 581000, 83.77, 0, 1, 83.28, -999
20141023, 82.58, 83.62, 82.42, 82.9, 1001200, 82.63, 0, 1, 82.605, -999
20141022, 81.78, 82.48, 81.53, 82.1, 2625200, 81.83, 0, 1, 81.805, -999
20141021, 80.65, 82, 80.6, 81.78, 883600, 81.51, 0, 1, 81.08, -999
20141020, 79.23, 80.29, 78.94, 80.28, 1264200, 80.01, 0, 1, 79.62, -999
20141017, 76.92, 79.63, 76.85, 79.55, 2161600, 79.29, 0, 1, 78.105, -999
20141016, 75.31, 77.25, 75.31, 76.42, 1445600, 76.17, 0, 1, 75.74, -999
20141015, 76.67, 76.99, 73.96, 76.6, 2569600, 76.35, 0, 1, 76.51, -999
20141014, 78.05, 78.65, 77.2, 77.52, 1467300, 77.26, 0, 1, 77.655, -999
20141013, 79.39, 79.67, 77.75, 77.78, 1377300, 77.52, 0, 1, 78.455, -999
20141010, 80.87, 81.38, 79.14, 79.18, 945800, 78.92, 0, 1, 79.895, -999
20141009, 83.47, 83.55, 80.88, 80.88, 1063900, 80.61, 0, 1, 82.04, -999
20141008, 81.7, 83.7, 81.24, 83.67, 1086800, 83.39, 0, 1, 82.545, -999
20141007, 82.18, 82.67, 81.39, 81.45, 1120800, 81.18, 0, 1, 81.68, -999
20141006, 83.42, 84, 82.22, 82.56, 1359800, 82.29, 0, 1, 82.855, -999
20141003, 83.73, 84.49, 82.44, 82.9, 2915000, 82.63, 0, 1, 83.18, -999
20141002, 82.55, 83.53, 81.99, 83.25, 1575000, 82.98, 0, 1, 82.765, -999
20141001, 84.33, 84.44, 82.47, 82.71, 1517100, 82.44, 0, 1, 83.385, -999
20140930, 85.06, 85.1, 84.31, 84.45, 1001200, 84.17, 0, 1, 84.615, -999
20140929, 84.15, 84.93, 83.74, 84.81, 590700, 84.53, 0, 1, 84.34, -999
20140926, 84.32, 85.07, 83.99, 84.93, 575100, 84.65, 0, 1, 84.485, -999
20140925, 84.84, 85.18, 83.98, 84.1, 937600, 83.82, 0, 1, 84.33, -999
20140924, 84.64, 85.38, 84.4, 85.27, 721000, 84.99, 0, 1, 84.815, -999
20140923, 85.26, 85.75, 84.65, 84.65, 746400, 84.37, 0, 1, 84.815, -999
20140922, 86, 86, 85.13, 85.32, 714000, 85.04, 0, 1, 85.52, -999
20140919, 87.15, 87.28, 85.89, 86.13, 1121700, 85.85, 0, 1, 86.5, -999
20140918, 86.49, 86.94, 85.97, 86.56, 1525900, 86.27, 0, 1, 86.38, -999
20140917, 86.06, 86.69, 85.81, 86.18, 844900, 85.9, 0, 1, 85.98, -999
20140916, 85.4, 86.31, 84.91, 86.06, 632500, 85.78, 0, 1, 85.59, -999
20140915, 85.78, 85.85, 85.11, 85.51, 706600, 85.23, 0, 1, 85.505, -999
20140912, 85.41, 86.1, 85.33, 85.92, 3043300, 85.64, 0, 1, 85.525, -999
20140911, 85.1, 85.86, 84.7, 85.56, 1365100, 85.28, 0, 1, 85.19, -999
20140910, 84.26, 85.59, 83.9, 85.25, 2087500, 84.97, 0, 1, 84.615, -999
20140909, 84.78, 85.18, 83.96, 84.19, 1554500, 83.91, 0, 1, 84.345, -999
20140908, 84.55, 85.23, 84.31, 85.2, 1772400, 84.92, 0, 1, 84.735, -999
20140905, 83.86, 84.63, 83.71, 84.55, 1179200, 84.27, 0, 1, 84.065, -999
20140904, 82.83, 84, 82.62, 83.86, 1500900, 83.58, 0, 1, 83.205, -999
20140903, 82.43, 83.11, 82.15, 82.5, 1411700, 82.23, 0, 1, 82.33, -999
20140902, 81.18, 82.07, 81.17, 81.95, 1097400, 81.68, 0, 1, 81.43, -999
20140829, 81.22, 81.27, 80.6, 81.13, 623200, 80.86, 0, 1, 81.04, -999
20140828, 80.24, 81.21, 79.91, 80.87, 781300, 80.6, 0, 1, 80.42, -999
20140827, 80.59, 80.95, 80.26, 80.59, 1224300, 80.32, 0, 1, 80.455, -999
20140826, 79.93, 80.52, 79.93, 80.3, 1043200, 80.03, 0, 1, 79.98, -999
20140825, 79.34, 80.25, 79.07, 79.78, 1794500, 79.52, 0, 1, 79.43, -999
20140822, 79.29, 79.35, 78.68, 78.71, 766800, 78.45, 0.3, 1, 78.87, -999
20140821, 79.48, 79.63, 79.12, 79.47, 1085800, 78.91, 0, 1, 79.195, -999
20140820, 79.28, 79.35, 78.83, 79.1, 1698000, 78.54, 0, 1, 78.91, -999
20140819, 79.95, 80.05, 79.35, 79.37, 657900, 78.81, 0, 1, 79.38, -999
20140818, 79.9, 80.2, 79.72, 79.95, 1095500, 79.39, 0, 1, 79.645, -999
20140815, 79.78, 80.39, 79.26, 79.45, 1226700, 78.89, 0, 1, 79.335, -999
20140814, 79.12, 79.47, 79.12, 79.3, 1218500, 78.74, 0, 1, 78.93, -999
20140813, 78.52, 79.21, 78.44, 78.96, 1220400, 78.4, 0, 1, 78.46, -999
20140812, 78.68, 79.06, 78.08, 78.2, 632700, 77.65, 0, 1, 78.165, -999
20140811, 78.8, 79.25, 78.46, 78.7, 644900, 78.14, 0, 1, 78.47, -999
20140808, 78.02, 78.6, 77.7, 78.55, 733600, 78, 0, 1, 78.01, -999
