Ticker: MHK  Created on: 12/6/2014 5:25:21 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 154.71, 156.97, 154.44, 155.49, 538900, 155.49, 0, 1, 155.1, -999
20141204, 152.87, 155.4, 152.03, 154.78, 659100, 154.78, 0, 1, 153.825, -999
20141203, 152.87, 153.67, 152.09, 152.88, 600500, 152.88, 0, 1, 152.875, -999
20141202, 152.06, 153.34, 152.01, 152.89, 591600, 152.89, 0, 1, 152.475, -999
20141201, 152.39, 153.5, 151.71, 151.99, 888800, 151.99, 0, 1, 152.19, -999
20141128, 151.99, 154.73, 151.72, 153.59, 364500, 153.59, 0, 1, 152.79, -999
20141126, 153.27, 153.27, 151.66, 151.8, 384500, 151.8, 0, 1, 152.535, -999
20141125, 153.93, 155.07, 152.48, 152.83, 626300, 152.83, 0, 1, 153.38, -999
20141124, 152.41, 154.69, 152.17, 153.89, 1164800, 153.89, 0, 1, 153.15, -999
20141121, 149.99, 152.48, 149.99, 151.61, 1578600, 151.61, 0, 1, 150.8, -999
20141120, 144.5, 149.84, 144.26, 148.36, 929800, 148.36, 0, 1, 146.43, -999
20141119, 142.37, 146.24, 142.37, 145.96, 824000, 145.96, 0, 1, 144.165, -999
20141118, 141.8, 143.35, 141.8, 142.72, 443800, 142.72, 0, 1, 142.26, -999
20141117, 143.02, 143.55, 141.47, 141.67, 360500, 141.67, 0, 1, 142.345, -999
20141114, 142.25, 143.81, 142.25, 143.47, 504300, 143.47, 0, 1, 142.86, -999
20141113, 143.19, 143.67, 141.68, 142.53, 326800, 142.53, 0, 1, 142.86, -999
20141112, 142.63, 143.64, 141.91, 143.22, 381400, 143.22, 0, 1, 142.925, -999
20141111, 143.08, 143.35, 142.57, 143.06, 372500, 143.06, 0, 1, 143.07, -999
20141110, 142.8, 143.65, 142.38, 142.71, 482500, 142.71, 0, 1, 142.755, -999
20141107, 142.39, 143.69, 141.41, 142.66, 664500, 142.66, 0, 1, 142.525, -999
20141106, 140.18, 142.31, 139.13, 142.15, 596900, 142.15, 0, 1, 141.165, -999
20141105, 140.73, 141.11, 139.08, 139.65, 539100, 139.65, 0, 1, 140.19, -999
20141104, 140.09, 140.32, 138.22, 140.13, 513100, 140.13, 0, 1, 140.11, -999
20141103, 142.44, 142.44, 139.45, 140.54, 956300, 140.54, 0, 1, 141.49, -999
20141031, 143.5, 147.03, 139.04, 142.04, 2027800, 142.04, 0, 1, 142.77, -999
20141030, 134.42, 135.75, 133.44, 135.74, 904900, 135.74, 0, 1, 135.08, -999
20141029, 137, 137.57, 133.62, 134.66, 735200, 134.66, 0, 1, 135.83, -999
20141028, 134.24, 137, 134.09, 137, 396100, 137, 0, 1, 135.62, -999
20141027, 133.8, 134.95, 133.26, 134.29, 371500, 134.29, 0, 1, 134.045, -999
20141024, 135.27, 135.9, 133.75, 134.92, 542400, 134.92, 0, 1, 135.095, -999
20141023, 134.15, 136.57, 134.15, 135.32, 747400, 135.32, 0, 1, 134.735, -999
20141022, 133.86, 135.54, 133.14, 133.48, 710400, 133.48, 0, 1, 133.67, -999
20141021, 130.47, 135.2, 130.47, 134.84, 1073200, 134.84, 0, 1, 132.655, -999
20141020, 128.53, 130.15, 128.52, 130.03, 494900, 130.03, 0, 1, 129.28, -999
20141017, 127.21, 129.73, 126.31, 128.83, 850000, 128.83, 0, 1, 128.02, -999
20141016, 123.18, 127.5, 123.14, 126, 754600, 126, 0, 1, 124.59, -999
20141015, 122.95, 126.25, 120.37, 125.62, 1302200, 125.62, 0, 1, 124.285, -999
20141014, 124.58, 126.75, 124.23, 125.12, 1046500, 125.12, 0, 1, 124.85, -999
20141013, 128.11, 129.22, 124.73, 124.82, 1059800, 124.82, 0, 1, 126.465, -999
20141010, 129.75, 130.93, 128, 128.12, 908000, 128.12, 0, 1, 128.935, -999
