Ticker: MJN  Created on: 12/6/2014 5:25:18 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 102.41, 103.65, 101.97, 103.38, 890800, 103.38, 0, 1, 102.895, -999
20141204, 102.38, 102.73, 101.73, 101.96, 638100, 101.96, 0, 1, 102.17, -999
20141203, 103.07, 103.33, 102.37, 102.65, 742800, 102.65, 0, 1, 102.86, -999
20141202, 103.98, 104.2, 102.59, 102.87, 1315900, 102.87, 0, 1, 103.425, -999
20141201, 103.51, 104.43, 102.82, 103.92, 1334600, 103.92, 0, 1, 103.715, -999
20141128, 103.67, 104.67, 103.41, 103.84, 733100, 103.84, 0, 1, 103.755, -999
20141126, 101.94, 103.44, 101.56, 103.41, 940500, 103.41, 0, 1, 102.675, -999
20141125, 101.29, 101.81, 100.72, 101.39, 900600, 101.39, 0, 1, 101.34, -999
20141124, 102.75, 102.75, 100.62, 101.07, 1164700, 101.07, 0, 1, 101.91, -999
20141121, 102.69, 102.87, 102, 102.33, 765600, 102.33, 0, 1, 102.51, -999
20141120, 102.31, 102.41, 101.3, 101.61, 899600, 101.61, 0, 1, 101.96, -999
20141119, 101.68, 102.68, 101.02, 102.64, 1231800, 102.64, 0, 1, 102.16, -999
20141118, 100.88, 102.62, 100.79, 102.06, 1010100, 102.06, 0, 1, 101.47, -999
20141117, 100.22, 100.84, 99.3, 100.7, 1328500, 100.7, 0, 1, 100.46, -999
20141114, 99.35, 101.16, 98.96, 100.68, 1072200, 100.68, 0, 1, 100.015, -999
20141113, 99.85, 100.53, 98.25, 99.65, 1084200, 99.65, 0, 1, 99.75, -999
20141112, 99.32, 99.91, 98.94, 99.61, 1074400, 99.61, 0, 1, 99.465, -999
20141111, 99.7, 100.27, 98.63, 99.26, 650000, 99.26, 0, 1, 99.48, -999
20141110, 98.47, 99.42, 98.37, 99.32, 1051300, 99.32, 0, 1, 98.895, -999
20141107, 98.51, 99.04, 98, 98.39, 1199800, 98.39, 0, 1, 98.45, -999
20141106, 98.86, 99.16, 98.07, 98.84, 1075200, 98.84, 0, 1, 98.85, -999
20141105, 98.86, 99.8, 98.47, 98.79, 900800, 98.79, 0, 1, 98.825, -999
20141104, 100.22, 100.96, 98.13, 98.41, 1266700, 98.41, 0, 1, 99.315, -999
20141103, 99.54, 101.02, 99.38, 100.26, 1342200, 100.26, 0, 1, 99.9, -999
20141031, 101, 101.26, 96.72, 99.31, 3691500, 99.31, 0, 1, 100.155, -999
20141030, 102.54, 104.13, 102.39, 103.57, 680200, 103.57, 0, 1, 103.055, -999
20141029, 102.96, 103.43, 101.54, 102.94, 763000, 102.94, 0, 1, 102.95, -999
20141028, 101.61, 102.91, 101.02, 102.9, 1184200, 102.9, 0, 1, 102.255, -999
20141027, 103.45, 103.58, 101.18, 101.52, 1060400, 101.52, 0, 1, 102.485, -999
20141024, 101.89, 104.05, 101.47, 103.39, 1704100, 103.39, 0, 1, 102.64, -999
20141023, 97, 101.69, 96.9, 100.66, 1693500, 100.66, 0, 1, 98.83, -999
20141022, 100.83, 102.33, 98.61, 99.93, 3032300, 99.93, 0, 1, 100.38, -999
20141021, 97.51, 100.45, 96.78, 100.36, 2115100, 100.36, 0, 1, 98.935, -999
20141020, 94.99, 97.4, 94.47, 97.02, 2803400, 97.02, 0, 1, 96.005, -999
20141017, 91.97, 104.89, 91.71, 100.23, 7659700, 100.23, 0, 1, 96.1, -999
20141016, 89.59, 91.96, 89.38, 91.21, 1290700, 91.21, 0, 1, 90.4, -999
20141015, 92.31, 92.36, 89.34, 90.99, 1715300, 90.99, 0, 1, 91.65, -999
20141014, 92.7, 93.84, 92.45, 92.8, 787000, 92.8, 0, 1, 92.75, -999
20141013, 94.21, 94.41, 92.37, 92.43, 977300, 92.43, 0, 1, 93.32, -999
20141010, 96.05, 96.26, 94.13, 94.14, 1380800, 94.14, 0, 1, 95.095, -999
20141009, 97.2, 97.9, 95.47, 95.83, 1137900, 95.83, 0, 1, 96.515, -999
20141008, 96.17, 97.7, 95.86, 97.69, 1042000, 97.69, 0, 1, 96.93, -999
20141007, 96.58, 97.22, 96.19, 96.34, 1054000, 96.34, 0, 1, 96.46, -999
20141006, 96.97, 97.03, 96.32, 96.94, 947500, 96.94, 0, 1, 96.955, -999
20141003, 94.49, 96.6, 94.29, 96.54, 1739900, 96.54, 0, 1, 95.515, -999
20141002, 95.29, 95.77, 94.06, 94.18, 2128900, 94.18, 0, 1, 94.735, -999
20141001, 96, 96.12, 95.07, 95.5, 1121800, 95.5, 0, 1, 95.75, -999
20140930, 96.57, 96.76, 96.03, 96.22, 1402600, 96.22, 0, 1, 96.395, -999
20140929, 95.66, 97.05, 95.48, 96.81, 1036900, 96.81, 0, 1, 96.235, -999
20140926, 95.65, 96.37, 95.45, 96.17, 1004200, 96.17, 0, 1, 95.91, -999
20140925, 96.73, 96.9, 95.5, 95.72, 1151300, 95.72, 0, 1, 96.225, -999
20140924, 96.31, 97.32, 96.31, 97.21, 1520600, 97.21, 0, 1, 96.76, -999
20140923, 96.01, 96.9, 95.75, 96.64, 1197500, 96.64, 0, 1, 96.325, -999
20140922, 97.43, 97.43, 96.48, 96.5, 867900, 96.5, 0, 1, 96.965, -999
20140919, 98.43, 98.49, 97.33, 97.46, 1072900, 97.46, 0, 1, 97.945, -999
20140918, 97.66, 97.98, 97.11, 97.94, 607700, 97.94, 0, 1, 97.8, -999
20140917, 98.17, 98.22, 97.12, 97.63, 1111700, 97.63, 0, 1, 97.9, -999
20140916, 96.17, 98.5, 95.81, 98.3, 1464600, 98.3, 0, 1, 97.235, -999
20140915, 96.9, 96.9, 96.06, 96.62, 896700, 96.62, 0, 1, 96.76, -999
20140912, 97.2, 97.43, 96.42, 96.69, 1283900, 96.69, 0, 1, 96.945, -999
20140911, 96.36, 97.36, 95.92, 97.01, 991800, 97.01, 0.375, 1, 96.685, -999
20140910, 96.59, 96.86, 95.87, 96.44, 891600, 96.07, 0, 1, 96.33, -999
20140909, 97.1, 97.48, 96.69, 96.87, 1333800, 96.49, 0, 1, 96.795, -999
20140908, 97.5, 97.55, 96.56, 97, 1846200, 96.62, 0, 1, 97.06, -999
20140905, 96.79, 97.79, 96.26, 97.71, 1180900, 97.33, 0, 1, 97.06, -999
20140904, 94.61, 97.39, 94.31, 97.05, 2629700, 96.67, 0, 1, 95.64, -999
20140903, 95.46, 95.51, 93.87, 93.93, 2535800, 93.56, 0, 1, 94.51, -999
20140902, 95.48, 95.96, 94.92, 95.38, 1094600, 95.01, 0, 1, 95.245, -999
20140829, 95.4, 95.92, 95.09, 95.6, 754800, 95.23, 0, 1, 95.315, -999
20140828, 94.44, 95.11, 94.28, 95.05, 921700, 94.68, 0, 1, 94.56, -999
20140827, 95.25, 95.39, 94.7, 94.81, 865800, 94.44, 0, 1, 94.845, -999
20140826, 95.93, 96.09, 94.86, 95.15, 738000, 94.78, 0, 1, 95.355, -999
20140825, 95, 95.77, 94.83, 95.61, 696700, 95.24, 0, 1, 95.12, -999
20140822, 94.59, 95, 94.14, 94.34, 617000, 93.97, 0, 1, 94.28, -999
20140821, 94.75, 95.22, 94.35, 94.42, 900000, 94.05, 0, 1, 94.4, -999
20140820, 94.59, 95, 94.12, 94.48, 656200, 94.11, 0, 1, 94.35, -999
20140819, 94.76, 94.97, 94.07, 94.37, 724800, 94, 0, 1, 94.38, -999
20140818, 94.69, 94.99, 94.2, 94.75, 602600, 94.38, 0, 1, 94.535, -999
20140815, 94.99, 95.79, 93.57, 94.22, 838700, 93.85, 0, 1, 94.42, -999
20140814, 94.2, 95.22, 93.97, 94.5, 903700, 94.13, 0, 1, 94.165, -999
20140813, 93.96, 94.28, 93.52, 94.26, 640800, 93.89, 0, 1, 93.925, -999
20140812, 93.5, 94, 93.37, 93.63, 617200, 93.27, 0, 1, 93.385, -999
