Ticker: MMC  Created on: 12/6/2014 5:25:15 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 58.08, 58.56, 58, 58.23, 2195600, 58.23, 0, 1, 58.155, -999
20141204, 57.35, 58, 57.35, 58, 1979000, 58, 0, 1, 57.675, -999
20141203, 56.96, 57.55, 56.88, 57.5, 1683600, 57.5, 0, 1, 57.23, -999
20141202, 56.54, 57.08, 56.54, 57.05, 1321400, 57.05, 0, 1, 56.795, -999
20141201, 56.5, 56.93, 56.31, 56.48, 1278900, 56.48, 0, 1, 56.49, -999
20141128, 56.12, 56.96, 56.12, 56.59, 753300, 56.59, 0, 1, 56.355, -999
20141126, 56.51, 56.56, 56.19, 56.48, 900300, 56.48, 0, 1, 56.495, -999
20141125, 56.65, 56.74, 56.32, 56.37, 1858400, 56.37, 0, 1, 56.51, -999
20141124, 56.25, 56.61, 56.14, 56.57, 994500, 56.57, 0, 1, 56.41, -999
20141121, 56.39, 56.44, 55.9, 56.12, 2028100, 56.12, 0, 1, 56.255, -999
20141120, 55.47, 55.96, 55.47, 55.84, 972200, 55.84, 0, 1, 55.655, -999
20141119, 55.74, 55.95, 55.61, 55.75, 1455300, 55.75, 0, 1, 55.745, -999
20141118, 55.85, 56.22, 55.62, 55.91, 1238400, 55.91, 0, 1, 55.88, -999
20141117, 55.58, 56.03, 55.58, 55.85, 1714200, 55.85, 0, 1, 55.715, -999
20141114, 55.83, 56.18, 55.63, 55.77, 1851800, 55.77, 0, 1, 55.8, -999
20141113, 55.98, 56.29, 55.78, 55.96, 1367400, 55.96, 0, 1, 55.97, -999
20141112, 56.02, 56.09, 55.72, 56.02, 1676300, 56.02, 0, 1, 56.02, -999
20141111, 56.22, 56.39, 56.08, 56.15, 1105600, 56.15, 0, 1, 56.185, -999
20141110, 55.66, 56.24, 55.66, 56.13, 1226900, 56.13, 0, 1, 55.895, -999
20141107, 55.87, 55.99, 55.67, 55.8, 1557000, 55.8, 0, 1, 55.835, -999
20141106, 55.61, 55.91, 55.24, 55.87, 1411000, 55.87, 0, 1, 55.74, -999
20141105, 55.49, 55.73, 55.33, 55.47, 2001000, 55.47, 0, 1, 55.48, -999
20141104, 54.67, 55.6, 54.57, 55.15, 4239300, 55.15, 0, 1, 54.91, -999
20141103, 54.3, 54.77, 54.3, 54.74, 2082800, 54.74, 0, 1, 54.52, -999
20141031, 54.07, 54.39, 53.89, 54.37, 2386700, 54.37, 0, 1, 54.22, -999
20141030, 52.84, 53.6, 50.79, 53.35, 1441800, 53.35, 0, 1, 53.095, -999
20141029, 53.07, 53.16, 52.51, 52.88, 2072900, 52.88, 0, 1, 52.975, -999
20141028, 52.23, 53.06, 52.03, 52.95, 2278200, 52.95, 0, 1, 52.59, -999
20141027, 51.66, 51.96, 51.48, 51.76, 1254000, 51.76, 0, 1, 51.71, -999
20141024, 51.13, 51.65, 50.93, 51.63, 1176400, 51.63, 0, 1, 51.38, -999
20141023, 51.66, 51.66, 51.06, 51.17, 1591900, 51.17, 0, 1, 51.415, -999
20141022, 51.41, 51.58, 51.06, 51.06, 1820400, 51.06, 0, 1, 51.235, -999
20141021, 50.83, 51.39, 50.68, 51.37, 3587800, 51.37, 0, 1, 51.1, -999
20141020, 50.62, 50.72, 50.31, 50.56, 1771500, 50.56, 0, 1, 50.59, -999
20141017, 50.34, 50.79, 49.95, 50.63, 2365000, 50.63, 0, 1, 50.485, -999
20141016, 48.71, 49.84, 48.71, 49.71, 3425500, 49.71, 0, 1, 49.21, -999
20141015, 49.19, 49.7, 48.66, 49.49, 3690900, 49.49, 0, 1, 49.34, -999
20141014, 49.81, 50.5, 49.7, 49.91, 3235100, 49.91, 0, 1, 49.86, -999
20141013, 49.69, 50.45, 49.48, 49.54, 3282800, 49.54, 0, 1, 49.615, -999
20141010, 50.23, 50.83, 49.78, 49.79, 3133300, 49.79, 0, 1, 50.01, -999
20141009, 51.18, 51.48, 50.07, 50.07, 4944500, 50.07, 0, 1, 50.625, -999
20141008, 50.91, 51.26, 50.52, 51.19, 6358300, 51.19, 0.28, 1, 51.05, -999
20141007, 52.08, 52.08, 51.09, 51.12, 2577800, 50.84, 0, 1, 51.46, -999
20141006, 52.58, 52.6, 52.11, 52.4, 1813600, 52.11, 0, 1, 52.345, -999
20141003, 52, 52.49, 51.99, 52.31, 1909500, 52.02, 0, 1, 52.01, -999
20141002, 51.69, 51.97, 51.47, 51.71, 1464200, 51.43, 0, 1, 51.56, -999
20141001, 52.41, 52.41, 51.55, 51.73, 2343200, 51.45, 0, 1, 51.93, -999
20140930, 52.47, 52.76, 52.21, 52.34, 1489800, 52.05, 0, 1, 52.26, -999
20140929, 52.09, 52.7, 52, 52.48, 1335100, 52.19, 0, 1, 52.14, -999
20140926, 51.83, 52.63, 51.78, 52.54, 1503100, 52.25, 0, 1, 52.04, -999
20140925, 52.04, 52.37, 51.65, 51.9, 2226600, 51.62, 0, 1, 51.83, -999
20140924, 52.37, 52.99, 52.34, 52.93, 1502600, 52.64, 0, 1, 52.505, -999
20140923, 52.6, 52.88, 52.39, 52.39, 1148000, 52.1, 0, 1, 52.35, -999
20140922, 52.92, 53.08, 52.64, 52.75, 1888100, 52.46, 0, 1, 52.69, -999
20140919, 53.52, 53.64, 52.95, 53.08, 2839500, 52.79, 0, 1, 53.155, -999
20140918, 53.26, 53.57, 53.22, 53.5, 1464400, 53.21, 0, 1, 53.235, -999
20140917, 53.31, 53.38, 52.91, 53.07, 1912400, 52.78, 0, 1, 53.045, -999
20140916, 52.87, 53.35, 52.82, 53.19, 1068900, 52.9, 0, 1, 52.885, -999
20140915, 52.77, 53.07, 52.63, 52.95, 1269200, 52.66, 0, 1, 52.715, -999
20140912, 52.65, 52.91, 52.56, 52.69, 1980400, 52.4, 0, 1, 52.525, -999
20140911, 52.55, 52.98, 52.5, 52.77, 1653200, 52.48, 0, 1, 52.515, -999
20140910, 52.52, 52.82, 52.52, 52.71, 926100, 52.42, 0, 1, 52.47, -999
20140909, 52.9, 52.9, 52.32, 52.39, 1515200, 52.1, 0, 1, 52.5, -999
20140908, 53.05, 53.34, 52.83, 53, 1134200, 52.71, 0, 1, 52.88, -999
20140905, 53.1, 53.12, 52.81, 53.05, 1726000, 52.76, 0, 1, 52.93, -999
20140904, 52.97, 53.37, 52.94, 53.04, 1083000, 52.75, 0, 1, 52.86, -999
20140903, 53.35, 53.37, 52.95, 53.01, 1353600, 52.72, 0, 1, 53.035, -999
20140902, 53.22, 53.35, 52.91, 53.15, 1458800, 52.86, 0, 1, 53.04, -999
20140829, 53.07, 53.16, 52.72, 53.1, 1523400, 52.81, 0, 1, 52.94, -999
20140828, 52.42, 53.05, 52.34, 52.91, 1660400, 52.62, 0, 1, 52.52, -999
20140827, 52.51, 52.63, 52.41, 52.6, 1345400, 52.31, 0, 1, 52.41, -999
20140826, 52.4, 52.74, 52.37, 52.47, 994600, 52.18, 0, 1, 52.29, -999
20140825, 52.48, 52.7, 52.34, 52.52, 1235700, 52.23, 0, 1, 52.355, -999
20140822, 52.25, 52.34, 52.05, 52.16, 1178800, 51.87, 0, 1, 52.06, -999
20140821, 52.31, 52.39, 52.11, 52.27, 1419600, 51.98, 0, 1, 52.145, -999
20140820, 52.07, 52.26, 51.99, 52.16, 1300900, 51.87, 0, 1, 51.97, -999
20140819, 52.07, 52.31, 51.89, 52.15, 1195900, 51.86, 0, 1, 51.965, -999
20140818, 51.89, 52.03, 51.7, 51.9, 1670800, 51.62, 0, 1, 51.755, -999
20140815, 51.95, 52.12, 51.28, 51.61, 1615700, 51.33, 0, 1, 51.64, -999
20140814, 51.81, 51.95, 51.72, 51.77, 1322700, 51.49, 0, 1, 51.65, -999
20140813, 51.68, 51.88, 51.66, 51.78, 1104100, 51.5, 0, 1, 51.59, -999
20140812, 51.42, 51.74, 51.29, 51.44, 1436700, 51.16, 0, 1, 51.29, -999
20140811, 51.44, 51.61, 51.29, 51.43, 1637800, 51.15, 0, 1, 51.295, -999
20140808, 50.77, 51.42, 50.65, 51.39, 2876600, 51.11, 0, 1, 50.94, -999
20140807, 50.97, 51.22, 50.6, 50.72, 1942600, 50.44, 0, 1, 50.705, -999
20140806, 50.3, 50.99, 50.3, 50.96, 3812000, 50.68, 0, 1, 50.49, -999
20140805, 50.49, 50.63, 50.09, 50.35, 2496600, 50.07, 0, 1, 50.28, -999
20140804, 50.66, 50.77, 50.3, 50.52, 2014900, 50.24, 0, 1, 50.45, -999
20140801, 50.69, 51, 50.35, 50.6, 2059600, 50.32, 0, 1, 50.505, -999
20140731, 51.62, 51.79, 50.74, 50.77, 2378000, 50.49, 0, 1, 51.055, -999
20140730, 52.08, 52.29, 51.6, 51.91, 2879400, 51.63, 0, 1, 51.855, -999
20140729, 52.5, 53.55, 51.73, 52.01, 5028000, 51.73, 0, 1, 52.115, -999
