Ticker: MMM  Created on: 12/6/2014 5:23:22 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 162.4, 162.9, 161.88, 162.27, 1722600, 162.27, 0, 1, 162.335, -999
20141204, 162, 162.92, 160.9, 162.26, 2164200, 162.26, 0, 1, 162.13, -999
20141203, 161.1, 162.44, 160.17, 162.26, 3038800, 162.26, 0, 1, 161.68, -999
20141202, 158.78, 160.78, 158.54, 160.6, 2500400, 160.6, 0, 1, 159.69, -999
20141201, 158.35, 159.51, 157.86, 158.16, 2502100, 158.16, 0, 1, 158.255, -999
20141128, 159.58, 160.82, 158.8, 160.09, 1565500, 160.09, 0, 1, 159.835, -999
20141126, 157.97, 158.45, 157.5, 158.31, 1823200, 158.31, 0, 1, 158.14, -999
20141125, 159, 159.68, 158.06, 158.06, 3644300, 158.06, 0, 1, 158.53, -999
20141124, 160.16, 160.56, 159.41, 159.88, 2358000, 159.88, 0, 1, 160.02, -999
20141121, 160.31, 160.86, 159.59, 160.16, 2472000, 160.16, 0, 1, 160.235, -999
20141120, 158.19, 159.55, 157.84, 159.36, 1749000, 159.36, 0, 1, 158.775, -999
20141119, 159.33, 159.41, 157.97, 158.83, 2314300, 158.83, 0, 1, 159.08, -999
20141118, 158.88, 160.46, 158.85, 160.15, 2311400, 159.29, 0, 1, 159.085, -999
20141117, 158.09, 159.16, 158.09, 158.69, 1674300, 157.84, 0, 1, 157.965, -999
20141114, 158.53, 158.88, 157.71, 158.85, 1786300, 158, 0, 1, 158.265, -999
20141113, 158, 159.07, 157.48, 158.35, 2375000, 157.5, 0, 1, 157.75, -999
20141112, 156.65, 157.87, 156.5, 157.68, 1500700, 156.84, 0, 1, 156.745, -999
20141111, 157.95, 158, 156.65, 157.11, 1806600, 156.27, 0, 1, 157.11, -999
20141110, 156.25, 157.71, 156.05, 157.66, 1463500, 156.82, 0, 1, 156.535, -999
20141107, 156.15, 156.62, 155.48, 156.55, 1882800, 155.71, 0, 1, 155.93, -999
20141106, 155.69, 156.68, 155.21, 156.05, 2067200, 155.22, 0, 1, 155.455, -999
20141105, 155.68, 156.24, 154.14, 155.69, 2770400, 154.86, 0, 1, 155.27, -999
20141104, 153.92, 155.23, 153.24, 155.05, 3128600, 154.22, 0, 1, 154.07, -999
20141103, 153.14, 154.39, 152.98, 153.3, 2367500, 152.48, 0, 1, 152.81, -999
20141031, 153.83, 154.44, 153.09, 153.77, 3016300, 152.95, 0, 1, 153.39, -999
20141030, 150.49, 152.4, 150, 152.1, 1836500, 151.29, 0, 1, 150.89, -999
20141029, 151.39, 151.73, 150.2, 151.01, 2060600, 150.2, 0, 1, 150.795, -999
20141028, 149.83, 151.13, 149.56, 151.06, 2358800, 150.25, 0, 1, 150.04, -999
20141027, 148.09, 149.71, 147.34, 149.56, 2840000, 148.76, 0, 1, 148.425, -999
20141024, 145, 148.79, 144.81, 148.59, 4480900, 147.8, 0, 1, 146.4, -999
20141023, 141.92, 147.92, 141.92, 145.05, 7424400, 144.28, 0, 1, 143.1, -999
20141022, 140.9, 141.09, 138.7, 138.95, 4294300, 138.21, 0, 1, 139.555, -999
20141021, 138.4, 141.1, 138.34, 140.93, 3078400, 140.18, 0, 1, 139.29, -999
20141020, 137.15, 137.75, 136.76, 137.6, 2782500, 136.87, 0, 1, 137.01, -999
20141017, 135.75, 137.85, 135.75, 137.4, 3746400, 136.67, 0, 1, 136.21, -999
20141016, 133.42, 135.97, 132.75, 135.05, 3497200, 134.33, 0, 1, 133.875, -999
20141015, 132.56, 134.64, 130.6, 134.22, 4794700, 133.5, 0, 1, 133.03, -999
20141014, 133.65, 135.94, 133.21, 134.18, 3644300, 133.46, 0, 1, 133.555, -999
20141013, 134.26, 135.35, 131.01, 132.9, 4583400, 132.19, 0, 1, 133.225, -999
20141010, 139.33, 139.6, 133.82, 133.83, 7366500, 133.12, 0, 1, 136.225, -999
20141009, 141.15, 141.5, 138.33, 138.64, 3768000, 137.9, 0, 1, 139.525, -999
20141008, 138.25, 141.48, 137.72, 141.41, 4135500, 140.66, 0, 1, 139.455, -999
20141007, 138.82, 140.18, 137.66, 137.68, 3144900, 136.94, 0, 1, 137.88, -999
