Ticker: MON  Created on: 12/6/2014 5:25:22 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 121.3, 121.56, 120.72, 120.86, 1681100, 120.86, 0, 1, 121.08, -999
20141204, 120.48, 121.29, 120.04, 121.09, 2032700, 121.09, 0, 1, 120.785, -999
20141203, 118.74, 120.91, 118.54, 120.86, 2734700, 120.86, 0, 1, 119.8, -999
20141202, 116.88, 119.31, 116.88, 118.82, 2936900, 118.82, 0, 1, 117.85, -999
20141201, 119.6, 120.14, 118.34, 118.85, 3251400, 118.85, 0, 1, 119.225, -999
20141128, 120.55, 120.99, 119.64, 119.91, 1401600, 119.91, 0, 1, 120.23, -999
20141126, 119.55, 120.99, 119.26, 120.86, 3433900, 120.86, 0, 1, 120.205, -999
20141125, 120.09, 121.02, 119.45, 119.47, 2248600, 119.47, 0, 1, 119.78, -999
20141124, 120.8, 120.8, 120.23, 120.53, 2963600, 120.53, 0, 1, 120.665, -999
20141121, 120.81, 121.15, 120.18, 120.81, 2803200, 120.81, 0, 1, 120.81, -999
20141120, 119.28, 120.03, 119, 119.52, 2100700, 119.52, 0, 1, 119.4, -999
20141119, 119.14, 119.78, 118.83, 119.56, 2738900, 119.56, 0, 1, 119.35, -999
20141118, 118.72, 119.8, 118.5, 119.33, 2721500, 119.33, 0, 1, 119.025, -999
20141117, 118.66, 119.19, 118.22, 118.38, 3065100, 118.38, 0, 1, 118.52, -999
20141114, 119.1, 119.69, 118.65, 118.97, 2829500, 118.97, 0, 1, 119.035, -999
20141113, 118.74, 120.03, 118.69, 119.47, 3819000, 119.47, 0, 1, 119.105, -999
20141112, 118.25, 119.49, 117.79, 118.99, 4354500, 118.99, 0, 1, 118.62, -999
20141111, 116.7, 118.36, 116.7, 118.31, 5254700, 118.31, 0, 1, 117.505, -999
20141110, 114.55, 117.13, 114.5, 116.89, 5238200, 116.89, 0, 1, 115.72, -999
20141107, 114.84, 115.43, 113.77, 114.44, 10836100, 114.44, 0, 1, 114.64, -999
20141106, 114.25, 114.77, 113.89, 114.51, 3123900, 114.51, 0, 1, 114.38, -999
20141105, 113.85, 114.26, 113.25, 113.82, 3492300, 113.82, 0, 1, 113.835, -999
20141104, 113.49, 114.17, 112.85, 113.39, 3323100, 113.39, 0, 1, 113.44, -999
20141103, 115.26, 115.57, 113.43, 113.93, 3425100, 113.93, 0, 1, 114.595, -999
20141031, 114.58, 115.28, 114.17, 115.04, 4209400, 115.04, 0, 1, 114.81, -999
20141030, 111.85, 115.47, 111.85, 113.69, 3765400, 113.69, 0, 1, 112.77, -999
20141029, 113.52, 114.2, 111.68, 112.18, 7056800, 112.18, 0, 1, 112.85, -999
20141028, 113.28, 114, 112.95, 113.48, 2318500, 113.48, 0, 1, 113.38, -999
20141027, 112.6, 113.14, 112.13, 112.82, 4863500, 112.82, 0, 1, 112.71, -999
20141024, 112.68, 113.55, 112.41, 113.28, 3097200, 113.28, 0, 1, 112.98, -999
20141023, 114.87, 114.87, 112.56, 112.81, 5224900, 112.81, 0, 1, 113.84, -999
20141022, 114.27, 114.85, 113.48, 113.48, 4189100, 113.48, 0, 1, 113.875, -999
20141021, 113, 113.85, 112.28, 113.55, 2875000, 113.55, 0, 1, 113.275, -999
20141020, 111.34, 112.81, 111.05, 112.63, 3970900, 112.63, 0, 1, 111.985, -999
20141017, 111.59, 111.76, 110.32, 111.28, 4555800, 111.28, 0, 1, 111.435, -999
20141016, 107.29, 111.1, 107.2, 110.66, 7165800, 110.66, 0, 1, 108.975, -999
20141015, 106.9, 109.42, 106.06, 108.83, 8264500, 108.83, 0, 1, 107.865, -999
20141014, 106.21, 108.75, 106.21, 107.87, 5293900, 107.87, 0, 1, 107.04, -999
20141013, 106.82, 107.73, 105.88, 105.91, 4198500, 105.91, 0, 1, 106.365, -999
20141010, 107.45, 108.64, 106.72, 106.72, 4371800, 106.72, 0, 1, 107.085, -999
20141009, 108.47, 110.33, 107.57, 107.69, 6603500, 107.69, 0, 1, 108.08, -999
20141008, 106.82, 110.07, 105.76, 109.73, 7862800, 109.73, 0.49, 1, 108.275, -999
20141007, 110.27, 110.45, 108.02, 108.23, 7140000, 107.74, 0, 1, 109.005, -999
