Ticker: MO  Created on: 12/6/2014 5:23:32 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 50.92, 51.09, 50.65, 51.07, 4528000, 51.07, 0, 1, 50.995, -999
20141204, 51, 51.07, 50.56, 50.94, 6962800, 50.94, 0, 1, 50.97, -999
20141203, 50.51, 51.25, 50.4, 51.19, 9451300, 51.19, 0, 1, 50.85, -999
20141202, 50.35, 50.6, 50.15, 50.56, 8363400, 50.56, 0, 1, 50.455, -999
20141201, 50.13, 50.5, 50.11, 50.3, 6163100, 50.3, 0, 1, 50.215, -999
20141128, 49.97, 50.45, 49.97, 50.26, 3083100, 50.26, 0, 1, 50.115, -999
20141126, 49.46, 49.78, 49.41, 49.72, 4210300, 49.72, 0, 1, 49.59, -999
20141125, 49.25, 49.56, 48.96, 49.46, 7133800, 49.46, 0, 1, 49.355, -999
20141124, 49.52, 49.76, 49.22, 49.25, 5588400, 49.25, 0, 1, 49.385, -999
20141121, 49.09, 49.27, 49, 49.24, 10015700, 49.24, 0, 1, 49.165, -999
20141120, 48.9, 49.03, 48.71, 48.83, 8905500, 48.83, 0, 1, 48.865, -999
20141119, 49.23, 49.29, 49.02, 49.14, 5979300, 49.14, 0, 1, 49.185, -999
20141118, 49.2, 49.44, 49.12, 49.27, 6096000, 49.27, 0, 1, 49.235, -999
20141117, 48.74, 49.13, 48.7, 49.05, 6026800, 49.05, 0, 1, 48.895, -999
20141114, 49.45, 49.45, 48.59, 48.78, 6768800, 48.78, 0, 1, 49.115, -999
20141113, 49.57, 49.95, 49.22, 49.45, 5253000, 49.45, 0, 1, 49.51, -999
20141112, 49.2, 49.45, 48.68, 49.33, 7538400, 49.33, 0, 1, 49.265, -999
20141111, 49.83, 49.96, 49.18, 49.28, 5412000, 49.28, 0, 1, 49.555, -999
20141110, 49.92, 50.09, 49.61, 49.87, 8096900, 49.87, 0, 1, 49.895, -999
20141107, 49.56, 49.88, 49.27, 49.87, 5876600, 49.87, 0, 1, 49.715, -999
20141106, 49.84, 49.9, 49.43, 49.56, 4936500, 49.56, 0, 1, 49.7, -999
20141105, 49.77, 49.96, 49.12, 49.75, 6709400, 49.75, 0, 1, 49.76, -999
20141104, 49.01, 49.63, 49.01, 49.42, 5511500, 49.42, 0, 1, 49.215, -999
20141103, 48.29, 49.07, 48.29, 48.92, 5339800, 48.92, 0, 1, 48.605, -999
20141031, 47.93, 48.36, 47.76, 48.34, 7816900, 48.34, 0, 1, 48.135, -999
20141030, 47.52, 47.78, 47.09, 47.5, 7670100, 47.5, 0, 1, 47.51, -999
20141029, 47.66, 47.9, 47.31, 47.57, 7240000, 47.57, 0, 1, 47.615, -999
20141028, 47.87, 47.88, 47.06, 47.53, 6468900, 47.53, 0, 1, 47.7, -999
20141027, 47.55, 47.94, 47.49, 47.64, 4350100, 47.64, 0, 1, 47.595, -999
20141024, 47.23, 47.5, 47.08, 47.49, 3669700, 47.49, 0, 1, 47.36, -999
20141023, 47.58, 47.69, 47.07, 47.13, 4893500, 47.13, 0, 1, 47.355, -999
20141022, 47.01, 47.62, 47.01, 47.06, 6445400, 47.06, 0, 1, 47.035, -999
20141021, 46.54, 47.03, 46.21, 47.02, 5607300, 47.02, 0, 1, 46.78, -999
20141020, 45.72, 46.5, 45.61, 46.42, 5280700, 46.42, 0, 1, 46.07, -999
20141017, 45.42, 45.8, 45.06, 45.66, 9306300, 45.66, 0, 1, 45.54, -999
20141016, 44.86, 45.46, 44.64, 45.17, 10720000, 45.17, 0, 1, 45.015, -999
20141015, 45.64, 46.01, 44.59, 45.53, 14208400, 45.53, 0, 1, 45.585, -999
20141014, 46.1, 46.47, 45.8, 46.18, 7133300, 46.18, 0, 1, 46.14, -999
20141013, 46.56, 46.93, 46.05, 46.05, 8658100, 46.05, 0, 1, 46.305, -999
20141010, 46.7, 47.41, 46.67, 46.72, 9347400, 46.72, 0, 1, 46.71, -999
20141009, 46.69, 47.1, 46.2, 46.37, 7887200, 46.37, 0, 1, 46.53, -999
20141008, 46.08, 46.81, 45.91, 46.8, 6551200, 46.8, 0, 1, 46.44, -999
20141007, 46.44, 46.54, 46.01, 46.05, 6144600, 46.05, 0, 1, 46.245, -999
20141006, 46.39, 46.6, 46.06, 46.51, 6741400, 46.51, 0, 1, 46.45, -999
20141003, 45.68, 46.24, 45.57, 46.19, 7187900, 46.19, 0, 1, 45.935, -999
20141002, 45.76, 45.82, 45.19, 45.47, 8062900, 45.47, 0, 1, 45.615, -999
20141001, 45.98, 46.13, 45.68, 45.77, 7517300, 45.77, 0, 1, 45.875, -999
20140930, 46.12, 46.2, 45.87, 45.94, 6343900, 45.94, 0, 1, 46.03, -999
20140929, 45.63, 46.09, 45.47, 46.04, 7477200, 46.04, 0, 1, 45.835, -999
20140926, 45.42, 45.97, 45.36, 45.81, 7870300, 45.81, 0, 1, 45.615, -999
20140925, 45.54, 45.6, 45.07, 45.11, 5678100, 45.11, 0, 1, 45.325, -999
20140924, 44.79, 45.73, 44.79, 45.7, 7610600, 45.7, 0, 1, 45.245, -999
20140923, 45.27, 45.44, 44.82, 44.82, 6335500, 44.82, 0, 1, 45.045, -999
20140922, 45.03, 45.45, 44.97, 45.35, 7470000, 45.35, 0, 1, 45.19, -999
20140919, 44.95, 45.1, 44.82, 44.99, 8048800, 44.99, 0, 1, 44.97, -999
20140918, 44.8, 44.8, 44.46, 44.74, 4925100, 44.74, 0, 1, 44.77, -999
20140917, 44.39, 44.8, 44.17, 44.61, 6738100, 44.61, 0, 1, 44.5, -999
20140916, 44.07, 44.5, 44.03, 44.36, 6636800, 44.36, 0, 1, 44.215, -999
20140915, 43.6, 44.5, 43.37, 44.27, 11428100, 44.27, 0, 1, 43.935, -999
20140912, 43.19, 43.3, 42.96, 43.16, 7327700, 43.16, 0, 1, 43.175, -999
20140911, 43.33, 43.47, 42.92, 43.19, 6328700, 43.19, 0.52, 1, 43.26, -999
20140910, 43.7, 44.05, 43.49, 43.86, 8282400, 43.34, 0, 1, 43.52, -999
20140909, 43.61, 43.66, 43.46, 43.65, 8571300, 43.13, 0, 1, 43.37, -999
20140908, 43.38, 43.6, 43.36, 43.49, 6454800, 42.97, 0, 1, 43.175, -999
20140905, 43.13, 43.41, 43.08, 43.39, 4949600, 42.88, 0, 1, 43.005, -999
20140904, 43.22, 43.48, 43.05, 43.14, 4583100, 42.63, 0, 1, 42.925, -999
20140903, 43.39, 43.46, 43.11, 43.22, 3497000, 42.71, 0, 1, 43.05, -999
20140902, 43.16, 43.68, 43.05, 43.19, 4573300, 42.68, 0, 1, 42.92, -999
20140829, 43, 43.12, 42.93, 43.08, 3645300, 42.57, 0, 1, 42.785, -999
20140828, 42.7, 43, 42.64, 42.91, 3195500, 42.4, 0, 1, 42.55, -999
20140827, 42.8, 42.86, 42.58, 42.82, 3489300, 42.31, 0, 1, 42.555, -999
20140826, 42.91, 42.98, 42.71, 42.86, 4468100, 42.35, 0, 1, 42.63, -999
20140825, 42.74, 42.93, 42.66, 42.77, 3278700, 42.26, 0, 1, 42.5, -999
20140822, 42.59, 42.7, 42.43, 42.59, 3796900, 42.09, 0, 1, 42.34, -999
20140821, 42.47, 42.68, 42.34, 42.58, 4830000, 42.08, 0, 1, 42.275, -999
20140820, 42.71, 42.72, 42.32, 42.46, 4538600, 41.96, 0, 1, 42.335, -999
20140819, 42.6, 42.71, 42.3, 42.7, 4320700, 42.19, 0, 1, 42.395, -999
20140818, 42.3, 42.59, 42.3, 42.5, 3987100, 42, 0, 1, 42.15, -999
20140815, 42.39, 42.47, 41.93, 42.2, 4737300, 41.7, 0, 1, 42.045, -999
20140814, 42.11, 42.26, 42.01, 42.26, 2976900, 41.76, 0, 1, 41.935, -999
20140813, 42.08, 42.28, 41.89, 42.07, 3724800, 41.57, 0, 1, 41.825, -999
20140812, 41.9, 42.01, 41.72, 41.96, 3843500, 41.46, 0, 1, 41.68, -999
20140811, 41.82, 42.31, 41.64, 42.01, 6134700, 41.51, 0, 1, 41.665, -999
20140808, 41.2, 41.66, 41.13, 41.63, 4407600, 41.14, 0, 1, 41.17, -999
20140807, 41.44, 41.52, 40.91, 41.15, 7828400, 40.66, 0, 1, 41.05, -999
20140806, 40.47, 41.55, 40.47, 41.43, 7964000, 40.94, 0, 1, 40.705, -999
20140805, 40.72, 40.96, 40.41, 40.57, 4395800, 40.09, 0, 1, 40.405, -999
20140804, 40.47, 40.83, 40.4, 40.73, 6302200, 40.25, 0, 1, 40.36, -999
20140801, 40.37, 40.8, 40.26, 40.5, 6192600, 40.02, 0, 1, 40.195, -999
20140731, 40.93, 41.04, 40.59, 40.6, 7194000, 40.12, 0, 1, 40.525, -999
20140730, 41.83, 41.89, 41.06, 41.12, 7223700, 40.63, 0, 1, 41.23, -999
20140729, 41.59, 41.82, 41.47, 41.54, 8603900, 41.05, 0, 1, 41.32, -999
20140728, 41.73, 41.86, 41.37, 41.65, 4501800, 41.16, 0, 1, 41.445, -999
20140725, 41.88, 42.02, 41.52, 41.74, 4829600, 41.25, 0, 1, 41.565, -999
20140724, 41.87, 42.15, 41.79, 42.04, 6824500, 41.54, 0, 1, 41.705, -999
20140723, 41.99, 42, 41.65, 41.72, 6523500, 41.23, 0, 1, 41.61, -999
20140722, 41.78, 42.25, 41.15, 41.93, 8835500, 41.43, 0, 1, 41.605, -999
20140721, 41.54, 42.05, 41.45, 42.01, 8636800, 41.51, 0, 1, 41.525, -999
20140718, 41.79, 42.26, 41.6, 42.17, 6800500, 41.67, 0, 1, 41.73, -999
20140717, 41.71, 41.98, 41.55, 41.58, 6506800, 41.09, 0, 1, 41.4, -999
20140716, 42.08, 42.36, 41.7, 41.82, 7945200, 41.32, 0, 1, 41.7, -999
20140715, 43, 43.08, 41.75, 41.76, 18024000, 41.26, 0, 1, 42.13, -999
20140714, 43.61, 43.7, 43.26, 43.35, 8341300, 42.84, 0, 1, 43.225, -999
20140711, 43.53, 43.6, 43.02, 43.43, 9915900, 42.92, 0, 1, 43.225, -999
20140710, 42.61, 42.95, 42.61, 42.95, 7554700, 42.44, 0, 1, 42.525, -999
20140709, 42.85, 43.05, 42.72, 42.8, 5904300, 42.29, 0, 1, 42.57, -999
20140708, 42.65, 42.81, 42.51, 42.71, 5145000, 42.2, 0, 1, 42.425, -999
20140707, 42.25, 42.78, 42.25, 42.62, 5212400, 42.11, 0, 1, 42.18, -999
20140703, 42.02, 42.58, 41.99, 42.39, 5819600, 41.89, 0, 1, 41.955, -999
20140702, 41.85, 41.97, 41.72, 41.87, 3579200, 41.37, 0, 1, 41.61, -999
20140701, 41.87, 42, 41.52, 41.83, 5197700, 41.33, 0, 1, 41.6, -999
20140630, 41.76, 42.28, 41.56, 41.94, 9322600, 41.44, 0, 1, 41.6, -999
20140627, 41.79, 41.86, 41.13, 41.82, 12779900, 41.32, 0, 1, 41.555, -999
20140626, 41.98, 42, 41.52, 41.9, 7161300, 41.4, 0, 1, 41.69, -999
20140625, 42.14, 42.2, 41.9, 42.03, 6983900, 41.53, 0, 1, 41.835, -999
20140624, 42.5, 42.5, 42.04, 42.35, 8291600, 41.85, 0, 1, 42.175, -999
20140623, 43.01, 43.02, 42.5, 42.69, 5750500, 42.18, 0, 1, 42.595, -999
20140620, 43.23, 43.38, 42.95, 43.12, 12356800, 42.61, 0, 1, 42.92, -999
20140619, 42.42, 43.15, 42.38, 43.07, 10498500, 42.56, 0, 1, 42.49, -999
20140618, 41.69, 42.37, 41.52, 42.35, 8340100, 41.85, 0, 1, 41.77, -999
20140617, 41.69, 41.8, 41.52, 41.68, 4496200, 41.19, 0, 1, 41.44, -999
20140616, 41.44, 41.97, 41.26, 41.81, 5133900, 41.31, 0, 1, 41.375, -999
20140613, 41.34, 41.62, 41.19, 41.45, 5470100, 40.96, 0, 1, 41.15, -999
20140612, 42.05, 42.19, 41.23, 41.28, 8391300, 40.79, 0.48, 1, 41.42, -999
20140611, 42.22, 42.71, 42.16, 42.59, 12157300, 41.61, 0, 1, 41.915, -999
20140610, 41.54, 42.39, 41.48, 42.35, 11193600, 41.38, 0, 1, 41.46, -999
20140609, 41.32, 41.64, 41.28, 41.61, 5173900, 40.65, 0, 1, 40.985, -999
20140606, 41.29, 41.44, 41.26, 41.39, 3964200, 40.44, 0, 1, 40.865, -999
20140605, 41.23, 41.48, 41.15, 41.29, 4116300, 40.34, 0, 1, 40.785, -999
20140604, 41.2, 41.32, 41.1, 41.23, 3349900, 40.28, 0, 1, 40.74, -999
20140603, 41.2, 41.36, 41.15, 41.24, 4386400, 40.29, 0, 1, 40.745, -999
20140602, 41.63, 41.64, 41.25, 41.25, 4501700, 40.3, 0, 1, 40.965, -999
20140530, 41.19, 41.62, 41.1, 41.56, 7319600, 40.6, 0, 1, 40.895, -999
20140529, 40.84, 41.37, 40.77, 41.31, 5591100, 40.36, 0, 1, 40.6, -999
20140528, 40.8, 40.89, 40.66, 40.77, 3865800, 39.83, 0, 1, 40.315, -999
20140527, 40.75, 40.85, 40.63, 40.77, 4079000, 39.83, 0, 1, 40.29, -999
20140523, 40.71, 40.83, 40.58, 40.68, 4293500, 39.74, 0, 1, 40.225, -999
20140522, 40.59, 40.99, 40.43, 40.68, 8387500, 39.74, 0, 1, 40.165, -999
20140521, 40.1, 40.77, 40.01, 40.64, 7952700, 39.71, 0, 1, 39.905, -999
20140520, 40.18, 40.28, 39.96, 40.03, 5959500, 39.11, 0, 1, 39.645, -999
20140519, 40.29, 40.44, 40, 40.21, 10646700, 39.29, 0, 1, 39.79, -999
20140516, 40.07, 40.69, 40.01, 40.69, 8203800, 39.75, 0, 1, 39.91, -999
20140515, 40.17, 40.3, 39.97, 40.05, 7215000, 39.13, 0, 1, 39.65, -999
20140514, 40.55, 40.57, 40.23, 40.33, 6105800, 39.4, 0, 1, 39.975, -999
20140513, 40.44, 40.64, 40.3, 40.61, 9944300, 39.68, 0, 1, 40.06, -999
20140512, 40.43, 40.57, 40.23, 40.37, 5028600, 39.44, 0, 1, 39.935, -999
20140509, 40.02, 40.24, 39.99, 40.2, 4930000, 39.28, 0, 1, 39.65, -999
20140508, 40.1, 40.2, 39.97, 40.11, 6997000, 39.19, 0, 1, 39.645, -999
20140507, 39.94, 40.18, 39.87, 40.06, 7257300, 39.14, 0, 1, 39.54, -999
20140506, 39.85, 39.92, 39.73, 39.76, 4302500, 38.85, 0, 1, 39.35, -999
20140505, 39.81, 39.98, 39.6, 39.89, 5746500, 38.97, 0, 1, 39.39, -999
20140502, 39.75, 40.07, 39.73, 39.97, 7622200, 39.05, 0, 1, 39.4, -999
20140501, 40.16, 40.34, 39.8, 39.83, 11871300, 38.91, 0, 1, 39.535, -999
20140430, 39.65, 40.16, 39.6, 40.11, 10221100, 39.19, 0, 1, 39.42, -999
20140429, 40.02, 40.24, 39.88, 40.12, 8536300, 39.2, 0, 1, 39.61, -999
20140428, 39.22, 40.15, 39.22, 39.93, 13563000, 39.01, 0, 1, 39.115, -999
20140425, 38.4, 39.11, 38.2, 39.11, 8560700, 38.21, 0, 1, 38.305, -999
20140424, 38.34, 38.8, 38.07, 38.4, 8667600, 37.52, 0, 1, 37.93, -999
20140423, 38.54, 38.59, 38.15, 38.31, 9972300, 37.43, 0, 1, 37.985, -999
20140422, 38.38, 38.66, 38.27, 38.64, 8907300, 37.75, 0, 1, 38.065, -999
20140421, 38.36, 38.46, 37.88, 38.42, 4581700, 37.54, 0, 1, 37.95, -999
20140417, 38.23, 38.46, 37.94, 38.45, 8498400, 37.57, 0, 1, 37.9, -999
20140416, 38.36, 38.56, 38.23, 38.36, 6615500, 37.48, 0, 1, 37.92, -999
20140415, 38.25, 38.34, 38.05, 38.21, 7911800, 37.33, 0, 1, 37.79, -999
20140414, 37.88, 38.26, 37.74, 38.25, 6864400, 37.37, 0, 1, 37.625, -999
20140411, 37.71, 38.19, 37.56, 37.65, 8729800, 36.78, 0, 1, 37.245, -999
20140410, 38.27, 38.56, 37.77, 37.82, 12591800, 36.95, 0, 1, 37.61, -999
20140409, 37.87, 38.18, 37.82, 38.14, 7739300, 37.26, 0, 1, 37.565, -999
20140408, 37.6, 38.12, 37.55, 37.89, 8755600, 37.02, 0, 1, 37.31, -999
20140407, 37.57, 37.97, 37.57, 37.65, 8815700, 36.78, 0, 1, 37.175, -999
20140404, 37.75, 37.9, 37.51, 37.57, 6233900, 36.71, 0, 1, 37.23, -999
20140403, 37.7, 37.75, 37.42, 37.59, 4667900, 36.73, 0, 1, 37.215, -999
20140402, 37.42, 37.64, 37.28, 37.58, 7720400, 36.72, 0, 1, 37.07, -999
20140401, 37.45, 37.59, 37.13, 37.39, 5613100, 36.53, 0, 1, 36.99, -999
20140331, 37.25, 37.49, 37.14, 37.43, 5335800, 36.57, 0, 1, 36.91, -999
20140328, 37.31, 37.36, 36.97, 37.12, 5252100, 36.27, 0, 1, 36.79, -999
20140327, 37.17, 37.44, 37.07, 37.23, 8328400, 36.37, 0, 1, 36.77, -999
20140326, 36.95, 37.35, 36.91, 37.25, 10929200, 36.39, 0, 1, 36.67, -999
20140325, 36.83, 37, 36.7, 36.91, 6760900, 36.06, 0, 1, 36.445, -999
20140324, 36.55, 36.73, 36.44, 36.69, 7088700, 35.85, 0, 1, 36.2, -999
20140321, 36.54, 36.91, 36.4, 36.45, 11001500, 35.61, 0, 1, 36.075, -999
20140320, 35.94, 36.38, 35.84, 36.35, 6574800, 35.51, 0, 1, 35.725, -999
20140319, 36.59, 36.71, 35.86, 36.02, 7321800, 35.19, 0, 1, 35.89, -999
20140318, 36.37, 36.67, 36.25, 36.59, 4939900, 35.75, 0, 1, 36.06, -999
20140317, 36.45, 36.6, 36.25, 36.38, 5416000, 35.54, 0, 1, 35.995, -999
20140314, 35.86, 36.56, 35.86, 36.34, 7843300, 35.5, 0, 1, 35.68, -999
20140313, 36.28, 36.38, 35.91, 35.97, 7924200, 35.14, 0, 1, 35.71, -999
20140312, 36.23, 36.25, 35.98, 36.14, 7220900, 35.31, 0.48, 1, 35.77, -999
20140311, 37, 37.15, 36.66, 36.76, 7791500, 35.45, 0, 1, 36.225, -999
20140310, 36.81, 36.93, 36.67, 36.86, 5162900, 35.54, 0, 1, 36.175, -999
20140307, 37, 37.03, 36.58, 36.81, 6629300, 35.49, 0, 1, 36.245, -999
20140306, 37.03, 37.03, 36.63, 36.89, 10801200, 35.57, 0, 1, 36.3, -999
20140305, 37.05, 37.3, 36.85, 36.95, 7815700, 35.63, 0, 1, 36.34, -999
20140304, 36.87, 37.33, 36.82, 37.07, 11932400, 35.74, 0, 1, 36.305, -999
20140303, 36.07, 36.9, 36, 36.45, 12823800, 35.15, 0, 1, 35.61, -999
20140228, 35.97, 36.41, 35.97, 36.26, 8773100, 34.96, 0, 1, 35.465, -999
20140227, 35.49, 35.94, 35.48, 35.87, 5595500, 34.59, 0, 1, 35.04, -999
20140226, 35.63, 35.8, 35.4, 35.44, 5787400, 34.17, 0, 1, 34.9, -999
20140225, 35.39, 35.87, 35.38, 35.57, 7845200, 34.3, 0, 1, 34.845, -999
20140224, 35.34, 35.7, 35.28, 35.38, 6287400, 34.12, 0, 1, 34.73, -999
20140221, 35.55, 35.58, 35.27, 35.37, 7104400, 34.11, 0, 1, 34.83, -999
20140220, 35.18, 35.62, 35.11, 35.53, 5979400, 34.26, 0, 1, 34.72, -999
20140219, 35.4, 35.5, 35.1, 35.16, 6337400, 33.9, 0, 1, 34.65, -999
20140218, 35.55, 35.7, 35.37, 35.46, 5701100, 34.19, 0, 1, 34.87, -999
20140214, 35.18, 35.62, 35.05, 35.57, 6584300, 34.3, 0, 1, 34.74, -999
20140213, 34.75, 35.28, 34.74, 35.28, 8231700, 34.02, 0, 1, 34.385, -999
20140212, 35.25, 35.26, 34.81, 34.93, 10043700, 33.68, 0, 1, 34.465, -999
20140211, 35.1, 35.25, 34.78, 35.14, 9588800, 33.88, 0, 1, 34.49, -999
20140210, 35.41, 35.5, 35.05, 35.19, 7507800, 33.93, 0, 1, 34.67, -999
20140207, 34.92, 35.34, 34.78, 35.3, 11611300, 34.04, 0, 1, 34.48, -999
20140206, 34.1, 34.74, 34.05, 34.71, 18468900, 33.47, 0, 1, 33.785, -999
20140205, 34.15, 34.33, 33.8, 34, 15802600, 32.78, 0, 1, 33.465, -999
20140204, 34.3, 34.58, 34.15, 34.43, 9864000, 33.2, 0, 1, 33.75, -999
20140203, 35.17, 35.18, 34.08, 34.11, 16108500, 32.89, 0, 1, 34.03, -999
20140131, 35, 35.53, 34.33, 35.22, 15457100, 33.96, 0, 1, 34.48, -999
20140130, 36.24, 36.24, 35.16, 35.35, 18659600, 34.09, 0, 1, 35.165, -999
20140129, 36.68, 36.69, 36.16, 36.43, 14367300, 35.13, 0, 1, 35.905, -999
