Ticker: MRK  Created on: 12/6/2014 5:25:19 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 61.03, 61.77, 60.82, 61.49, 11062200, 61.49, 0, 1, 61.26, -999
20141204, 60.51, 61.38, 60.51, 60.92, 7114600, 60.92, 0, 1, 60.715, -999
20141203, 60.76, 60.93, 60.31, 60.58, 9357400, 60.58, 0, 1, 60.67, -999
20141202, 60.63, 60.98, 60.28, 60.78, 6443300, 60.78, 0, 1, 60.705, -999
20141201, 60.4, 61.32, 60.28, 60.52, 8250200, 60.52, 0, 1, 60.46, -999
20141128, 59.7, 60.87, 59.7, 60.4, 6207400, 60.4, 0, 1, 60.05, -999
20141126, 59.7, 59.77, 59.35, 59.75, 6280600, 59.75, 0, 1, 59.725, -999
20141125, 59.32, 59.66, 59.13, 59.34, 10328000, 59.34, 0, 1, 59.33, -999
20141124, 59.81, 59.81, 58.99, 59.25, 8466100, 59.25, 0, 1, 59.53, -999
20141121, 59.94, 60.02, 59.33, 59.66, 11260400, 59.66, 0, 1, 59.8, -999
20141120, 59.21, 59.4, 58.86, 59.38, 6741100, 59.38, 0, 1, 59.295, -999
20141119, 59.63, 59.73, 59.13, 59.64, 7304300, 59.64, 0, 1, 59.635, -999
20141118, 59.49, 60.13, 59.15, 59.89, 7663000, 59.89, 0, 1, 59.69, -999
20141117, 59.71, 59.9, 59.31, 59.46, 8569900, 59.46, 0, 1, 59.585, -999
20141114, 59.23, 59.55, 58.77, 59.07, 7130600, 59.07, 0, 1, 59.15, -999
20141113, 59.5, 59.95, 59.18, 59.54, 6646900, 59.54, 0, 1, 59.52, -999
20141112, 59.28, 59.55, 59.1, 59.31, 6658500, 59.31, 0, 1, 59.295, -999
20141111, 59.72, 59.95, 59.21, 59.37, 13303600, 59.37, 0, 1, 59.545, -999
20141110, 58.24, 59.19, 57.7, 58.81, 14594600, 58.81, 0, 1, 58.525, -999
20141107, 59.39, 59.62, 59.06, 59.34, 10613000, 59.34, 0, 1, 59.365, -999
20141106, 59.6, 59.9, 59.19, 59.26, 13362100, 59.26, 0, 1, 59.43, -999
20141105, 59.99, 60.25, 59.38, 59.57, 12678800, 59.57, 0, 1, 59.78, -999
20141104, 58.87, 59.71, 58.87, 59.37, 11338400, 59.37, 0, 1, 59.12, -999
20141103, 57.95, 58.93, 57.57, 58.92, 10178900, 58.92, 0, 1, 58.435, -999
20141031, 57.95, 58.13, 57.66, 57.94, 14066100, 57.94, 0, 1, 57.945, -999
20141030, 55.71, 57.39, 55.7, 57.31, 12859300, 57.31, 0, 1, 56.51, -999
20141029, 56.02, 56.61, 55.63, 56.2, 12492900, 56.2, 0, 1, 56.11, -999
20141028, 56.6, 56.6, 54.1, 55.85, 23944100, 55.85, 0, 1, 56.225, -999
20141027, 56.91, 57.24, 55.92, 56.45, 14418900, 56.45, 0, 1, 56.68, -999
20141024, 56.8, 57.66, 56.63, 57.61, 8555400, 57.61, 0, 1, 57.205, -999
20141023, 56.26, 57.07, 56.19, 56.63, 11851100, 56.63, 0, 1, 56.445, -999
20141022, 55.23, 55.86, 55, 55.51, 12901700, 55.51, 0, 1, 55.37, -999
20141021, 54.57, 55.28, 54.32, 55.13, 17289900, 55.13, 0, 1, 54.85, -999
20141020, 54.22, 54.27, 53.92, 54.05, 12064100, 54.05, 0, 1, 54.135, -999
20141017, 53.85, 54.63, 53.53, 54.02, 19718100, 54.02, 0, 1, 53.935, -999
20141016, 54.01, 54.09, 52.49, 53.43, 21856200, 53.43, 0, 1, 53.72, -999
20141015, 55.37, 55.87, 54.29, 54.73, 18785800, 54.73, 0, 1, 55.05, -999
20141014, 56.57, 56.95, 55.73, 56.33, 10935800, 56.33, 0, 1, 56.45, -999
20141013, 58.55, 58.55, 55.98, 56.14, 14807700, 56.14, 0, 1, 57.345, -999
20141010, 59.31, 59.92, 58.66, 58.66, 11285200, 58.66, 0, 1, 58.985, -999
20141009, 60, 60.51, 59.11, 59.21, 8595800, 59.21, 0, 1, 59.605, -999
20141008, 58.66, 60.23, 58.57, 60.18, 12318200, 60.18, 0, 1, 59.42, -999
20141007, 59.32, 59.4, 58.45, 58.46, 9520100, 58.46, 0, 1, 58.89, -999
20141006, 60.17, 60.25, 59.3, 59.58, 7114600, 59.58, 0, 1, 59.875, -999
20141003, 59.17, 60.1, 59.17, 59.9, 8641800, 59.9, 0, 1, 59.535, -999
20141002, 58.78, 59.06, 58.29, 58.85, 8109800, 58.85, 0, 1, 58.815, -999
20141001, 59.09, 59.22, 58.5, 58.71, 9088900, 58.71, 0, 1, 58.9, -999
20140930, 59.4, 59.98, 59.25, 59.28, 9247300, 59.28, 0, 1, 59.34, -999
20140929, 59.03, 59.72, 58.81, 59.41, 8719200, 59.41, 0, 1, 59.22, -999
20140926, 59.72, 59.79, 58.55, 59.39, 10786200, 59.39, 0, 1, 59.555, -999
20140925, 60.28, 60.5, 59.63, 59.64, 8691800, 59.64, 0, 1, 59.96, -999
20140924, 60.31, 60.54, 60.23, 60.36, 11465600, 60.36, 0, 1, 60.335, -999
20140923, 60.15, 60.73, 59.69, 60.28, 8012100, 60.28, 0, 1, 60.215, -999
20140922, 60.37, 60.98, 60.26, 60.58, 9320500, 60.58, 0, 1, 60.475, -999
20140919, 60.75, 60.89, 60.49, 60.49, 14480700, 60.49, 0, 1, 60.62, -999
20140918, 60.13, 60.34, 59.82, 60.31, 8004100, 60.31, 0, 1, 60.22, -999
20140917, 59.53, 60.01, 59.28, 59.88, 10271200, 59.88, 0, 1, 59.705, -999
20140916, 59.51, 60.06, 59.28, 59.99, 9045400, 59.99, 0, 1, 59.75, -999
20140915, 59.65, 59.99, 59.5, 59.52, 7738900, 59.52, 0, 1, 59.585, -999
20140912, 59.88, 60.13, 59.26, 59.55, 7021800, 59.55, 0, 1, 59.715, -999
20140911, 60.21, 60.44, 59.81, 60.1, 7785200, 60.1, 0.44, 1, 60.155, -999
20140910, 60.67, 60.87, 60.35, 60.76, 9212800, 60.32, 0, 1, 60.495, -999
20140909, 60.84, 61.03, 60.47, 60.56, 7443700, 60.12, 0, 1, 60.48, -999
20140908, 61.22, 61.33, 60.83, 61.05, 8420400, 60.61, 0, 1, 60.915, -999
20140905, 60.42, 61.18, 60.15, 61.18, 10744200, 60.74, 0, 1, 60.58, -999
20140904, 60.57, 61, 59.92, 60.08, 10809000, 59.64, 0, 1, 60.105, -999
20140903, 60.12, 60.86, 60.06, 60.48, 9096200, 60.04, 0, 1, 60.08, -999
20140902, 59.73, 60.1, 59.67, 59.79, 6054500, 59.36, 0, 1, 59.545, -999
20140829, 60.42, 60.42, 59.83, 60.11, 5715800, 59.67, 0, 1, 60.045, -999
20140828, 59.89, 60.23, 59.84, 60, 5241000, 59.57, 0, 1, 59.73, -999
20140827, 60.4, 60.58, 60.11, 60.28, 6546700, 59.84, 0, 1, 60.12, -999
20140826, 59.67, 60.4, 59.66, 60.2, 9220600, 59.76, 0, 1, 59.715, -999
20140825, 59.34, 59.87, 59.26, 59.73, 5170800, 59.3, 0, 1, 59.32, -999
20140822, 59.04, 59.36, 58.9, 59.17, 5187600, 58.74, 0, 1, 58.89, -999
20140821, 59.4, 59.66, 58.79, 58.85, 7646800, 58.42, 0, 1, 58.91, -999
20140820, 58.68, 59.57, 58.53, 59.48, 7038400, 59.05, 0, 1, 58.865, -999
20140819, 58.85, 58.95, 58.34, 58.91, 7435000, 58.48, 0, 1, 58.665, -999
20140818, 58.8, 58.87, 58.35, 58.42, 9443900, 58, 0, 1, 58.4, -999
20140815, 58.8, 59, 58.03, 58.61, 9046800, 58.19, 0, 1, 58.495, -999
20140814, 58.05, 58.79, 58, 58.78, 7932300, 58.35, 0, 1, 58.2, -999
20140813, 57.39, 57.89, 57.16, 57.85, 10670400, 57.43, 0, 1, 57.41, -999
20140812, 56.55, 57.14, 56.52, 57.03, 7090200, 56.62, 0, 1, 56.585, -999
20140811, 56.7, 57.05, 56.46, 56.66, 5499100, 56.25, 0, 1, 56.475, -999
20140808, 55.87, 56.61, 55.58, 56.55, 7081500, 56.14, 0, 1, 56.005, -999
20140807, 56.21, 56.56, 55.57, 55.64, 7215500, 55.24, 0, 1, 55.725, -999
20140806, 55.88, 56.14, 55.72, 55.93, 12275800, 55.52, 0, 1, 55.7, -999
20140805, 56.72, 56.97, 55.82, 56.03, 9031200, 55.62, 0, 1, 56.17, -999
20140804, 56.95, 57.27, 56.36, 57.06, 8649500, 56.65, 0, 1, 56.8, -999
20140801, 56.58, 57.12, 56.28, 56.8, 10141000, 56.39, 0, 1, 56.485, -999
20140731, 57.76, 58.07, 56.72, 56.74, 10119000, 56.33, 0, 1, 57.045, -999
20140730, 58.58, 58.85, 57.61, 58.08, 8051800, 57.66, 0, 1, 58.12, -999
20140729, 58.82, 59.28, 58.14, 58.58, 10328000, 58.16, 0, 1, 58.49, -999
20140728, 58.17, 58.34, 57.85, 57.97, 8600700, 57.55, 0, 1, 57.86, -999
20140725, 58.13, 58.36, 57.92, 58.15, 5525100, 57.73, 0, 1, 57.93, -999
20140724, 58.32, 58.5, 57.92, 58.21, 10064200, 57.79, 0, 1, 58.055, -999
