Ticker: MSFT  Created on: 12/6/2014 5:25:21 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 48.82, 48.97, 48.38, 48.42, 26080000, 48.42, 0, 1, 48.62, -999
20141204, 48.39, 49.06, 48.2, 48.84, 30320400, 48.84, 0, 1, 48.615, -999
20141203, 48.44, 48.5, 47.81, 48.08, 23534800, 48.08, 0, 1, 48.26, -999
20141202, 48.84, 49.05, 48.2, 48.46, 25743000, 48.46, 0, 1, 48.65, -999
20141201, 47.88, 48.78, 47.71, 48.62, 31191600, 48.62, 0, 1, 48.25, -999
20141128, 47.95, 48.2, 47.61, 47.81, 21534400, 47.81, 0, 1, 47.88, -999
20141126, 47.49, 47.99, 47.28, 47.75, 27163600, 47.75, 0, 1, 47.62, -999
20141125, 47.66, 47.97, 47.45, 47.47, 28007900, 47.47, 0, 1, 47.565, -999
20141124, 47.99, 48, 47.39, 47.59, 35434200, 47.59, 0, 1, 47.79, -999
20141121, 49.02, 49.05, 47.57, 47.98, 42883100, 47.98, 0, 1, 48.5, -999
20141120, 48, 48.7, 47.87, 48.7, 21500700, 48.7, 0, 1, 48.35, -999
20141119, 48.66, 48.75, 47.93, 48.22, 26176800, 48.22, 0, 1, 48.44, -999
20141118, 49.13, 49.33, 48.7, 48.74, 23995500, 48.74, 0, 1, 48.935, -999
20141117, 49.41, 49.71, 49.14, 49.46, 30315500, 49.15, 0, 1, 49.28, -999
20141114, 49.74, 50.05, 49.39, 49.58, 29081700, 49.27, 0, 1, 49.505, -999
20141113, 48.81, 49.65, 48.71, 49.61, 26208800, 49.3, 0, 1, 49.055, -999
20141112, 48.56, 48.92, 48.52, 48.78, 22722000, 48.47, 0, 1, 48.515, -999
20141111, 48.85, 48.95, 48.65, 48.87, 23445200, 48.56, 0, 1, 48.705, -999
20141110, 48.65, 49.15, 48.55, 48.89, 36370100, 48.58, 0, 1, 48.615, -999
20141107, 48.92, 48.92, 48.29, 48.68, 28000600, 48.37, 0, 1, 48.645, -999
20141106, 47.86, 48.86, 47.79, 48.7, 33037800, 48.39, 0, 1, 48.125, -999
20141105, 47.8, 47.9, 47.26, 47.86, 22449600, 47.56, 0, 1, 47.68, -999
20141104, 47.3, 47.73, 47.25, 47.57, 21530800, 47.27, 0, 1, 47.285, -999
20141103, 46.89, 47.46, 46.73, 47.44, 23130400, 47.14, 0, 1, 47.015, -999
20141031, 46.94, 46.97, 46.48, 46.95, 35849700, 46.66, 0, 1, 46.8, -999
20141030, 46.32, 46.32, 45.77, 46.05, 30073900, 45.76, 0, 1, 46.04, -999
20141029, 46.44, 46.7, 46.34, 46.62, 30276100, 46.33, 0, 1, 46.385, -999
20141028, 45.86, 46.5, 45.77, 46.49, 29024600, 46.2, 0, 1, 46.03, -999
20141027, 45.71, 46.1, 45.71, 45.91, 30371300, 45.62, 0, 1, 45.665, -999
