Ticker: MS  Created on: 12/6/2014 5:25:23 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 36.99, 37.74, 36.96, 37.24, 11445100, 37.24, 0, 1, 37.115, -999
20141204, 36.5, 36.91, 36.23, 36.79, 9165300, 36.79, 0, 1, 36.645, -999
20141203, 35.7, 36.55, 35.68, 36.52, 9147400, 36.52, 0, 1, 36.11, -999
20141202, 35.21, 35.9, 35.21, 35.77, 9269300, 35.77, 0, 1, 35.49, -999
20141201, 35.02, 35.21, 34.56, 35.1, 8802400, 35.1, 0, 1, 35.06, -999
20141128, 35.04, 35.21, 35.04, 35.18, 3534700, 35.18, 0, 1, 35.11, -999
20141126, 35.42, 35.42, 35.07, 35.12, 6138100, 35.12, 0, 1, 35.27, -999
20141125, 35.77, 35.79, 35.28, 35.3, 7646700, 35.3, 0, 1, 35.535, -999
20141124, 35.68, 35.9, 35.5, 35.62, 6739000, 35.62, 0, 1, 35.65, -999
20141121, 35.86, 35.92, 35.46, 35.53, 7477000, 35.53, 0, 1, 35.695, -999
20141120, 35.2, 35.43, 35.03, 35.39, 6090600, 35.39, 0, 1, 35.295, -999
20141119, 35.37, 35.61, 35.16, 35.48, 5748700, 35.48, 0, 1, 35.425, -999
20141118, 35.66, 35.81, 35.47, 35.47, 5319600, 35.47, 0, 1, 35.565, -999
20141117, 35.49, 35.78, 35.42, 35.6, 6207700, 35.6, 0, 1, 35.545, -999
20141114, 35.88, 36.09, 35.61, 35.69, 7219100, 35.69, 0, 1, 35.785, -999
20141113, 36.05, 36.13, 35.61, 35.84, 7376600, 35.84, 0, 1, 35.945, -999
20141112, 35.6, 36, 35.54, 35.97, 9249000, 35.97, 0, 1, 35.785, -999
20141111, 35.88, 35.99, 35.66, 35.79, 7019200, 35.79, 0, 1, 35.835, -999
20141110, 35.79, 36.01, 35.63, 35.88, 9352000, 35.88, 0, 1, 35.835, -999
20141107, 35.64, 35.72, 35.34, 35.66, 10831600, 35.66, 0, 1, 35.65, -999
20141106, 35.05, 35.4, 34.86, 35.31, 8892100, 35.31, 0, 1, 35.18, -999
20141105, 34.89, 35.08, 34.64, 34.9, 9461300, 34.9, 0, 1, 34.895, -999
20141104, 34.72, 34.83, 34.43, 34.66, 8514000, 34.66, 0, 1, 34.69, -999
20141103, 35.05, 35.2, 34.64, 34.71, 8011000, 34.71, 0, 1, 34.88, -999
20141031, 35, 35.25, 34.85, 34.95, 11434400, 34.95, 0, 1, 34.975, -999
20141030, 34.27, 34.73, 34.19, 34.52, 9028800, 34.52, 0, 1, 34.395, -999
20141029, 34.2, 34.53, 34.08, 34.39, 10520000, 34.39, 0.1, 1, 34.295, -999
20141028, 34.16, 34.58, 34.03, 34.36, 10537900, 34.26, 0, 1, 34.21, -999
20141027, 34.3, 34.31, 33.82, 33.96, 9918800, 33.86, 0, 1, 34.08, -999
20141024, 34.05, 34.49, 33.95, 34.32, 7685600, 34.22, 0, 1, 34.135, -999
20141023, 33.9, 34.27, 33.82, 33.96, 9031800, 33.86, 0, 1, 33.88, -999
20141022, 34.09, 34.11, 33.4, 33.43, 8777600, 33.33, 0, 1, 33.71, -999
20141021, 33.6, 34.2, 33.54, 34.06, 11217400, 33.96, 0, 1, 33.78, -999
20141020, 33.13, 33.68, 33.13, 33.32, 11047500, 33.22, 0, 1, 33.175, -999
20141017, 33.72, 34, 33.07, 33.22, 16422900, 33.12, 0, 1, 33.42, -999
20141016, 31.66, 33.2, 31.53, 32.53, 16433900, 32.44, 0, 1, 32.05, -999
20141015, 32.39, 32.76, 31.35, 32.61, 21646700, 32.52, 0, 1, 32.455, -999
20141014, 33, 33.42, 32.78, 33.01, 12915600, 32.91, 0, 1, 32.955, -999
20141013, 33.08, 33.44, 32.83, 32.85, 14668800, 32.75, 0, 1, 32.915, -999
20141010, 33.13, 33.66, 32.93, 32.94, 11182800, 32.84, 0, 1, 32.985, -999
20141009, 34.55, 34.55, 33.24, 33.3, 13511600, 33.2, 0, 1, 33.875, -999
20141008, 34.04, 34.53, 33.4, 34.5, 12407900, 34.4, 0, 1, 34.22, -999
20141007, 34.79, 34.8, 34.02, 34.02, 10127800, 33.92, 0, 1, 34.355, -999
20141006, 35.33, 35.4, 34.86, 34.99, 7040600, 34.89, 0, 1, 35.11, -999
20141003, 34.62, 35.16, 34.54, 35.05, 8810400, 34.95, 0, 1, 34.785, -999
20141002, 34.05, 34.38, 33.79, 34.28, 8472000, 34.18, 0, 1, 34.115, -999
20141001, 34.37, 34.45, 33.81, 33.96, 14873200, 33.86, 0, 1, 34.115, -999
20140930, 34.55, 34.71, 34.24, 34.57, 9795300, 34.47, 0, 1, 34.51, -999
20140929, 34.19, 34.59, 34.03, 34.5, 8218000, 34.4, 0, 1, 34.295, -999
20140926, 34.39, 34.7, 34.27, 34.65, 8237100, 34.55, 0, 1, 34.47, -999
20140925, 35.1, 35.1, 34.06, 34.22, 12328200, 34.12, 0, 1, 34.61, -999
20140924, 34.74, 35.08, 34.53, 34.98, 13351900, 34.88, 0, 1, 34.81, -999
20140923, 35.21, 35.57, 34.99, 35.02, 10882300, 34.92, 0, 1, 35.065, -999
20140922, 35.7, 35.8, 35.05, 35.18, 10144200, 35.08, 0, 1, 35.39, -999
20140919, 36.41, 36.44, 35.72, 35.76, 29864600, 35.66, 0, 1, 36.035, -999
20140918, 35.7, 36.25, 35.64, 36.13, 15158500, 36.02, 0, 1, 35.86, -999
20140917, 35.19, 35.78, 35.1, 35.56, 10979800, 35.46, 0, 1, 35.325, -999
20140916, 35.14, 35.23, 34.83, 35.11, 8498200, 35.01, 0, 1, 35.075, -999
20140915, 34.97, 35.23, 34.76, 35.21, 9632700, 35.11, 0, 1, 35.04, -999
20140912, 34.73, 35.08, 34.7, 35.01, 10244500, 34.91, 0, 1, 34.82, -999
20140911, 34.12, 34.75, 34.1, 34.73, 6794200, 34.63, 0, 1, 34.375, -999
20140910, 34.04, 34.4, 34.04, 34.33, 6451400, 34.23, 0, 1, 34.135, -999
20140909, 34.44, 34.44, 33.82, 33.91, 11411200, 33.81, 0, 1, 34.125, -999
20140908, 34.59, 35.09, 34.59, 34.86, 8149200, 34.76, 0, 1, 34.675, -999
20140905, 34.42, 34.64, 33.94, 34.63, 10032500, 34.53, 0, 1, 34.475, -999
20140904, 34.52, 34.91, 34.52, 34.7, 7326400, 34.6, 0, 1, 34.56, -999
20140903, 34.74, 34.99, 34.48, 34.56, 7151500, 34.46, 0, 1, 34.6, -999
20140902, 34.42, 34.65, 34.18, 34.55, 5115700, 34.45, 0, 1, 34.435, -999
20140829, 34.15, 34.51, 34.08, 34.31, 4946700, 34.21, 0, 1, 34.18, -999
20140828, 34, 34.12, 33.72, 34.06, 4459200, 33.96, 0, 1, 33.98, -999
20140827, 34.49, 34.5, 34.05, 34.13, 5679900, 34.03, 0, 1, 34.26, -999
20140826, 34.17, 34.55, 34.17, 34.4, 8462100, 34.3, 0, 1, 34.235, -999
20140825, 33.68, 34.57, 33.68, 34.2, 13975800, 34.1, 0, 1, 33.89, -999
20140822, 32.99, 33.56, 32.92, 33.47, 9082600, 33.37, 0, 1, 33.18, -999
20140821, 32.66, 33.05, 32.5, 33.03, 7309100, 32.93, 0, 1, 32.795, -999
20140820, 32.4, 32.65, 32.38, 32.54, 4234700, 32.45, 0, 1, 32.425, -999
20140819, 32.69, 32.84, 32.53, 32.53, 4257000, 32.44, 0, 1, 32.565, -999
20140818, 32.47, 32.74, 32.39, 32.61, 4925400, 32.52, 0, 1, 32.495, -999
20140815, 32.28, 32.71, 31.98, 32.22, 9457900, 32.13, 0, 1, 32.205, -999
20140814, 32.07, 32.26, 32.07, 32.17, 3974800, 32.08, 0, 1, 32.075, -999
