Ticker: MUR  Created on: 12/6/2014 5:25:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 49, 49.71, 48.49, 48.92, 1930200, 48.92, 0, 1, 48.96, -999
20141204, 48.78, 49.64, 48.44, 49.19, 1734000, 49.19, 0, 1, 48.985, -999
20141203, 49.4, 50.25, 49.07, 49.72, 1755200, 49.72, 0, 1, 49.56, -999
20141202, 48.55, 50.13, 48.22, 49.08, 2461600, 49.08, 0, 1, 48.815, -999
20141201, 48, 49.11, 47.68, 49.03, 3402300, 49.03, 0, 1, 48.515, -999
20141128, 49.3, 49.39, 47.86, 48.42, 4022200, 48.42, 0, 1, 48.86, -999
20141126, 52.22, 52.31, 51.46, 51.58, 864900, 51.58, 0, 1, 51.9, -999
20141125, 53.33, 53.37, 51.72, 52.44, 2444100, 52.44, 0, 1, 52.885, -999
20141124, 53.92, 53.98, 52.67, 52.99, 1153500, 52.99, 0, 1, 53.455, -999
20141121, 54.21, 54.74, 53.61, 54.08, 1245000, 54.08, 0, 1, 54.145, -999
20141120, 51.63, 53.51, 51.59, 53.26, 1666900, 53.26, 0, 1, 52.445, -999
20141119, 51.72, 51.78, 50.82, 51.61, 1881600, 51.61, 0, 1, 51.665, -999
20141118, 51.3, 51.91, 50.86, 51.72, 821500, 51.72, 0, 1, 51.51, -999
20141117, 51.32, 51.78, 50.84, 51.41, 1084200, 51.41, 0, 1, 51.365, -999
20141114, 51.53, 52.04, 51.18, 51.94, 1247100, 51.94, 0, 1, 51.735, -999
20141113, 52.1, 52.19, 50.86, 51.33, 1348800, 51.33, 0, 1, 51.715, -999
20141112, 52.84, 53.45, 51.31, 52.52, 1632900, 52.52, 0, 1, 52.68, -999
20141111, 54.06, 54.52, 53.51, 54.12, 1626200, 53.77, 0, 1, 53.915, -999
20141110, 54.99, 55.36, 53.62, 53.85, 2378800, 53.5, 0, 1, 54.245, -999
20141107, 53.26, 54.57, 53, 54.53, 2022100, 54.18, 0, 1, 53.72, -999
20141106, 52.13, 53.17, 51.57, 53.05, 1836800, 52.71, 0, 1, 52.42, -999
20141105, 51.6, 52.4, 50.78, 52.25, 1485400, 51.91, 0, 1, 51.755, -999
20141104, 51.58, 51.9, 50.66, 51.24, 1503600, 50.91, 0, 1, 51.245, -999
20141103, 53.81, 54.57, 52.26, 52.44, 1907300, 52.1, 0, 1, 52.955, -999
20141031, 51.8, 53.45, 51.14, 53.39, 1889600, 53.04, 0, 1, 52.42, -999
20141030, 52, 52.99, 51.04, 52.21, 3000900, 51.87, 0, 1, 51.935, -999
20141029, 53.23, 53.57, 51.29, 52, 2495200, 51.66, 0, 1, 52.445, -999
20141028, 51.32, 52.69, 50.75, 52.63, 1118200, 52.29, 0, 1, 51.805, -999
20141027, 51.32, 51.43, 50.43, 50.89, 1491300, 50.56, 0, 1, 50.94, -999
20141024, 52.85, 53, 51.97, 52.15, 1699500, 51.81, 0, 1, 52.33, -999
20141023, 52.66, 53.56, 52.33, 53.04, 1126000, 52.7, 0, 1, 52.68, -999
